"","lat","lon","ele","distance","time","speed","summarized_distance","kilometer","speed_not_rounded"
"1",52.187577,21.135207,81.8,0,1.46528913334324,0,0,0,0
"2",52.187564,21.135156,81.8,3.76948467096888,1.46528913334324,9,3.76948467096888,1,9.26106971429314
"3",52.187557,21.135124,81.8,2.31877758072708,1.46528913334324,6,6.08826225169595,1,5.69689565060198
"4",52.187572,21.135072,81.8,3.92208084338884,1.46528913334324,10,10.0103430950848,1,9.63597607796655
"5",52.187604,21.134989,81.8,6.69152676618372,1.46528913334324,16,16.7018698612685,1,16.4400975958227
"6",52.187616,21.134933,81.8,4.04858923582956,1.46528913334324,10,20.7504590970981,1,9.94678860119018
"7",52.187617,21.134911,81.8,1.50556627571945,1.46528913334324,4,22.2560253728175,1,3.69895501799261
"8",52.18762,21.134854,81.7,3.90441646273417,1.46528913334324,10,26.1604418355517,1,9.59257729139961
"9",52.187633,21.134761,81.7,6.50990616794065,1.46528913334324,16,32.6703480034924,1,15.9938824845544
"10",52.187638,21.134718,81.7,2.98695875731994,1.46528913334324,7,35.6573067608123,1,7.33851857743416
"11",52.187645,21.134628,81.7,6.19150391855868,1.46528913334324,15,41.848810679371,1,15.2116149636319
"12",52.187649,21.13456,81.7,4.66214034829166,1.46528913334324,11,46.5109510276626,1,11.4541934911889
"13",52.187653,21.134505,81.7,3.77992879991865,1.46528913334324,9,50.2908798275813,1,9.28672940381353
"14",52.187654,21.134446,81.7,4.02813824540484,1.46528913334324,10,54.3190180729861,1,9.8965435240558
"15",52.187652,21.134343,81.7,7.03301265370546,1.46528913334324,17,61.3520307266916,1,17.2790782223106
"16",52.187651,21.13427,81.7,4.98330785330145,1.46528913334324,12,66.335338579993,1,12.2432548386905
"17",52.187658,21.134144,81.7,8.63441303341889,1.46528913334324,21,74.9697516134119,1,21.213483545999
"18",52.187662,21.134079,81.6,4.45837552455518,1.46528913334324,11,79.4281271379671,1,10.9535732731315
"19",52.18767,21.133988,81.6,6.27404220261617,1.46528913334324,15,85.7021693405833,1,15.4143993942575
"20",52.187686,21.133901,81.6,6.19891643237885,1.46528913334324,15,91.9010857729621,1,15.2298264204327
"21",52.187693,21.133785,81.6,7.95495569571004,1.46528913334324,20,99.8560414686722,1,19.5441567489245
"22",52.187694,21.133724,81.6,4.16457898524632,1.46528913334324,10,104.020620453918,1,10.2317583647669
"23",52.187691,21.133615,81.7,7.44645837606334,1.46528913334324,18,111.467078829982,1,18.2948535847419
"24",52.187672,21.133534,81.8,5.91884715904842,1.46528913334324,15,117.38592598903,1,14.5417373866397
"25",52.187641,21.133471,81.7,5.51318492199373,1.46528913334324,14,122.899110911024,1,13.5450849034094
"26",52.1876,21.133412,81.7,6.08642181886491,1.46528913334324,15,128.985532729889,1,14.9534436919768
"27",52.187569,21.133356,81.6,5.14930862121037,1.46528913334324,13,134.134841351099,1,12.6510943229761
"28",52.187551,21.133271,81.6,6.13735687039028,1.46528913334324,15,140.27219822149,1,15.0785836260136
"29",52.187552,21.133177,81.5,6.41624111408472,1.46528913334324,16,146.688439335574,1,15.7637612161928
"30",52.187558,21.133103,81.4,5.09429809175642,1.46528913334324,13,151.782737427331,1,12.5159415387728
"31",52.1876,21.132955,81.3,11.1302501800516,1.46528913334324,27,162.912987607382,1,27.3453885218977
"32",52.187607,21.132869,81.3,5.92078935337339,1.46528913334324,15,168.833776960756,1,14.5465090725894
"33",52.187618,21.132775,81.4,6.53108571335394,1.46528913334324,16,175.36486267411,1,16.0459175141965
"34",52.187641,21.132675,81.4,7.28921003982724,1.46528913334324,18,182.654072713937,1,17.9085175384503
"35",52.187652,21.132596,81.5,5.52885554027011,1.46528913334324,14,188.182928254207,1,13.5835853089002
"36",52.187661,21.132516,81.5,5.55095720787981,1.46528913334324,14,193.733885462087,1,13.637885857225
"37",52.187659,21.132361,81.5,10.5806964208093,1.46528913334324,26,204.314581882896,1,25.9952157210128
"38",52.187594,21.13227,81.5,9.53556012417633,1.46528913334324,23,213.850142007072,1,23.4274694774478
"39",52.187556,21.132234,81.5,4.89188202944788,1.46528913334324,12,218.74202403652,1,12.0186350292731
"40",52.187516,21.132281,81.6,5.48782225677903,1.46528913334324,13,224.229846293299,1,13.4827725633427
"41",52.187475,21.132297,81.7,4.69290787271856,1.46528913334324,12,228.922754166018,1,11.5297847758141
"42",52.187389,21.132239,81.7,10.3595441918147,1.46528913334324,25,239.282298357833,1,25.4518772042218
"43",52.187356,21.132156,81.6,6.75146823920521,1.46528913334324,17,246.033766597038,1,16.5873649835123
"44",52.18734,21.132066,81.6,6.39533962071112,1.46528913334324,16,252.429106217749,1,15.7124093195379
"45",52.187365,21.13189,81.5,12.3298154667645,1.46528913334324,30,264.758921684513,1,30.2925440926986
"46",52.187385,21.131799,81.5,6.59756259432868,1.46528913334324,16,271.356484278842,1,16.2092414385083
"47",52.187407,21.131633,81.5,11.5908248826449,1.46528913334324,28,282.947309161487,1,28.4769528607069
"48",52.187417,21.131549,81.5,5.83989696028228,1.46528913334324,14,288.787206121769,1,14.3477683541187
"49",52.18744,21.131376,81.5,12.0812890264112,1.46528913334324,30,300.868495148181,1,29.6819511626667
"50",52.187448,21.131291,81.6,5.86902013939199,1.46528913334324,14,306.737515287572,1,14.4193197240219
"51",52.18745,21.131132,81.7,10.8536787584533,1.46528913334324,27,317.591194046026,1,26.6658931956189
"52",52.187448,21.13105,81.7,5.6007438292254,1.46528913334324,14,323.191937875251,1,13.7602042671317
"53",52.187442,21.130889,81.8,11.0081730644744,1.46528913334324,27,334.200110939726,1,27.0454629945205
