Date Submitted,Workout Date,Activity Type,Calories Burned,Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"Jan. 22, 2024","Jan. 22, 2024",Hike,0,0.41797560499200004,368,14.576249701741828,4.074038863039847,4.11628352256,14.727396625919999,0,571,b'Uczelnia poor 54 nie wieczor',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7726635928
"Jan. 22, 2024","Jan. 22, 2024",Hike,0,0.846511725312,676,13.30473783106657,4.298956593493995,4.509671569919999,13.956874905599998,0,1157,b'Uczelnia poor 54 nie wieczor',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7726625683
"Jan. 22, 2024","Jan. 22, 2024",Hike,0,0.724323891456,461,10.592017617116042,1.0018554143800207,5.664649478399999,59.8888401408,0,990,b'Uczelnia poor 51 tak popoludnie',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7726500208
"Jan. 22, 2024","Jan. 22, 2024",Hike,0,0.36558662976000006,263,11.76187316074127,7.360825280362682,5.10123423744,8.151230799359999,0,500,b'Uczelnia poor 79 nie popoludnie',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7726482130
"Jan. 22, 2024","Jan. 22, 2024",Hike,0,0.8433268335360001,855,16.882531018849914,1.4681012884753042,3.55396263552,40.868969011199994,0,1153,b'Spacer poor 59 nie popoludnie',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7726458490
"Jan. 22, 2024","Jan. 22, 2024",Hike,0,0.458482793472,656,23.836917402370158,3.195966803865426,2.51711057664,18.7736414976,0,627,b'Uczelnia poor 94 nie popoludnie',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7726400176
"Jan. 22, 2024","Jan. 22, 2024",Hike,0,0.19222004736,179,12.773527598822874,8.258830927384077,4.69722451968,7.26496505856,0,263,b'Uczelnia poor 84 nie popoludnie',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7726324174
"Jan. 22, 2024","Jan. 22, 2024",Hike,0,0.38197136102400003,297,12.95403593016782,7.656473693629205,4.631756405759999,7.836491393279999,0,522,b'Uczelnia poor 71 nie popoludnie',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7726215001
"Jan. 22, 2024","Jan. 22, 2024",Hike,0,0.580971574656,388,11.102660462896681,0.3840881750576632,5.404112778239999,156.21419404799997,0,794,b'Uczelnia poor 72 tak rano',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7726142038
"Jan. 22, 2024","Jan. 22, 2024",Hike,0,0.31377540902400003,235,12.263878946949811,1.5345693649089318,4.89242185344,39.09901248,0,429,b'Uczelnia poor 58 nie rano',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7726132048
"Jan. 21, 2024","Jan. 21, 2024",Hike,0,0.36232931750400005,562,25.751672731249503,3.1314498329754232,2.3299438694399996,19.160366860799996,0,495,b'Spacer poor 72 nie rano',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7724710570
"Jan. 20, 2024","Jan. 20, 2024",Hike,0,0.399707941248,411,16.14427990535274,9.52046299610276,3.71649028608,6.30222329088,0,546,b'Zakupy poor 82 nie wieczor',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7724195845
"Jan. 20, 2024","Jan. 20, 2024",Hike,0,0.3007059264,264,14.640623757257616,1.4123518651077704,4.098178402559999,42.4823363712,0,411,b'Zakupy poor 82 nie wieczor',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7724174200
"Jan. 20, 2024","Jan. 20, 2024",Hike,0,0.267950947968,298,18.49287660065219,9.78112821124632,3.24448578432,6.134272151039999,0,366,b'Zakupy poor 66 nie wieczor',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7724138425
