"","Date.Submitted","Activity.Type","Calories.Burned","Distance..km.","Workout.Time..seconds.","Avg.Pace..min.km.","Max.Pace..min.km.","Avg.Speed..km.h.","Max.Speed..km.h.","Avg.Heart.Rate","Steps","Notes","Source","Link","Workout.Date","change"
"1","Jan. 22, 2024","Hike",0,0.760611379968,669,14.6592648930247,7.40158723057345,4.09298022144,8.10637838208,NA,1128,"b'Uczelnia poor 63 nie popoudnie '","Map My Fitness MapMyRun Android","http://www.mapmyfitness.com/workout/7726606399","Jan. 22, 2024",1
"2","Jan. 22, 2024","Hike",0,0.744854292864,545,12.194782470373,2.43789394933588,4.92013475712,24.6113759232,NA,1105,"b'Uczelnia poor 61 nie popoudnie '","Map My Fitness MapMyRun Android","http://www.mapmyfitness.com/workout/7726490488","Jan. 22, 2024",1
"3","Jan. 22, 2024","Hike",0,0.451913451264,388,14.3095571860336,7.79876769665155,4.19300095104,7.69353336576,NA,670,"b'Uczelnia poor 71 nie popoudnie '","Map My Fitness MapMyRun Android","http://www.mapmyfitness.com/workout/7726465714","Jan. 22, 2024",1
"4","Jan. 20, 2024","Hike",0,0.351314967168,446,21.1585590153504,6.71925952437763,2.83572850176,8.92954174464,NA,521,"b'Zakupy poor 65 tak wieczr '","Map My Fitness MapMyRun Android","http://www.mapmyfitness.com/workout/7724143129","Jan. 20, 2024",1
"5","Jan. 17, 2024","Hike",0,0.251873601408,160,10.587295196055,4.95554089119542,5.66716005504,12.1076581824,NA,374,"b'Uczelnia unhealthy 107 tak rano'","Map My Fitness MapMyRun Android","http://www.mapmyfitness.com/workout/7719053572","Jan. 17, 2024",1
"6","Jan. 17, 2024","Hike",0,0.407165641344,391,16.0049684840531,8.51800485166627,3.74883810048,7.04388947328,NA,604,"b'Uczelnia unhealthy 105 rano'","Map My Fitness MapMyRun Android","http://www.mapmyfitness.com/workout/7719045940","Jan. 17, 2024",1
"7","Jan. 16, 2024","Hike",0,0.2918545344,253,14.4478744134256,5.52673014594767,4.15286391168,10.85632884864,NA,433,"b'Hobby fair 48 tak popoudnie '","Map My Fitness MapMyRun Android","http://www.mapmyfitness.com/workout/7717700722","Jan. 16, 2024",1
"8","Jan. 16, 2024","Hike",0,0.769995464832,578,12.5109361329834,1.46044599538694,4.79581293312,41.083333632,NA,1142,"b'Uczelnia poor 54 tak rano'","Map My Fitness MapMyRun Android","http://www.mapmyfitness.com/workout/7717533706","Jan. 16, 2024",1
"9","Jan. 16, 2024","Hike",0,0.427082882688,387,15.1024889644476,8.42020102600811,3.97285878528,7.12572461568,NA,634,"b'Uczelnia poor 51 tak rano'","Map My Fitness MapMyRun Android","http://www.mapmyfitness.com/workout/7717520896","Jan. 16, 2024",1
"10","Jan. 15, 2024","Hike",0,0.5057765856,351,11.5663276465442,1.61363263540921,5.18746288896,37.1832493824,NA,750,"b'Uczelnia poor 50 tak popoudnie'","Map My Fitness MapMyRun Android","http://www.mapmyfitness.com/workout/7716393562","Jan. 15, 2024",1
"11","Jan. 15, 2024","Hike",0,0.523888142976,469,14.9204893422413,7.30751163206872,4.02131613312,8.21069606016,NA,777,"b'Uczelnia fair 48 nie popoudnie'","Map My Fitness MapMyRun Android","http://www.mapmyfitness.com/workout/7716255883","Jan. 15, 2024",1
"12","Jan. 15, 2024","Hike",0,0.365612379264,290,13.219858526207,4.59717748349638,4.53862366848,13.05149015808,NA,542,"b'Uczelnia fair 38 tak popoudnie '","Map My Fitness MapMyRun Android","http://www.mapmyfitness.com/workout/7716148858","Jan. 15, 2024",1
"13","Jan. 15, 2024","Hike",0,0.467910330624,278,9.90217131949415,6.29989610673666,6.05927672064,9.52392076416,NA,694,"b'Uczelnia poor 74 tak popoudnie'","Map My Fitness MapMyRun Android","http://www.mapmyfitness.com/workout/7716137110","Jan. 15, 2024",1
"14","Jan. 12, 2024","Hike",0,1.002964102272,1389,23.0815785810865,3.50849787242504,2.59947680256,17.1013721472,NA,1488,"b'Spacer poor 53 nie popoudnie'","Map My Fitness MapMyRun Android","http://www.mapmyfitness.com/workout/7711993918","Jan. 12, 2024",1
"15","Jan. 11, 2024","Hike",0,0.814194488448,684,14.0015434860415,3.28443142050426,4.28523245568,18.2679856128,NA,1208,"b'Uczelnia poor 53 nie wieczr '","Map My Fitness MapMyRun Android","http://www.mapmyfitness.com/workout/7710827512","Jan. 11, 2024",1
"16","Jan. 11, 2024","Hike",0,0.499595095296,325,10.8421195219916,2.04353450847053,5.53398683904,29.360871936,NA,741,"b'Uczelnia unhealthy 114 tak popoudnie'","Map My Fitness MapMyRun Android","http://www.mapmyfitness.com/workout/7710435184","Jan. 11, 2024",1
"17","Jan. 10, 2024","Hike",0,0.538077729024,669,20.7219214785652,5.73675982263581,2.89548344448,10.45886916096,NA,798,"b'Spacer unhealthy 107 tak wieczr '","Map My Fitness MapMyRun Android","http://www.mapmyfitness.com/workout/7709140687","Jan. 10, 2024",1
"18","Jan. 10, 2024","Hike",0,0.480146173056,345,11.9755627137517,7.8750720790583,5.0102097408,7.61897245824,NA,712,"b'Uczelnia unhealthy 123 tak popoudnie '","Map My Fitness MapMyRun Android","http://www.mapmyfitness.com/workout/7708918357","Jan. 10, 2024",1
"19","Jan. 10, 2024","Hike",0,0.729567134208,592,13.5240197248071,10.5208084784856,4.436559072,5.70300014592,NA,1082,"b'Uczelnia unhealthy 136 nie popoudnie '","Map My Fitness MapMyRun Android","http://www.mapmyfitness.com/workout/7708884028","Jan. 10, 2024",1
"20","Jan. 10, 2024","Hike",0,0.743916045312,682,15.279517617116,5.27038967430208,3.92683154688,11.38435461504,NA,1104,"b'Uczelnia unhealthy 147 tak rano'","Map My Fitness MapMyRun Android","http://www.mapmyfitness.com/workout/7708868998","Jan. 10, 2024",1
"21","Jan. 10, 2024","Hike",0,0.408560942592,268,10.9327154418198,5.72054203451841,5.48812053504,10.48851327744,NA,606,"b'Uczelnia dangerous 151 tak rano'","Map My Fitness MapMyRun Android","http://www.mapmyfitness.com/workout/7708302766","Jan. 10, 2024",1
"22","Jan. 9, 2024","Hike",0,0.45421320384,327,11.9988019963414,7.60912520878072,5.00050539648,7.88528670336,NA,674,"b'Uczelnia unhealthy 117 tak popoudnie '","Map My Fitness MapMyRun Android","http://www.mapmyfitness.com/workout/7706984761","Jan. 9, 2024",1
"23","Jan. 9, 2024","Hike",0,0.861494717952,494,9.55706175932554,1.29060039370079,6.27809922432,46.4900857344,NA,1278,"b'Uczelnia unhealthy 134 tak popoudnie '","Map My Fitness MapMyRun Android","http://www.mapmyfitness.com/workout/7706967280","Jan. 9, 2024",1
"24","Jan. 9, 2024","Hike",0,0.722991354624,670,15.4451130398473,7.01565358307484,3.88473110784,8.55231151104,NA,1073,"b'Uczelnia unhealthy 136 tak rano'","Map My Fitness MapMyRun Android","http://www.mapmyfitness.com/workout/7706902822","Jan. 9, 2024",1
"25","Jan. 9, 2024","Hike",0,0.501695289216,317,10.5309368289191,5.92007675176967,5.69749618944,10.1350047744,NA,744,"b'Uczelnia unhealthy 139 tak rano'","Map My Fitness MapMyRun Android","http://www.mapmyfitness.com/workout/7706832592","Jan. 9, 2024",1
