spotify_track_uri,audio_features,acousticness,instrumentalness,energy,danceability,liveness,loudness,speechiness,valence,release_date,preview_url,album_cover,artists_photo,album_on_spotify,artist_on_spotify
spotify:track:1XGmzt0PVuFgQYYnV2It7A,"{'acousticness': 0.0188, 'instrumentalness': 0, 'energy': 0.752, 'danceability': 0.743, 'liveness': 0.287, 'loudness': -4.813, 'speechiness': 0.0414, 'valence': 0.545}",0.0188,0.0,0.752,0.743,0.287,-4.813,0.0414,0.545,2012-01-01,,https://i.scdn.co/image/ab67616d0000b273fc8633e22a7dba6aab817bff,https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77,https://open.spotify.com/album/6ijGiBcBfUwkoyHn5VUHU2,https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP
spotify:track:6uBhi9gBXWjanegOb2Phh0,"{'acousticness': 0.253, 'instrumentalness': 0, 'energy': 0.622, 'danceability': 0.69, 'liveness': 0.116, 'loudness': -5.025, 'speechiness': 0.0622, 'valence': 0.544}",0.253,0.0,0.622,0.69,0.116,-5.025,0.0622,0.544,2017-02-23,,https://i.scdn.co/image/ab67616d0000b273b993cba8ff7d0a8e9ee18d46,https://i.scdn.co/image/ab6761610000e5ebf801e3d9ecb568a1c3c62393,https://open.spotify.com/album/1I4W7JKzYbl8VKRfD61DIS,https://open.spotify.com/artist/2qxJFvFYMEDqd7ui6kSAcq
spotify:track:4qDHt2ClApBBzDAvhNGWFd,"{'acousticness': 0.206, 'instrumentalness': 0.915, 'energy': 0.933, 'danceability': 0.768, 'liveness': 0.0833, 'loudness': -2.95, 'speechiness': 0.0385, 'valence': 0.245}",0.206,0.915,0.933,0.768,0.0833,-2.95,0.0385,0.245,2018-04-01,https://p.scdn.co/mp3-preview/8018db8aacacaa458c8d52479c397fdaf89ab03b?cid=9c73ba7baf6142b5a14e36501edf592b,https://i.scdn.co/image/ab67616d0000b273428b65f827217fe824aaa2bd,https://i.scdn.co/image/ab6761610000e5eb3e8c66c01dca19afec96ae55,https://open.spotify.com/album/2lppc5R9jiNgGoB7qXPWlr,https://open.spotify.com/artist/2BuSNpxpMGJGiAAWJYJT2t
spotify:track:213x4gsFDm04hSqIUkg88w,"{'acousticness': 0.0841, 'instrumentalness': 3.59e-06, 'energy': 0.924, 'danceability': 0.631, 'liveness': 0.084, 'loudness': -5.589, 'speechiness': 0.146, 'valence': 0.755}",0.0841,3.59e-06,0.924,0.631,0.084,-5.589,0.146,0.755,2012-09-04,,https://i.scdn.co/image/ab67616d0000b273407bd04707c463bbb3410737,https://i.scdn.co/image/ab6761610000e5eb920dc1f617550de8388f368e,https://open.spotify.com/album/6nxDQi0FeEwccEPJeNySoS,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q
spotify:track:0cqNGWvuukhCiKvEX7utys,"{'acousticness': 0.0451, 'instrumentalness': 0, 'energy': 0.941, 'danceability': 0.76, 'liveness': 0.649, 'loudness': -6.356, 'speechiness': 0.0688, 'valence': 0.805}",0.0451,0.0,0.941,0.76,0.649,-6.356,0.0688,0.805,2006-01-01,,https://i.scdn.co/image/ab67616d0000b27386ea2533f3bfc5f1f08ab168,https://i.scdn.co/image/77b1746fba24b9bb6395b7574a12841491ebb800,https://open.spotify.com/album/4dOvFkIgrb6b9zCcGfCcci,https://open.spotify.com/artist/2gUMs9PE8XZVQyzCDqaYmW
spotify:track:1TfqLAPs4K3s2rJMoCokcS,"{'acousticness': 0.225, 'instrumentalness': 0, 'energy': 0.711, 'danceability': 0.692, 'liveness': 0.12, 'loudness': -7.498, 'speechiness': 0.0317, 'valence': 0.875}",0.225,0.0,0.711,0.692,0.12,-7.498,0.0317,0.875,1983-01-04,https://p.scdn.co/mp3-preview/d69101dbd66295473706112d3edf978b70fc4550?cid=9c73ba7baf6142b5a14e36501edf592b,https://i.scdn.co/image/ab67616d0000b273b3994c94dfb241923664bb4d,https://i.scdn.co/image/ab6761610000e5eb145a01fb993c3088fe6ac5e7,https://open.spotify.com/album/5jNDWA19BJbE24x1UUJGRY,https://open.spotify.com/artist/0NKDgy9j66h3DLnN8qu1bB
spotify:track:50rcUhHimavzT1qq6QrgMG,"{'acousticness': 0.00581, 'instrumentalness': 0.545, 'energy': 0.872, 'danceability': 0.809, 'liveness': 0.0637, 'loudness': -4.729, 'speechiness': 0.0792, 'valence': 0.969}",0.00581,0.545,0.872,0.809,0.0637,-4.729,0.0792,0.969,2021-12-03,https://p.scdn.co/mp3-preview/857d68f8f69125e431cea3e5e89e653440600762?cid=9c73ba7baf6142b5a14e36501edf592b,https://i.scdn.co/image/ab67616d0000b273da8ce498bc7d441e6d841d25,https://i.scdn.co/image/ab6761610000e5eb94abbe95a47a9ad01c8aa8f3,https://open.spotify.com/album/7fXtm0TpLRIJhxobKDjxRp,https://open.spotify.com/artist/12A83CWwFiyXy90ScLWPIe
spotify:track:67iAlVNDDdddxqSD2EZhFs,"{'acousticness': 0.151, 'instrumentalness': 0, 'energy': 0.551, 'danceability': 0.851, 'liveness': 0.0827, 'loudness': -5.177, 'speechiness': 0.0396, 'valence': 0.807}",0.151,0.0,0.551,0.851,0.0827,-5.177,0.0396,0.807,1988,https://p.scdn.co/mp3-preview/42b4d0af211d3a2ad254c010254a1957297f3f24?cid=9c73ba7baf6142b5a14e36501edf592b,https://i.scdn.co/image/ab67616d0000b273cebdf1f7660ace8c2a80585c,https://i.scdn.co/image/ab6772690000c46c42dd0ee8085ec78b75857c9c,https://open.spotify.com/album/5sK78apv4yOoXjxRL4kOdJ,https://open.spotify.com/artist/1A92IAcd7A6npCA33oGM5i
spotify:track:7m9XR7FquXLP1FewdAcNS9,"{'acousticness': 0.399, 'instrumentalness': 0, 'energy': 0.666, 'danceability': 0.72, 'liveness': 0.0844, 'loudness': -6.914, 'speechiness': 0.328, 'valence': 0.383}",0.399,0.0,0.666,0.72,0.0844,-6.914,0.328,0.383,2015-09-25,https://p.scdn.co/mp3-preview/8ae37b8aa7ce3f61b3f4b0e58a08d66ec2084045?cid=9c73ba7baf6142b5a14e36501edf592b,https://i.scdn.co/image/ab67616d0000b273d72fb5571087bca0a2fed008,https://i.scdn.co/image/ab6761610000e5eb446b2d505542a9424dfdfb16,https://open.spotify.com/album/1kCHru7uhxBUdzkm4gzRQc,https://open.spotify.com/artist/3cR4rhS2hBWqI7rJEBacvN
spotify:track:4o6BgsqLIBViaGVbx5rbRk,"{'acousticness': 0.234, 'instrumentalness': 0.112, 'energy': 0.501, 'danceability': 0.751, 'liveness': 0.0467, 'loudness': -12.151, 'speechiness': 0.0551, 'valence': 0.902}",0.234,0.112,0.501,0.751,0.0467,-12.151,0.0551,0.902,1980,https://p.scdn.co/mp3-preview/5f096f9722067db33f1453ea8804725ca15ac5bf?cid=9c73ba7baf6142b5a14e36501edf592b,https://i.scdn.co/image/ab67616d0000b273fe1a9aa59e3c6189a09ae37a,https://i.scdn.co/image/ab6761610000e5ebae81417d966e209b735b1160,https://open.spotify.com/album/4LniALl9S6YedTFdiZWOMS,https://open.spotify.com/artist/77tT1kLj6mCWtFNqiOmP9H
spotify:track:2Vqbniz8jYoZPvecpdVPq9,"{'acousticness': 0.477, 'instrumentalness': 0, 'energy': 0.704, 'danceability': 0.546, 'liveness': 0.0892, 'loudness': -5.154, 'speechiness': 0.044, 'valence': 0.328}",0.477,0.0,0.704,0.546,0.0892,-5.154,0.044,0.328,2021-02-26,,https://i.scdn.co/image/ab67616d0000b27329cc32491b2f3db3aa542345,https://i.scdn.co/image/ab6761610000e5eb9f9eab124df9f1ff148ebfe5,https://open.spotify.com/album/3JqX5g07TbeiF0NEK7eYl0,https://open.spotify.com/artist/5ZS223C6JyBfXasXxrRqOk
spotify:track:3PR7wPz2ZoSyrvqy9iigNk,"{'acousticness': 0.103, 'instrumentalness': 0, 'energy': 0.834, 'danceability': 0.721, 'liveness': 0.373, 'loudness': -4.298, 'speechiness': 0.078, 'valence': 0.644}",0.103,0.0,0.834,0.721,0.373,-4.298,0.078,0.644,2016-07-25,https://p.scdn.co/mp3-preview/18ccdf0600d465fcfa355caa826aff8287956ea1?cid=9c73ba7baf6142b5a14e36501edf592b,https://i.scdn.co/image/ab67616d0000b273822fa70fe11214c0ee75f956,https://i.scdn.co/image/ab6761610000e5eb3275b7caeaad235a37d6e823,https://open.spotify.com/album/79DFc14v0uvh4L34Hbw4hn,https://open.spotify.com/artist/2zNQKPXG63klRZNSetQVvK
spotify:track:0KGOBUQSvFzufIGbQabIxr,"{'acousticness': 0.0906, 'instrumentalness': 0, 'energy': 0.855, 'danceability': 0.645, 'liveness': 0.114, 'loudness': -5.63, 'speechiness': 0.0356, 'valence': 0.649}",0.0906,0.0,0.855,0.645,0.114,-5.63,0.0356,0.649,2018-07-13,,https://i.scdn.co/image/ab67616d0000b273ee80489d36ec17c93088f7b8,https://i.scdn.co/image/ab67616d0000b27326a45d838976ff7d2cc3f3c2,https://open.spotify.com/album/14hC5eBiPUxdPa90eCzwrR,https://open.spotify.com/artist/46sPwUO4mwBrA1wnSK83tl
spotify:track:2AkmdLbVKS1steeZdy8H1l,"{'acousticness': 0.0841, 'instrumentalness': 0.00026, 'energy': 0.435, 'danceability': 0.795, 'liveness': 0.0763, 'loudness': -8.927, 'speechiness': 0.0324, 'valence': 0.596}",0.0841,0.00026,0.435,0.795,0.0763,-8.927,0.0324,0.596,1984-02-27,,https://i.scdn.co/image/ab67616d0000b273d1e7c0e1bf0980298428a1ae,https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982,https://open.spotify.com/album/61foK8xa76FEOk36uOxoc9,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d
spotify:track:1QbOvACeYanja5pbnJbAmk,"{'acousticness': 0.546, 'instrumentalness': 1.71e-05, 'energy': 0.43, 'danceability': 0.38, 'liveness': 0.188, 'loudness': -12.564, 'speechiness': 0.0288, 'valence': 0.547}",0.546,1.71e-05,0.43,0.38,0.188,-12.564,0.0288,0.547,1997-06-17,https://p.scdn.co/mp3-preview/b0805419e05dd1872abea1d5a798399be024cde8?cid=9c73ba7baf6142b5a14e36501edf592b,https://i.scdn.co/image/ab67616d0000b273a19cee952b6dae128d68f116,https://i.scdn.co/image/ab6761610000e5eb748322a35cb459c837d5ac9e,https://open.spotify.com/album/7M3cxHsH8qYoVtD50ABfvU,https://open.spotify.com/artist/7EK1bQADBoqbYXnT4Cqv9w
spotify:track:2tpWsVSb9UEmDRxAl1zhX1,"{'acousticness': 0.0654, 'instrumentalness': 0, 'energy': 0.705, 'danceability': 0.664, 'liveness': 0.118, 'loudness': -4.972, 'speechiness': 0.0382, 'valence': 0.477}",0.0654,0.0,0.705,0.664,0.118,-4.972,0.0382,0.477,2013-01-01,,https://i.scdn.co/image/ab67616d0000b2739e2f95ae77cf436017ada9cb,https://i.scdn.co/image/ab6761610000e5eb57138b98e7ddd5a86ee97a9b,https://open.spotify.com/album/20lOt6G8MHv8ZO7ViOmiP7,https://open.spotify.com/artist/5Pwc4xIPtQLFEnJriah9YJ
spotify:track:5e3UWcbvTaF5CJWu81MqlQ,"{'acousticness': 0.0263, 'instrumentalness': 0, 'energy': 0.911, 'danceability': 0.585, 'liveness': 0.112, 'loudness': -4.623, 'speechiness': 0.119, 'valence': 0.781}",0.0263,0.0,0.911,0.585,0.112,-4.623,0.119,0.781,2013-01-01,,https://i.scdn.co/image/ab67616d0000b2738f9a38eaef72352da716ccdb,https://i.scdn.co/image/ab6761610000e5eb689a228adcd98468bf945351,https://open.spotify.com/album/5ANe5AfOnYydm3lXELfiHF,https://open.spotify.com/artist/4UxLFBvSr4xMDpHe1lrLrH
