"Kod";"Nazwa";"produkt krajowy brutto ogółem;2020;[mln zł]";
000000000000;"POLSKA";2337672;
011200000000;"MAŁOPOLSKIE";189463;
012400000000;"ŚLĄSKIE";272936;
020800000000;"LUBUSKIE";50026;
023000000000;"WIELKOPOLSKIE";233474;
023200000000;"ZACHODNIOPOMORSKIE";86294;
030200000000;"DOLNOŚLĄSKIE";195646;
031600000000;"OPOLSKIE";46872;
040400000000;"KUJAWSKO-POMORSKIE";102446;
042200000000;"POMORSKIE";136028;
042800000000;"WARMIŃSKO-MAZURSKIE";60675;
051000000000;"ŁÓDZKIE";144450;
052600000000;"ŚWIĘTOKRZYSKIE";53970;
060600000000;"LUBELSKIE";87493;
061800000000;"PODKARPACKIE";89287;
062000000000;"PODLASKIE";52595;
071410000000;"REGION WARSZAWSKI STOŁECZNY";414048;
071420000000;"REGION MAZOWIECKI REGIONALNY";121968;
