"all_emojis","Freq","app","person"
"☀",9,"ig","z"
"🙂",51,"ig","z"
"✌",9,"ig","z"
"❄",1,"ig","z"
"❣",2,"ig","z"
"❤",948,"ig","z"
"🌈",1,"ig","z"
"🍕",1,"ig","z"
"🍷",5,"ig","z"
"🍾",1,"ig","z"
"🎁",2,"ig","z"
"🎂",2,"ig","z"
"🎈",1,"ig","z"
"🎉",7,"ig","z"
"🎊",3,"ig","z"
"🎶",1,"ig","z"
"🐒",1,"ig","z"
"🐷",7,"ig","z"
"🐼",1,"ig","z"
"👀",4,"ig","z"
"👋",2,"ig","z"
"👌",110,"ig","z"
"👍",215,"ig","z"
"👑",1,"ig","z"
"👩",1,"ig","z"
"👸",1,"ig","z"
"💓",88,"ig","z"
"💔",1,"ig","z"
"💕",56,"ig","z"
"💖",24,"ig","z"
"💗",16,"ig","z"
"💙",12,"ig","z"
"💚",6,"ig","z"
"💛",208,"ig","z"
"💜",5,"ig","z"
"💝",2,"ig","z"
"💞",2,"ig","z"
"💯",2,"ig","z"
"🔥",3,"ig","z"
"🔧",1,"ig","z"
"🖤",3,"ig","z"
"😁",31,"ig","z"
"😂",1006,"ig","z"
"😅",26,"ig","z"
"😉",56,"ig","z"
"😊",220,"ig","z"
"😋",8,"ig","z"
"😌",1,"ig","z"
"😍",338,"ig","z"
"😎",12,"ig","z"
"😏",10,"ig","z"
"😐",2,"ig","z"
"😑",1,"ig","z"
"😒",3,"ig","z"
"😔",10,"ig","z"
"😕",14,"ig","z"
"😖",1,"ig","z"
"😗",285,"ig","z"
"😘",459,"ig","z"
"😙",82,"ig","z"
"😚",24,"ig","z"
"😛",150,"ig","z"
"😜",3,"ig","z"
"😝",1,"ig","z"
"😠",5,"ig","z"
"😢",1,"ig","z"
"😥",1,"ig","z"
"😫",5,"ig","z"
"😬",2,"ig","z"
"😭",21,"ig","z"
"😮",3,"ig","z"
"😱",5,"ig","z"
"😳",1,"ig","z"
"😴",1,"ig","z"
"🙁",1,"ig","z"
"🙂",6,"ig","z"
"🙃",1,"ig","z"
"🙄",1,"ig","z"
"🙏",3,"ig","z"
"🤓",2,"ig","z"
"🤔",5,"ig","z"
"🤗",15,"ig","z"
"🤚",1,"ig","z"
"🤞",2,"ig","z"
"🤠",3,"ig","z"
"🤢",4,"ig","z"
"🤣",16,"ig","z"
"🤦",3,"ig","z"
"🤨",1,"ig","z"
"🤪",1,"ig","z"
"🤫",4,"ig","z"
"🤭",2,"ig","z"
"🤮",2,"ig","z"
"🤷",127,"ig","z"
"🥰",195,"ig","z"
"🥲",3,"ig","z"
"🥵",1,"ig","z"
"🥺",15,"ig","z"
"🦱",1,"ig","z"
"🧐",1,"ig","z"
"🧑",1,"ig","z"
"🧡",5,"ig","z"
"☝",1,"mg","z"
"☀",1,"mg","z"
"★",1,"mg","z"
"🙁",1,"mg","z"
"🙂",54,"mg","z"
"♠",1,"mg","z"
"♡",7,"mg","z"
"♣",1,"mg","z"
"♥",2,"mg","z"
"♦",1,"mg","z"
"♪",16,"mg","z"
"✈",1,"mg","z"
"✌",9,"mg","z"
"❄",6,"mg","z"
"❓",1,"mg","z"
"❤",528,"mg","z"
"✊",1,"mg","z"
"✋",1,"mg","z"
"✨",6,"mg","z"
"⛄",2,"mg","z"
"⛵",2,"mg","z"
"🌙",1,"mg","z"
"🌛",3,"mg","z"
"🌜",3,"mg","z"
"🌟",2,"mg","z"
"🌶",1,"mg","z"
"🌸",1,"mg","z"
"🌹",3,"mg","z"
"🌺",11,"mg","z"
"🌾",1,"mg","z"
"🍀",1,"mg","z"
"🍉",53,"mg","z"
"🍊",1,"mg","z"
"🍐",1,"mg","z"
