index,name,pi,USN2010,NRC95,Region,institution,position
0,1,2.23,1,1,West,Stanford University,"array([-7.59363812,  5.82120879])"
1,2,2.31,1,3,West,UC Berkeley,"array([-7.56257198,  5.79237204])"
2,3,3.52,1,2,Northeast,MIT,"array([-7.5708025 ,  5.80711383])"
3,5,6.12,17,11,Northeast,Harvard University,"array([-7.61994034,  5.81027949])"
4,6,8.29,5,5,Northeast,Cornell University,"array([-7.57951676,  5.79117444])"
5,7,9.28,1,4,Northeast,Carnegie Mellon University,"array([-7.5572546 ,  5.82608736])"
6,8,9.32,8,6,Northeast,Princeton University,"array([-7.58986023,  5.76500558])"
7,9,9.98,20,14,Northeast,Yale University,"array([-7.61014468,  5.84179011])"
8,10,11.06,7,9,West,University of Washington,"array([-7.56988894,  5.77318183])"
9,11,13.43,5,8,Midwest,"University of Illinois, Urbana Champaign","array([-7.53933718,  5.79486711])"
10,12,14.12,11,10,Midwest,"University of Wisconsin, Madison","array([-7.54558463,  5.77551152])"
11,13,15.31,17,22,Northeast,University of Pennsylvania,"array([-7.60285863,  5.77982828])"
12,14,16.44,20,18,South,Rice University,"array([-7.50348776,  5.85163381])"
13,15,17.82,14,14,West,UCLA,"array([-7.55643452,  5.75576949])"
14,16,18.23,28,16,Northeast,New York University,"array([-7.63467171,  5.82747678])"
15,17,18.82,35,22,Midwest,University of Chicago,"array([-7.59010997,  5.89383713])"
16,18,19.44,8,7,South,"University of Texas, Austin","array([-7.54498618,  5.81478725])"
17,20,22.53,17,21,Northeast,Columbia University,"array([-7.62389446,  5.78569003])"
18,21,24.79,.,92,Canada,University of Toronto,"array([-7.64370802,  5.80371277])"
19,22,25.64,47,27,Northeast,University of Rochester,"array([-7.60355043,  5.86935162])"
20,23,26.17,20,19,West,University of Southern California,"array([-7.50538838,  5.76786335])"
21,24,26.3,28,34,South,Johns Hopkins University,"array([-7.57770556,  5.70749007])"
22,25,26.95,20,17,Northeast,"University of Massachusetts, Amherst","array([-7.52833167,  5.82828644])"
23,26,27.93,14,21,West,UC San Diego,"array([-7.57834358,  5.73800881])"
24,27,28.65,14,15,South,"University of Maryland, College Park","array([-7.59491622,  5.8027661 ])"
25,28,29.37,13,20,Midwest,University of Michigan,"array([-7.52357552,  5.80615188])"
26,29,29.55,20,26,South,"University of North Carolina, Chapel Hill","array([-7.52176746,  5.85973534])"
27,30,30.5,27,25,South,Duke University,"array([-7.53671364,  5.89515385])"
28,31,36.01,44,28,Northeast,"State University of New York, Stony Brook","array([-7.5255659 ,  5.75544311])"
29,32,37.36,28,31,West,UC Irvine,"array([-7.5077026 ,  5.83278931])"
30,33,37.9,44,51,Northeast,Dartmouth College,"array([-7.60291066,  5.72834688])"
31,36,38.94,35,43,Midwest,"University of Minnesota, Minneapolis","array([-7.50920706,  5.79216099])"
32,37,39.69,10,29,South,Georgia Tech,"array([-7.52892102,  5.78063488])"
33,38,40.46,28,24,Northeast,Rutgers University,"array([-7.60556335,  5.75091714])"
34,42,44.47,35,35,Midwest,Northwestern University,"array([-7.5832389 ,  5.86168037])"
35,46,51.75,.,92,Canada,University of British Columbia,"array([-7.63920261,  5.85162891])"
