"person","app","date","liczba"
"a","ig",2017-02-06,202
"a","ig",2017-02-07,180
"a","ig",2017-02-08,54
"a","ig",2017-02-10,8
"a","ig",2017-02-17,26
"a","ig",2018-08-01,1
"a","ig",2018-08-08,3
"a","ig",2018-09-20,2
"a","ig",2018-10-08,1
"a","ig",2018-10-22,1
"a","ig",2018-10-23,1
"a","ig",2018-10-26,5
"a","ig",2018-11-08,1
"a","ig",2018-11-15,1
"a","ig",2018-11-16,73
"a","ig",2018-11-17,3
"a","ig",2018-11-18,20
"a","ig",2018-11-19,3
"a","ig",2018-11-20,1
"a","ig",2018-11-25,1
"a","ig",2018-12-08,1
"a","ig",2018-12-23,1
"a","ig",2018-12-26,1
"a","ig",2019-02-03,1
"a","ig",2019-02-16,1
"a","ig",2019-02-21,7
"a","ig",2019-02-23,28
"a","ig",2019-03-07,4
"a","ig",2019-03-15,8
"a","ig",2019-03-16,13
"a","ig",2019-03-17,4
"a","ig",2019-03-21,1
"a","ig",2019-03-23,2
"a","ig",2019-03-30,1
"a","ig",2019-03-31,3
"a","ig",2019-04-06,12
"a","ig",2019-04-15,6
"a","ig",2019-04-18,2
"a","ig",2019-04-29,5
"a","ig",2019-05-04,4
"a","ig",2019-05-17,1
"a","ig",2019-05-18,2
"a","ig",2019-05-19,4
"a","ig",2019-05-20,4
"a","ig",2019-05-22,1
"a","ig",2019-05-30,1
"a","ig",2019-07-01,3
"a","ig",2019-07-24,9
"a","ig",2019-07-27,1
"a","ig",2019-08-07,11
"a","ig",2019-08-14,1
"a","ig",2019-08-18,1
"a","ig",2019-08-20,6
"a","ig",2019-08-22,10
"a","ig",2019-08-26,4
"a","ig",2019-08-30,1
"a","ig",2019-09-12,3
"a","ig",2019-09-15,6
"a","ig",2019-09-27,4
"a","ig",2019-10-04,15
"a","ig",2019-10-05,1
"a","ig",2019-10-06,3
"a","ig",2019-10-07,2
"a","ig",2019-10-12,20
"a","ig",2019-10-14,10
"a","ig",2019-10-15,9
"a","ig",2019-10-17,1
"a","ig",2019-10-20,60
"a","ig",2019-10-21,2
"a","ig",2019-10-23,7
"a","ig",2019-10-24,3
"a","ig",2019-10-27,64
"a","ig",2019-10-28,10
"a","ig",2019-10-29,9
"a","ig",2019-10-30,1
"a","ig",2019-11-01,2
"a","ig",2019-11-02,3
"a","ig",2019-11-08,5
"a","ig",2019-11-11,1
"a","ig",2019-11-23,2
"a","ig",2019-11-26,41
"a","ig",2019-11-27,6
"a","ig",2019-11-28,2
"a","ig",2019-11-29,1
"a","ig",2019-12-01,3
"a","ig",2019-12-03,1
"a","ig",2019-12-04,7
"a","ig",2019-12-05,3
"a","ig",2019-12-06,4
"a","ig",2019-12-07,2
"a","ig",2019-12-08,6
"a","ig",2019-12-09,1
"a","ig",2019-12-11,63
"a","ig",2019-12-15,1
"a","ig",2019-12-19,4
"a","ig",2019-12-20,4
"a","ig",2019-12-21,21
"a","ig",2019-12-22,50
"a","ig",2019-12-23,81
"a","ig",2019-12-24,5
"a","ig",2019-12-25,7
"a","ig",2019-12-28,12
"a","ig",2019-12-30,2
"a","ig",2020-01-01,4
"a","ig",2020-01-03,17
"a","ig",2020-01-04,2
"a","ig",2020-01-06,7
"a","ig",2020-01-07,3
"a","ig",2020-01-08,2
"a","ig",2020-01-09,14
"a","ig",2020-01-10,1
"a","ig",2020-01-11,2
"a","ig",2020-01-12,1
"a","ig",2020-01-16,2
"a","ig",2020-01-17,3
"a","ig",2020-01-19,2
"a","ig",2020-01-21,1
"a","ig",2020-01-25,167
"a","ig",2020-01-31,1
"a","ig",2020-02-01,1
"a","ig",2020-02-06,9
"a","ig",2020-02-07,12
"a","ig",2020-02-08,8
"a","ig",2020-02-12,2
"a","ig",2020-02-14,1
"a","ig",2020-02-17,1
"a","ig",2020-02-18,1
"a","ig",2020-02-19,2
"a","ig",2020-02-23,5
"a","ig",2020-02-24,2
"a","ig",2020-02-25,10
"a","ig",2020-02-26,12
"a","ig",2020-02-28,39
"a","ig",2020-03-01,34
"a","ig",2020-03-02,7
"a","ig",2020-03-04,4
"a","ig",2020-03-05,2
"a","ig",2020-03-07,3
"a","ig",2020-03-08,6
"a","ig",2020-03-09,3
"a","ig",2020-03-10,24
"a","ig",2020-03-12,2
"a","ig",2020-03-15,2
"a","ig",2020-03-16,24
"a","ig",2020-03-18,16
"a","ig",2020-03-20,7
"a","ig",2020-03-21,1
"a","ig",2020-03-23,1
"a","ig",2020-03-24,1
"a","ig",2020-03-29,1
"a","ig",2020-04-04,1
"a","ig",2020-04-11,1
"a","ig",2020-04-14,2
"a","ig",2020-04-15,3
"a","ig",2020-04-18,9
"a","ig",2020-04-21,1
"a","ig",2020-04-22,7
"a","ig",2020-04-23,10
"a","ig",2020-04-25,1
"a","ig",2020-04-26,2
"a","ig",2020-04-27,1
"a","ig",2020-04-28,3
"a","ig",2020-05-01,1
"a","ig",2020-05-05,1
"a","ig",2020-05-07,7
"a","ig",2020-05-09,2
"a","ig",2020-05-12,5
"a","ig",2020-05-13,11
"a","ig",2020-05-17,1
"a","ig",2020-05-18,2
"a","ig",2020-05-19,2
"a","ig",2020-05-20,4
"a","ig",2020-05-21,1
"a","ig",2020-05-24,13
"a","ig",2020-05-25,4
"a","ig",2020-05-26,5
"a","ig",2020-05-27,3
"a","ig",2020-05-28,1
"a","ig",2020-05-29,38
"a","ig",2020-05-30,2
"a","ig",2020-05-31,16
"a","ig",2020-06-01,14
"a","ig",2020-06-03,1
"a","ig",2020-06-04,1
"a","ig",2020-06-05,4
"a","ig",2020-06-06,2
"a","ig",2020-06-08,7
"a","ig",2020-06-09,1
"a","ig",2020-06-17,1
"a","ig",2020-06-19,3
"a","ig",2020-06-27,1
"a","ig",2020-07-01,1
"a","ig",2020-07-03,3
"a","ig",2020-07-06,8
"a","ig",2020-07-09,41
"a","ig",2020-07-11,1
"a","ig",2020-07-14,3
"a","ig",2020-07-15,7
"a","ig",2020-07-17,2
"a","ig",2020-07-18,7
"a","ig",2020-07-21,15
"a","ig",2020-07-23,31
"a","ig",2020-07-25,23
"a","ig",2020-07-27,8
"a","ig",2020-07-28,2
"a","ig",2020-07-31,1
"a","ig",2020-08-01,1
"a","ig",2020-08-02,8
"a","ig",2020-08-04,2
"a","ig",2020-08-05,7
"a","ig",2020-08-06,4
"a","ig",2020-08-07,2
"a","ig",2020-08-08,4
"a","ig",2020-08-10,3
"a","ig",2020-08-11,24
"a","ig",2020-08-12,5
"a","ig",2020-08-15,3
"a","ig",2020-08-22,1
"a","ig",2020-08-23,2
"a","ig",2020-08-24,15
"a","ig",2020-08-25,3
"a","ig",2020-08-26,5
"a","ig",2020-08-29,3
"a","ig",2020-08-30,4
"a","ig",2020-08-31,48
"a","ig",2020-09-01,3
"a","ig",2020-09-02,4
"a","ig",2020-09-08,16
"a","ig",2020-09-10,3
"a","ig",2020-09-15,1
"a","ig",2020-09-17,2
"a","ig",2020-09-19,35
"a","ig",2020-09-20,11
"a","ig",2020-09-21,2
"a","ig",2020-09-24,4
"a","ig",2020-09-25,1
"a","ig",2020-09-27,1
"a","ig",2020-09-28,1
"a","ig",2020-09-30,17
"a","ig",2020-10-01,114
"a","ig",2020-10-02,10
"a","ig",2020-10-08,90
"a","ig",2020-10-09,3
"a","ig",2020-10-10,2
"a","ig",2020-10-11,16
"a","ig",2020-10-12,1
"a","ig",2020-10-13,5
"a","ig",2020-10-14,24
"a","ig",2020-10-15,22
"a","ig",2020-10-16,4
"a","ig",2020-10-17,21
"a","ig",2020-10-18,1
"a","ig",2020-10-20,2
"a","ig",2020-10-21,31
"a","ig",2020-10-22,4
"a","ig",2020-10-23,6
"a","ig",2020-10-24,4
"a","ig",2020-10-26,4
"a","ig",2020-10-27,1
"a","ig",2020-10-28,6
"a","ig",2020-10-29,27
"a","ig",2020-10-30,8
"a","ig",2020-11-05,4
"a","ig",2020-11-08,5
"a","ig",2020-11-09,11
"a","ig",2020-11-10,3
"a","ig",2020-11-11,21
"a","ig",2020-11-12,6
"a","ig",2020-11-13,2
"a","ig",2020-11-15,1
"a","ig",2020-11-16,4
"a","ig",2020-11-18,8
"a","ig",2020-11-19,4
"a","ig",2020-11-20,7
"a","ig",2020-11-21,1
"a","ig",2020-11-27,5
"a","ig",2020-12-03,7
"a","ig",2020-12-04,22
"a","ig",2020-12-05,2
"a","ig",2020-12-07,1
"a","ig",2020-12-08,1
"a","ig",2020-12-09,6
"a","ig",2020-12-10,2
"a","ig",2020-12-11,27
"a","ig",2020-12-12,9
"a","ig",2020-12-13,2
"a","ig",2020-12-16,4
"a","ig",2020-12-18,15
"a","ig",2020-12-21,22
"a","ig",2020-12-22,11
"a","ig",2020-12-25,5
"a","ig",2020-12-26,2
"a","ig",2020-12-27,8
"a","ig",2020-12-29,5
"a","ig",2020-12-30,7
"a","ig",2021-01-01,2
"a","ig",2021-01-02,2
"a","ig",2021-01-04,4
"a","ig",2021-01-05,3
"a","ig",2021-01-06,1
"a","ig",2021-01-08,2
"a","ig",2021-01-09,20
"a","ig",2021-01-11,4
"a","ig",2021-01-14,1
"a","ig",2021-01-15,1
"a","ig",2021-01-16,11
"a","ig",2021-01-18,6
"a","ig",2021-01-19,3
"a","ig",2021-01-20,4
"a","ig",2021-01-21,2
"a","ig",2021-01-23,1
"a","ig",2021-01-25,4
"a","ig",2021-01-28,1
"a","ig",2021-01-29,1
"a","ig",2021-02-08,1
"a","ig",2021-02-14,1
"a","ig",2021-02-15,5
"a","ig",2021-02-16,3
"a","ig",2021-02-17,11
"a","ig",2021-02-19,14
"a","ig",2021-02-20,10
"a","ig",2021-02-21,1
"a","ig",2021-02-22,7
"a","ig",2021-02-24,4
"a","ig",2021-02-25,8
"a","ig",2021-02-28,2
"a","ig",2021-03-04,3
"a","ig",2021-03-05,20
"a","ig",2021-03-06,7
"a","ig",2021-03-08,4
"a","ig",2021-03-10,11
"a","ig",2021-03-11,2
"a","ig",2021-03-12,5
"a","ig",2021-03-13,1
"a","ig",2021-03-14,7
"a","ig",2021-03-16,2
"a","ig",2021-03-17,1
"a","ig",2021-03-18,1
"a","ig",2021-03-19,3
"a","ig",2021-03-20,1
"a","ig",2021-03-21,2
"a","ig",2021-03-22,2
"a","ig",2021-03-23,59
"a","ig",2021-03-24,11
"a","ig",2021-03-25,11
"a","ig",2021-03-29,11
"a","ig",2021-03-30,1
"a","ig",2021-04-03,3
"a","ig",2021-04-04,59
"a","ig",2021-04-05,10
"a","ig",2021-04-06,4
"a","ig",2021-04-07,66
"a","ig",2021-04-08,13
"a","ig",2021-04-09,163
"a","ig",2021-04-11,2
"a","ig",2021-04-12,8
"a","ig",2021-04-13,25
"a","ig",2021-04-15,20
"a","ig",2021-04-16,19
"a","ig",2021-04-17,13
