date,cases,cartodb_id,province,weekinmonth,monthname,timeframe
2020-01-29,0,9,Yukon,4,January,January-W4
2020-01-29,0,12,Nunavut,4,January,January-W4
2020-01-30,0,4,Alberta,4,January,January-W4
2020-01-30,1,6,British Columbia,4,January,January-W4
2020-01-30,0,10,Manitoba,4,January,January-W4
2020-01-30,0,7,New Brunswick,4,January,January-W4
2020-01-30,0,5,Newfoundland and Labrador,4,January,January-W4
2020-01-30,0,13,Northwest Territories,4,January,January-W4
2020-01-30,0,2,Nova Scotia,4,January,January-W4
2020-01-30,1,11,Ontario,4,January,January-W4
2020-01-30,0,8,Prince Edward Island,4,January,January-W4
2020-01-30,0,1,Quebec,4,January,January-W4
2020-01-30,0,3,Saskatchewan,4,January,January-W4
2020-01-30,0,9,Yukon,4,January,January-W4
2020-01-30,0,12,Nunavut,4,January,January-W4
2020-01-31,0,4,Alberta,4,January,January-W4
2020-01-31,1,6,British Columbia,4,January,January-W4
2020-01-31,0,10,Manitoba,4,January,January-W4
2020-01-31,0,7,New Brunswick,4,January,January-W4
2020-01-31,0,5,Newfoundland and Labrador,4,January,January-W4
2020-01-31,0,13,Northwest Territories,4,January,January-W4
2020-01-31,0,2,Nova Scotia,4,January,January-W4
2020-01-31,3,11,Ontario,4,January,January-W4
2020-01-31,0,8,Prince Edward Island,4,January,January-W4
2020-01-31,0,1,Quebec,4,January,January-W4
2020-01-31,0,3,Saskatchewan,4,January,January-W4
2020-01-31,0,9,Yukon,4,January,January-W4
2020-01-31,0,12,Nunavut,4,January,January-W4
2020-02-01,0,4,Alberta,1,February,February-W1
2020-02-01,1,6,British Columbia,1,February,February-W1
2020-02-01,0,10,Manitoba,1,February,February-W1
2020-02-01,0,7,New Brunswick,1,February,February-W1
2020-02-01,0,5,Newfoundland and Labrador,1,February,February-W1
2020-02-01,0,13,Northwest Territories,1,February,February-W1
2020-02-01,0,2,Nova Scotia,1,February,February-W1
2020-02-01,3,11,Ontario,1,February,February-W1
2020-02-01,0,8,Prince Edward Island,1,February,February-W1
2020-02-01,0,1,Quebec,1,February,February-W1
2020-02-01,0,3,Saskatchewan,1,February,February-W1
2020-02-01,0,9,Yukon,1,February,February-W1
2020-02-01,0,12,Nunavut,1,February,February-W1
2020-02-02,0,4,Alberta,1,February,February-W1
2020-02-02,1,6,British Columbia,1,February,February-W1
2020-02-02,0,10,Manitoba,1,February,February-W1
2020-02-02,0,7,New Brunswick,1,February,February-W1
2020-02-02,0,5,Newfoundland and Labrador,1,February,February-W1
2020-02-02,0,13,Northwest Territories,1,February,February-W1
2020-02-02,0,2,Nova Scotia,1,February,February-W1
2020-02-02,3,11,Ontario,1,February,February-W1
2020-02-02,0,8,Prince Edward Island,1,February,February-W1
2020-02-02,0,1,Quebec,1,February,February-W1
2020-02-02,0,3,Saskatchewan,1,February,February-W1
2020-02-02,0,9,Yukon,1,February,February-W1
2020-02-02,0,12,Nunavut,1,February,February-W1
2020-02-03,0,4,Alberta,1,February,February-W1
2020-02-03,1,6,British Columbia,1,February,February-W1
2020-02-03,0,10,Manitoba,1,February,February-W1
2020-02-03,0,7,New Brunswick,1,February,February-W1
2020-02-03,0,5,Newfoundland and Labrador,1,February,February-W1
2020-02-03,0,13,Northwest Territories,1,February,February-W1
2020-02-03,0,2,Nova Scotia,1,February,February-W1
2020-02-03,3,11,Ontario,1,February,February-W1
2020-02-03,0,8,Prince Edward Island,1,February,February-W1
2020-02-03,0,1,Quebec,1,February,February-W1
2020-02-03,0,3,Saskatchewan,1,February,February-W1
2020-02-03,0,9,Yukon,1,February,February-W1
2020-02-03,0,12,Nunavut,1,February,February-W1
2020-02-04,0,4,Alberta,1,February,February-W1
2020-02-04,1,6,British Columbia,1,February,February-W1
2020-02-04,0,10,Manitoba,1,February,February-W1
2020-02-04,0,7,New Brunswick,1,February,February-W1
2020-02-04,0,5,Newfoundland and Labrador,1,February,February-W1
2020-02-04,0,13,Northwest Territories,1,February,February-W1
2020-02-04,0,2,Nova Scotia,1,February,February-W1
2020-02-04,3,11,Ontario,1,February,February-W1
2020-02-04,0,8,Prince Edward Island,1,February,February-W1
2020-02-04,0,1,Quebec,1,February,February-W1
2020-02-04,0,3,Saskatchewan,1,February,February-W1
2020-02-04,0,9,Yukon,1,February,February-W1
2020-02-04,0,12,Nunavut,1,February,February-W1
2020-02-05,0,4,Alberta,1,February,February-W1
2020-02-05,2,6,British Columbia,1,February,February-W1
2020-02-05,0,10,Manitoba,1,February,February-W1
2020-02-05,0,7,New Brunswick,1,February,February-W1
2020-02-05,0,5,Newfoundland and Labrador,1,February,February-W1
2020-02-05,0,13,Northwest Territories,1,February,February-W1
2020-02-05,0,2,Nova Scotia,1,February,February-W1
2020-02-05,3,11,Ontario,1,February,February-W1
2020-02-05,0,8,Prince Edward Island,1,February,February-W1
2020-02-05,0,1,Quebec,1,February,February-W1
2020-02-05,0,3,Saskatchewan,1,February,February-W1
2020-02-05,0,9,Yukon,1,February,February-W1
2020-02-05,0,12,Nunavut,1,February,February-W1
2020-02-06,0,4,Alberta,1,February,February-W1
2020-02-06,2,6,British Columbia,1,February,February-W1
2020-02-06,0,10,Manitoba,1,February,February-W1
2020-02-06,0,7,New Brunswick,1,February,February-W1
2020-02-06,0,5,Newfoundland and Labrador,1,February,February-W1
2020-02-06,0,13,Northwest Territories,1,February,February-W1
2020-02-06,0,2,Nova Scotia,1,February,February-W1
2020-02-06,3,11,Ontario,1,February,February-W1
2020-02-06,0,8,Prince Edward Island,1,February,February-W1
2020-02-06,0,1,Quebec,1,February,February-W1
2020-02-06,0,3,Saskatchewan,1,February,February-W1
2020-02-06,0,9,Yukon,1,February,February-W1
2020-02-06,0,12,Nunavut,1,February,February-W1
2020-02-07,0,4,Alberta,1,February,February-W1
2020-02-07,4,6,British Columbia,1,February,February-W1
2020-02-07,0,10,Manitoba,1,February,February-W1
2020-02-07,0,7,New Brunswick,1,February,February-W1
2020-02-07,0,5,Newfoundland and Labrador,1,February,February-W1
2020-02-07,0,13,Northwest Territories,1,February,February-W1
2020-02-07,0,2,Nova Scotia,1,February,February-W1
2020-02-07,3,11,Ontario,1,February,February-W1
2020-02-07,0,8,Prince Edward Island,1,February,February-W1
2020-02-07,0,1,Quebec,1,February,February-W1
2020-02-07,0,3,Saskatchewan,1,February,February-W1
2020-02-07,0,9,Yukon,1,February,February-W1
2020-02-07,0,12,Nunavut,1,February,February-W1
2020-02-08,0,4,Alberta,2,February,February-W2
2020-02-08,4,6,British Columbia,2,February,February-W2
2020-02-08,0,10,Manitoba,2,February,February-W2
2020-02-08,0,7,New Brunswick,2,February,February-W2
2020-02-08,0,5,Newfoundland and Labrador,2,February,February-W2
2020-02-08,0,13,Northwest Territories,2,February,February-W2
2020-02-08,0,2,Nova Scotia,2,February,February-W2
2020-02-08,3,11,Ontario,2,February,February-W2
2020-02-08,0,8,Prince Edward Island,2,February,February-W2
2020-02-08,0,1,Quebec,2,February,February-W2
2020-02-08,0,3,Saskatchewan,2,February,February-W2
2020-02-08,0,9,Yukon,2,February,February-W2
2020-02-08,0,12,Nunavut,2,February,February-W2
2020-02-09,0,4,Alberta,2,February,February-W2
2020-02-09,4,6,British Columbia,2,February,February-W2
2020-02-09,0,10,Manitoba,2,February,February-W2
2020-02-09,0,7,New Brunswick,2,February,February-W2
2020-02-09,0,5,Newfoundland and Labrador,2,February,February-W2
2020-02-09,0,13,Northwest Territories,2,February,February-W2
2020-02-09,0,2,Nova Scotia,2,February,February-W2
2020-02-09,3,11,Ontario,2,February,February-W2
2020-02-09,0,8,Prince Edward Island,2,February,February-W2
2020-02-09,0,1,Quebec,2,February,February-W2
2020-02-09,0,3,Saskatchewan,2,February,February-W2
2020-02-09,0,9,Yukon,2,February,February-W2
2020-02-09,0,12,Nunavut,2,February,February-W2
2020-02-10,0,4,Alberta,2,February,February-W2
2020-02-10,4,6,British Columbia,2,February,February-W2
2020-02-10,0,10,Manitoba,2,February,February-W2
2020-02-10,0,7,New Brunswick,2,February,February-W2
2020-02-10,0,5,Newfoundland and Labrador,2,February,February-W2
2020-02-10,0,13,Northwest Territories,2,February,February-W2
2020-02-10,0,2,Nova Scotia,2,February,February-W2
2020-02-10,3,11,Ontario,2,February,February-W2
2020-02-10,0,8,Prince Edward Island,2,February,February-W2
2020-02-10,0,1,Quebec,2,February,February-W2
2020-02-10,0,3,Saskatchewan,2,February,February-W2
2020-02-10,0,9,Yukon,2,February,February-W2
2020-02-10,0,12,Nunavut,2,February,February-W2
2020-02-11,0,4,Alberta,2,February,February-W2
2020-02-11,4,6,British Columbia,2,February,February-W2
2020-02-11,0,10,Manitoba,2,February,February-W2
2020-02-11,0,7,New Brunswick,2,February,February-W2
2020-02-11,0,5,Newfoundland and Labrador,2,February,February-W2
2020-02-11,0,13,Northwest Territories,2,February,February-W2
2020-02-11,0,2,Nova Scotia,2,February,February-W2
2020-02-11,3,11,Ontario,2,February,February-W2
2020-02-11,0,8,Prince Edward Island,2,February,February-W2
2020-02-11,0,1,Quebec,2,February,February-W2
2020-02-11,0,3,Saskatchewan,2,February,February-W2
2020-02-11,0,9,Yukon,2,February,February-W2
2020-02-11,0,12,Nunavut,2,February,February-W2
2020-02-12,0,4,Alberta,2,February,February-W2
2020-02-12,4,6,British Columbia,2,February,February-W2
2020-02-12,0,10,Manitoba,2,February,February-W2
2020-02-12,0,7,New Brunswick,2,February,February-W2
2020-02-12,0,5,Newfoundland and Labrador,2,February,February-W2
2020-02-12,0,13,Northwest Territories,2,February,February-W2
2020-02-12,0,2,Nova Scotia,2,February,February-W2
2020-02-12,3,11,Ontario,2,February,February-W2
2020-02-12,0,8,Prince Edward Island,2,February,February-W2
2020-02-12,0,1,Quebec,2,February,February-W2
2020-02-12,0,3,Saskatchewan,2,February,February-W2
2020-02-12,0,9,Yukon,2,February,February-W2
2020-02-12,0,12,Nunavut,2,February,February-W2
2020-02-13,0,4,Alberta,2,February,February-W2
2020-02-13,4,6,British Columbia,2,February,February-W2
2020-02-13,0,10,Manitoba,2,February,February-W2
2020-02-13,0,7,New Brunswick,2,February,February-W2
2020-02-13,0,5,Newfoundland and Labrador,2,February,February-W2
2020-02-13,0,13,Northwest Territories,2,February,February-W2
2020-02-13,0,2,Nova Scotia,2,February,February-W2
2020-02-13,3,11,Ontario,2,February,February-W2
2020-02-13,0,8,Prince Edward Island,2,February,February-W2
2020-02-13,0,1,Quebec,2,February,February-W2
2020-02-13,0,3,Saskatchewan,2,February,February-W2
2020-02-13,0,9,Yukon,2,February,February-W2
2020-02-13,0,12,Nunavut,2,February,February-W2
2020-02-14,0,4,Alberta,2,February,February-W2
2020-02-14,4,6,British Columbia,2,February,February-W2
2020-02-14,0,10,Manitoba,2,February,February-W2
2020-02-14,0,7,New Brunswick,2,February,February-W2
2020-02-14,0,5,Newfoundland and Labrador,2,February,February-W2
2020-02-14,0,13,Northwest Territories,2,February,February-W2
2020-02-14,0,2,Nova Scotia,2,February,February-W2
2020-02-14,3,11,Ontario,2,February,February-W2
2020-02-14,0,8,Prince Edward Island,2,February,February-W2
2020-02-14,0,1,Quebec,2,February,February-W2
2020-02-14,0,3,Saskatchewan,2,February,February-W2
2020-02-14,0,9,Yukon,2,February,February-W2
2020-02-14,0,12,Nunavut,2,February,February-W2
2020-02-15,0,4,Alberta,3,February,February-W3
2020-02-15,4,6,British Columbia,3,February,February-W3
2020-02-15,0,10,Manitoba,3,February,February-W3
2020-02-15,0,7,New Brunswick,3,February,February-W3
2020-02-15,0,5,Newfoundland and Labrador,3,February,February-W3
2020-02-15,0,13,Northwest Territories,3,February,February-W3
2020-02-15,0,2,Nova Scotia,3,February,February-W3
2020-02-15,3,11,Ontario,3,February,February-W3
2020-02-15,0,8,Prince Edward Island,3,February,February-W3
2020-02-15,0,1,Quebec,3,February,February-W3
2020-02-15,0,3,Saskatchewan,3,February,February-W3
2020-02-15,0,9,Yukon,3,February,February-W3
2020-02-15,0,12,Nunavut,3,February,February-W3
2020-02-16,0,4,Alberta,3,February,February-W3
2020-02-16,4,6,British Columbia,3,February,February-W3
2020-02-16,0,10,Manitoba,3,February,February-W3
2020-02-16,0,7,New Brunswick,3,February,February-W3
2020-02-16,0,5,Newfoundland and Labrador,3,February,February-W3
2020-02-16,0,13,Northwest Territories,3,February,February-W3
2020-02-16,0,2,Nova Scotia,3,February,February-W3
2020-02-16,3,11,Ontario,3,February,February-W3
2020-02-16,0,8,Prince Edward Island,3,February,February-W3
2020-02-16,0,1,Quebec,3,February,February-W3
2020-02-16,0,3,Saskatchewan,3,February,February-W3
2020-02-16,0,9,Yukon,3,February,February-W3
2020-02-16,0,12,Nunavut,3,February,February-W3
2020-02-17,0,4,Alberta,3,February,February-W3
2020-02-17,5,6,British Columbia,3,February,February-W3
2020-02-17,0,10,Manitoba,3,February,February-W3
2020-02-17,0,7,New Brunswick,3,February,February-W3
2020-02-17,0,5,Newfoundland and Labrador,3,February,February-W3
2020-02-17,0,13,Northwest Territories,3,February,February-W3
2020-02-17,0,2,Nova Scotia,3,February,February-W3
2020-02-17,3,11,Ontario,3,February,February-W3
2020-02-17,0,8,Prince Edward Island,3,February,February-W3
2020-02-17,0,1,Quebec,3,February,February-W3
2020-02-17,0,3,Saskatchewan,3,February,February-W3
2020-02-17,0,9,Yukon,3,February,February-W3
2020-02-17,0,12,Nunavut,3,February,February-W3
2020-02-18,0,4,Alberta,3,February,February-W3
2020-02-18,5,6,British Columbia,3,February,February-W3
2020-02-18,0,10,Manitoba,3,February,February-W3
2020-02-18,0,7,New Brunswick,3,February,February-W3
2020-02-18,0,5,Newfoundland and Labrador,3,February,February-W3
2020-02-18,0,13,Northwest Territories,3,February,February-W3
2020-02-18,0,2,Nova Scotia,3,February,February-W3
2020-02-18,3,11,Ontario,3,February,February-W3
2020-02-18,0,8,Prince Edward Island,3,February,February-W3
2020-02-18,0,1,Quebec,3,February,February-W3
2020-02-18,0,3,Saskatchewan,3,February,February-W3
2020-02-18,0,9,Yukon,3,February,February-W3
2020-02-18,0,12,Nunavut,3,February,February-W3
2020-02-19,0,4,Alberta,3,February,February-W3
2020-02-19,5,6,British Columbia,3,February,February-W3
2020-02-19,0,10,Manitoba,3,February,February-W3
2020-02-19,0,7,New Brunswick,3,February,February-W3
2020-02-19,0,5,Newfoundland and Labrador,3,February,February-W3
2020-02-19,0,13,Northwest Territories,3,February,February-W3
2020-02-19,0,2,Nova Scotia,3,February,February-W3
2020-02-19,3,11,Ontario,3,February,February-W3
2020-02-19,0,8,Prince Edward Island,3,February,February-W3
2020-02-19,0,1,Quebec,3,February,February-W3
2020-02-19,0,3,Saskatchewan,3,February,February-W3
2020-02-19,0,9,Yukon,3,February,February-W3
2020-02-19,0,12,Nunavut,3,February,February-W3
2020-02-20,0,4,Alberta,3,February,February-W3
2020-02-20,5,6,British Columbia,3,February,February-W3
2020-02-20,0,10,Manitoba,3,February,February-W3
2020-02-20,0,7,New Brunswick,3,February,February-W3
2020-02-20,0,5,Newfoundland and Labrador,3,February,February-W3
2020-02-20,0,13,Northwest Territories,3,February,February-W3
2020-02-20,0,2,Nova Scotia,3,February,February-W3
2020-02-20,3,11,Ontario,3,February,February-W3
2020-02-20,0,8,Prince Edward Island,3,February,February-W3
2020-02-20,0,1,Quebec,3,February,February-W3
2020-02-20,0,3,Saskatchewan,3,February,February-W3
2020-02-20,0,9,Yukon,3,February,February-W3
2020-02-20,0,12,Nunavut,3,February,February-W3
2020-02-21,0,4,Alberta,3,February,February-W3
2020-02-21,6,6,British Columbia,3,February,February-W3
2020-02-21,0,10,Manitoba,3,February,February-W3
2020-02-21,0,7,New Brunswick,3,February,February-W3
2020-02-21,0,5,Newfoundland and Labrador,3,February,February-W3
2020-02-21,0,13,Northwest Territories,3,February,February-W3
2020-02-21,0,2,Nova Scotia,3,February,February-W3
2020-02-21,3,11,Ontario,3,February,February-W3
2020-02-21,0,8,Prince Edward Island,3,February,February-W3
2020-02-21,0,1,Quebec,3,February,February-W3
2020-02-21,0,3,Saskatchewan,3,February,February-W3
2020-02-21,0,9,Yukon,3,February,February-W3
2020-02-21,0,12,Nunavut,3,February,February-W3
2020-02-22,0,4,Alberta,4,February,February-W4
2020-02-22,6,6,British Columbia,4,February,February-W4
2020-02-22,0,10,Manitoba,4,February,February-W4
2020-02-22,0,7,New Brunswick,4,February,February-W4
2020-02-22,0,5,Newfoundland and Labrador,4,February,February-W4
2020-02-22,0,13,Northwest Territories,4,February,February-W4
2020-02-22,0,2,Nova Scotia,4,February,February-W4
2020-02-22,3,11,Ontario,4,February,February-W4
2020-02-22,0,8,Prince Edward Island,4,February,February-W4
2020-02-22,0,1,Quebec,4,February,February-W4
2020-02-22,0,3,Saskatchewan,4,February,February-W4
2020-02-22,0,9,Yukon,4,February,February-W4
2020-02-22,0,12,Nunavut,4,February,February-W4
2020-02-23,0,4,Alberta,4,February,February-W4
2020-02-23,6,6,British Columbia,4,February,February-W4
2020-02-23,0,10,Manitoba,4,February,February-W4
2020-02-23,0,7,New Brunswick,4,February,February-W4
2020-02-23,0,5,Newfoundland and Labrador,4,February,February-W4
2020-02-23,0,13,Northwest Territories,4,February,February-W4
2020-02-23,0,2,Nova Scotia,4,February,February-W4
2020-02-23,3,11,Ontario,4,February,February-W4
2020-02-23,0,8,Prince Edward Island,4,February,February-W4
2020-02-23,0,1,Quebec,4,February,February-W4
2020-02-23,0,3,Saskatchewan,4,February,February-W4
2020-02-23,0,9,Yukon,4,February,February-W4
2020-02-23,0,12,Nunavut,4,February,February-W4
2020-02-24,0,4,Alberta,4,February,February-W4
2020-02-24,6,6,British Columbia,4,February,February-W4
2020-02-24,0,10,Manitoba,4,February,February-W4
2020-02-24,0,7,New Brunswick,4,February,February-W4
2020-02-24,0,5,Newfoundland and Labrador,4,February,February-W4
2020-02-24,0,13,Northwest Territories,4,February,February-W4
2020-02-24,0,2,Nova Scotia,4,February,February-W4
2020-02-24,4,11,Ontario,4,February,February-W4
2020-02-24,0,8,Prince Edward Island,4,February,February-W4
2020-02-24,0,1,Quebec,4,February,February-W4
2020-02-24,0,3,Saskatchewan,4,February,February-W4
2020-02-24,0,9,Yukon,4,February,February-W4
2020-02-24,0,12,Nunavut,4,February,February-W4
2020-02-25,0,4,Alberta,4,February,February-W4
2020-02-25,7,6,British Columbia,4,February,February-W4
2020-02-25,0,10,Manitoba,4,February,February-W4
2020-02-25,0,7,New Brunswick,4,February,February-W4
2020-02-25,0,5,Newfoundland and Labrador,4,February,February-W4
2020-02-25,0,13,Northwest Territories,4,February,February-W4
2020-02-25,0,2,Nova Scotia,4,February,February-W4
2020-02-25,4,11,Ontario,4,February,February-W4
2020-02-25,0,8,Prince Edward Island,4,February,February-W4
2020-02-25,0,1,Quebec,4,February,February-W4
2020-02-25,0,3,Saskatchewan,4,February,February-W4
2020-02-25,0,9,Yukon,4,February,February-W4
2020-02-25,0,12,Nunavut,4,February,February-W4
2020-02-26,0,4,Alberta,4,February,February-W4
2020-02-26,7,6,British Columbia,4,February,February-W4
2020-02-26,0,10,Manitoba,4,February,February-W4
2020-02-26,0,7,New Brunswick,4,February,February-W4
2020-02-26,0,5,Newfoundland and Labrador,4,February,February-W4
2020-02-26,0,13,Northwest Territories,4,February,February-W4
2020-02-26,0,2,Nova Scotia,4,February,February-W4
2020-02-26,4,11,Ontario,4,February,February-W4
2020-02-26,0,8,Prince Edward Island,4,February,February-W4
2020-02-26,0,1,Quebec,4,February,February-W4
2020-02-26,0,3,Saskatchewan,4,February,February-W4
2020-02-26,0,9,Yukon,4,February,February-W4
2020-02-26,0,12,Nunavut,4,February,February-W4
2020-02-27,0,4,Alberta,4,February,February-W4
2020-02-27,7,6,British Columbia,4,February,February-W4
2020-02-27,0,10,Manitoba,4,February,February-W4
2020-02-27,0,7,New Brunswick,4,February,February-W4
2020-02-27,0,5,Newfoundland and Labrador,4,February,February-W4
2020-02-27,0,13,Northwest Territories,4,February,February-W4
2020-02-27,0,2,Nova Scotia,4,February,February-W4
2020-02-27,6,11,Ontario,4,February,February-W4
2020-02-27,0,8,Prince Edward Island,4,February,February-W4
2020-02-27,0,1,Quebec,4,February,February-W4
2020-02-27,0,3,Saskatchewan,4,February,February-W4
2020-02-27,0,9,Yukon,4,February,February-W4
2020-02-27,0,12,Nunavut,4,February,February-W4
2020-02-28,0,4,Alberta,4,February,February-W4
2020-02-28,7,6,British Columbia,4,February,February-W4
2020-02-28,0,10,Manitoba,4,February,February-W4
2020-02-28,0,7,New Brunswick,4,February,February-W4
2020-02-28,0,5,Newfoundland and Labrador,4,February,February-W4
2020-02-28,0,13,Northwest Territories,4,February,February-W4
2020-02-28,0,2,Nova Scotia,4,February,February-W4
2020-02-28,6,11,Ontario,4,February,February-W4
2020-02-28,0,8,Prince Edward Island,4,February,February-W4
2020-02-28,1,1,Quebec,4,February,February-W4
2020-02-28,0,3,Saskatchewan,4,February,February-W4
2020-02-28,0,9,Yukon,4,February,February-W4
2020-02-28,0,12,Nunavut,4,February,February-W4
2020-02-29,0,4,Alberta,4,February,February-W4
2020-02-29,8,6,British Columbia,4,February,February-W4
2020-02-29,0,10,Manitoba,4,February,February-W4
2020-02-29,0,7,New Brunswick,4,February,February-W4
2020-02-29,0,5,Newfoundland and Labrador,4,February,February-W4
2020-02-29,0,13,Northwest Territories,4,February,February-W4
2020-02-29,0,2,Nova Scotia,4,February,February-W4
2020-02-29,11,11,Ontario,4,February,February-W4
2020-02-29,0,8,Prince Edward Island,4,February,February-W4
2020-02-29,1,1,Quebec,4,February,February-W4
2020-02-29,0,3,Saskatchewan,4,February,February-W4
2020-02-29,0,9,Yukon,4,February,February-W4
2020-02-29,0,12,Nunavut,4,February,February-W4
2020-03-01,0,4,Alberta,1,March,March-W1
2020-03-01,8,6,British Columbia,1,March,March-W1
2020-03-01,0,10,Manitoba,1,March,March-W1
2020-03-01,0,7,New Brunswick,1,March,March-W1
2020-03-01,0,5,Newfoundland and Labrador,1,March,March-W1
2020-03-01,0,13,Northwest Territories,1,March,March-W1
2020-03-01,0,2,Nova Scotia,1,March,March-W1
2020-03-01,15,11,Ontario,1,March,March-W1
2020-03-01,0,8,Prince Edward Island,1,March,March-W1
2020-03-01,1,1,Quebec,1,March,March-W1
