Year,Earnings,NumberOfGames
2007,"$<5K",40
2007,"$5K-10K",20
2007,"$10K-50K",24
2007,"$50K-100K",15
2007,"$100K-250K",0
2007,"$>250K",0
2008,"$<5K",20
2008,"$5K-10K",25
2008,"$10K-50K",53
2008,"$50K-100K",30
2008,"$100K-250K",20
2008,"$>250K",30
2009,"$<5K",30
2009,"$5K-10K",30
2009,"$10K-50K",60
2009,"$50K-100K",50
2009,"$100K-250K",0
2009,"$>250K",35
2010,"$<5K",40
2010,"$5K-10K",40
2010,"$10K-50K",40
2010,"$50K-100K",60
2010,"$100K-250K",40
2010,"$>250K",40
2011,"$<5K",40
2011,"$5K-10K",40
2011,"$10K-50K",40
2011,"$50K-100K",60
2011,"$100K-250K",40
2011,"$>250K",40
2012,"$<5K",150
2012,"$5K-10K",0
2012,"$10K-50K",60
2012,"$50K-100K",50
2012,"$100K-250K",40
2012,"$>250K",30
2013,"$<5K",150
2013,"$5K-10K",30
2013,"$10K-50K",130
2013,"$50K-100K",30
2013,"$100K-250K",30
2013,"$>250K",60
2014,"$<5K",450
2014,"$5K-10K",150
2014,"$10K-50K",420
2014,"$50K-100K",40
2014,"$100K-250K",60
2014,"$>250K",100
2015,"$<5K",1450
2015,"$5K-10K",200
2015,"$10K-50K",370
2015,"$50K-100K",40
2015,"$100K-250K",70
2015,"$>250K",120
2016,"$<5K",2950
2016,"$5K-10K",200
2016,"$10K-50K",400
2016,"$50K-100K",140
2016,"$100K-250K",140
2016,"$>250K",160
2017,"$<5K",4500
2017,"$5K-10K",350
2017,"$10K-50K",450
2017,"$50K-100K",170
2017,"$100K-250K",170
2017,"$>250K",220
2018,"$<5K",6300
2018,"$5K-10K",300
2018,"$10K-50K",600
2018,"$50K-100K",140
2018,"$100K-250K",100
2018,"$>250K",80
2019,"$<5K",6000
2019,"$5K-10K",300
2019,"$10K-50K",600
2019,"$50K-100K",150
2019,"$100K-250K",100
2019,"$>250K",220
