"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","64.152","64.537","64.752","65.132","65.294","65.502","66.063","66.439","66.757","67.168","67.583","67.975","68.577","69.092","69.503","69.762","70.035","70.264","70.494","70.778","71.066","71.722","71.959","72.105","72.251","72.388","72.462","72.789","73.047","73.023","73.076","73.1","73.179","73.225","73.272","73.349","73.448","73.452","73.491","73.561","73.569","73.647","73.726","73.752","73.576","73.811","74.026","74.21","74.147","74.56","75.404","75.465","75.531","75.636","75.601","75.683","75.617","75.903","76.072","76.248","75.723","74.626","",
"Africa Eastern and Southern","AFE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","44.0855518454965","44.386696928982","44.7521818697994","44.9131593023895","45.4790430350926","45.4983377851245","45.249104629175","45.9249050028634","46.2230965735857","46.4323030920124","46.7184845197579","47.1929422628056","46.8973892484582","47.6923174333564","47.5980637543936","47.7598869102852","48.3495880515137","48.6359051941044","48.7636045995518","49.261335737194","49.6365376633939","50.0570732913929","50.2968491379812","48.7033305923076","48.6526645552392","49.0116307202704","49.6397190079537","50.0758875408274","49.3597265265243","50.6840997852884","50.6077275337211","50.3904596093263","49.9621136475362","50.2736279712378","50.882581820857","51.0019252899341","50.8106889705148","50.9742313589474","50.3259127442221","51.2378519083819","51.9644813247726","52.1896482143331","52.540794004192","53.0220345898659","53.5454571098034","54.2196508058581","55.1505461100496","55.9338017149142","56.6804188973962","57.6208515442432","58.4111497501441","59.2932713889337","60.0507802468673","60.7098695610582","61.3379174832409","61.8564581403595","62.444050201953","62.9223896233502","63.3658626111831","63.7556779176533","63.313860330682","62.4545896453864","",
"Afghanistan","AFG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","32.535","33.068","33.547","34.016","34.494","34.953","35.453","35.924","36.418","36.91","37.418","37.923","38.444","39.003","39.55","40.1","40.645","41.228","40.271","39.086","39.618","40.164","37.766","38.187","33.329","33.55","39.396","39.844","43.958","45.158","45.967","46.663","47.596","51.466","51.495","52.544","53.243","53.634","52.943","54.846","55.298","55.798","56.454","57.344","57.944","58.361","58.684","59.111","59.852","60.364","60.851","61.419","61.923","62.417","62.545","62.659","63.136","63.016","63.081","63.565","62.575","61.982","",
"Africa Western and Central","AFW","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","37.8451516181524","38.1649497795417","38.7351018609467","39.0637152759625","39.3353602545353","39.6180376955522","39.8378269884933","39.4715000612072","40.0856789209301","40.350420384534","41.0347613835006","41.5567211054069","42.2497926046538","42.855047105512","43.4976836506848","44.201253848732","45.0031631429919","45.7198894946875","46.269535088376","46.6737358706341","47.0152387693495","47.2971899672045","47.529378486773","47.7852622311657","47.9319203796927","48.0216757263597","48.0667637335486","48.2378522324172","48.5129131210586","48.6898474133953","48.6500033905016","48.6624610142838","48.7372663398837","48.8320388374723","48.6818922948796","48.7837728532269","48.9062773288063","49.0791837660659","49.3329492370093","49.7501167734063","50.221953875359","50.565144130827","50.9278483335328","51.4033564775689","51.8191317940034","52.3445512272646","52.8321256822206","53.2517115680003","53.6411646755364","54.1594208389292","54.550169165108","55.0131378935872","55.3405609869972","55.673405514134","55.9222289908432","56.1958723463673","56.5816784850503","56.888445830282","57.1891392680655","57.5557955517512","57.2263727312399","56.9886567820139","",
"Angola","AGO","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","38.211","37.267","37.539","37.824","38.131","38.495","38.757","39.092","39.484","39.829","40.19","40.554","40.905","41.27","41.652","41.191","41.163","41.437","41.83","42.175","42.449","42.772","43.051","42.092","42.353","42.648","42.843","40.917","41.545","41.765","41.893","43.813","42.209","42.101","43.422","45.849","46.033","46.306","45.057","45.386","46.024","46.59","47.386","49.617","50.592","51.57","52.369","53.642","54.633","55.752","56.726","57.596","58.623","59.307","60.04","60.655","61.092","61.68","62.144","62.448","62.261","61.643","",
"Albania","ALB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","54.439","55.634","56.671","57.844","58.983","60.019","60.998","61.972","62.946","63.923","64.824","65.618","66.422","67.14","67.769","68.328","68.704","69.121","69.309","69.584","70.478","70.73","71.023","71.296","71.502","71.656","71.95","72.352","72.641","72.88","73.144","73.378","73.715","73.939","74.131","74.362","74.592","73.904","74.99","75.183","75.404","75.639","75.89","76.142","76.376","76.621","76.816","77.549","77.653","77.781","77.936","78.092","78.064","78.123","78.407","78.644","78.86","79.047","79.184","79.282","76.989","76.463","",
"Andorra","AND","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","44.9728986516699","45.6764014974966","46.1225758452874","46.9724717064668","47.8957584564187","48.2321074069176","48.4570727765873","48.9129111912359","49.4451195213096","49.8222358235972","50.3513431813729","51.2964239316846","51.8644579883301","52.5396833939872","53.1944445309797","53.7098580176017","54.0475335901867","55.3614703416697","56.1121734938276","56.8262923498942","57.3023723911735","57.6929294718002","58.0547979155265","58.7873684326001","59.4789758770802","60.2157367895158","61.221262328173","61.1697117293025","60.6090252981795","62.4811436568143","62.9279670329527","63.1796143554706","63.4744102104117","64.4583214725986","65.4967268722014","65.3497833303777","65.7184045229791","65.9944194002087","65.8077067945681","66.8767273195947","67.2973312552373","67.6316805976471","67.9355701632582","67.8590028335005","67.8959120441891","68.1626821796793","68.5672496118008","68.9286803660228","69.2864272940476","69.8126377043771","70.0412535714543","70.2615198130023","70.1804605984523","70.1965137101308","70.4926288711295","70.7582222288211","70.9430622781923","71.4295960025113","71.6330166549463","71.8446260250446","70.9233595872331","70.814483021063","",
"United Arab Emirates","ARE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","48.811","49.695","50.686","51.584","52.848","53.985","55.185","56.339","57.54","58.76","60.021","61.211","62.304","63.351","64.338","65.08","65.82","66.514","67.209","67.846","68.53","69.085","69.66","69.949","70.485","70.747","70.964","71.491","71.606","71.757","71.9","72.241","72.306","72.521","72.598","72.695","72.767","72.937","73.066","73.67","74.38","74.636","74.901","76.222","76.453","76.683","76.909","77.129","77.488","78.003","78.334","78.517","78.716","78.853","79.044","79.223","79.335","79.504","79.627","79.726","78.946","78.71","",
"Argentina","ARG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","63.978","64.36","64.244","64.449","64.363","64.593","64.891","64.992","64.89","64.859","65.589","65.541","65.923","66.323","66.563","67.081","67.228","67.861","68.197","68.491","68.564","68.976","68.937","69.267","69.195","69.651","70.119","70.564","71.052","71.425","71.784","72.319","72.43","72.565","73.172","73.133","73.307","73.09","73.474","73.722","73.926","74.186","74.408","74.08","74.855","75.139","75.433","75.006","75.641","75.936","75.721","76.124","76.467","76.491","76.755","76.76","76.308","76.833","76.999","77.284","75.892","75.39","",
