Date,City,State,Dead,Injured,Total,Description
11-07-2022,Riverside,Santa Ana,2,3,5,"Two men robbed six 7-Eleven stores and a Yum-Yum Donuts at gunpoint across Southern California during the early morning hours on ""7-Eleven Day"". During the robberies, one of the men shot five people at four of the convenience stores, two of whom died. The man who opened fire is also accused of murdering a homeless man in the North Hills neighborhood of Los Angeles two days earlier."
10-07-2022,Kansas City,Missouri,1,5,6,A shootout between several gunmen and three off-duty police officers working security at a bar just outside it left one dead and five others injured.
10-07-2022,New York City,New York,0,5,5,Five people were shot while on the Coney Island boardwalk in Brooklyn.
10-07-2022,Chicago,Illinois,0,4,4,Four people were shot near a bar in the Near North Side neighborhood during the early morning hours.
10-07-2022,Houghton Lake,Michigan,4,0,4,"A man shot his wife, mother-in-law, and teenage son before fatally shooting himself at their home."
10-07-2022,Crest Hill,Illinois,1,4,5,"While officers dispersed a crowd, a shooting during an informal gathering in a parking lot shortly before midnight left one dead and four others injured."
10-07-2022,Alvin,Texas,1,3,4,One man was killed and three others wounded in a shooting during a party being held at a rental property.
10-07-2022,Downey,California,3,2,5,Three people were killed and two were wounded in a shootout at a house party.
09-07-2022,Jackson's Gap,Alabama,0,4,4,"Four people, including a teenager, were shot while celebrating the city's ""Gap Day""."
08-07-2022,Detroit,Michigan,0,4,4,Four men were injured in a drive-by shooting in the Midtown neighborhood.
08-07-2022,Greensboro,North Carolina,0,4,4,Four people were shot shortly after midnight on a city street.
07-07-2022,Chicago,Illinois,0,4,4,Four people were wounded in a drive-by shooting in the East Garfield Park neighborhood.
06-07-2022,St. Cloud,Minnesota,0,4,4,"An argument in an alleyway escalated into a shooting that injured four, including two teenagers."
06-07-2022,Chicago,Illinois,0,4,4,Four people were shot after three men got out of a car and opened fire on a group of people in the Near West Side neighborbood.
06-07-2022,Tampa,Florida,0,4,4,Four people were shot at an intersection in the Jackson Heights neighborhood.
05-07-2022,Steubenville,Ohio,0,4,4,A shooting inside a nightclub left four injured.
05-07-2022,Youngstown,Ohio,1,3,4,"Four people were shot, one fatally, in the parking lot of an event center in the Lansingville neighborhood during a shootout."
05-07-2022,Gary,Indiana,3,7,10,Shortly after midnight three people were killed and seven injured at a large block party.
05-07-2022,Rochester,New York,1,3,4,"Several people opened fire on a crowd of people gathered at a recreation center, leaving one dead and three others injured."
04-07-2022,Sacramento,California,1,4,5,A shooting outside a nightclub killed one and injured four.
04-07-2022,Shreveport,Louisiana,1,3,4,"Three vehicles engaged in a running gun battle, leaving one dead and three others injured."
04-07-2022,New York City,New York,0,4,4,"Four adults were wounded at a cookout at a home in Rochdale Village, Queens after an unidentified shooter arrived and opened fire. They fled before police arrived."
04-07-2022,Minneapolis,Minnesota,0,7,7,"During a night of civil unrest and several informal Independence Day celebrations, a shooting at Boom Island Park left seven injured."
04-07-2022,Kenosha,Wisconsin,1,4,5,"Five people were shot, one fatally, at a home in the central part of the city."
04-07-2022,Denver,Colorado,1,3,4,A shooting in the College View neighborhood left one dead and three others injured.
04-07-2022,Highland Park,Illinois,7,48,55,"Highland Park parade shooting: Seven people were killed and 48 others were wounded after a person opened fire from a rooftop on people attending an Independence Day parade. Eleven others were injured fleeing the scene. The shooter also admitted he had plans to drive to Madison, Wisconsin to shoot more people. He was charged with a total of 117 counts later in the month."
04-07-2022,Richmond,Virginia,0,6,6,Six people were shot during the early morning outside an internet cafe in the Jackson Ward neighborhood.
04-07-2022,Oakland,California,0,5,5,Five people were hit by celebratory gunfire fired from a nearby neighborhood inside the Oakland Coliseum during a baseball game between the Toronto Blue Jays and Oakland Athletics.
04-07-2022,Chicago,Illinois,0,5,5,"Shortly after midnight, five people, including a teenager, were shot in the Parkway Gardens neighborhood as they stood outside."
04-07-2022,Boston,Massachusetts,0,4,4,Four people were shot at an intersection in the Dorchester neighborhood.
04-07-2022,Kansas City,Missouri,0,4,4,"Officers responding to reports of car break-ins heard gunshots, then found four people shot in the downtown area."
03-07-2022,Surprise,Arizona,3,4,7,A shooter opened fire during a birthday party leaving three men dead and four others wounded.
03-07-2022,Tacoma,Washington,0,4,4,Four people were shot in the South End neighborhood.
03-07-2022,Mullins,South Carolina,0,4,4,Four people were wounded in a shooting.
03-07-2022,Manassas,Virginia,0,4,4,A fight in the parking lot of a car wash escalated into a shooting that left four injured.
02-07-2022,Clinton,North Carolina,0,6,6,A drive-by shooting left four adults and two children hospitalized.
02-07-2022,Haltom City,Texas,3,4,7,"A man shot and killed two people at a home before also shooting a neighbor who was calling the police and then opened fire on three police officers as they approached the residence, wounding all three. The shooter fled the scene and later fatally shot himself."
01-07-2022,Chicago,Illinois,0,4,4,"A man opened fire on people on a street in the West Garfield Park neighborhood, leaving four injured."
01-07-2022,Greenwood,Mississippi,1,7,8,A drive-by shooting left one dead and seven others injured.
01-07-2022,New York City,New York,1,3,4,"A shooter opened fire inside a mechanic shop that was hosting a party in the Richmond Hill neighborhood of Queens, leaving one dead and three others injured."
01-07-2022,Chicago,Illinois,2,3,5,An argument outside a nightclub escalated into a shooting that left two dead and injured three others in the Chicago Loop.
30-06-2022,Newark,New Jersey,0,9,9,Nine people were injured in a shooting.
30-06-2022,Allen City,Kentucky,3,4,7,"2022 shooting of Kentucky police officers: A man shot dead three police officers and a police dog and wounded four other people, including three officers."
29-06-2022,Jersey City,New Jersey,0,4,4,Four people were injured in a shooting in the Greenville neighborhood.
29-06-2022,Philadelphia,Pennsylvania,0,4,4,Four people were shot in the East Germantown neighborhood of Northwest Philadelphia.
28-06-2022,Ripley,Tennessee,1,3,4,One person was fatally shot and two others were injured after a teenager violently forced his way into a home and opened fire. The shooter was also wounded.
27-06-2022,Holly Springs,Mississippi,1,3,4,One person was killed and three others were injured during a shootout on MS-178.
27-06-2022,Charlotte,North Carolina,0,5,5,"Five people, included two children, were shot in the Lincoln Heights neighborhood."
26-06-2022,Sutherlin,Virginia,1,7,8,An early morning shooting at a party left one dead and seven others injured.
26-06-2022,Tacoma,Washington,0,8,8,Eight people were shot at a party in South Tacoma.
26-06-2022,Paterson,New Jersey,0,5,5,Five people were wounded after a shooting.
26-06-2022,Blakely,Georgia,1,6,7,One person was killed and six others wounded after a shooting.
26-06-2022,Tacoma,Washington,1,4,5,"Five people were shot, one fatally."
26-06-2022,Winona,Texas,0,5,5,Five people were shot at a trail ride concert.
26-06-2022,San Antonio,Texas,1,3,4,"During the early morning, a fight at a nightclub escalated into a shootout that left one dead and three injured."
25-06-2022,Minneapolis,Minnesota,0,4,4,"After multiple fights broke out during a gathering, a shooting left four injured, including several uninvolved bystanders, during the late evening hours."
25-06-2022,Houston,Texas,2,2,4,Two men were killed and another two wounded after an argument escalated into a shooting.
25-06-2022,New York City,New York,0,4,4,"Four people, including an eight-year-old boy, were wounded after a man on a dirtbike opened fire on a barbeque in the Bedford-Stuyvesant neighborhood of Brooklyn."
24-06-2022,Hopewell,Virginia,2,2,4,"Four teenagers were shot near railroad tracks, two fatally."
24-06-2022,Philadelphia,Pennsylvania,2,2,4,Two were killed and two others wounded after a shootout in the Point Breeze neighborhood.
24-06-2022,Burleson,Texas,1,3,4,A shooting killed a woman driving nearby and wounded three others. Six were arrested in connection with the shooting.
23-06-2022,Chicago,Illinois,1,3,4,"Four people were shot, one fatally, near a CTA Red Line station."
20-06-2022,New York City,New York,1,8,9,"One person was killed, and eight others wounded at a late night barbeque party in a park in Harlem."
20-06-2022,New York City,New York,0,5,5,Five people were shot at a party in the St. George neighborhood of Staten Island.
19-06-2022,Miami,Florida,0,5,5,"Five people, including a teenager, were shot while in a car at an intersection between the Coral Way and Coconut Grove neighborhoods."
19-06-2022,Walterboro,South Carolina,2,2,4,"Two people were killed, and two others injured during a shooting at a nightclub."
19-06-2022,Grand Rapids,Michigan,0,4,4,Four people were shot in the Burton Heights neighborhood in the city's southeast side.
19-06-2022,Detroit,Michigan,1,3,4,"Four people were shot, one fatally, at an apartment complex and a park in two connected shootings in the Krainz Woods neighborhood."
19-06-2022,Washington D.C.,Washington D.C.,1,3,4,"A teenager was killed and three others, including a police officer, were shot during a concert celebrating Juneteenth in the Cardozo neighborhood."
18-06-2022,San Antonio,Texas,2,5,7,"A family having a barbeque in their front yard was fired upon in a drive-by shooting, leaving two dead and five injured."
18-06-2022,Baltimore,Maryl,0,4,4,Three people standing together in the Sandtown-Winchester neighborhood were shot. A fourth person who was driving by was also hit by gunfire.
18-06-2022,Pensacola,Florida,0,5,5,Just after midnight five people were shot at a nightclub in Downtown Pensacola.
17-06-2022,Chicago,Illinois,0,5,5,"A group of people standing in a parking lot in the Lake Meadows neighborhood were fired upon, leaving five injured."
16-06-2022,Oakland,California,1,4,5,"Five people were shot, one fatally, in the Civic Center neighborhood."
15-06-2022,Denmark,South Carolina,0,4,4,"Four people, including at least one teenager, were shot."
14-06-2022,Casselberry,Florida,4,0,4,"Four people, including a child, were fatally shot in a murder-suicide at an apartment complex."
14-06-2022,Claremont,North Carolina,1,3,4,"A man shot fatally a woman and injured her two adult children over an argument about repairing a sink. After shooting them, he shot himself in the foot."
12-06-2022,Indianapolis,Indiana,0,5,5,"A teenager shot four people during an argument, leaving one paralyzed, before being shot herself."
12-06-2022,Los Angeles,California,3,4,7,Three people were killed and four others injured during a shooting at a rapper's birthday party concert in the Boyle Heights neighborhood. Two security guards were wounded.
12-06-2022,Denver,Colorado,2,4,6,"Six people were shot, two fatally, during a party in the Virginia Village neighborhood."
12-06-2022,Austin,Texas,1,3,4,An argument in the Los Indios neighborhood led to a shooting that killed one and injured three others.
12-06-2022,New Orleans,Louisiana,0,4,4,Four people were shot outside a bar in the Mid-City neighborhood.
12-06-2022,Roseville,Michigan,0,4,4,A domestic incident escalated into a shooting that injured four.
12-06-2022,Gary,Indiana,2,4,6,A shooting at a nightclub left two dead and four others wounded.
11-06-2022,Nashville,Tennessee,2,2,4,"Two people were shot, two fatally, during a birthday pool party at an apartment complex."
11-06-2022,Louisville,Kentucky,0,5,5,Five teenagers were shot near the Big Four Bridge.
11-06-2022,Chicago,Illinois,1,4,5,Five people in an alleyway in the Auburn Gresham neighborhood were shot in a drive-by shooting. One victim later died of their injuries.
11-06-2022,Detroit,Michigan,0,4,4,Four people were injured in a drive-by shooting during a bachelor party being hosted at an Airbnb in the Davison-Schoolcraft neighborhood in the city's northwest side.
11-06-2022,South Fulton,Georgia,0,7,7,Seven people were shot during a party.
10-06-2022,Decatur,Georgia,1,3,4,An argument at a restaurant led to a shooting that left one person dead and three others injured.
09-06-2022,Smithsburg,Maryl,3,3,6,"A shooter opened fire at a manufacturing facility, killing three and injuring one before fleeing the scene. Responding officers spotted the fleeing suspect, who engaged in a gun battle with state troopers, leaving the suspect and a state trooper injured."
08-06-2022,Yuma,Arizona,0,4,4,A gunfight between two cars left four injured.
07-06-2022,Baltimore,Maryl,2,2,4,"Four men sitting in the side yard of a house in the Frankford neighborhood were fired upon by a shooter. Two were killed, and the other two were wounded."
07-06-2022,Chicago,Illinois,0,4,4,Four people were shot on a sidewalk in the North Lawndale neighborhood.
07-06-2022,Portsmouth,Virginia,4,0,4,Four people were fatally shot at a home. The fourth victim succumbed to their injuries after a few days.
07-06-2022,Chicago,Illinois,0,4,4,"Four people, including a teenager, were shot near a courtyard in the Altgeld Gardens neighborhood."
06-06-2022,Salt Lake City,Utah,1,3,4,"Four people were shot, one of them fatally, at an apartment complex after a fight escalated."
05-06-2022,Andrews,South Carolina,0,4,4,Four people were injured in a drive-by shooting shortly before midnight.
05-06-2022,Saginaw,Michigan,3,2,5,Three people were killed and two were wounded by an early morning shooting at a house. The child of a dead pregnant woman was soon delivered by doctors.
05-06-2022,Mesa,Arizona,2,2,4,Two people were killed and two others injured in a shooting outside a nightclub.
05-06-2022,Chattanooga,Tennessee,2,12,14,"2022 Chattanooga shooting: Fourteen were shot, two of them fatally, at a nightclub during the early morning. A third person was killed by a vehicle attempting to flee."
05-06-2022,Grand Rapids,Michigan,1,3,4,One person was killed and three others injured in an early morning shooting at the Festival of the Arts.
04-06-2022,Socorro,Texas,0,5,5,Five teenagers were wounded in a targeted shooting at an early morning graduation house party after two groups at the party began fighting.
04-06-2022,Summerton,South Carolina,1,7,8,"Eight people, including six children, were shot during a graduation party after occupants in two cars opened fire at the partygoers in the yard of the house it was being held at. An adult woman was killed."
04-06-2022,Hempstead,New York,1,3,4,A man was fatally shot and three others were wounded beside an apartment building.
04-06-2022,Macon,Georgia,1,3,4,"Four people were shot, one fatally, at an abandoned home."
04-06-2022,Enterprise,Nevada,0,4,4,A couple was arrested after the boyfriend shot three people during an argument. The boyfriend was also shot.
04-06-2022,Philadelphia,Pennsylvania,3,11,14,"2022 Philadelphia shooting: Fourteen people were shot, three of them fatally, by multiple shooters on South Street. One of the shooters may have been shot by a responding police officer."
04-06-2022,Phoenix,Arizona,1,8,9,"A fight during a party being held at a strip mall escalated into gunfire, with nine people being shot."
03-06-2022,Omaha,Nebraska,1,3,4,"Four people were shot, one fatally, shortly before midnight near an apartment complex."
03-06-2022,Chester,Virginia,1,5,6,"Six people were shot, one fatally, during a party. One of the shooting victims also suffered a broken arm."
03-06-2022,Birch River,West Virginia,2,2,4,"Two police officers responding to a domestic disturbance were fired upon by two men. In the ensuing gun battle, a shooter and a police officer were killed. The surviving officer and shooter were both shot."
02-06-2022,Centerville,Texas,5,0,5,"Centerville shooting: An escaped prisoner broke into the holiday home of a grandfather and his four grandchildren and fatally shot four of them, as well as fatally stabbing one of the grandchildren, before stealing their truck. The prisoner was fatally shot in a gun battle with police later the same day."
01-06-2022,Tulsa,Oklahoma,5,0,5,Warren Clinic shooting: At least four people were killed and multiple were injured after a shooting inside a building on the Saint Francis Hospital campus. The shooter fatally shot himself.
31-05-2022,Wyoming,Michigan,4,0,4,A concerned relative checked their family at their home and found four of them dead. A man had killed his girlfriend and her two eldest children before committing suicide. Three younger children were found unharmed in the home.
31-05-2022,Waco,Texas,0,4,4,Four people were shot in the Carver neighborhood.
30-05-2022,Benton Harbor,Michigan,1,6,7,"Seven people were shot, one of them fatally, outside a bar and a liquor store during the early morning."
30-05-2022,Charleston,South Carolina,0,10,10,"Ten people were shot during a party in a vacant parking lot, including a teenager. A police officer who was arriving at the scene was shot at in his police cruiser and suffered a shrapnel injury."
30-05-2022,Philadelphia,Pennsylvania,2,2,4,"A shooting at a party in the Port Richmond neighborhood left two dead, including a teenager, and two others wounded."
29-05-2022,Henderson,Nevada,0,7,7,"Seven people were shot on U.S. Route 95, causing the highway to be shut down in both directions for several hours."
29-05-2022,Houston,Texas,0,4,4,Four people were shot in the Willow Springs neighborhood. A victim driving away from the scene fatally struck a motorcyclist.
29-05-2022,Chicago,Illinois,1,4,5,"A man shot four people, one fatally, at a home in the Humboldt Park neighborhood before barricading himself inside during a domestic-related incident. The shooter was eventually shot by a SWAT team."
29-05-2022,Fergus,California,1,3,4,"Four people were shot, one fatally, at a house party during the early morning."
29-05-2022,Taft,Oklahoma,1,7,8,One person was killed and seven others wounded after a shooting at a Memorial Day festival at the Old City Square.
29-05-2022,Chicago,Illinois,0,5,5,"Five people, including a teenager, were shot in the West Garfield Park neighborhood in the early morning."
29-05-2022,Phoenix,Arizona,0,6,6,Six people were shot during a house party.
28-05-2022,Memphis,Tennessee,0,4,4,Four people were shot during an illegal car show between the Hollywood and Hyde Park neighborhoods.
28-05-2022,Malabar,Florida,0,4,4,A disturbance between two teenagers at a house party escalated into a shooting that wounded four after one of the teenagers opened fire shortly before midnight.
28-05-2022,Colorado Springs,Colorado,1,3,4,"Four people were shot, one fatally, in a shooting in a bar parking lot during the early morning hours."
28-05-2022,Fresno,California,1,3,4,One teenager was killed and three were wounded in a shooting in the McLane neighborhood.
28-05-2022,Chattanooga,Tennessee,0,6,6,Six people were injured during an exchange of gunfire in the Riverfront neighborhood.
27-05-2022,Anniston,Alabama,0,6,6,"Six people, including several teenagers, were shot at a graduation party."
27-05-2022,Austin Township,Michigan,4,1,5,A man fatally shot his wife and his step-children before non-fatally shooting himself in the head.
25-05-2022,Philadelphia,Pennsylvania,0,4,4,"Four people were shot, including two teenagers, while on the way to a prom party in the Mantua neighborhood."
24-05-2022,Uvalde,Texas,22,18,40,"Robb Elementary School shooting: An 18-year-old shot his grandmother at their home before driving to Robb Elementary School, where he entered the school unobstructed, barricading himself inside a classroom and fatally shooting twenty-one people, including nineteen children. Eighteen people in total were wounded. The shooter was eventually fatally shot by a Border Patrol officer, which was shot during the shootout."
23-05-2022,Cleveland,Ohio,0,5,5,Five people were shot during a memorial service in the Collinwood neighborhood.
23-05-2022,North Charleston,South Carolina,0,5,5,Five people were injured in an early morning shooting at a nightclub. Several others were injured by broken glass during the chaos of the shooting.
22-05-2022,Riverside,Alabama,4,0,4,A man fatally shot his two teenage daughters and his wife before shooting himself.
22-05-2022,San Juan,Puerto Rico,5,0,5,Police discovered five people shot to death at a public housing complex in the Caimito barrio.
21-05-2022,Tacoma,Washington,0,4,4,A drive-by shooting in the South End area left four wounded.
21-05-2022,Goshen,Indiana,2,3,5,"A shooting occurred at a home, leaving two people dead and three injured."
20-05-2022,Kissimmee,Florida,1,3,4,A drive-by shooting in front of a grocery store wounded three and killed one.
20-05-2022,New Orleans,Louisiana,1,3,4,"Four people were shot, one fatally, in the Holy Cross neighborhood."
20-05-2022,San Bernardino,California,1,9,10,"A shooting occurred at an after-prom party, leaving one dead and nine injured."
19-05-2022,Chicago,Illinois,2,8,10,"Magnificent Mile shooting: An individual opened fire during an altercation between two groups of teenagers, killing two and injuring eight. The shooter engaged in a chase with police in the subway, during which a woman fell onto the train tracks and was electrocuted during the chaos."
19-05-2022,Houston,Texas,4,0,4,"An estranged husband opened fire on his wife, killing her, their daughter, and his mother-in-law before committing suicide."
18-05-2022,Philadelphia,Pennsylvania,0,5,5,"Five people were shot in the Cecil B. Moore neighborhood, including a teenager."
17-05-2022,East Palo Alto,California,1,3,4,"Four people were shot, one of them fatally, at a park in a targeted attack."
15-05-2022,Elizabeth City,North Carolina,0,4,4,Two teenagers and two juveniles were shot at a house in the Shepard Street–South Road Street Historic District.
15-05-2022,Houston,Texas,2,3,5,"Two people were killed, and three others were injured, at a flea market after an argument escalated into a shooting in the Meadowviewland neighborhood."
15-05-2022,Winston-Salem,North Carolina,0,7,7,Seven people were shot in three connected shootings that preceded an exchange of gunfire.
15-05-2022,Amarillo,Texas,1,4,5,"Five people were shot at a nightclub in the morning, with one person dying."
15-05-2022,Laguna Woods,California,1,5,6,"2022 Laguna Woods shooting: A man motivated by anti-Taiwanese sentiment opened fire at a church, killing one and wounding five others, before being physically restrained by churchgoers."
14-05-2022,Buffalo,New York,10,3,13,"2022 Buffalo shooting: An 18-year-old white supremacist clad in body armor opened fire at a Tops supermarket, killing ten, including a security guard, and wounding three others."
13-05-2022,Dallas,Texas,2,3,5,"Two people were killed, and three were injured, in a shooting in the Deep Ellum neighborhood."
13-05-2022,Milwaukee,Wisconsin,0,17,17,A gunfight among several groups of people wounded seventeen people following an NBA game in the East Town neighborhood.
12-05-2022,Hot Springs,Arkansas,0,4,4,A fight outside a convention center following a high school graduation ceremony led to a shooting that injured four. No students or graduates were involved in the shooting or the fight.
11-05-2022,Paterson,New Jersey,1,4,5,"A teenage girl was killed, and four men wounded, in a shooting in the Sandy Hill neighborhood."
11-05-2022,Saint Louis,Missouri,1,3,4,"Four people, including a teenager and a baby, were injured in an ambush while they drove in a car in the Mark Twain neighborhood. One of the adult victims later succumbed to his injuries."
11-05-2022,Indianapolis,Indiana,0,4,4,"Four people, including two teenagers, were shot along the Canal Walk after two groups of people began shooting at each other across the water following an argument."
11-05-2022,Chicago,Illinois,0,4,4,"Four people, including two children, were shot while they drove together in a vehicle in the West Englewood neighborhood."
10-05-2022,Chicago,Illinois,0,6,6,Six people were shot by two men in a drive-by shooting in the Jackson Park neighborhood on the South Side.
10-05-2022,Brookshire,Texas,1,3,4,"A shooter shot four people, one fatally, before fleeing and sparking a manhunt."
10-05-2022,Baltimore,Maryl,0,5,5,Five people were shot during a confrontation between two groups after at least one of the groups opened fire in northwestern Baltimore.
10-05-2022,Philadelphia,Pennsylvania,0,4,4,"Four people were shot, including two teenagers, in the Kensington neighborhood."
10-05-2022,Baltimore,Maryl,1,3,4,"Four people were shot, one fatally, in the Milton-Montford neighborhood."
10-05-2022,Chicago,Illinois,1,4,5,"Five teenagers outside in the Back of the Yards neighborhood on the South Side were shot, one fatally, by multiple occupants of a stolen vehicle."
09-05-2022,Tuscaloosa,Alabama,0,5,5,An argument in the common area of an apartment complex led to a shooting that injured five.
