Date;Time;TimeN
2023-12-11;00:30:00;0.0208333333333333
2023-12-12;01:00:00;0.0416666666666667
2023-12-13;01:15:00;0.0486111111111111
2023-12-14;00:45:00;0.03125
2023-12-16;01:30:00;0.0625
2023-12-17;00:45:00;0.03125
2023-12-18;01:45:00;0.0694444444444444
2023-12-19;00:30:00;0.0208333333333333
2023-12-23;01:45:00;0.0694444444444444
2023-12-24;01:00:00;0.0416666666666667
2023-12-25;02:30:00;0.104166666666667
2023-12-26;01:15:00;0.0486111111111111
2023-12-27;01:30:00;0.0555555555555556
2023-12-28;01:15:00;0.0486111111111111
2023-12-29;02:00:00;0.0763888888888889
2023-12-30;01:45:00;0.0694444444444444
2023-12-31;02:30:00;0.0902777777777778
2024-01-02;00:15:00;0.0347222222222222
2024-01-03;00:30:00;0.0416666666666667
2024-01-05;00:45:00;0.0486111111111111
2024-01-07;00:30:00;0.0416666666666667
2024-01-08;00:15:00;0.0347222222222222
2024-01-10;01:00:00;0.0486111111111111
2024-01-11;01:45:00;0.0694444444444444
