"Date","Time","TimeN"
2023-12-11,01:30:00,0.0625
2023-12-12,01:30:00,0.0625
2023-12-13,01:16:00,0.0527777777777778
2023-12-14,01:35:00,0.0659722222222222
2023-12-16,02:47:00,0.115972222222222
2023-12-17,01:04:00,0.0444444444444444
2023-12-18,01:05:00,0.0451388888888889
2023-12-19,01:22:00,0.0569444444444444
2023-12-23,01:57:00,0.08125
2023-12-24,02:17:00,0.0951388888888889
2023-12-25,03:06:00,0.129166666666667
2023-12-26,02:26:00,0.101388888888889
2023-12-27,02:48:00,0.116666666666667
2023-12-28,02:56:00,0.122222222222222
2023-12-29,03:08:00,0.130555555555556
2023-12-30,03:01:00,0.125694444444444
2023-12-31,03:54:00,0.1625
2024-01-02,00:23:00,0.0159722222222222
2024-01-03,00:00:00,0
2024-01-05,01:24:00,0.0583333333333333
2024-01-07,00:56:00,0.0388888888888889
2024-01-08,00:34:00,0.0236111111111111
2024-01-10,01:49:00,0.0756944444444444
2024-01-11,03:07:00,0.129861111111111
