# index, meta, _pos
0,Greenock,"array([1.69563397, 2.90766292])"
1,Glasgow,"array([1.73869647, 2.89200537])"
2,Preston,"array([1.71884408, 2.8463844 ])"
3,Birmingham,"array([1.71876562, 2.79931827])"
4,Southampton,"array([1.68482611, 2.77194074])"
5,Le Havre,"array([2.70329505, 3.55214187])"
6,Paris,"array([2.72066   , 3.50536804])"
7,Orléans,"array([2.76347222, 3.64022995])"
8,Bordeaux,"array([2.76900598, 3.77245085])"
9,San Sebastián,"array([2.79312083, 3.89443131])"
10,Burgos,"array([2.75419715, 3.9957428 ])"
11,Madrid,"array([2.70400159, 4.04376114])"
12,Seville,"array([2.62814121, 4.12291498])"
13,Algeciras,"array([2.55383206, 4.15230321])"
14,Inverness,"array([1.72925261, 2.99157811])"
15,Perth,"array([1.75912821, 2.95988745])"
16,Edinburgh,"array([1.78888873, 2.91854451])"
17,Newcastle,"array([1.85436263, 2.90942435])"
18,London,"array([1.88795297, 2.89436667])"
19,Folkestone,"array([1.92337806, 2.94561781])"
20,Dover,"array([1.95311777, 2.98201577])"
21,Calais,"array([2.65088994, 3.45097077])"
22,Lyon,"array([2.80237001, 3.63343117])"
23,Orange,"array([2.84948041, 3.72002465])"
24,Narbonne,"array([2.85705967, 3.80796934])"
25,Girona,"array([2.82270528, 3.87338987])"
26,Barcelona,"array([2.76637531, 3.92279634])"
27,Tarragona,"array([2.71074165, 3.96314413])"
28,Castellón de la Plana,"array([2.6641528 , 4.00142199])"
29,Valencia,"array([2.63614739, 4.04515133])"
30,Alicante,"array([2.56991308, 4.06789011])"
31,Murcia,"array([2.51449297, 4.09530564])"
32,Almería,"array([2.47856373, 4.13402119])"
33,Málaga,"array([2.48782329, 4.17875638])"
34,Hook of Holland,"array([2.27642147, 3.56127079])"
35,Rotterdam,"array([2.33995609, 3.57573841])"
36,Eindhoven,"array([2.41757535, 3.52576102])"
37,Maastricht,"array([2.46421382, 3.55574555])"
38,Liège,"array([2.53873289, 3.52943336])"
39,Bastogne,"array([2.55776716, 3.56252932])"
40,Arlon,"array([2.5922194, 3.527032 ])"
41,Luxembourg,"array([2.65161658, 3.48934583])"
42,Metz,"array([2.73971006, 3.48775817])"
43,Saint-Avold,"array([2.80236316, 3.46002397])"
44,Strasbourg,"array([2.8637654, 3.4315784])"
45,Mulhouse,"array([2.89490301, 3.47336732])"
46,Basel,"array([2.98166185, 3.41994516])"
47,Olten,"array([2.98582175, 3.48736725])"
48,Bern,"array([2.9223848 , 3.52729033])"
49,Lausanne,"array([2.85706932, 3.51955263])"
50,Geneva,"array([2.83214784, 3.53586005])"
51,Mont Blanc,"array([2.90365473, 3.58682978])"
52,Aosta,"array([2.97307006, 3.622328  ])"
53,Ivrea,"array([3.04486912, 3.67648577])"
54,Vercelli,"array([3.08407736, 3.72471534])"
55,Alessandria,"array([3.13879399, 3.73939042])"
56,Genoa,"array([3.15819742, 3.77858542])"
57,Bastia,"array([1.63876421, 3.40693746])"
58,Porto-Vecchio,"array([1.6185406 , 3.37415101])"
59,Bonifacio,"array([1.59541001, 3.34303216])"
60,Porto Torres,"array([1.45966844, 3.09588628])"
61,Sassari,"array([1.49346977, 3.12023947])"
62,Cagliari,"array([1.48775334, 3.16083319])"
63,Amsterdam,"array([2.47740697, 3.38845831])"
64,Utrecht,"array([2.38307164, 3.41507007])"
65,Arnhem,"array([2.38160689, 3.37710065])"
66,Emmerich,"array([2.44107199, 3.34805651])"
