trackName,artistName,TotalMinutes
КТО УБИЛ МАРКА?,Oxxxymiron,554.34
Больше Бена,Oxxxymiron,296.01
Неваляшка,Oxxxymiron,248.03
Быть артистом,BOOKER,243.06
Flashback,PORCHY,232.45
Буккаке,Schokk,232.4
Песенка Гремлина,Oxxxymiron,189.24
Переплетено,Oxxxymiron,178.12
Лига Опасного Интернета,Oxxxymiron,163.49
Прекрасное Далёко,Oxxxymiron,154.6
Хитиновый покров,Oxxxymiron,154.28
Где нас нет,Oxxxymiron,146.47
Признаки жизни,Oxxxymiron,141.84
Мысли пачкают мозги,Schokk,130.05
Город под подошвой,Oxxxymiron,123.25
23 февраля,Oxxxymiron,99.61
Хоп-механика,Oxxxymiron,93.84
Лифт,Oxxxymiron,91.77
Всего лишь писатель,Oxxxymiron,83.95
Ты не считаешь,Noize MC,76.81
Красота и Уродство,Oxxxymiron,75.65
Полигон,Oxxxymiron,73.45
Африканские бусы,Oxxxymiron,73.29
Накануне,Oxxxymiron,71.57
Страна дождей,Noize MC,70.15
"Детка, послушай",Noize MC,68.65
Агент,Oxxxymiron,68.07
Konstrukt,Oxxxymiron,62.65
Пора возвращаться домой,Bi-2,62.32
Сага об орлах и канарейках,Schokk,61.37
Панелька,Husky,61.12
Грязь,Oxxxymiron,60.72
Дегенеративное искусство,Schokk,59.79
Молодость,Pornofilmy,59.0
Operation Payback,Schokk,58.3
молчи,кис-кис,57.82
Не от мира сего,Oxxxymiron,55.25
Миокард,Noize MC,54.83
Yes Future!,Noize MC,50.97
2010-е кончились,ПЕРЕУЧЕТ,48.76
Колесо,Oxxxymiron,48.42
Семейный альбом,ПЕРЕУЧЕТ,47.08
Flashback,Oxxxymiron,42.29
Маленький,Дайте танк (!),40.93
Из окна,Noize MC,40.86
Легко ли быть молодым,Centr,40.73
Куртец,Krovostok,40.63
В говне,Oxxxymiron,39.94
Это пройдёт,Pornofilmy,39.65
Мы все умрем,Oxxxymiron,39.36
Захизр,ПЕРЕУЧЕТ,39.15
Безумие (feat. Oxxxymiron) - Remix,LSP,37.58
Faded,ZHU,37.25
Черным-черно,Husky,36.36
"То густо, то пусто",Schokk,36.08
Вокруг Шум,Kasta,35.78
Бит шатает голову,Husky,35.44
Контракт,Poshlaya Molly,34.33
Чужое горе,Pornofilmy,34.12
Парнас / Parnassus,Noize MC,33.68
Почитай старших,Noize MC,33.63
Северная страна,25/17,33.6
Колыбельная,Oxxxymiron,32.93
Однажды Мир Прогнется под Нас,Mashina Vremeni,32.72
Прости. Прощай. Привет,Pornofilmy,32.36
Окно в Париж,Oxxxymiron,32.31
Космос,Skryptonite,32.18
Кооператив «Лебединое озеро»,Noize MC,32.11
Жвачка - (Video Edit),Noize MC,31.26
Вот и всё. Ну и что?,Noize MC,29.6
Жить в кайф,Max Korzh,29.31
Песня для радио,Noize MC,28.85
"МОРГНИ, ЕСЛИ ТЫ В ЗАЛОЖНИКАХ",STED.D,28.73
Я так боюсь,Pornofilmy,28.66
Соседи,ПЕРЕУЧЕТ,28.24
Заходи скорее,ПЕРЕУЧЕТ,27.85
Школа,Папин Олимпос,27.46
"Дико, например",PHARAOH,27.21
Бассейн,Noize MC,27.08
Нимфоманка,Monetochka,26.81
