artistName,Count,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Valence
Oxxxymiron,226,0.66,0.8,-5.22,0.29,0.13,0.26,0.49
Noize MC,87,0.63,0.8,-5.59,0.18,0.22,0.22,0.61
Schokk,53,0.62,0.83,-6.05,0.39,0.13,0.12,0.65
Husky,26,0.75,0.67,-7.63,0.25,0.29,0.2,0.61
Kasta,25,0.68,0.72,-5.75,0.32,0.2,0.16,0.53
BOOKER,24,0.61,0.81,-4.81,0.16,0.05,0.18,0.59
Krovostok,21,0.74,0.54,-10.0,0.39,0.3,0.13,0.45
Брутто,18,0.74,0.56,-7.3,0.21,0.26,0.17,0.54
Boombox,17,0.69,0.75,-6.05,0.17,0.18,0.11,0.72
Triada,17,0.64,0.68,-5.71,0.19,0.3,0.21,0.42
Pornofilmy,16,0.5,0.84,-4.35,0.09,0.02,0.13,0.49
PORCHY,15,0.56,0.86,-4.06,0.34,0.12,0.2,0.45
Skryptonite,15,0.68,0.56,-8.89,0.27,0.33,0.33,0.42
25/17,14,0.75,0.71,-5.62,0.18,0.13,0.13,0.58
Max Korzh,13,0.7,0.58,-6.32,0.16,0.13,0.13,0.49
KRBK,13,0.74,0.53,-8.1,0.46,0.73,0.12,0.52
FACE,12,0.81,0.67,-5.68,0.24,0.1,0.16,0.53
Lyapis Trubetskoy,12,0.64,0.78,-5.24,0.05,0.04,0.22,0.63
Markul,12,0.71,0.68,-6.92,0.14,0.26,0.14,0.33
Bi-2,11,0.54,0.93,-4.9,0.34,0.02,0.14,0.37
Mnogoznaal,11,0.7,0.77,-6.78,0.05,0.39,0.26,0.5
Tipsi Tip,10,0.61,0.8,-5.98,0.38,0.24,0.13,0.7
Грязь,9,0.68,0.71,-6.75,0.2,0.13,0.2,0.31
ПЕРЕУЧЕТ,9,0.69,0.66,-7.14,0.1,0.19,0.27,0.46
Noggano,8,0.74,0.6,-7.44,0.29,0.4,0.3,0.69
Splean,8,0.57,0.76,-7.02,0.04,0.07,0.12,0.69
Proyekt Uvechye,8,0.69,0.82,-5.22,0.25,0.42,0.28,0.63
pyrokinesis,7,0.66,0.64,-5.89,0.14,0.2,0.09,0.54
PHARAOH,7,0.75,0.65,-6.84,0.12,0.15,0.2,0.4
Big Baby Tape,7,0.85,0.78,-5.11,0.15,0.05,0.18,0.64
Luperkal,7,0.62,0.77,-4.67,0.28,0.24,0.28,0.57
Lizer,6,0.7,0.51,-9.28,0.15,0.56,0.15,0.43
MORGENSHTERN,6,0.75,0.67,-5.16,0.16,0.07,0.16,0.75
OBLADAET,6,0.69,0.77,-5.4,0.22,0.15,0.26,0.36
43ai,6,0.58,0.77,-5.45,0.28,0.25,0.11,0.8
GONE.Fludd,5,0.82,0.72,-6.28,0.16,0.15,0.28,0.36
Папин Олимпос,5,0.58,0.71,-6.21,0.06,0.12,0.26,0.72
Vlady,5,0.67,0.71,-7.3,0.35,0.33,0.14,0.68
Loqiemean,5,0.73,0.64,-6.1,0.12,0.25,0.22,0.43
CAPTOWN,5,0.69,0.58,-8.33,0.26,0.26,0.26,0.55
Endspiel,5,0.64,0.52,-10.33,0.26,0.46,0.16,0.37
Garry Topor,5,0.65,0.8,-5.57,0.3,0.33,0.3,0.5
ATL,4,0.57,0.82,-4.26,0.22,0.15,0.24,0.47
STED.D,4,0.65,0.78,-4.62,0.18,0.16,0.1,0.44
Atlantida Project,4,0.53,0.95,-3.59,0.17,0.01,0.39,0.41
Centr,4,0.62,0.87,-5.11,0.26,0.63,0.32,0.72
Три дня дождя,4,0.58,0.66,-7.26,0.04,0.12,0.14,0.34
MUKKA,4,0.71,0.7,-7.2,0.08,0.07,0.19,0.67
Mumiy Troll,4,0.71,0.52,-9.66,0.04,0.32,0.08,0.73
PALC,4,0.75,0.51,-7.87,0.25,0.55,0.13,0.66
кис-кис,4,0.69,0.68,-7.22,0.07,0.07,0.28,0.6
JILLZAY,4,0.79,0.4,-10.03,0.38,0.37,0.07,0.35
Tony Raut,4,0.76,0.75,-7.23,0.07,0.23,0.15,0.47
Monetochka,3,0.81,0.53,-8.44,0.18,0.41,0.08,0.59
OM.,3,0.77,0.73,-6.26,0.27,0.27,0.2,0.34
Mnogotochie,3,0.78,0.71,-7.48,0.16,0.26,0.2,0.67
Miyagi & Andy Panda,3,0.74,0.57,-8.67,0.17,0.39,0.1,0.52
Nautilus Pompilius,3,0.54,0.31,-15.04,0.03,0.52,0.1,0.59
Грибы,3,0.86,0.53,-9.8,0.11,0.11,0.12,0.57
HLEB,3,0.58,0.73,-5.57,0.11,0.18,0.17,0.47
Animal Jazz,3,0.62,0.86,-5.19,0.08,0.1,0.13,0.63
T-Fest,3,0.69,0.6,-6.87,0.16,0.08,0.18,0.17
Lumen,3,0.52,0.86,-4.74,0.09,0.04,0.24,0.4
WhyBaby?,3,0.91,0.7,-4.93,0.04,0.17,0.14,0.6
Thomas Mraz,3,0.57,0.74,-5.4,0.19,0.13,0.09,0.46
Kaspiyskiy Gruz,3,0.61,0.5,-9.89,0.19,0.12,0.34,0.3
Anacondaz,3,0.71,0.66,-7.65,0.11,0.15,0.24,0.69
Jubilee,3,0.43,0.8,-6.66,0.31,0.33,0.1,0.47
АрХангел,2,0.57,0.46,-12.29,0.52,0.59,0.13,0.41
Swanky Tunes,2,0.48,0.92,-4.06,0.26,0.08,0.68,0.71
Unknown Artist,2,0.29,0.01,-42.72,0.03,0.0,0.06,0.06
The Hatters,2,0.66,0.88,-3.76,0.1,0.08,0.25,0.8
ОУ74,2,0.74,0.55,-8.41,0.36,0.38,0.22,0.8
Дайте танк (!),2,0.45,0.7,-5.98,0.04,0.58,0.43,0.34
kizaru,2,0.78,0.63,-5.31,0.11,0.01,0.12,0.22
Onative,2,0.74,0.47,-8.72,0.12,0.37,0.21,0.34
Tima Belorusskih,2,0.8,0.43,-8.36,0.2,0.44,0.11,0.56
Poshlaya Molly,2,0.68,0.81,-6.18,0.04,0.0,0.22,0.87
ST1M,2,0.7,0.96,-5.44,0.36,0.39,0.78,0.62
просто Лера,2,0.7,0.75,-4.68,0.3,0.35,0.06,0.8
MATRANG,2,0.67,0.54,-8.48,0.2,0.65,0.1,0.46
Mashina Vremeni,2,0.76,0.69,-6.39,0.1,0.51,0.09,0.68
Boulevard Depo,2,0.83,0.65,-8.12,0.07,0.17,0.11,0.59
Korol i Shut,2,0.65,0.6,-7.85,0.07,0.21,0.13,0.22
Jacques Anthony,2,0.78,0.66,-7.18,0.13,0.43,0.33,0.61
Malbec,2,0.72,0.64,-6.81,0.22,0.47,0.26,0.36
AK-47,2,0.69,0.56,-6.18,0.32,0.35,0.27,0.76
Luverance,2,0.58,0.53,-8.43,0.05,0.48,0.1,0.31
My,2,0.81,0.55,-7.05,0.12,0.43,0.2,0.41
Nochnye Snaipery,2,0.61,0.71,-4.7,0.04,0.09,0.15,0.78
N1NT3ND0,2,0.79,0.53,-7.1,0.53,0.18,0.47,0.68
Gorod 312,2,0.68,0.74,-5.14,0.03,0.23,0.12,0.68
Gio Pika,1,0.72,0.84,-6.33,0.14,0.03,0.14,0.49
maslo chernogo tmina,1,0.82,0.28,-13.95,0.29,0.85,0.06,0.4
FEDUK,1,0.0,0.59,-10.36,0.0,0.06,0.24,0.0
Алекша Нович,1,0.54,0.64,-7.59,0.06,0.14,0.66,0.54
Амура,1,0.68,0.48,-7.64,0.07,0.09,0.22,0.07
Bravo,1,0.64,0.87,-6.56,0.03,0.03,0.28,0.97
Zemfira,1,0.64,0.59,-10.3,0.04,0.0,0.12,0.39
Zanuda,1,0.73,0.76,-2.01,0.2,0.78,0.14,0.54
ГРОТ,1,0.78,0.74,-4.82,0.16,0.13,0.1,0.56
AP$ENT,1,0.73,0.73,-8.6,0.05,0.24,0.14,0.43
ALON,1,0.96,0.46,-9.84,0.24,0.32,0.15,0.58
АлСми,1,0.69,0.62,-5.24,0.26,0.33,0.32,0.69
104,1,0.73,0.55,-7.36,0.05,0.24,0.1,0.2
Джизус,1,0.55,0.75,-7.59,0.05,0.02,0.11,0.11
9 Gramm,1,0.62,0.73,-2.24,0.19,0.68,0.35,0.66
10AGE,1,0.7,0.77,-5.43,0.11,0.06,0.11,0.28
Чёрная экономика,1,0.74,0.64,-5.96,0.3,0.13,0.27,0.39
Хип-Хоп Одинокой Старухи,1,0.63,0.68,-6.7,0.33,0.39,0.78,0.33
ФОГЕЛЬ,1,0.83,0.4,-8.53,0.38,0.68,0.11,0.51
Тяга,1,0.62,0.5,-10.63,0.46,0.35,0.43,0.44
7B,1,0.63,0.7,-7.5,0.04,0.1,0.1,0.38
Рыночные Отношения,1,0.78,0.6,-7.5,0.12,0.17,0.1,0.37
ADRIAN HIS,1,0.58,0.69,-6.65,0.08,0.31,0.09,0.49
ZHU,1,0.87,0.48,-7.18,0.05,0.01,0.11,0.61
Околорэп,1,0.67,0.57,-7.97,0.4,0.63,0.16,0.77
AIGEL,1,0.78,0.53,-8.48,0.09,0.21,0.1,0.39
ЛИТВИН,1,0.54,0.54,-6.47,0.47,0.07,0.17,0.79
Куок,1,0.69,0.68,-6.45,0.14,0.19,0.12,0.34
Кот Балу,1,0.86,0.28,-10.7,0.66,0.68,0.3,0.3
Ка тет,1,0.73,0.87,-6.12,0.28,0.2,0.35,0.7
Дора,1,0.68,0.73,-4.9,0.03,0.0,0.34,0.09
Zambezi,1,0.56,0.53,-11.8,0.42,0.28,0.28,0.75
Gradusy,1,0.69,0.68,-6.37,0.04,0.0,0.29,0.57
YourCoach,1,0.72,0.74,-6.57,0.37,0.58,0.19,0.77
SQWOZ BAB,1,0.76,0.75,-4.32,0.32,0.2,0.17,0.41
OG Buda,1,0.75,0.56,-8.62,0.26,0.04,0.1,0.22
Naitivihod,1,0.53,0.64,-8.55,0.31,0.29,0.11,0.52
OTOY,1,0.82,0.74,-6.25,0.11,0.6,0.25,0.93
N.R.M.,1,0.62,0.97,-2.84,0.11,0.06,0.14,0.21
Molchat Doma,1,0.48,0.75,-4.18,0.07,0.7,0.1,0.47
Misha Mavashi,1,0.67,0.81,-5.03,0.3,0.23,0.23,0.45
Metox,1,0.82,0.8,-3.67,0.31,0.18,0.14,0.75
Priklyucheniya Elektronikov,1,0.45,0.92,-6.33,0.06,0.0,0.12,0.84
REDO,1,0.73,0.77,-3.85,0.09,0.27,0.11,0.4
RYBAKOV,1,0.83,0.55,-9.99,0.07,0.14,0.09,0.55
Radiohead,1,0.52,0.43,-9.94,0.04,0.01,0.13,0.1
Rem Digga,1,0.83,0.53,-8.86,0.09,0.7,0.13,0.19
Rickey F,1,0.76,0.78,-7.0,0.06,0.22,0.06,0.27
SALUKI,1,0.55,0.61,-7.4,0.12,0.02,0.14,0.68
Maksim Svoboda,1,0.62,0.8,-5.32,0.04,0.04,0.1,0.35
Yanix,1,0.81,0.83,-4.56,0.28,0.1,0.04,0.36
Skif,1,0.82,0.48,-7.17,0.11,0.05,0.07,0.33
Lida,1,0.75,0.65,-9.08,0.06,0.03,0.5,0.73
LeTai,1,0.85,0.75,-6.08,0.31,0.1,0.14,0.47
LSP,1,0.63,0.67,-5.34,0.34,0.13,0.11,0.26
Sимптом,1,0.71,0.64,-8.41,0.29,0.04,0.14,0.44
Krizz,1,0.59,0.51,-10.16,0.06,0.02,0.33,0.04
Kambulat,1,0.77,0.6,-6.98,0.06,0.05,0.13,0.7
KEER,1,0.7,0.78,-5.13,0.05,0.13,0.3,0.59
Illumate,1,0.83,0.7,-5.8,0.26,0.34,0.13,0.79
INSTASAMKA,1,0.88,0.71,-6.19,0.12,0.03,0.07,0.45
Truwer,1,0.81,0.48,-9.72,0.34,0.19,0.11,0.46
Gruppa Skryptonite,1,0.74,0.8,-7.25,0.43,0.65,0.11,0.57
V $ X V PRiNCE,1,0.9,0.47,-7.86,0.33,0.31,0.11,0.48
YARMAK,1,0.75,0.68,-6.5,0.07,0.18,0.09,0.48
1.Kla$,1,0.76,0.86,-3.82,0.22,0.27,0.06,0.94
