artistName,Count,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Valence
Steve Lacy,233,0.67,0.61,-7.62,0.07,0.31,0.22,0.65
"Tyler, The Creator",109,0.52,0.65,-7.28,0.2,0.25,0.37,0.49
Tame Impala,57,0.55,0.67,-6.83,0.05,0.2,0.18,0.54
L.U.C.,48,0.46,0.31,-17.74,0.14,0.49,0.17,0.32
Frank Ocean,47,0.61,0.4,-9.77,0.09,0.53,0.18,0.37
Mela Koteluk,41,0.62,0.66,-7.18,0.04,0.53,0.17,0.52
Hey,39,0.55,0.71,-7.0,0.04,0.26,0.17,0.56
Myslovitz,38,0.51,0.74,-6.58,0.03,0.06,0.16,0.53
ABBA,37,0.59,0.68,-7.74,0.03,0.36,0.22,0.67
Hotel Ugly,35,0.67,0.44,-10.56,0.09,0.48,0.14,0.49
Kendrick Lamar,34,0.72,0.6,-7.02,0.18,0.2,0.16,0.45
Men I Trust,29,0.75,0.37,-12.91,0.05,0.69,0.11,0.63
Crumb,28,0.53,0.48,-9.37,0.03,0.47,0.19,0.37
Gorillaz,28,0.69,0.78,-5.55,0.07,0.04,0.21,0.64
Kid Francescoli,27,0.69,0.67,-8.16,0.04,0.25,0.24,0.38
Requin Chagrin,27,0.5,0.71,-6.55,0.04,0.18,0.17,0.29
PRO8L3M,26,0.67,0.67,-6.6,0.24,0.34,0.17,0.38
BROCKHAMPTON,24,0.67,0.63,-6.93,0.14,0.47,0.21,0.63
Isaiah Rashad,24,0.7,0.63,-7.46,0.23,0.25,0.29,0.6
Molly Nilsson,24,0.68,0.6,-9.43,0.03,0.5,0.12,0.6
Thee Sacred Souls,23,0.5,0.48,-8.4,0.03,0.52,0.18,0.64
Kaz Bałagane,23,0.75,0.67,-6.91,0.34,0.22,0.15,0.51
Arctic Monkeys,22,0.63,0.71,-6.2,0.05,0.09,0.16,0.65
The Dumplings,22,0.6,0.65,-7.49,0.05,0.18,0.14,0.39
Kanye West,20,0.62,0.68,-5.09,0.22,0.12,0.27,0.5
Miel De Montagne,19,0.76,0.53,-9.89,0.04,0.14,0.12,0.42
Zuta,18,0.67,0.65,-9.32,0.05,0.09,0.13,0.37
Thundercat,18,0.64,0.6,-9.05,0.12,0.52,0.19,0.57
TV Girl,17,0.62,0.84,-5.18,0.05,0.37,0.17,0.67
Eyedress,17,0.57,0.7,-9.09,0.05,0.2,0.27,0.76
Pink Floyd,17,0.48,0.32,-14.7,0.04,0.41,0.31,0.35
Alice Cooper,16,0.42,0.65,-10.2,0.06,0.11,0.27,0.44
Brodka,15,0.62,0.71,-7.04,0.05,0.12,0.14,0.49
Mother Mother,15,0.61,0.67,-6.42,0.09,0.26,0.16,0.56
Mitski,14,0.46,0.53,-8.55,0.03,0.2,0.16,0.32
Kwiat Jabłoni,14,0.65,0.58,-8.52,0.05,0.47,0.2,0.53
Dawid Podsiadło,14,0.53,0.55,-8.62,0.04,0.28,0.2,0.43
Raport o stanie świata Dariusza Rosiaka,14,0.28,0.13,-27.22,0.15,0.75,0.09,0.15
Etta James,14,0.45,0.31,-10.79,0.04,0.74,0.21,0.5
Metronomy,13,0.77,0.41,-10.7,0.07,0.31,0.1,0.5
Breakout,13,0.59,0.36,-11.01,0.06,0.58,0.13,0.59
Dominic Fike,13,0.75,0.6,-5.18,0.06,0.2,0.11,0.6
Mild Minds,12,0.65,0.68,-7.94,0.06,0.36,0.15,0.34
The Cure,11,0.57,0.78,-7.28,0.05,0.16,0.09,0.74
Pezet,11,0.67,0.73,-7.06,0.24,0.33,0.12,0.53
Malik Djoudi,11,0.74,0.49,-11.12,0.06,0.5,0.15,0.61
Childish Gambino,11,0.66,0.52,-8.4,0.13,0.13,0.21,0.4
Boston Bun,11,0.68,0.81,-6.97,0.06,0.0,0.13,0.27
Radiohead,11,0.4,0.46,-10.85,0.04,0.31,0.12,0.27
Drake,11,0.72,0.57,-7.37,0.08,0.2,0.18,0.4
Juniore,10,0.58,0.79,-6.83,0.04,0.07,0.23,0.73
Kali Uchis,10,0.76,0.65,-5.8,0.12,0.15,0.16,0.65
Mac DeMarco,10,0.69,0.48,-10.81,0.07,0.35,0.21,0.62
Brent Faiyaz,10,0.62,0.41,-9.71,0.13,0.44,0.14,0.54
Yaya Bey,10,0.56,0.51,-7.64,0.19,0.55,0.32,0.49
Nirvana,10,0.43,0.7,-9.06,0.05,0.11,0.13,0.49
Marek Grechuta,10,0.49,0.43,-13.77,0.04,0.48,0.13,0.58
Joy Again,10,0.68,0.9,-5.03,0.09,0.09,0.07,0.94
Good Morning,10,0.6,0.43,-12.15,0.03,0.44,0.11,0.68
Still Corners,10,0.61,0.64,-8.63,0.03,0.18,0.15,0.48
Free Nationals,9,0.78,0.57,-7.58,0.17,0.38,0.09,0.85
Donny Hathaway,9,0.46,0.48,-8.98,0.04,0.6,0.64,0.65
Earl Sweatshirt,9,0.53,0.62,-7.54,0.14,0.39,0.3,0.62
Fleetwood Mac,9,0.65,0.69,-8.35,0.04,0.07,0.07,0.75
Snoop Dogg,9,0.8,0.7,-5.18,0.21,0.14,0.21,0.71
Led Zeppelin,9,0.44,0.74,-10.27,0.09,0.26,0.18,0.56
The Blaze,9,0.65,0.51,-11.1,0.05,0.29,0.16,0.09
The Strokes,8,0.57,0.5,-10.22,0.04,0.5,0.21,0.5
Dr. Dog,8,0.45,0.82,-4.19,0.06,0.13,0.12,0.57
The Dø,8,0.7,0.3,-10.28,0.04,0.57,0.11,0.54
The Weeknd,8,0.6,0.59,-7.43,0.06,0.09,0.18,0.29
Kukon,8,0.76,0.49,-9.35,0.25,0.55,0.12,0.43
Otis Redding,8,0.59,0.13,-15.15,0.06,0.19,0.26,0.07
Mac Miller,8,0.73,0.58,-7.01,0.24,0.46,0.13,0.4
Pity Party (Girls Club),8,0.75,0.54,-9.77,0.05,0.26,0.12,0.39
