trackName,artistName,TotalMinutes
Hotter Than Hell,Dua Lipa,1114.99
...Ready For It?,Taylor Swift,1042.14
Wierność jest nudna,Natalia Kukulska,1031.36
Cruel Summer,Taylor Swift,1013.4
Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,825.98
Mine (Taylor's Version),Taylor Swift,821.43
Nicea,PRO8L3M,692.06
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,638.75
Lovin On Me,Jack Harlow,632.63
Mickey Mouse,pik pik,458.84
"You're On Your Own, Kid",Taylor Swift,443.89
How You Get The Girl (Taylor's Version),Taylor Swift,385.57
Si No Estás,iñigo quintero,357.45
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,319.99
This Love (Taylor’s Version),Taylor Swift,310.63
Rush,Troye Sivan,306.83
Najgorszy finał imprezy w akademiku | 270.,Kryminatorium,293.03
exes,Tate McRae,236.97
Bigger Than Me,Louis Tomlinson,227.05
jak czytać ludzi?,sara cwalina,224.87
What's Up Danger (with Black Caviar),Blackway,223.8
Part Of Me,Katy Perry,216.23
Maria,Justin Bieber,207.33
Beside You,5 Seconds of Summer,198.31
Ocean Drive,Duke Dumont,184.66
Where We Are,mc's kako,156.67
Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,155.82
bad idea right?,Olivia Rodrigo,153.95
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,153.08
Bad Blood (feat. Kendrick Lamar) (Taylor's Version),Taylor Swift,125.67
Lost Me,Giveon,125.01
Paint The Town Red,Doja Cat,120.78
Don’t Blame Me,Taylor Swift,118.76
Style,Taylor Swift,116.51
The Color Violet,Tory Lanez,113.77
I Knew You Were Trouble (Taylor's Version),Taylor Swift,110.89
ZAKOCHANE PARY XD,Qry,110.81
The Other Side,Jason Derulo,110.68
She's Not Afraid,One Direction,109.42
Single Soon,Selena Gomez,109.24
greedy,Tate McRae,107.53
PASEK PLAYBOYA,MIÜ,107.2
Ghostface Killers (feat. Travis Scott),21 Savage,107.07
All Of The Girls You Loved Before,Taylor Swift,104.11
Met Him Last Night,Demi Lovato,103.71
Money Mouf,Tyga,101.35
Hot N Cold,Katy Perry,97.45
IT GIRL,Aliyah's Interlude,91.38
Love Story (Taylor’s Version),Taylor Swift,88.9
No Control,One Direction,87.85
Last Christmas,Wham!,87.82
Into You,Ariana Grande,85.19
"Santa, Can’t You Hear Me",Kelly Clarkson,80.88
Driving Home for Christmas,Chris Rea,80.07
"The First 2 Hours: 4 Tips to Be Productive, Not Busy",Career Contessa,76.83
vampire,Olivia Rodrigo,76.73
Don't Forget Where You Belong,One Direction,76.27
Christmas Tree Farm,Taylor Swift,76.01
Bartier Cardi (feat. 21 Savage),Cardi B,73.94
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,73.84
Merry Christmas Everyone,Shakin' Stevens,73.39
Hotel Maffija 3,SB Maffija,73.05
Shameless,Camila Cabello,72.9
MILLIE WALKY,bambi,72.36
Boomerang,The Hourglass Effect,70.07
Can't Fight This Feeling,Sophie Ellis-Bextor,69.03
Santa's Coming for Us,Sia,68.85
Forever,Chris Brown,68.24
Story of My Life,One Direction,67.61
Santa Baby,Kylie Minogue,67.52
Wide Awake,Katy Perry,67.48
Bring Me Love,John Legend,66.52
People You Know,Selena Gomez,65.24
Ready to Run,One Direction,63.68
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,63.39
Element,Pop Smoke,63.25
Feather,Sabrina Carpenter,62.32
co to za bluza lanek?,SB Maffija,61.97
JEREMY SOCHAN,Oki,61.12
Mistletoe,Justin Bieber,60.98
Feliz Navidad,José Feliciano,60.79
Sleigh Ride,The Ronettes,60.42
Better Than Words,One Direction,59.72
Please Come Home for Christmas - 2013 Remaster,Eagles,59.15
Sleigh Ride,Ella Fitzgerald,58.66
Strangers,Kenya Grace,58.53
Luv / Drugz,K A R L,57.69
Oops (I'm Sorry),Lost Kings,57.65
Santa Claus Is Coming to Town,Michael Bublé,57.03
White Christmas,Daughter of the Moon,55.9
Happily,One Direction,54.17
Steal My Girl,One Direction,54.12
Foolish One (Taylor’s Version) (From The Vault),Taylor Swift,51.96
Beauty And A Beat,Justin Bieber,50.86
Fight For This Love,Cheryl,50.85
Alive,One Direction,50.57
3500 (feat. Future & 2 Chainz),Travis Scott,48.75
let it snow,blondette,48.33
Snowman,Sia,48.29
a lot,21 Savage,48.1
Tapout,Rich Gang,47.43
Little White Lies,One Direction,46.74
Parapetówa,SB Maffija,46.05
You're the Only Good Thing In My Life,Cigarettes After Sex,45.86
Rudolph The Red-Nosed Reindeer,Dean Martin,45.25
Side To Side,Ariana Grande,44.98
Prada,cassö,44.77
I'll Be Home for Christmas,Michael Bublé,44.74
"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,44.6
Solo,Future,44.33
Hello,NateTaylorr,44.32
Frosty The Snowman,Ella Fitzgerald,43.91
Tumblr Girls (feat. Christoph Andersson),G-Eazy,43.76
IDGAF (feat. Yeat),Drake,43.43
BUTTERFLY EFFECT,Travis Scott,43.41
Thank God It's Christmas,Queen,43.2
8 O 8,J€AN-MARC,42.94
silent night,blondette,42.67
Happy Xmas (War Is Over),Céline Dion,42.45
Party Monster,The Weeknd,42.07
Bad Blood,Taylor Swift,41.81
Deszcz na betonie,Taco Hemingway,41.62
Bad Bunny,SB Maffija,41.6
This Christmas,Christina Aguilera,41.47
The Lighthouse Keeper,Sam Smith,41.25
End of the Day,One Direction,41.05
"Medley: Joy to the World / O Come, All Ye Faithful / Hark! the Herald Angels Sing / O Holy Night",Rasa Vitkauskaite,40.91
Where Have You Been,Rihanna,40.45
Take Me To Church,Hozier,40.43
Christmas Lights,Coldplay,40.42
Escapism. - Sped Up,RAYE,40.26
Wolves,One Direction,40.26
Man On the Moon,The Hourglass Effect,40.25
22 (Taylor's Version),Taylor Swift,40.15
we 3 kings,blondette,40.12
SOS,Rihanna,39.82
California Gurls,Katy Perry,39.66
"Witness Me (feat. Shawn Mendes, Stormzy & Kirk Franklin)",Jacob Collier,39.52
Circo Loco,Drake,39.47
Tongue Tied (with YUNGBLUD & blackbear),Marshmello,39.28
Dandelions,Ruth B.,39.22
Club Can't Handle Me (feat. David Guetta),Flo Rida,39.09
Getaway Car,Taylor Swift,39.07
Drunk Me,Mitchell Tenpenny,38.89
Blank Space,Taylor Swift,38.64
Last Friday Night (T.G.I.F.),Katy Perry,38.55
This Christmas,Donny Hathaway,38.53
Payphone,Maroon 5,38.53
Underneath the Tree,Kelly Clarkson,38.41
Teenage Dream,Katy Perry,37.96
One Shot,JLS,37.88
CUFF IT,Beyoncé,37.76
Teenage Dirtbag,Wheatus,37.44
Still into You,Paramore,37.36
Red (Taylor's Version),Taylor Swift,37.31
Chicago Freestyle (feat. Giveon),Drake,36.75
I'll Be Home,Meghan Trainor,36.62
Everything About You,One Direction,36.42
Wrapped in Red,Kelly Clarkson,36.28
Own It (feat. Ed Sheeran & Burna Boy),Stormzy,36.12
I Should Have Kissed You,One Direction,35.99
Through the Dark,One Direction,35.86
Happy Xmas (War Is Over) - Remastered 2010,John Lennon,35.72
golden hour,JVKE,35.54
Lonely This Christmas,Mud,35.53
Starlight,Dave,35.32
Grown-Up Christmas List,Jordan Smith,35.24
Have Yourself a Merry Little Christmas,Daughter of the Moon,35.23
Christmas Time Is Here,Brett Eldredge,35.15
Company,Justin Bieber,35.07
Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,34.65
WHAT U CALL THAT,Chase Atlantic,34.64
It's Beginning to Look a Lot like Christmas,Michael Bublé,34.61
I Need You Christmas,Jonas Brothers,34.34
We Found Love,Rihanna,34.03
Santa Tell Me,Ariana Grande,34.02
Lonely Heart,5 Seconds of Summer,34.0
Walking in the Wind,One Direction,33.95
Lush Life,Zara Larsson,33.82
Girl Almighty,One Direction,33.79
Beautiful Liar,Beyoncé,33.59
I Would,One Direction,33.49
Like It's Christmas,Jonas Brothers,33.48
Rock Me,One Direction,33.46
Why Won’t You Love Me,5 Seconds of Summer,33.43
Oh Santa! (feat. Ariana Grande & Jennifer Hudson),Mariah Carey,33.41
Physical,Dua Lipa,33.36
Blinding Lights,The Weeknd,33.34
Nothing Without You,The Weeknd,33.11
One Thing,One Direction,33.0
The Box,Roddy Ricch,32.99
One Last Time,Ariana Grande,32.99
All Night,The Vamps,32.94
Afterglow,Taylor Swift,32.83
Elle est bonne sa mère,Vegedream,32.81
Paris,Taylor Swift,32.71
Dance The Night - From Barbie The Album,Dua Lipa,32.65
Up All Night,One Direction,32.53
Everyday,Ariana Grande,32.47
Illusion,One Direction,32.4
The Spectre,Alan Walker,32.3
Me And My Broken Heart,Rixton,32.29
Trance (with Travis Scott & Young Thug),Metro Boomin,32.1
Drag Me Down,One Direction,32.09
Diana,One Direction,32.06
The Christmas Song (Merry Christmas To You),Nat King Cole,32.03
Best Song Ever,One Direction,31.85
"break up with your girlfriend, i'm bored",Ariana Grande,31.74
Maybe You’re The Problem,Ava Max,31.72
Daddy Issues,Demi Lovato,31.66
Treat You Better,Shawn Mendes,31.37
SICKO MODE,Travis Scott,31.28
I Wanna Be Yours,Arctic Monkeys,31.27
AIN'T GONNA ANSWER,NLE Choppa,31.24
Christmas Kaboom,Naeleck,31.16
Strong,One Direction,30.98
Ferrari,James Hype,30.76
All I Want For Christmas Is You,Dan Millward,30.46
Cozy Little Christmas,Katy Perry,30.42
Replay,Iyaz,30.38
I Saw Mommy Kissing Santa Claus,The Jackson 5,30.36
Still The One,One Direction,30.36
Prometazyna,SB Maffija,30.22
I Kissed A Girl,Katy Perry,30.14
I Want to Write You a Song,One Direction,29.84
Troublemaker (feat. Flo Rida),Olly Murs,29.81
Midnight Memories,One Direction,29.65
Santa Baby,Ariana Grande,29.37
I'm Good (Blue),David Guetta,29.34
"Baby, It's Cold Outside (feat. Meghan Trainor)",Brett Eldredge,29.16
Silver Bells,Daughter of the Moon,28.88
Dark Red,Steve Lacy,28.85
NNAN,Young M.A,28.82
Pump It Up - Radio Edit,Danzel,28.73
The Lost Soul Down,NBSPLV,28.66
Stockholm Syndrome,One Direction,28.51
Have Yourself A Merry Little Christmas,Sam Smith,28.49
Joy To The World,Nat King Cole,28.33
Karma,Taylor Swift,28.31
Someday At Christmas,Stevie Wonder,28.14
Luxury,Azealia Banks,28.02
Czarna Perła,SB Maffija,27.95
Where Have You Been - Sped Up,Ren0wned,27.94
NIE MA CIĘ,Fukaj,27.9
Christmas (Baby Please Come Home),Darlene Love,27.85
Last Christmas,Dan Millward,27.8
Run Rudolph Run,Chuck Berry,27.62
Do You Hear What I Hear? - Remastered 2006,Bing Crosby,27.61
Magic,One Direction,27.5
"C'mon, C'mon",One Direction,27.45
why are you here,Machine Gun Kelly,27.43
Sunroof,Nicky Youre,27.17
Confident,Demi Lovato,26.98
Overdue (with Travis Scott),Metro Boomin,26.28
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,25.99
Merry Christmas Baby,Otis Redding,25.93
love is embarrassing,Olivia Rodrigo,25.87
O.E.O (Our Eyes Only),Omarion,25.73
Meltdown,Niall Horan,25.51
eyes don't lie,Isabel LaRosa,25.36
YOSEMITE,Travis Scott,25.01
Summer Jam - Blondee & Roberto Mozza Remix,The Underdog Project,24.98
What Christmas Means To Me,Stevie Wonder,24.93
halo,Favst,24.92
RiRi,White 2115,24.79
Need You Now,Lady A,24.51
Summertime Sadness,Lana Del Rey,24.43
Silent Night - 1999 Remaster,Frank Sinatra,24.38
Santa Claus Is Coming To Town,The Jackson 5,24.0
older,Isabel LaRosa,23.95
"Baby, It's Cold Outside - Remastered 2004",Dean Martin,23.84
Santa Claus Is Back In Town,Elvis Presley,23.77
o little town of Bethlehem,blondette,23.49
STAY (with Justin Bieber),The Kid LAROI,23.45
silver and gold,blondette,23.33
Si No Estás - Sped Up,Formula Speed,23.3
Flowers,Miley Cyrus,23.19
Mistletoe And Holly - Remastered 1999,Frank Sinatra,22.74
Into It,Chase Atlantic,22.72
Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,22.59
A Holly Jolly Christmas,Burl Ives,22.59
Winter Wonderland,Tony Bennett,22.2
Jingle Bell Rock,Bobby Helms,21.83
Rudolph The Red-Nosed Reindeer,Burl Ives,21.67
If We Have Each Other,Alec Benjamin,21.67
Blue Christmas,Elvis Presley,21.53
Rockin' Around The Christmas Tree,Brenda Lee,21.52
ABCD,Zeamsone,21.39
have yourself a merry little christmas,blondette,21.33
Jingle Bells,Frank Sinatra,20.36
Kulig,Kaz Bałagane,20.26
Another World,One Direction,20.18
Holly Jolly Christmas,Michael Bublé,20.11
ztb,Favst,20.06
ecstacy (slowed),SUICIDAL-IDOL,20.06
I Know What You Did Last Summer,Shawn Mendes,20.05
this christmas with you,blondette,19.67
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,19.57
fukumean,Gunna,19.31
Here Comes Santa Claus (Right Down Santa Claus Lane),Elvis Presley,19.3
Skydancer,Dreamfield,18.54
Boss Bitch,Doja Cat,17.94
Missile - Acte II,Lartiste,17.88
O Holy Night,Ground Zero Academy Orchestra,17.57
Baby,Justin Bieber,17.26
BFF,bambi,15.98
Formula,Labrinth,15.31
Colors (Code Geass),Otaku,15.16
Just A Dream,Nelly,13.98
18,White 2115,13.82
5 INFLUENCEREK,Zeamsone,11.73
Moulaga,Heuss L'enfoiré,10.33
Get'cha Head In The Game,Troy,9.17
Hard For Me,Michele Morrone,8.73
The Way I Loved You (Taylor’s Version),Taylor Swift,8.23
I Want,One Direction,7.46
Christmas Without You,Ava Max,7.2
way back,Travis Scott,7.04
Dancing On My Own,Robyn,6.67
KFC,Otsochodzi,5.36
BLUE,Troye Sivan,5.32
3D (feat. Jack Harlow),Jung Kook,4.84
Overdrive (feat. Norma Jean Martine),Ofenbach,4.82
Droga Pani,cosmos,4.41
Millenium sport,Jan-Rapowanie,4.09
All Hang The Lights On Christmas,Nick Phoenix,3.82
Things We Lost In The Fire,Bastille,3.64
run for the hills,Tate McRae,3.48
Taxi,Kizo,3.44
Mamacita (feat. Rich Homie Quan & Young Thug),Travis Scott,3.04
You,Armaan Malik,2.65
Something Great,One Direction,2.54
Boom Clap,Charli XCX,2.35
Loved You First,One Direction,2.09
White Christmas,Dean Martin,2.03
The Hanging Tree,James Newton Howard,1.82
Anti-Hero,Taylor Swift,1.76
Applause,Lady Gaga,1.75
Finally Free,MargoFitz,1.73
Na Na Na,One Direction,1.73
#405 – Jeff Bezos: Amazon and Blue Origin,Lex Fridman Podcast,1.72
LALA,Myke Towers,1.65
Interlude - The Trio,Lana Del Rey,1.58
Audi.,Smokepurpp,1.56
Reflections,Trevor Stanley,1.47
More Than A Woman - SG's Paradise Edit,Bee Gees,1.41
SMASH,Michael Wilbur,1.33
Speed Drive (From Barbie The Album),Charli XCX,1.31
You Give Love A Bad Name,Bon Jovi,1.25
all-american bitch,Olivia Rodrigo,1.21
"Think Of Me Once In A While, Take Care",Take Care,1.17
Houdini,Dua Lipa,1.1
good 4 u,Olivia Rodrigo,1.07
Feel Alive,KAMRAD,1.05
Black Friday,Tom Odell,0.99
Give Me Love,Ed Sheeran,0.96
Sea in Green,Drunk Urameshi,0.95
"Dance For Me (1, 2, 3) - Stutter Techno",Sonny Wern,0.92
Weightless Part 1,Marconi Union,0.87
Break Free,Ariana Grande,0.87
Satellite,Harry Styles,0.86
I Love Me,Demi Lovato,0.84
Midnight Rain,Taylor Swift,0.82
Why Don't We Go There,One Direction,0.79
Jak robić więcej na codzień? | Glow up PODCAST ✨ #16,Glow up PODCAST ✨,0.78
The One That Got Away,Katy Perry,0.77
Radio,Lana Del Rey,0.75
Fatamorgana,Przemek.pro,0.74
We're All In This Together,High School Musical Cast,0.74
