artistName,Count,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Valence
Marshmello,3,0.63,0.82,-2.72,0.05,0.02,0.43,0.46
Nelly,3,0.53,0.75,-6.16,0.03,0.04,0.12,0.1
Nat King Cole,3,0.44,0.27,-12.78,0.03,0.87,0.13,0.44
Myke Towers,3,0.71,0.74,-4.04,0.04,0.07,0.1,0.61
Mitchell Tenpenny,3,0.5,0.8,-3.77,0.06,0.2,0.09,0.41
Pop Smoke,3,0.77,0.88,-4.22,0.32,0.03,0.25,0.3
Ruth B.,3,0.61,0.69,-2.96,0.03,0.02,0.09,0.45
SUICIDAL-IDOL,3,0.55,0.68,-7.31,0.07,0.02,0.38,0.2
Kizo,3,0.76,0.75,-6.26,0.26,0.24,0.17,0.68
Lost Kings,3,0.66,0.8,-5.23,0.03,0.04,0.12,0.33
Lex Fridman Podcast,3,0.37,0.87,-7.72,0.06,0.16,0.6,0.7
Lartiste,3,0.82,0.54,-6.5,0.07,0.35,0.22,0.47
Sophie Ellis-Bextor,3,0.59,0.87,-3.16,0.06,0.06,0.32,0.81
The Hourglass Effect,3,0.56,0.79,-6.56,0.03,0.05,0.14,0.59
Kryminatorium,3,0.66,0.42,-16.53,0.06,0.92,0.1,0.64
Glow up PODCAST ✨,3,0.63,0.76,-7.88,0.16,0.01,0.11,0.4
sara cwalina,3,0.91,0.89,-3.08,0.12,0.0,0.28,0.96
ABBA,3,0.75,0.62,-8.04,0.04,0.22,0.12,0.61
Andra,3,0.77,0.74,-3.54,0.05,0.2,0.74,0.66
Cyrko,3,0.77,0.75,-3.7,0.11,0.12,0.1,0.43
Christina Aguilera,3,0.41,0.51,-7.95,0.05,0.47,0.08,0.43
Chris Brown,3,0.67,0.82,-4.46,0.05,0.04,0.18,0.44
Brett Eldredge,3,0.48,0.44,-8.38,0.03,0.83,0.22,0.46
Frank Sinatra,3,0.52,0.2,-14.49,0.04,0.84,0.08,0.45
Bastille,3,0.59,0.92,-4.88,0.06,0.06,0.27,0.63
ANATHEMIA,3,0.88,0.58,-9.94,0.17,0.22,0.05,0.77
Elvis Presley,3,0.49,0.33,-14.88,0.04,0.86,0.12,0.65
Chase Atlantic,3,0.59,0.61,-5.95,0.04,0.06,0.14,0.36
Kesha,2,0.75,0.83,-3.81,0.09,0.05,0.2,0.68
Shakin' Stevens,2,0.53,0.9,-3.32,0.04,0.13,0.13,0.96
Trevor Stanley,2,0.37,0.01,-40.85,0.05,0.99,0.08,0.19
Nicki Minaj,2,0.77,0.58,-8.39,0.25,0.52,0.23,0.75
G-Eazy,2,0.49,0.37,-9.76,0.26,0.1,0.13,0.35
Tyla,2,0.67,0.72,-3.5,0.08,0.09,0.14,0.52
Cheryl,2,0.73,0.75,-5.76,0.1,0.02,0.07,0.74
Video,2,0.63,0.88,-3.85,0.04,0.1,0.19,0.84
Carly Rae Jepsen,2,0.78,0.58,-6.55,0.04,0.01,0.11,0.66
Sam Smith,2,0.42,0.17,-9.88,0.04,0.92,0.21,0.33
Omarion,2,0.63,0.57,-6.92,0.06,0.02,0.22,0.35
Wheatus,2,0.62,0.85,-3.9,0.05,0.35,0.17,0.63
Coolio,2,0.65,0.51,-10.05,0.06,0.07,0.4,0.39
Dermot Kennedy,2,0.32,0.84,-4.23,0.15,0.05,0.11,0.48
David Guetta,2,0.56,0.96,-3.67,0.03,0.0,0.37,0.3
NateTaylorr,2,0.82,0.55,-6.01,0.13,0.13,0.11,0.1
David Kushner,2,0.51,0.43,-9.48,0.03,0.83,0.09,0.32
Billie Eilish,2,0.57,0.24,-13.2,0.12,0.72,0.11,0.23
K A R L,2,0.74,0.71,-4.13,0.11,0.42,0.11,0.34
Lil Mabu,2,0.71,0.44,-11.23,0.26,0.0,0.12,0.32
Chris Rea,2,0.5,0.66,-9.05,0.04,0.33,0.21,0.89
The Ronettes,2,0.53,0.77,-7.01,0.03,0.4,0.32,0.85
Darlene Love,2,0.32,0.76,-7.15,0.05,0.4,0.08,0.36
Dan Millward,2,0.6,0.16,-12.2,0.04,0.88,0.12,0.53
NBSPLV,2,0.72,0.74,-7.48,0.04,0.01,0.19,0.76
The Kid LAROI,2,0.59,0.76,-5.48,0.05,0.04,0.1,0.48
Myslovitz,2,0.71,0.72,-6.21,0.04,0.07,0.06,0.79
Mariah Carey,2,0.51,0.72,-5.25,0.07,0.2,0.11,0.52
Taco Hemingway,2,0.77,0.59,-9.43,0.06,0.02,0.09,0.72
Beteo,2,0.68,0.8,-7.76,0.09,0.11,0.27,0.31
Eagles,2,0.61,0.29,-11.57,0.04,0.6,0.06,0.47
Andrzej Koziński,2,0.79,0.87,-5.66,0.12,0.0,0.18,0.79
J€AN-MARC,2,0.92,0.66,-6.2,0.14,0.11,0.09,0.54
Zara Larsson,2,0.69,0.71,-3.92,0.05,0.13,0.21,0.8
Ryan Gosling,2,0.5,0.74,-5.96,0.04,0.01,0.22,0.61
Burl Ives,2,0.68,0.32,-12.91,0.03,0.62,0.14,0.85
JLS,2,0.65,0.73,-5.51,0.07,0.09,0.3,0.63
Przemek.pro,2,0.86,0.94,-4.16,0.25,0.17,0.09,0.52
Brenda Lee,2,0.59,0.47,-8.75,0.05,0.61,0.5,0.9
Roddy Ricch,2,0.9,0.59,-6.69,0.06,0.1,0.79,0.64
Hozier,2,0.57,0.66,-5.3,0.05,0.63,0.12,0.44
High School Musical Cast,2,0.73,0.83,-6.72,0.13,0.04,0.45,0.81
Harry Styles,2,0.55,0.59,-5.91,0.04,0.24,0.2,0.48
Guzowianki,2,0.63,0.69,-6.5,0.06,0.05,0.14,0.92
Robyn,2,0.68,0.87,-4.78,0.03,0.06,0.09,0.28
ReTo,2,0.76,0.57,-7.69,0.07,0.23,0.16,0.53
Fukaj,2,0.72,0.64,-7.18,0.16,0.18,0.41,0.46
Ren0wned,2,0.62,0.87,-5.31,0.14,0.01,0.09,0.78
Ginuwine,2,0.75,0.6,-9.36,0.09,0.0,0.12,0.97
Ryan Oakes,2,0.66,0.72,-7.2,0.1,0.19,0.11,0.09
Favst,2,0.75,0.79,-7.02,0.21,0.35,0.36,0.63
Yamê,2,0.5,0.53,-7.76,0.1,0.33,0.1,0.23
José Feliciano,2,0.51,0.83,-9.0,0.04,0.55,0.34,0.96
YUNGBLUD,2,0.62,0.82,-4.76,0.04,0.01,0.29,0.58
Elton John,2,0.67,0.86,-6.28,0.03,0.06,0.2,0.87
Calvin Harris,2,0.62,0.87,-4.78,0.04,0.12,0.28,0.46
Jungle,2,0.61,0.64,-7.56,0.1,0.2,0.17,0.17
Otsochodzi,2,0.8,0.84,-6.68,0.19,0.06,0.17,0.76
John Legend,2,0.5,0.86,-6.28,0.42,0.2,0.12,0.58
Sonny Wern,1,0.71,0.98,-5.58,0.07,0.05,0.11,0.32
SYML,1,0.6,0.36,-10.11,0.03,0.87,0.11,0.37
Bing Crosby,1,0.57,0.25,-15.5,0.03,0.81,0.2,0.41
Białas,1,0.75,0.53,-8.93,0.42,0.53,0.1,0.37
Steve Lacy,1,0.6,0.78,-4.02,0.06,0.45,0.12,0.77
Rixton,1,0.55,0.78,-4.26,0.03,0.0,0.13,0.55
Black Eyed Peas,1,0.74,0.77,-6.38,0.03,0.09,0.51,0.61
Stormzy,1,0.82,0.78,-4.18,0.11,0.01,0.12,0.36
Stephen Sanchez,1,0.55,0.55,-5.34,0.03,0.78,0.2,0.34
Smokepurpp,1,0.79,0.37,-10.05,0.14,0.02,0.1,0.28
Samuel Bawo,1,0.27,0.11,-31.17,0.05,0.99,0.09,0.08
S3BZS,1,0.88,0.8,-3.2,0.05,0.73,0.09,0.8
Sidney Polak,1,0.72,0.74,-6.26,0.04,0.21,0.09,0.88
Biggy See,1,0.68,0.86,-4.35,0.24,0.02,0.31,0.7
Rodnell Hairston,1,0.2,0.01,-33.69,0.07,1.0,0.1,0.22
Seafret,1,0.4,0.48,-7.99,0.03,0.05,0.12,0.21
Sean Paul,1,0.95,0.6,-4.68,0.07,0.11,0.07,0.82
SZA,1,0.64,0.73,-5.75,0.04,0.05,0.16,0.43
Rvfv,1,0.69,0.74,-5.57,0.11,0.24,0.11,0.47
Bobby Helms,1,0.75,0.42,-8.46,0.04,0.64,0.07,0.81
Bon Jovi,1,0.54,0.96,-2.95,0.05,0.07,0.34,0.81
Blacha 2115,1,0.67,0.8,-9.19,0.04,0.68,0.14,0.49
Strach Story ,1,0.88,0.48,-9.33,0.04,0.11,0.05,0.92
The Vamps,1,0.54,0.8,-5.19,0.04,0.0,0.33,0.51
Stromae,1,0.51,0.63,-9.06,0.19,0.1,0.15,0.5
Alec Benjamin,1,0.66,0.58,-5.57,0.08,0.7,0.3,0.86
Andy Williams,1,0.24,0.6,-8.44,0.04,0.77,0.12,0.78
Whitney Houston,1,0.71,0.82,-8.82,0.05,0.21,0.09,0.87
X Ambassadors,1,0.39,0.66,-6.17,0.06,0.18,0.12,0.2
Yall,1,0.48,0.71,-3.78,0.11,0.02,0.2,0.49
Young Leosia,1,0.93,0.8,-5.89,0.23,0.14,0.07,0.64
Young M.A,1,0.82,0.54,-5.01,0.06,0.28,0.2,0.67
Andrea Russett,1,0.5,0.51,-5.8,0.03,0.7,0.1,0.38
Zac Efron,1,0.74,0.91,-3.23,0.08,0.12,0.33,0.7
Zedd,1,0.63,0.83,-4.13,0.03,0.01,0.07,0.56
Zerb,1,0.85,0.64,-8.75,0.06,0.2,0.12,0.05
bbygirl,1,0.6,0.67,-13.49,0.03,0.03,0.14,0.36
Vixen,1,0.58,0.68,-7.57,0.07,0.32,0.11,0.26
Alan Walker,1,0.65,0.71,-7.44,0.04,0.02,0.09,0.2
carolesdaughter,1,0.8,0.76,-5.39,0.03,0.33,0.12,0.41
club2020,1,0.64,0.69,-7.57,0.1,0.18,0.33,0.74
cosmos,1,0.79,0.64,-11.0,0.38,0.75,0.11,0.88
d4vd,1,0.57,0.46,-9.28,0.03,0.54,0.12,0.3
jxdn,1,0.36,0.85,-5.11,0.34,0.0,0.45,0.55
kingpuntocom beats,1,0.83,0.94,-11.02,0.18,0.02,0.06,0.95
50 Cent,1,0.9,0.72,-2.78,0.35,0.26,0.07,0.8
220 KID,1,0.73,0.8,-3.78,0.07,0.12,0.18,0.52
push baby,1,0.67,0.69,-4.69,0.04,0.02,0.2,0.54
Vizza,1,0.9,0.57,-8.74,0.24,0.06,0.08,0.94
Vegedream,1,0.79,0.74,-5.48,0.06,0.33,0.34,0.47
Sufjan Stevens,1,0.44,0.1,-22.39,0.04,0.97,0.12,0.16
The Underdog Project,1,0.67,0.75,-7.63,0.05,0.29,0.37,0.38
TOOPOOR,1,0.66,0.66,-3.92,0.05,0.04,0.73,0.48
Tahiti,1,0.83,0.68,-4.88,0.18,0.1,0.7,0.78
Take Care,1,0.21,0.14,-11.37,0.04,0.9,0.09,0.04
Benson Boone,1,0.36,0.54,-6.03,0.05,0.34,0.14,0.3
Bee Gees,1,0.68,0.76,-4.25,0.03,0.0,0.04,0.51
Bedoes 2115,1,0.7,0.68,-8.14,0.33,0.22,0.2,0.23
Beach Bunny,1,0.53,0.8,-7.49,0.05,0.0,0.14,0.75
The Killers,1,0.35,0.91,-5.23,0.07,0.0,0.1,0.24
The Neighbourhood,1,0.46,0.7,-5.69,0.04,0.01,0.34,0.36
