endTime,genre,count
2023-12-10,electronica,1
2023-12-10,hip hop,7
2023-12-10,house,1
2023-12-10,polish hip hop,1
2023-12-10,pop,18
2023-12-10,r&b,2
2023-12-10,rap,7
2023-12-11,alt z,1
2023-12-11,hip hop,7
2023-12-11,pop,21
2023-12-11,r&b,1
2023-12-11,rap,7
2023-12-12,alt z,1
2023-12-12,electronica,1
2023-12-12,hip hop,10
2023-12-12,house,1
2023-12-12,polish hip hop,2
2023-12-12,pop,35
2023-12-12,r&b,2
2023-12-12,rap,11
2023-12-13,electronica,7
2023-12-13,hip hop,20
2023-12-13,house,5
2023-12-13,polish hip hop,31
2023-12-13,polish pop,4
2023-12-13,pop,62
2023-12-13,r&b,10
2023-12-13,rap,41
2023-12-13,rock,3
2023-12-14,alt z,2
2023-12-14,electronica,4
2023-12-14,hip hop,7
2023-12-14,house,1
2023-12-14,polish hip hop,22
2023-12-14,polish pop,2
2023-12-14,pop,78
2023-12-14,r&b,49
2023-12-14,rap,22
2023-12-15,alt z,1
2023-12-15,electronica,1
2023-12-15,hip hop,4
2023-12-15,polish hip hop,6
2023-12-15,pop,40
2023-12-15,r&b,22
2023-12-15,rap,10
2023-12-16,alt z,1
2023-12-16,electronica,3
2023-12-16,hip hop,5
2023-12-16,house,2
2023-12-16,polish hip hop,3
2023-12-16,pop,58
2023-12-16,r&b,7
2023-12-16,rap,6
2023-12-16,rock,11
2023-12-17,hip hop,1
2023-12-17,polish hip hop,1
2023-12-17,pop,4
2023-12-17,rap,1
2023-12-18,electronica,2
2023-12-18,hip hop,10
2023-12-18,house,2
2023-12-18,polish hip hop,2
2023-12-18,polish pop,1
2023-12-18,pop,56
2023-12-18,r&b,30
2023-12-18,rap,9
2023-12-19,alt z,11
2023-12-19,electronica,2
2023-12-19,hip hop,10
2023-12-19,house,4
2023-12-19,polish hip hop,6
2023-12-19,polish pop,3
2023-12-19,pop,114
2023-12-19,r&b,8
2023-12-19,rap,17
2023-12-19,rock,8
2023-12-20,alt z,6
2023-12-20,electronica,5
2023-12-20,hip hop,11
2023-12-20,polish hip hop,4
2023-12-20,polish pop,1
2023-12-20,pop,110
2023-12-20,r&b,5
2023-12-20,rap,18
2023-12-20,rock,4
2023-12-21,alt z,5
2023-12-21,electronica,3
2023-12-21,hip hop,4
2023-12-21,house,2
2023-12-21,polish hip hop,15
2023-12-21,polish pop,15
2023-12-21,pop,90
2023-12-21,r&b,24
2023-12-21,rap,16
2023-12-21,rock,2
2023-12-22,hip hop,1
2023-12-22,polish pop,1
2023-12-22,pop,32
2023-12-22,r&b,2
2023-12-22,rap,1
2023-12-22,rock,14
2023-12-24,alt z,1
2023-12-24,electronica,2
2023-12-24,hip hop,1
2023-12-24,polish hip hop,4
2023-12-24,polish pop,5
2023-12-24,pop,25
2023-12-24,r&b,3
2023-12-24,rap,5
2023-12-25,rap,1
2023-12-26,polish pop,2
2023-12-26,pop,12
2023-12-26,r&b,1
2023-12-27,alt z,2
2023-12-27,electronica,12
2023-12-27,hip hop,22
2023-12-27,house,7
2023-12-27,polish hip hop,8
2023-12-27,polish pop,9
2023-12-27,pop,102
2023-12-27,r&b,28
2023-12-27,rap,35
2023-12-27,rock,9
2023-12-28,pop,2
2023-12-30,polish pop,1
2023-12-30,pop,4
2023-12-31,alt z,2
2023-12-31,electronica,2
2023-12-31,hip hop,1
2023-12-31,house,1
2023-12-31,polish hip hop,1
2023-12-31,polish pop,1
2023-12-31,pop,54
2023-12-31,rap,1
2024-01-02,electronica,1
2024-01-02,pop,4
2024-01-02,rap,1
2024-01-03,electronica,5
2024-01-03,hip hop,6
2024-01-03,house,3
2024-01-03,polish hip hop,12
2024-01-03,polish pop,4
2024-01-03,pop,74
2024-01-03,r&b,6
2024-01-03,rap,13
2024-01-03,rock,3
2024-01-04,alt z,4
2024-01-04,electronica,1
2024-01-04,hip hop,6
2024-01-04,house,2
2024-01-04,polish hip hop,18
2024-01-04,polish pop,10
2024-01-04,pop,94
2024-01-04,r&b,23
2024-01-04,rap,19
2024-01-04,rock,1
2024-01-05,alt z,3
2024-01-05,electronica,3
2024-01-05,hip hop,1
2024-01-05,house,4
2024-01-05,polish hip hop,4
2024-01-05,polish pop,1
2024-01-05,pop,35
2024-01-05,r&b,1
2024-01-05,rap,3
2024-01-05,rock,3
2024-01-07,alt z,2
2024-01-07,electronica,4
2024-01-07,hip hop,11
2024-01-07,house,4
2024-01-07,polish hip hop,12
2024-01-07,polish pop,3
2024-01-07,pop,87
2024-01-07,r&b,22
2024-01-07,rap,20
2024-01-07,rock,3
2024-01-08,alt z,4
2024-01-08,electronica,4
2024-01-08,hip hop,9
2024-01-08,house,3
2024-01-08,polish hip hop,9
2024-01-08,polish pop,2
2024-01-08,pop,70
2024-01-08,r&b,15
2024-01-08,rap,18
2024-01-08,rock,1
2024-01-09,hip hop,15
2024-01-09,house,12
2024-01-09,polish hip hop,2
2024-01-09,pop,17
2024-01-09,r&b,10
2024-01-09,rap,15
