endTime,artistName,trackName,msPlayed,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,genre
2023-12-24 15:16:00,Katy Perry,Hot N Cold,682,0.706,0.841,7,-3.956,1,0.0418,7.95e-05,0.0,0.0688,0.861,132.032,1y4eb6hmAvsqlDOl3fx9kk,220227,pop
2023-12-24 15:16:00,bambi,BFF,810,0.685,0.723,6,-7.159,0,0.0887,0.0293,1.83e-05,0.103,0.435,145.955,1kuhnhugcuXf4CiNdqCRUU,174247,"polish hip hop, polish viral pop, polish hip hop, polish pop, polish hip hop"
2023-12-24 15:16:00,Louis Tomlinson,Bigger Than Me,221440,0.468,0.835,4,-3.8,1,0.0501,0.00195,0.0,0.424,0.454,144.925,0XdZ6YWnTtkQcMlDXE2qFN,221440,pop
2023-12-24 15:20:00,Taylor Swift,Don’t Blame Me,236413,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,1R0a2iXumgCiFb7HEZ7gUE,236413,pop
2023-12-24 15:34:00,Natalia Kukulska,Wierność jest nudna,2432,0.539,0.649,6,-8.302,0,0.052,0.254,0.0,0.119,0.589,159.985,3ZCeZfeh8ejSrn4zlPkeKQ,226183,polish pop
2023-12-24 15:34:00,mc's kako,Where We Are,213113,0.596,0.819,5,-5.281,1,0.0484,0.569,1.78e-06,0.132,0.227,150.016,0JbnM6rnFObzTrwKl7BPMb,191600,funk paulista
2023-12-24 15:38:00,Taylor Swift,...Ready For It?,208186,0.613,0.764,2,-6.509,1,0.136,0.0527,0.0,0.197,0.417,160.015,2yLa0QULdQr0qAIvVwN6B5,208187,pop
2023-12-24 22:19:00,Taylor Swift,"You're On Your Own, Kid",8593,0.696,0.396,2,-10.289,1,0.0656,0.401,5.2e-06,0.125,0.38,120.041,4D7BCuvgdJlYvlX5WlN54t,194207,pop
2023-12-25 21:31:00,Karolina Sobańska,#297: oddech jako narzędzie do lepszego życia,0,0.235,0.394,3,-10.868,0,0.04,0.8,0.648,0.379,0.085,102.859,0gftQQbsD41wt2Sn6PpdEE,232758,
2023-12-25 21:31:00,Glow up PODCAST ✨,Jak robić więcej na codzień? | Glow up PODCAST ✨ #16,0,0.628,0.758,4,-7.882,0,0.159,0.00668,0.0655,0.109,0.401,170.019,4V9GSBFDOiQYnWekT5aZGh,159534,polish underground rap
2023-12-26 12:35:00,Taylor Swift,...Ready For It?,1210,0.613,0.764,2,-6.509,1,0.136,0.0527,0.0,0.197,0.417,160.015,2yLa0QULdQr0qAIvVwN6B5,208187,pop
2023-12-26 12:35:00,ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),1310,0.731,0.445,0,-8.418,1,0.0533,0.0586,1.96e-05,0.14,0.106,117.97,55n9yjI6qqXh5F2mYvUc2y,247160,"pop, uk pop, pop"
2023-12-26 12:39:00,Natalia Kukulska,Wierność jest nudna,227213,0.539,0.649,6,-8.302,0,0.052,0.254,0.0,0.119,0.589,159.985,3ZCeZfeh8ejSrn4zlPkeKQ,226183,polish pop
2023-12-26 12:42:00,Troye Sivan,Rush,156391,0.743,0.837,5,-7.634,0,0.0633,0.00288,2.86e-05,0.104,0.378,126.023,4ZnkygoWLzcGbQYCm3lkae,156391,"australian pop, pop, viral pop"
2023-12-26 12:42:00,Taylor Swift,Say Don't Go (Taylor's Version) (From The Vault),10875,0.626,0.547,4,-8.285,1,0.0342,0.0656,1.67e-05,0.149,0.192,109.946,4NioO5R9sHEZh4cGzMHyNt,279833,pop
2023-12-26 12:46:00,Taylor Swift,...Ready For It?,208186,0.613,0.764,2,-6.509,1,0.136,0.0527,0.0,0.197,0.417,160.015,2yLa0QULdQr0qAIvVwN6B5,208187,pop
2023-12-26 12:48:00,Taylor Swift,"You're On Your Own, Kid",113683,0.696,0.396,2,-10.289,1,0.0656,0.401,5.2e-06,0.125,0.38,120.041,4D7BCuvgdJlYvlX5WlN54t,194207,pop
2023-12-26 12:53:00,Taylor Swift,"You're On Your Own, Kid",393,0.696,0.396,2,-10.289,1,0.0656,0.401,5.2e-06,0.125,0.38,120.041,4D7BCuvgdJlYvlX5WlN54t,194207,pop
2023-12-26 12:53:00,Taylor Swift,...Ready For It?,208186,0.613,0.764,2,-6.509,1,0.136,0.0527,0.0,0.197,0.417,160.015,2yLa0QULdQr0qAIvVwN6B5,208187,pop
2023-12-26 12:55:00,Taylor Swift,...Ready For It?,145820,0.613,0.764,2,-6.509,1,0.136,0.0527,0.0,0.197,0.417,160.015,2yLa0QULdQr0qAIvVwN6B5,208187,pop
