endTime,artistName,trackName,msPlayed,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,genre
2024-01-01 19:30:00,Schokk,Мысли пачкают мозги,192327,0.572,0.913,7,-3.915,0,0.413,0.0972,0.0,0.142,0.581,150.087,0FK6SNxnZoaPpx3fculDL5,192328,"russian grime, russian trap, russian grime, russian hip hop, russian trap"
2024-01-01 19:31:00,Schokk,Дегенеративное искусство,2799,0.789,0.848,11,-4.617,0,0.286,0.147,0.0,0.0871,0.625,95.971,0jByvLSGNs9CIyoMDonc1k,174158,"russian grime, russian trap, russian grime, russian hip hop, russian trap"
2024-01-01 19:31:00,Три дня дождя,Бежим,2164,0.596,0.591,1,-7.878,1,0.0325,0.0155,0.237,0.186,0.386,82.016,1B8zvJxIUBA7dYlae8fymW,226829,"russian alt pop, russian hip hop, russian gangster rap"
2024-01-01 19:31:00,Кот Балу,Здесь и сейчас,2377,0.856,0.283,10,-10.701,0,0.657,0.684,0.00497,0.296,0.296,121.975,4rcCQaZkVgtO0trLnq4gGW,119262,kazakh viral pop
2024-01-01 19:31:00,Oxxxymiron,Признаки жизни,5017,0.398,0.944,11,-4.371,1,0.343,0.0487,0.0,0.505,0.641,147.992,4oYU9SMXWCe6cBkCgzlLYU,281797,"russian grime, russian hip hop, russian trap"
2024-01-01 19:31:00,Брутто,Шаде,2210,0.62,0.424,0,-4.517,0,0.206,0.171,0.00282,0.17,0.548,96.405,4pftHqEykr5Gp1qGmGqcax,282532,russian gangster rap
2024-01-01 19:31:00,YARMAK,На краю,3010,0.746,0.68,9,-6.496,0,0.0693,0.182,0.0,0.0891,0.482,73.05,0uXNRhIIZRzXCUBnofeVI6,203886,"ukrainian hip hop, ukrainian pop"
2024-01-01 19:31:00,Грязь,Расскажи мне о любви,2538,0.573,0.844,7,-6.323,1,0.398,0.395,0.0,0.157,0.326,132.013,2gb1s7STI5dWfxc60Jluf0,210605,"belarusian rock, russian alt pop, russian hip hop"
2024-01-01 19:31:00,Брутто,Cadillac,3154,0.882,0.41,5,-10.334,0,0.162,0.42,0.151,0.233,0.767,75.015,22LibWsU7oELddGMevwHKd,168400,russian gangster rap
2024-01-01 19:47:00,Noize MC,Ты не считаешь,165652,0.781,0.914,10,-4.637,0,0.0713,0.146,3.93e-06,0.135,0.668,97.02,1fXqLLdjFR8T66YYB8GAuf,274947,"russian hip hop, russian reggae, russian rock"
2024-01-02 19:50:00,Oxxxymiron,Хитиновый покров,9197,0.65,0.653,4,-7.902,0,0.292,0.00948,0.000121,0.455,0.295,92.907,6iDGZJolZoqGC4RBGt9MD8,187744,"russian grime, russian hip hop, russian trap"
2024-01-02 19:50:00,ZHU,Faded,223484,0.867,0.477,9,-7.183,0,0.049,0.00843,0.175,0.113,0.614,124.979,2GQEM9JuHu30sGFvRYeCxz,223480,"edm, electro house"
2024-01-02 19:55:00,Radiohead,Creep,11198,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,70LcF31zb1H0PyJoS1Sx1r,238640,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock"
2024-01-02 19:55:00,Oxxxymiron,Неваляшка,257000,0.435,0.87,1,-6.789,1,0.47,0.169,0.0,0.221,0.269,137.34,6RBKPllSiDLF8u6mn9NJzx,257000,"russian grime, russian hip hop, russian trap"
2024-01-02 20:17:00,Oxxxymiron,Где нас нет,206032,0.55,0.958,5,-2.691,1,0.48,0.0764,0.0,0.305,0.279,176.03,3lE8RY6yZoGqqJeZS06u6J,265909,"russian grime, russian hip hop, russian trap"
2024-01-02 20:23:00,Oxxxymiron,Где нас нет,61518,0.55,0.958,5,-2.691,1,0.48,0.0764,0.0,0.305,0.279,176.03,3lE8RY6yZoGqqJeZS06u6J,265909,"russian grime, russian hip hop, russian trap"
2024-01-02 20:26:00,Pornofilmy,Молодость,177000,0.487,0.888,2,-4.606,1,0.124,0.000902,0.0034,0.15,0.619,177.94,2FH4s6XORj1C5nHZf8vEs7,177000,"russian alt pop, russian pop punk, russian punk, russian punk rock, russian rock"
2024-01-02 20:41:00,N.R.M.,Lohkija-lohkija,14129,0.619,0.972,0,-2.838,1,0.108,0.0596,2.38e-06,0.144,0.213,132.016,1iKhSrQ7cVP6g3s7s6XCJ8,307027,belarusian rock
