# source, target, tau, severity, weight, color, gender, patients_norm, RRI^F, patients, tau_norm, RRI^M
9,60,0.08,*,2.02857142857,#bc141a,Female,1.02757533977,7.08353713477,11,2.02857142857,0.14117240878
9,64,0.11,*,2.41428571429,#fca689,Female,1.01654520386,1.77088428369,7,2.41428571429,0.564689635121
9,70,0.12,*,2.54285714286,#fb7252,Female,1.16269450463,2.83341485391,60,2.54285714286,0.352931021951
9,28,0.17,*,3.18571428571,#f34b36,Female,1.06342328147,3.54176856738,24,3.18571428571,0.282344817561
9,74,0.13,*,2.67142857143,#808080,Male,1.03860547567,0.472235808984,15,2.67142857143,2.11758613171
10,7,0.05,Major,1.64285714286,#808080,Male,1.0,0.0,1,1.64285714286,126.09
10,17,0.15,Moderate,2.92857142857,#fdc9b4,Female,1.15993697065,1.03301583215,59,2.92857142857,0.968039374494
10,19,0.22,Major,3.82857142857,#808080,Male,1.01930273784,0.708353713477,8,3.82857142857,1.4117240878
10,33,0.24,None,4.08571428571,#808080,Male,1.02757533977,0.0708353713477,11,4.08571428571,14.117240878
10,59,0.09,Moderate,2.15714285714,#fb7252,Female,1.01103013591,2.83341485391,5,2.15714285714,0.352931021951
10,68,0.31,Major,4.98571428571,#808080,Male,1.0,0.0,1,4.98571428571,126.09
10,72,0.14,Major,2.8,#bc141a,Female,1.03309040772,126.09,13,2.8,0.0
10,63,0.29,Major,4.72857142857,#bc141a,Female,1.02206027181,126.09,9,4.72857142857,0.0
10,60,0.5,Moderate,7.42857142857,#fcbaa0,Female,1.24542052393,1.34815706758,90,7.42857142857,0.74175333427
10,22,0.5,Moderate,7.42857142857,#aa9992,Male,2.03683277526,0.981832045895,377,7.42857142857,1.01850413641
10,21,0.43,Moderate,6.52857142857,#808080,Male,1.5101437857,0.622492657298,186,6.52857142857,1.60644465164
10,6,0.25,Moderate,4.21428571429,#808080,Male,1.01930273784,0.708353713477,8,4.21428571429,1.4117240878
10,57,0.28,Moderate,4.6,#808080,Male,2.00098483356,0.944471617969,364,4.6,1.05879306585
10,64,0.42,Moderate,6.4,#fcc0a7,Female,1.10478629112,1.26491734549,39,6.4,0.79056548917
11,15,0.08,Moderate,2.02857142857,#fc9777,Female,1.355721883,2.08213061234,130,2.02857142857,0.480277266985
11,39,0.16,Moderate,3.05714285714,#fc9f81,Female,1.12960409691,1.90710615167,48,3.05714285714,0.524354661184
11,41,0.18,Moderate,3.31428571429,#fcb89d,Female,1.03033287374,1.41670742695,12,3.31428571429,0.705862043902
11,56,0.23,Major,3.95714285714,#fb6f4f,Female,1.13787669884,2.90425022525,51,3.95714285714,0.344322948245
11,6,0.15,Moderate,2.92857142857,#fcb89d,Female,1.00551506795,1.41670742695,3,2.92857142857,0.705862043902
11,22,0.47,Major,7.04285714286,#fca588,Female,1.60941500886,1.7877498483,222,7.04285714286,0.559362374413
11,21,0.49,Major,7.3,#fcbda4,Female,1.40535749458,1.30772993257,148,7.3,0.764683880894
12,13,0.0,Moderate,1.0,#bc141a,Female,1.0,126.09,1,1.0,0.0
13,19,0.52,Major,7.68571428571,#fcc3ab,Female,1.24817805791,1.18753416671,91,7.68571428571,0.84208103483
13,62,0.23,Moderate,3.95714285714,#fcbaa0,Female,1.40259996061,1.37420620414,147,3.95714285714,0.727692828765
13,67,0.34,None,5.37142857143,#fdc6b0,Female,1.55150679535,1.09391332967,201,5.37142857143,0.914149204397
14,7,0.06,Moderate,1.77142857143,#bc141a,Female,1.0,126.09,1,1.77142857143,0.0
15,20,0.2,Moderate,3.57142857143,#fc9e80,Female,2.3760094544,1.9347571577,500,3.57142857143,0.5168607316
15,28,0.25,Moderate,4.21428571429,#f5523b,Female,2.37876698838,3.41821850108,501,4.21428571429,0.29255005193
15,13,0.21,Moderate,3.7,#fca082,Female,5.02324207209,1.87713734071,1460,3.7,0.532726070869
15,30,0.23,Major,3.95714285714,#fcb89d,Female,6.83494189482,1.41570409308,2117,3.95714285714,0.706362300488
16,36,0.04,Moderate,1.51428571429,#bc141a,Female,1.27851093165,9.61337182575,102,1.51428571429,0.104021774891
17,14,0.17,Moderate,3.18571428571,#fc9373,Female,1.24266298995,2.1572590365,89,3.18571428571,0.46355119301
