;documentType;title;acquisitionTime
0;In App Item;Coloring book - Frozen (Sketch - Draw & Paint);2016-02-05T12:07:46.810Z
1;Android Apps;Saper;2016-04-12T15:41:38.830Z
2;Android Apps;Dumb Ways to Die;2016-08-25T18:30:11.908Z
3;Android Apps;What's inside the box?;2016-06-07T13:07:28.314Z
4;Android Apps;air.com.begamer.adamandeve2;2015-12-02T19:17:10.841Z
5;Android Apps;Close Up Character - Pic Quiz!;2016-08-01T09:46:41.068Z
6;Android Apps;air.com.mildmania.rop;2016-03-29T13:37:25.862Z
7;Android Apps;Weaphones™ Gun Sim Vol2 Armory;2017-02-16T15:07:56.985Z
8;Android Apps;Pixton Comic Maker;2016-04-16T19:24:19.766Z
9;Android Apps;air.com.puffballsunited.escapingtheprison;2015-12-18T15:39:23.068Z
10;Android Apps;Polskie Złote Zdrapki;2016-04-14T16:39:16.010Z
11;Android Apps;Level Editor: Puzzle&Adventure;2015-12-17T16:31:42.253Z
12;Android Apps;Gdzie jest mój kot?;2016-06-08T15:21:05.568Z
13;Android Apps;City 2048;2016-01-27T16:44:32.344Z
14;Android Apps;Lep's World 3;2016-02-09T19:08:48.018Z
15;Android Apps;The Perfectionist - The Most P;2016-02-27T14:17:24.073Z
16;Android Apps;Forest: Focus for Productivity;2016-01-25T21:17:59.257Z
17;Android Apps;Creative Ideas - DIY & Craft;2016-08-18T14:16:05.124Z
18;Android Apps;Red Ball 4;2016-02-02T18:58:56.631Z
19;Android Apps;com.Milkybrain.Overpainted;2016-10-22T08:21:12.475Z
20;Android Apps;com.Sharkywalls.GreedyRabbit;2016-08-20T08:56:49.193Z
21;Android Apps;Universal Remote;2016-02-20T17:35:36.807Z
22;Android Apps;Apps Center;2017-01-05T16:02:23.238Z
23;Android Apps;aa;2016-04-01T14:38:56.566Z
24;Android Apps;Adobe AIR;2015-12-18T15:40:36.485Z
25;Android Apps;Lightroom Photo & Video Editor;2016-01-09T11:38:01.346Z
26;Android Apps;Adobe Acrobat Reader: Edit PDF;2016-09-13T19:14:34.883Z
27;Android Apps;Sketchbook;2016-02-13T11:00:06.788Z
28;Android Apps;com.aiadp.iconiccharacterquiz;2016-12-18T17:12:19.381Z
29;Android Apps;GridSwan (Nonogram Puzzles);2016-01-16T21:23:05.638Z
30;Android Apps;xBlack - Teal Theme for Xperia;2016-08-27T19:08:43.228Z
31;Android Apps;Pink Theme;2016-08-27T19:09:35.745Z
32;Android Apps;Przeglądarka Chrome;2015-12-05T11:09:57.052Z
33;Android Apps;Przelicznik jednostek;2016-02-17T19:18:02.562Z
34;Android Apps;Notatnik+ darmo;2016-03-25T08:21:34.229Z
35;Android Apps;Dzwonki i tapety dla mnie;2016-03-03T17:00:21.544Z
36;Android Apps;Delight Blue XZ Theme Xperia;2017-01-21T17:50:17.656Z
37;Android Apps;com.armorgames.sushicat;2017-02-01T18:24:45.747Z
38;Android Apps;Homestyler-Room Realize design;2016-08-18T14:13:35.970Z
39;Android Apps;Infinity Loop: Relaxing Puzzle;2016-01-04T13:53:09.980Z
40;Android Apps;com.bestcoolfungames.antsmasher;2015-12-04T16:21:45.332Z
41;Android Apps;Make7! Hexa Puzzle;2016-09-01T18:28:03.161Z
42;Android Apps;Peak – Brain Games & Training;2016-04-01T14:49:25.765Z
43;Android Apps;Bouncy Pong ●;2016-05-09T14:38:55.060Z
44;Android Apps;Chess Clock;2017-02-11T18:18:46.431Z
45;Android Apps;com.chillingo.puzzlecraft2.android.gplay;2016-02-27T09:29:36.289Z
46;Android Apps;Jakdojade: rozkłady i bilety;2016-01-18T20:35:23.421Z
47;Android Apps;com.cmplay.tiles2;2015-12-04T16:46:53.780Z
48;Android Apps;Mauf - Messenger Kolor i Emoji;2016-10-22T09:08:12.643Z
49;Android Apps;com.colorfultheme;2016-06-24T19:08:15.653Z
50;Android Apps;BBTAN : Break Brick;2016-04-14T16:10:08.859Z
51;Android Apps;Charles;2016-05-06T14:14:25.456Z
52;Android Apps;POPONG!;2016-04-14T16:01:31.123Z
53;Android Apps;Follow The Line 2;2016-01-30T17:58:38.456Z
54;Android Apps;com.csipsimple;2016-04-23T07:18:36.018Z
55;Android Apps;dotorio;2016-09-20T17:07:24.883Z
56;Android Apps;Dailymotion;2017-01-05T16:01:15.364Z
57;Android Apps;Recipe book: Recipes & Shoppin;2016-08-13T14:54:55.212Z
58;Android Apps;Madgic Hocus;2016-03-29T13:37:39.461Z
59;Android Apps;com.dlaimotion.dropinthecup;2015-12-30T14:18:09.122Z
60;Android Apps;Dropbox: Secure Cloud Storage;2016-01-04T15:17:27.940Z
61;Android Apps;Snake '97: retro telefon;2015-12-02T19:11:32.899Z
62;Android Apps;Plants vs Zombies™ 2;2016-01-31T16:31:44.725Z
63;Android Apps;zzSUNSET SCRABBLE™;2015-12-31T23:26:03.372Z
64;Android Apps;SimCity BuildIt;2016-06-24T19:14:58.488Z
65;Android Apps;zzSUNSET Tetris® 2011;2016-04-20T05:50:43.746Z
66;Android Apps;One touch Drawing;2016-06-11T05:21:20.974Z
67;Android Apps;Epson Print Enabler;2016-09-03T08:11:30.254Z
68;Android Apps;Trivia Crack;2016-02-28T15:39:23.364Z
69;Android Apps;com.evil.cogs.game;2016-09-03T15:32:30.008Z
70;Android Apps;eWeapons™ Symulator broni;2017-02-16T15:07:34.181Z
