;documentType;title;firstInstallationTime;lastUpdateTime;model;carrier;manufacturer;deviceDisplayName
0;Android Apps;Fiszkoteka® - Fiszki do nauki;2020-04-22T18:54:37.292Z;2020-08-17T19:52:51.909Z;;;;
1;Android Apps;Level Editor: Puzzle&Adventure;2020-03-01T08:25:16.753Z;2020-03-01T08:25:16.753Z;;;;
2;Android Apps;ÖBB Tickets;2023-10-13T18:59:39.550373Z;2023-11-30T19:27:58.888662Z;RMX3081;No carrier;realme;realme RMX3081
3;Android Apps;WienMobil;2023-10-15T07:13:58.189403Z;2023-11-24T22:33:01.921815Z;RMX3081;No carrier;realme;realme RMX3081
4;Android Apps;Dumb Ways To Draw;2021-03-31T18:37:11.988537Z;2021-04-04T18:18:30.184487Z;;;;
5;Android Apps;Dumb Ways To Draw;2019-07-24T18:31:40.112Z;2021-01-31T10:58:47.579607Z;;;;
6;Android Apps;Nonogram - Logic Pic Puzzle;2020-03-01T08:25:16.753Z;2020-09-12T20:44:36.719190Z;;;;
7;Android Apps;Hashi (Bridges);2021-04-13T10:07:36.588590Z;2023-07-20T02:06:18.699208Z;RMX3081;No carrier;realme;realme RMX3081
8;Android Apps;Hashi (Bridges);2021-04-11T22:13:25.567515Z;2021-04-11T22:13:25.567515Z;;;;
9;Android Apps;1 Second Everyday Journal;2021-03-31T18:37:11.988537Z;2021-04-09T19:17:33.446574Z;;;;
10;Android Apps;1 Second Everyday Journal;2021-03-10T16:17:03.247575Z;2021-03-16T23:30:05.204062Z;;;;
11;Android Apps;Yeah Bunny 2 - pixel retro arc;2021-03-31T18:37:11.988537Z;2021-03-31T18:37:11.988537Z;;;;
12;Android Apps;Yeah Bunny 2 - pixel retro arc;2019-12-25T09:51:35.740Z;2021-03-30T12:28:20.246225Z;;;;
13;Android Apps;Railbound;2023-07-25T13:59:01.653424Z;2023-12-16T10:19:04.193489Z;RMX3081;No carrier;realme;realme RMX3081
14;Android Apps;Railbound;2023-08-03T05:40:12.793652Z;2023-10-31T10:57:42.307522Z;SM-T733;No carrier;samsung;samsung SM-T733
15;Android Apps;Railbound;2023-07-25T13:58:52.565387Z;2023-07-25T17:41:03.015536Z;;;;
16;Android Apps;com.ElectricTurtle.CatCrash;2021-03-31T18:37:11.988537Z;2021-03-31T18:37:11.988537Z;;;;
17;Android Apps;com.ElectricTurtle.CatCrash;2019-08-15T10:32:02.297Z;2021-02-22T14:40:46.604345Z;;;;
18;Android Apps;Minesweeper GO - classic game;2023-04-30T13:13:11.076649Z;2023-12-05T22:26:42.140987Z;RMX3081;No carrier;realme;realme RMX3081
19;Android Apps;quadline;2022-09-27T17:44:07.285937Z;2023-12-04T19:19:30.276170Z;RMX3081;No carrier;realme;realme RMX3081
20;Android Apps;2 Player games : the Challenge;2021-07-04T14:08:26.525483Z;2023-12-17T19:29:26.566008Z;RMX3081;No carrier;realme;realme RMX3081
21;Android Apps;Gry Miłosne Dramat nastolatków;2021-03-31T18:37:11.988537Z;2021-03-31T18:37:11.988537Z;;;;
22;Android Apps;Gry Miłosne Dramat nastolatków;2021-02-04T12:04:02.994874Z;2021-02-04T12:04:02.994874Z;;;;
23;Android Apps;com.PXLink.IamReed;2021-03-31T18:37:11.988537Z;2021-03-31T18:37:11.988537Z;;;;
24;Android Apps;com.PXLink.IamReed;2019-11-09T15:49:45.344Z;2020-04-04T06:28:01.519Z;;;;
25;Android Apps;Reed;2021-03-31T18:37:11.988537Z;2021-03-31T18:37:11.988537Z;;;;
26;Android Apps;Reed;2019-11-09T15:49:45.344Z;2019-11-09T15:49:45.344Z;;;;
27;Android Apps;Wavelength;2023-09-25T10:19:27.553517Z;2023-12-16T19:51:21.944120Z;RMX3081;No carrier;realme;realme RMX3081
28;Android Apps;adidas;2021-03-31T18:37:11.988537Z;2021-04-04T18:21:31.122347Z;;;;
29;Android Apps;adidas;2020-09-16T10:22:28.662964Z;2021-03-18T12:56:22.864993Z;;;;
30;Android Apps;Photoshop Express Photo Editor;2021-04-04T09:44:20.876952Z;2021-04-08T14:19:01.088227Z;;;;
31;Android Apps;Adobe Acrobat Reader: Edit PDF;2023-08-03T05:36:11.126386Z;2023-10-31T10:57:42.307522Z;SM-T733;No carrier;samsung;samsung SM-T733
32;Android Apps;Adobe Acrobat Reader: Edit PDF;2022-10-17T15:59:48.508288Z;2023-07-19T20:55:17.362349Z;;;;
33;Android Apps;Adobe Acrobat Reader: Edit PDF;2020-04-01T12:53:40.059Z;2020-10-07T10:45:34.694205Z;;;;
34;Android Apps;Adobe Scan: PDF Scanner, OCR;2021-04-13T10:07:36.588590Z;2023-12-17T12:34:04.610321Z;RMX3081;No carrier;realme;realme RMX3081
35;Android Apps;Adobe Scan: PDF Scanner, OCR;2021-03-31T18:37:11.988537Z;2021-03-31T18:37:11.988537Z;;;;
36;Android Apps;Adobe Scan: PDF Scanner, OCR;2020-12-01T14:19:17.507024Z;2021-03-26T09:52:25.899054Z;;;;
37;Android Apps;AliExpress;2021-04-13T10:07:36.588590Z;2023-11-25T03:53:56.315188Z;RMX3081;No carrier;realme;realme RMX3081
38;Android Apps;AliExpress;2021-03-31T18:37:11.988537Z;2021-03-31T18:37:11.988537Z;;;;
39;Android Apps;AliExpress;2019-07-23T10:48:02.087Z;2021-03-18T12:20:21.878417Z;;;;
40;Android Apps;AmpMe - Speaker Booster;2022-04-30T04:23:58.573843Z;2023-11-05T21:12:46.857191Z;RMX3081;No carrier;realme;realme RMX3081
41;Android Apps;2048;2020-03-01T08:25:16.753Z;2020-03-01T12:16:07.804Z;;;;
42;Android Apps;Przeglądarka Chrome;2021-04-13T09:06:34.949584Z;2023-12-16T10:07:44.950331Z;RMX3081;No carrier;realme;realme RMX3081
43;Android Apps;Przeglądarka Chrome;2023-08-02T05:38:05.073916Z;2023-12-12T10:24:29.205237Z;SM-T733;No carrier;samsung;samsung SM-T733
44;Android Apps;Przeglądarka Chrome;2022-02-25T17:34:03.844894Z;2023-08-04T19:10:04.146115Z;;;;
45;Android Apps;Przeglądarka Chrome;2021-03-31T18:37:11.988537Z;2021-04-01T13:35:01.787669Z;;;;
46;Android Apps;Przeglądarka Chrome;2019-07-22T19:18:40.875Z;2021-03-23T18:53:06.159347Z;;;;
47;Android Apps;Przeglądarka Chrome;2020-03-01T08:25:16.753Z;2020-09-26T20:18:29.186477Z;;;;
48;Android Apps;Przeglądarka Chrome;2019-07-20T11:28:24.484Z;2019-07-20T11:28:24.681855Z;;;;
49;Android Apps;com.antoinehabert.actionverite;2021-03-31T18:37:11.988537Z;2021-03-31T18:37:11.988537Z;;;;
50;Android Apps;com.antoinehabert.actionverite;2021-02-04T22:22:01.782520Z;2021-03-25T19:00:12.883179Z;;;;
51;Android Apps;CATRIS: Gry łamigłówki i koty;2021-04-13T10:07:36.588590Z;2023-07-05T20:01:20.064803Z;RMX3081;No carrier;realme;realme RMX3081
52;Android Apps;CATRIS: Gry łamigłówki i koty;2021-03-31T18:37:11.988537Z;2021-04-04T18:22:05.834254Z;;;;
53;Android Apps;CATRIS: Gry łamigłówki i koty;2019-12-25T09:51:35.740Z;2021-03-07T22:24:54.883159Z;;;;
54;Android Apps;Numberzilla: Number Match Game;2021-04-13T10:07:36.588590Z;2023-12-12T22:18:58.722352Z;RMX3081;No carrier;realme;realme RMX3081
55;Android Apps;Numberzilla: Number Match Game;2021-03-31T18:37:11.988537Z;2021-04-10T21:52:09.540696Z;;;;
56;Android Apps;Numberzilla: Number Match Game;2021-02-04T12:04:02.994874Z;2021-02-28T19:56:50.408570Z;;;;
57;Android Apps;Egg, Inc.;2023-08-03T05:40:12.793652Z;2023-11-14T10:26:40.864029Z;SM-T733;No carrier;samsung;samsung SM-T733
58;Android Apps;Egg, Inc.;2022-12-04T19:26:09.257333Z;2023-07-19T20:55:17.362349Z;;;;
59;Android Apps;Microsoft Authenticator;2023-07-24T15:55:38.313196Z;2023-11-18T19:34:41.287819Z;RMX3081;No carrier;realme;realme RMX3081
60;Android Apps;Real Piano;2021-03-31T18:37:11.988537Z;2021-03-31T18:37:11.988537Z;;;;
61;Android Apps;Real Piano;2020-12-27T12:19:07.410933Z;2021-03-27T17:30:23.875810Z;;;;
62;Android Apps;Bitmoji;2021-03-31T18:37:11.988537Z;2021-04-03T21:03:22.091573Z;;;;
63;Android Apps;Bitmoji;2019-08-06T11:13:12.405Z;2021-03-18T12:50:03.167664Z;;;;
64;Android Apps;Bolt Food;2023-07-31T11:14:40.476442Z;2023-12-16T19:49:03.699507Z;RMX3081;No carrier;realme;realme RMX3081
65;Android Apps;Stranger Things: The Game;2021-03-31T18:37:11.988537Z;2021-03-31T18:37:11.988537Z;;;;
66;Android Apps;Stranger Things: The Game;2019-08-11T18:39:09.259Z;2019-08-11T18:39:09.259Z;;;;
67;Android Apps;Booking.com: Hotels & Travel;2021-04-18T12:39:14.132486Z;2023-12-14T19:48:38.613130Z;RMX3081;No carrier;realme;realme RMX3081
68;Android Apps;Booking.com: Hotels & Travel;2023-10-11T21:17:49.251342Z;2023-11-20T04:06:00.865576Z;SM-T733;No carrier;samsung;samsung SM-T733
69;Android Apps;Booking.com: Hotels & Travel;2021-05-06T08:11:00.182213Z;2021-05-06T08:11:00.182213Z;;;;
70;Android Apps;BuzzFeed - Quizzes & News;2021-03-31T18:37:11.988537Z;2021-04-13T06:30:50.106451Z;;;;
71;Android Apps;BuzzFeed - Quizzes & News;2020-02-16T12:43:26.677Z;2021-03-30T12:14:54.089606Z;;;;
72;Android Apps;com.bybutter.nichi;2021-03-31T18:37:11.988537Z;2021-03-31T18:37:11.988537Z;;;;
73;Android Apps;com.bybutter.nichi;2020-04-17T21:04:24.022Z;2020-04-17T21:04:24.022Z;;;;
74;Android Apps;InShot -Edytor wideo i zdjęcia;2021-03-31T18:37:11.988537Z;2021-03-31T18:37:11.988537Z;;;;
75;Android Apps;InShot -Edytor wideo i zdjęcia;2020-05-04T09:01:47.717Z;2021-03-20T15:08:15.995193Z;;;;
76;Android Apps;Canva: Design, Photo & Video;2021-06-02T07:18:11.453848Z;2023-12-18T19:40:44.188169Z;RMX3081;No carrier;realme;realme RMX3081
77;Android Apps;Canva: Design, Photo & Video;2023-08-03T05:36:11.126386Z;2023-10-29T22:29:18.456528Z;SM-T733;No carrier;samsung;samsung SM-T733
78;Android Apps;Canva: Design, Photo & Video;2022-05-22T07:24:25.715762Z;2023-07-19T20:55:17.362349Z;;;;
79;Android Apps;com.chillingo.puzzlecraft2.android.gplay;2021-04-13T10:07:36.588590Z;2023-07-05T20:01:20.064803Z;RMX3081;No carrier;realme;realme RMX3081
80;Android Apps;com.chillingo.puzzlecraft2.android.gplay;2021-03-31T20:27:58.201860Z;2021-03-31T20:27:58.201860Z;;;;
81;Android Apps;com.chillingo.puzzlecraft2.android.gplay;2020-03-07T14:08:22.134Z;2020-03-07T14:08:22.134Z;;;;
82;Android Apps;CIDER - Clothing & Fashion;2022-10-22T17:18:22.643280Z;2023-12-10T20:27:39.374636Z;RMX3081;No carrier;realme;realme RMX3081
83;Android Apps;Jakdojade: rozkłady i bilety;2021-04-13T10:07:36.588590Z;2023-12-15T09:30:01.894016Z;RMX3081;No carrier;realme;realme RMX3081
84;Android Apps;Jakdojade: rozkłady i bilety;2021-03-31T20:25:23.126464Z;2021-04-02T20:27:17.641074Z;;;;
85;Android Apps;Jakdojade: rozkłady i bilety;2019-07-23T06:29:09.245Z;2021-03-30T12:39:02.325198Z;;;;
86;Android Apps;Jakdojade: rozkłady i bilety;2020-03-01T08:25:16.753Z;2020-09-22T18:29:05.914212Z;;;;
87;Android Apps;Clock;2023-08-15T18:30:58.471223Z;2023-10-31T09:48:54.345757Z;RMX3081;No carrier;realme;realme RMX3081
88;Android Apps;HeyTap Shelf;2023-05-14T06:54:02.580675Z;2023-12-16T10:19:04.193489Z;RMX3081;No carrier;realme;realme RMX3081
89;Android Apps;My Files;2023-05-07T19:29:18.084462Z;2023-10-31T09:48:54.345757Z;RMX3081;No carrier;realme;realme RMX3081
90;Android Apps;Phone Manager;2023-11-25T03:53:56.315188Z;2023-11-25T03:53:56.315188Z;RMX3081;No carrier;realme;realme RMX3081
91;Android Apps;Simple mode;2023-02-20T09:44:08.639118Z;2023-10-31T09:48:54.345757Z;RMX3081;No carrier;realme;realme RMX3081
92;Android Apps;OppoWeatherService;2023-10-29T11:35:58.891780Z;2023-12-18T19:41:39.966171Z;RMX3081;No carrier;realme;realme RMX3081
93;Android Apps;Weather;2023-05-24T06:54:51.198146Z;2023-10-31T09:48:54.345757Z;RMX3081;No carrier;realme;realme RMX3081
94;Android Apps;Fill-a-Pix: Pixel Minesweeper;2023-10-30T12:01:07.083955Z;2023-10-30T12:01:07.083955Z;SM-T733;No carrier;samsung;samsung SM-T733
95;Android Apps;Kakuro: Number Crossword;2023-08-03T05:40:12.793652Z;2023-08-03T05:40:12.793652Z;SM-T733;No carrier;samsung;samsung SM-T733
96;Android Apps;Kakuro: Number Crossword;2022-11-04T10:48:40.126233Z;2023-07-19T20:55:17.362349Z;;;;
97;Android Apps;Wish: Kupuj i oszczędzaj;2021-03-31T20:17:05.469622Z;2021-04-02T20:02:29.968204Z;;;;
98;Android Apps;Wish: Kupuj i oszczędzaj;2019-08-30T16:27:29.630Z;2021-03-11T17:44:02.607145Z;;;;
99;Android Apps;Pick Me Up™;2021-03-31T20:27:58.201860Z;2021-03-31T20:27:58.201860Z;;;;
100;Android Apps;Pick Me Up™;2019-09-03T08:28:07.381Z;2021-03-26T14:44:06.574422Z;;;;
101;Android Apps;ClevCalc - Kalkulator;2020-03-01T08:25:16.753Z;2020-09-26T19:54:58.671947Z;;;;
102;Android Apps;Discord – Miejsce do rozmów;2021-04-13T10:07:36.588590Z;2023-12-16T19:48:15.028259Z;RMX3081;No carrier;realme;realme RMX3081
103;Android Apps;Discord – Miejsce do rozmów;2020-03-18T10:26:27.167Z;2021-04-20T12:16:27.123954Z;;;;
104;Android Apps;Discord – Miejsce do rozmów;2021-03-31T20:17:05.469622Z;2021-04-13T06:33:47.909289Z;;;;
105;Android Apps;Discord – Miejsce do rozmów;2020-03-14T10:10:03.725Z;2021-03-26T13:47:04.379077Z;;;;
106;Android Apps;Disney+;2022-11-12T20:53:11.981592Z;2023-12-03T23:01:15.974850Z;RMX3081;No carrier;realme;realme RMX3081
107;Android Apps;Disney+;2023-08-03T05:40:12.793652Z;2023-08-03T05:40:12.793652Z;SM-T733;No carrier;samsung;samsung SM-T733
108;Android Apps;Disney+;2022-11-17T18:19:13.581891Z;2023-07-19T20:55:17.362349Z;;;;
109;Android Apps;Dropbox: Secure Cloud Storage;2021-04-13T10:07:36.588590Z;2023-12-16T10:39:09.062884Z;RMX3081;No carrier;realme;realme RMX3081
110;Android Apps;Dropbox: Secure Cloud Storage;2021-03-31T20:30:38.321587Z;2021-04-08T14:22:54.293189Z;;;;
111;Android Apps;Dropbox: Secure Cloud Storage;2020-11-02T07:42:23.691719Z;2021-03-27T00:55:36.990407Z;;;;
112;Android Apps;ANT+ Plugins Service;2022-02-25T17:34:03.844894Z;2023-07-19T20:55:17.362349Z;;;;
113;Android Apps;ANT+ Plugins Service;2021-03-31T18:37:11.988537Z;2021-04-01T13:31:22.721026Z;;;;
114;Android Apps;ANT+ Plugins Service;2019-07-22T19:18:40.875Z;2020-09-03T07:09:53.202708Z;;;;
115;Android Apps;ANT+ Plugins Service;2020-03-01T08:25:16.753Z;2020-03-01T08:25:16.753Z;;;;
116;Android Apps;ANT+ Plugins Service;2019-07-20T11:28:24.484Z;2019-07-20T11:28:24.681855Z;;;;
117;Android Apps;ANT Radio Service;2022-02-25T17:34:03.844894Z;2023-07-19T20:55:17.362349Z;;;;
