Elapsed Time (s),Speed (km/h)
4,0.5236810834413517
9,0.49679897687756963
14,0.5460328371637092
19,0.2928393863625539
21,1.173709906083018
22,4.0038373019162625
23,3.868891214916741
25,2.5792606265278835
27,1.484669190491216
34,0.20118135063819478
39,0.8715782158192954
44,1.0906366541949752
49,4.853280850854443
50,5.287097273244715
52,1.7623656634706217
53,2.8133645079314156
55,12.9587906142233
56,13.274217295272868
57,3.991035931959151
58,4.404069776094876
59,2.9523305228534316
60,4.9679924532233946
62,3.2912200234810727
63,5.697132609930252
64,3.0492189420214473
65,8.448285598645068
67,5.216909690108572
68,6.142164272598826
69,6.915790966374607
70,8.374687473332635
71,7.599763430354056
72,7.621856401109428
73,5.452809173074146
74,7.2333623549770305
75,10.5501266815803
77,20.82555048256182
78,46.997729381845545
79,28.975517221929266
80,13.874927502417576
81,6.822783634200501
82,5.609592853114864
83,9.607254934515227
84,4.809880653958284
85,1.2971652021231566
86,0.46942196781985973
87,1.7162861437275476
88,2.001900621598142
89,2.726566547135875
91,3.123063325204544
92,3.1365260687176213
93,2.5122698446664833
94,1.5245935325487288
96,1.2896198920239124
97,3.212428179696446
99,2.405396511961107
100,3.1365262763669324
101,2.1743996280544997
103,3.142066973372658
104,7.854894224824299
105,4.070040195275951
107,2.2556103415248487
108,4.511220628075468
109,4.070040101823476
111,2.2556102647691443
112,4.511220476710474
113,4.070040000998645
114,10.751624387553905
115,4.264776927819073
117,4.357873816051086
118,4.43054524813581
119,7.981280952492295
120,4.357872494263794
121,4.357872215843513
122,12.099685855624028
123,14.76037671517834
124,41.45321814553601
125,43.41864329454157
126,17.862280039384995
127,16.297794511604803
129,8.615898784463331
130,15.7086280135573
131,12.433443968163818
132,13.012978611857951
134,7.871149990947652
135,13.650679575714689
136,14.185774203181692
137,16.339040585462115
138,11.795986385566525
139,12.012795865908203
140,14.344870561929197
141,11.295628932779925
142,11.530571016238833
144,6.388615229881452
145,11.509156146835519
146,12.575346561910818
147,11.454666417139276
148,17.713813148720252
149,14.846542182572597
150,13.013012444476743
152,6.999183562338466
153,13.019359644994442
154,13.000884723905504
155,11.383519237738222
156,15.05724437203377
157,5.241198826999282
158,12.199090861952339
159,13.597302329720543
161,7.8560656683899985
162,12.196718205598174
163,12.198908595550417
164,12.851063620423997
165,11.83889866580563
166,11.198468426504842
167,12.711843949243404
168,11.40285474181653
169,18.283173844728022
170,7.3540827752276305
171,15.012752202422767
173,7.289425292453385
174,11.378798821683793
175,15.054739603180089
176,4.511222001599344
177,12.63358085973414
178,5.0399260328585775
179,11.122643655483646
180,15.454732633131169
181,5.023844497187691
182,11.917948728758777
183,12.812186306420472
185,8.775962924481593
186,14.759173311809292
187,15.150276367818007
188,15.15027692901779
189,13.200281947097578
190,11.773314234802884
191,12.847163022464178
192,11.81663767774309
194,7.308988143566132
195,14.48577739531971
196,15.642564973956583
197,11.975823379423531
198,13.20028648933518
199,13.200287044278227
200,17.060747571160757
202,10.153667691315432
203,16.039154215614708
204,17.264325495414052
205,16.93342193827547
206,15.071556083411421
207,17.276107570998192
208,17.321690186042602
209,17.551938112044972
210,16.560080782117186
211,16.15865901607515
213,8.564668485796629
214,16.874747660395656
215,16.48567684367131
216,17.71049799924547
217,18.04491301782043
218,16.74618808173711
219,14.617485281412394
220,14.38550720144444
221,16.71905773544916
222,16.326276807680074
223,17.32170292801522
225,10.139696380477194
226,19.641230856995378
227,18.494106354425433
228,18.191114363251618
229,18.803941201752266
230,17.513280385890415
231,14.872817132847112
232,14.06411657183182
233,13.533693576223703
234,11.86488745104847
235,12.958992097069084
236,13.75090599683463
238,7.212491214394042
239,13.06641633468301
240,15.680712274607114
241,13.255050086256558
242,12.942945811647492
243,14.223520077230921
244,13.788021117352635
245,12.256831425630846
246,10.67723590930784
248,7.240348739041602
249,12.468973781828701
250,12.770442839257894
251,12.644792355231804
252,12.074334361956005
253,11.292307952193958
254,11.796720038262649
255,11.307503456479324
256,13.001678146660762
257,12.906455367413187
259,7.113568660735883
260,11.552098212661916
261,11.77632608477481
262,11.30750193608975
263,11.213988521043214
264,11.052840969255385
265,11.384167905481172
266,16.646049377415977
267,6.129707871112854
269,5.878917093977526
