exercise_title,muscle_group
Pull Up,Back
Lat Pulldown (Cable),Back
Seated Cable Row - V Grip (Cable),Back
Deadlift (Barbell),Back
Upper Back Cable,Back
Bent Over Row (Barbell),Back
Bicep Curl (Machine),Arms
Seated Shoulder Press (Machine),Arms
Climbing,Cardio
Running,Cardio
Leg Press (Machine),Legs
Squat (Barbell),Legs
Hip Thrust (Barbell),Legs
Seated Calf Raise,Legs
Lying Leg Curl (Machine),Legs
Leg Extension (Machine),Legs
Hanging Leg Raise,Core
Bench Press (Barbell),Chest
Lateral Raise (Dumbbell),Arms
Triceps Dip,Arms
Decline Crunch,Core
Cable Fly Crossovers,Chest
Low Cable Fly Crossovers,Chest
Bicep Curl (Dumbbell),Arms
Triceps Rope Pushdown,Arms
Leg Press Horizontal (Machine),Legs
Lat Pulldown (Machine),Back
Incline Bench Press (Dumbbell),Chest
Butterfly (Pec Deck),Chest
Decline Bench Press (Machine),Chest
Bench Press - Close Grip (Barbell),Chest
Overhead Press (Dumbbell),Arms
Overhead Press (Barbell),Arms
Bench Press (Dumbbell),Chest
Standing Calf Raise (Machine),Legs
Straight Arm Lat Pulldown (Cable),Back
Bicep Curl (Barbell),Arms
Seated Cable Row - Wide Grip,Back
Seated Incline Curl (Dumbbell),Arms
Pullover (Dumbbell),Arms
Skullcrusher (Dumbbell),Arms
Arnold Press (Dumbbell),Arms
