# index, name, nodeLabel, nodeLat, nodeLong, _pos
113,dalstonkingsland,dalstonkingsland,51.548667827094,-0.076212502172009,"array([1.646843  , 7.03298287])"
114,canonspark,canonspark,51.607650605221,-0.29437715826231,"array([1.751898  , 7.43591009])"
115,queensbury,queensbury,51.593883010111,-0.28631716346916,"array([1.76127593, 7.41529473])"
116,carpenderspark,carpenderspark,51.628186764519,-0.38581487914664,"array([1.77308063, 7.54925657])"
117,chorleywood,chorleywood,51.654265989674,-0.51831947385278,"array([1.80100366, 7.71453735])"
118,chancerylane,chancerylane,51.518494029809,-0.11194761724718,"array([1.76740636, 7.09246087])"
119,stpauls,stpauls,51.51483530739,-0.097556591574387,"array([1.77476353, 7.05965386])"
120,charingcross,charingcross,51.508358644804,-0.12478853109718,"array([1.81044618, 7.12559322])"
121,embankment,embankment,51.507312509276,-0.12235292981979,"array([1.81990593, 7.09581711])"
122,chesham,chesham,51.705380095434,-0.61141518839627,"array([1.78006002, 7.74779641])"
123,chigwell,chigwell,51.617857862487,0.076193656688014,"array([1.53213567, 6.69395412])"
124,rodingvalley,rodingvalley,51.616956440142,0.044040648415103,"array([1.55343225, 6.70208835])"
125,rickmansworth,rickmansworth,51.640323072212,-0.47367013575456,"array([1.80841695, 7.6914405 ])"
126,claphamcommon,claphamcommon,51.4618036863,-0.13830051012379,"array([1.99083768, 7.04869801])"
127,claphamsouth,claphamsouth,51.452676506748,-0.1479696801021,"array([2.01990741, 7.03872832])"
128,claphamhighstreet,claphamhighstreet,51.465469529402,-0.13245010905033,"array([1.97171887, 7.0762466 ])"
129,wandsworthroad,wandsworthroad,51.470223218762,-0.13902328072857,"array([1.97964076, 7.11562642])"
130,claphamnorth,claphamnorth,51.464916230409,-0.12989566953588,"array([1.95877043, 7.05991015])"
131,hendoncentral,hendoncentral,51.583133074092,-0.2267197095034,"array([1.49654593, 7.27773558])"
132,collierswood,collierswood,51.418759208995,-0.17740072104762,"array([2.11742946, 7.00575517])"
133,southwimbledon,southwimbledon,51.41536073293,-0.19196016848772,"array([2.13710058, 6.99917096])"
134,coventgarden,coventgarden,51.512760249622,-0.1244924862088,"array([1.77822793, 7.12874444])"
135,holborn,holborn,51.517235749261,-0.11982609759457,"array([1.76085465, 7.1257517 ])"
136,crossharbour,crossharbour,51.495839980525,-0.014918409980624,"array([1.87510586, 6.79628292])"
137,mudchute,mudchute,51.491236186648,-0.014945543221677,"array([1.88946066, 6.77085854])"
138,crouchhill,crouchhill,51.571327111387,-0.11711885796196,"array([1.59220793, 7.17201055])"
139,harringaygreenlanes,harringaygreenlanes,51.57714590447,-0.098202962998489,"array([1.57259888, 7.14426643])"
140,croxley,croxley,51.647005333911,-0.44158934771671,"array([1.83399803, 7.68109042])"
141,watford,watford,51.657605146891,-0.41725555293253,"array([1.84549351, 7.69490534])"
142,customhouse,customhouse,51.509622053058,0.025786917726712,"array([1.72386718, 6.7691987 ])"
143,princeregent,princeregent,51.509434545079,0.033502981448267,"array([1.72165078, 6.7391767 ])"
144,cuttysarkformaritimegreenwich,cuttysarkformaritimegreenwich,51.481944468688,-0.01056746798363,"array([1.91480475, 6.72451775])"
145,greenwich,greenwich,51.477547665535,-0.014848686252722,"array([1.92610939, 6.70333817])"
146,gallionsreach,gallionsreach,51.509034130657,0.071789801687878,"array([1.72263089, 6.64245058])"
147,dagenhameast,dagenhameast,51.544187318113,0.16584784999223,"array([1.43158552, 6.86728139])"
148,elmpark,elmpark,51.549124559422,0.19726710182967,"array([1.40839426, 6.86021575])"
149,haggerston,haggerston,51.538684738939,-0.075580841462924,"array([1.67865623, 7.02624326])"
150,hackneycentral,hackneycentral,51.547257451286,-0.055575092639468,"array([1.64493893, 6.99576716])"
151,debden,debden,51.645491990883,0.083815925291538,"array([1.56566486, 6.63590027])"
152,theydonbois,theydonbois,51.672552069981,0.10290519530392,"array([1.56068757, 6.61563432])"
153,denmarkhill,denmarkhill,51.468200650033,-0.090973475173744,"array([1.95777223, 7.03658629])"
154,deptfordbridge,deptfordbridge,51.474476774061,-0.022038032405853,"array([1.93663249, 6.6834047 ])"
155,elversonroad,elversonroad,51.468372191483,-0.016801981736488,"array([1.94608252, 6.66542911])"
156,langdonpark,langdonpark,51.518883939693,-0.015199388573999,"array([1.74579294, 6.8828317 ])"
157,dollishill,dollishill,51.551850619529,-0.23878334100376,"array([1.73192966, 7.36164576])"
158,willesdengreen,willesdengreen,51.549373313232,-0.22239318421442,"array([1.72215976, 7.34319427])"
159,ealingbroadway,ealingbroadway,51.51486201146,-0.30199597251937,"array([2.0563076 , 7.39766288])"
160,ealingcommon,ealingcommon,51.510248690463,-0.28713701041592,"array([2.04239815, 7.42236129])"
161,gloucesterroad,gloucesterroad,51.494499579725,-0.18352915689619,"array([1.93349903, 7.23196765])"
162,highstreetkensington,highstreetkensington,51.500729468384,-0.19155165303998,"array([1.93005016, 7.2541401 ])"
163,eastacton,eastacton,51.516263444214,-0.2480978154307,"array([2.01809787, 7.32658188])"
164,whitecity,whitecity,51.512232464701,-0.22461752326457,"array([1.9781041 , 7.31627821])"
165,eastcote,eastcote,51.576551871493,-0.39680887105797,"array([1.91302788, 7.56785329])"
166,raynerslane,raynerslane,51.575396777398,-0.371046385824,"array([1.90169902, 7.54116523])"
167,ruislipmanor,ruislipmanor,51.573451624726,-0.41283492710738,"array([1.92438234, 7.59199603])"
168,eastfinchley,eastfinchley,51.587332564437,-0.16472945405368,"array([1.555159  , 7.35160957])"
169,highgate,highgate,51.57764663481,-0.14692043327249,"array([1.5773455, 7.3308034])"
170,eastham,eastham,51.539246158049,0.051530710126145,"array([1.5729394 , 6.88706798])"
171,eastputney,eastputney,51.458879808899,-0.21098384278422,"array([2.09339298, 7.21260475])"
172,putneybridge,putneybridge,51.467865362703,-0.20935102262327,"array([2.06818571, 7.21778067])"
173,edgware,edgware,51.614229655466,-0.27507922607818,"array([1.43592529, 7.29453005])"
174,edgwareroad(bakerlooline),edgwareroad(bakerlooline),51.520645381678,-0.17052514070378,"array([1.81900034, 7.2627171 ])"
175,marylebone,marylebone,51.522396687994,-0.16347815242029,"array([1.80489766, 7.24571787])"
176,kennington,kennington,51.488662470707,-0.10505621257104,"array([1.86083857, 7.05950821])"
177,hornchurch,hornchurch,51.554355082156,0.21894141805997,"array([1.38715485, 6.85366453])"
178,lewisham,lewisham,51.464880714235,-0.012418307529155,"array([1.95441458, 6.64952099])"
179,temple,temple,51.51104062071,-0.11371134239066,"array([1.81043261, 7.07882256])"
180,waterloo,waterloo,51.503146653078,-0.11324484659974,"array([1.82438037, 7.06463297])"
181,kingscrossstpancras,kingscrossstpancras,51.530312476892,-0.12385771561154,"array([1.70622382, 7.144727  ])"
182,southhampstead,southhampstead,51.541476868984,-0.1783567825076,"array([1.75727359, 7.23111072])"
183,warrenstreet,warrenstreet,51.524580005085,-0.13826391949985,"array([1.75668237, 7.18583458])"
184,eustonsquare,eustonsquare,51.528664346375,-0.13328205840994,"array([1.7294078, 7.1783625])"
185,hainault,hainault,51.602845314928,0.094122987217226,"array([1.49545634, 6.70310934])"
186,finchleycentral,finchleycentral,51.600903273752,-0.19320620063466,"array([1.53389079, 7.37162391])"
187,finchleyroad,finchleyroad,51.547096220268,-0.18003614128656,"array([1.77173897, 7.30219563])"
188,swisscottage,swisscottage,51.543034867714,-0.17561218648329,"array([1.7634177 , 7.28290605])"
189,finchleyroad&frognal,finchleyroad&frognal,51.550119520279,-0.18363678247277,"array([1.70945365, 7.27842485])"
190,hampsteadheath,hampsteadheath,51.555199944256,-0.16455176144825,"array([1.67743661, 7.25038495])"
191,manorhouse,manorhouse,51.570747151453,-0.095670549505162,"array([1.58201697, 7.1220641 ])"
192,sevensisters,sevensisters,51.583362168372,-0.0724523920649,"array([1.59475724, 7.09879246])"
193,foresthill,foresthill,51.439308318386,-0.053314119078799,"array([1.99887315, 6.85830972])"
194,sydenham,sydenham,51.427341258001,-0.055074289357489,"array([2.02106396, 6.84103925])"
195,fulhambroadway,fulhambroadway,51.480260927016,-0.19552976561085,"array([2.01154517, 7.22920628])"
196,westbrompton,westbrompton,51.487328938205,-0.19552441152812,"array([1.97935764, 7.23587143])"
197,beckton,beckton,51.514376621471,0.061539705886513,"array([1.72359386, 6.6247363 ])"
198,gantshill,gantshill,51.576552943422,0.066098526398209,"array([1.5405815 , 6.77088767])"
199,newburypark,newburypark,51.575638344309,0.090317586010402,"array([1.5208925 , 6.75666734])"
200,southkensington,southkensington,51.494071386411,-0.17390862058942,"array([1.90767351, 7.20042335])"
201,hampstead,hampstead,51.556542616677,-0.17800013773286,"array([1.57637305, 7.25634376])"
202,goldhawkroad,goldhawkroad,51.502076993967,-0.22738960127533,"array([1.66876818, 7.43605171])"
