"date","suma_kumulacyjna","typ","app","person"
2015-05-20,5,"wszystkie","mg","a"
2015-05-23,6,"wszystkie","mg","a"
2015-05-24,11,"wszystkie","mg","a"
2015-08-14,12,"wszystkie","mg","a"
2015-08-15,13,"wszystkie","mg","a"
2015-09-01,15,"wszystkie","mg","a"
2015-09-05,16,"wszystkie","mg","a"
2015-09-20,17,"wszystkie","mg","a"
2015-09-30,18,"wszystkie","mg","a"
2015-11-15,19,"wszystkie","mg","a"
2015-11-16,20,"wszystkie","mg","a"
2015-11-25,21,"wszystkie","mg","a"
2015-12-17,22,"wszystkie","mg","a"
2015-12-20,28,"wszystkie","mg","a"
2016-01-05,29,"wszystkie","mg","a"
2016-01-07,35,"wszystkie","mg","a"
2016-01-08,37,"wszystkie","mg","a"
2016-01-14,45,"wszystkie","mg","a"
2016-01-18,50,"wszystkie","mg","a"
2016-01-21,52,"wszystkie","mg","a"
2016-01-25,54,"wszystkie","mg","a"
2016-01-30,59,"wszystkie","mg","a"
2016-02-23,60,"wszystkie","mg","a"
2016-03-05,63,"wszystkie","mg","a"
2016-03-14,65,"wszystkie","mg","a"
2016-03-29,66,"wszystkie","mg","a"
2016-05-06,67,"wszystkie","mg","a"
2016-06-02,73,"wszystkie","mg","a"
2016-06-06,74,"wszystkie","mg","a"
2016-08-16,497,"wszystkie","mg","a"
2016-08-17,591,"wszystkie","mg","a"
2016-08-18,626,"wszystkie","mg","a"
2016-08-22,627,"wszystkie","mg","a"
2016-08-25,628,"wszystkie","mg","a"
2016-08-26,630,"wszystkie","mg","a"
2016-08-28,1041,"wszystkie","mg","a"
2016-08-29,1125,"wszystkie","mg","a"
2016-08-30,1194,"wszystkie","mg","a"
2016-08-31,1322,"wszystkie","mg","a"
2016-09-01,1388,"wszystkie","mg","a"
2016-09-03,1390,"wszystkie","mg","a"
2016-09-04,1398,"wszystkie","mg","a"
2016-09-05,1459,"wszystkie","mg","a"
2016-09-06,1465,"wszystkie","mg","a"
2016-09-07,1476,"wszystkie","mg","a"
2016-09-08,1514,"wszystkie","mg","a"
2016-09-09,1515,"wszystkie","mg","a"
2016-09-10,1527,"wszystkie","mg","a"
2016-09-11,1558,"wszystkie","mg","a"
2016-09-12,1643,"wszystkie","mg","a"
2016-09-13,1689,"wszystkie","mg","a"
2016-09-14,1690,"wszystkie","mg","a"
2016-09-15,1691,"wszystkie","mg","a"
2016-09-16,1733,"wszystkie","mg","a"
2016-09-17,1737,"wszystkie","mg","a"
2016-09-18,1740,"wszystkie","mg","a"
2016-09-19,1766,"wszystkie","mg","a"
2016-09-20,1937,"wszystkie","mg","a"
2016-09-21,2027,"wszystkie","mg","a"
2016-09-22,2031,"wszystkie","mg","a"
2016-09-23,2083,"wszystkie","mg","a"
2016-09-24,2307,"wszystkie","mg","a"
2016-09-25,2525,"wszystkie","mg","a"
2016-09-26,2698,"wszystkie","mg","a"
2016-09-27,2804,"wszystkie","mg","a"
2016-09-28,2808,"wszystkie","mg","a"
2016-09-29,2860,"wszystkie","mg","a"
2016-09-30,2927,"wszystkie","mg","a"
2016-10-01,2988,"wszystkie","mg","a"
2016-10-02,2998,"wszystkie","mg","a"
2016-10-03,3031,"wszystkie","mg","a"
2016-10-04,3647,"wszystkie","mg","a"
2016-10-05,3657,"wszystkie","mg","a"
2016-10-06,3738,"wszystkie","mg","a"
2016-10-07,3807,"wszystkie","mg","a"
2016-10-08,4082,"wszystkie","mg","a"
2016-10-09,4679,"wszystkie","mg","a"
2016-10-10,4987,"wszystkie","mg","a"
2016-10-11,5485,"wszystkie","mg","a"
2016-10-12,5847,"wszystkie","mg","a"
2016-10-13,6182,"wszystkie","mg","a"
2016-10-14,6530,"wszystkie","mg","a"
2016-10-15,6579,"wszystkie","mg","a"
2016-10-16,6609,"wszystkie","mg","a"
2016-10-17,6879,"wszystkie","mg","a"
2016-10-18,6964,"wszystkie","mg","a"
2016-10-19,7105,"wszystkie","mg","a"
2016-10-20,7234,"wszystkie","mg","a"
2016-10-21,7292,"wszystkie","mg","a"
2016-10-22,7614,"wszystkie","mg","a"
2016-10-23,8471,"wszystkie","mg","a"
2016-10-24,8632,"wszystkie","mg","a"
2016-10-25,8972,"wszystkie","mg","a"
2016-10-26,9165,"wszystkie","mg","a"
2016-10-27,9523,"wszystkie","mg","a"
2016-10-28,9790,"wszystkie","mg","a"
2016-10-30,9870,"wszystkie","mg","a"
2016-10-31,10152,"wszystkie","mg","a"
2016-11-01,10182,"wszystkie","mg","a"
2016-11-02,10571,"wszystkie","mg","a"
2016-11-03,10944,"wszystkie","mg","a"
2016-11-04,10966,"wszystkie","mg","a"
2016-11-05,10998,"wszystkie","mg","a"
2016-11-06,11088,"wszystkie","mg","a"
2016-11-07,11212,"wszystkie","mg","a"
2016-11-08,11427,"wszystkie","mg","a"
2016-11-09,11469,"wszystkie","mg","a"
2016-11-10,11483,"wszystkie","mg","a"
2016-11-11,11533,"wszystkie","mg","a"
2016-11-12,11540,"wszystkie","mg","a"
2016-11-13,11647,"wszystkie","mg","a"
2016-11-14,11897,"wszystkie","mg","a"
2016-11-15,12101,"wszystkie","mg","a"
2016-11-16,12336,"wszystkie","mg","a"
2016-11-17,12363,"wszystkie","mg","a"
2016-11-18,12366,"wszystkie","mg","a"
2016-11-19,12403,"wszystkie","mg","a"
2016-11-20,12520,"wszystkie","mg","a"
2016-11-21,12550,"wszystkie","mg","a"
2016-11-22,12622,"wszystkie","mg","a"
2016-11-23,12716,"wszystkie","mg","a"
2016-11-24,12883,"wszystkie","mg","a"
2016-11-25,13039,"wszystkie","mg","a"
2016-11-26,13063,"wszystkie","mg","a"
2016-11-27,13069,"wszystkie","mg","a"
2016-11-28,13081,"wszystkie","mg","a"
2016-11-29,13265,"wszystkie","mg","a"
2016-11-30,13289,"wszystkie","mg","a"
2016-12-01,13340,"wszystkie","mg","a"
2016-12-02,13342,"wszystkie","mg","a"
2016-12-03,13367,"wszystkie","mg","a"
2016-12-04,13378,"wszystkie","mg","a"
2016-12-05,13389,"wszystkie","mg","a"
2016-12-06,13435,"wszystkie","mg","a"
2016-12-07,13477,"wszystkie","mg","a"
2016-12-08,13495,"wszystkie","mg","a"
2016-12-09,13502,"wszystkie","mg","a"
2016-12-10,13513,"wszystkie","mg","a"
2016-12-11,13536,"wszystkie","mg","a"
2016-12-12,13601,"wszystkie","mg","a"
2016-12-13,13864,"wszystkie","mg","a"
2016-12-14,13909,"wszystkie","mg","a"
2016-12-15,13948,"wszystkie","mg","a"
2016-12-16,14163,"wszystkie","mg","a"
2016-12-17,15798,"wszystkie","mg","a"
2016-12-18,17618,"wszystkie","mg","a"
2016-12-19,19461,"wszystkie","mg","a"
2016-12-20,21253,"wszystkie","mg","a"
2016-12-21,22693,"wszystkie","mg","a"
2016-12-22,24226,"wszystkie","mg","a"
2016-12-23,25455,"wszystkie","mg","a"
2016-12-24,26944,"wszystkie","mg","a"
2016-12-25,28642,"wszystkie","mg","a"
2016-12-26,30313,"wszystkie","mg","a"
2016-12-27,31675,"wszystkie","mg","a"
2016-12-28,32808,"wszystkie","mg","a"
2016-12-29,33360,"wszystkie","mg","a"
2016-12-30,34203,"wszystkie","mg","a"
2016-12-31,34765,"wszystkie","mg","a"
2017-01-01,35961,"wszystkie","mg","a"
2017-01-02,36692,"wszystkie","mg","a"
2017-01-03,37770,"wszystkie","mg","a"
2017-01-04,39459,"wszystkie","mg","a"
2017-01-05,40131,"wszystkie","mg","a"
2017-01-06,44262,"wszystkie","mg","a"
2017-01-07,45564,"wszystkie","mg","a"
2017-01-08,46234,"wszystkie","mg","a"
2017-01-09,47181,"wszystkie","mg","a"
2017-01-10,48182,"wszystkie","mg","a"
2017-01-11,48831,"wszystkie","mg","a"
2017-01-12,49339,"wszystkie","mg","a"
2017-01-13,50364,"wszystkie","mg","a"
2017-01-14,51061,"wszystkie","mg","a"
2017-01-15,52101,"wszystkie","mg","a"
2017-01-16,52957,"wszystkie","mg","a"
2017-01-17,53988,"wszystkie","mg","a"
2017-01-18,54318,"wszystkie","mg","a"
2017-01-19,54870,"wszystkie","mg","a"
2017-01-20,55333,"wszystkie","mg","a"
2017-01-21,55669,"wszystkie","mg","a"
2017-01-22,56393,"wszystkie","mg","a"
2017-01-23,57086,"wszystkie","mg","a"
2017-01-24,57718,"wszystkie","mg","a"
2017-01-25,58340,"wszystkie","mg","a"
2017-01-26,60843,"wszystkie","mg","a"
2017-01-27,62610,"wszystkie","mg","a"
2017-01-28,64577,"wszystkie","mg","a"
2017-01-29,65197,"wszystkie","mg","a"
2017-01-30,66105,"wszystkie","mg","a"
2017-01-31,67294,"wszystkie","mg","a"
2017-02-01,67835,"wszystkie","mg","a"
2017-02-02,69244,"wszystkie","mg","a"
2017-02-03,70220,"wszystkie","mg","a"
2017-02-04,71281,"wszystkie","mg","a"
2017-02-05,72420,"wszystkie","mg","a"
2017-02-06,73292,"wszystkie","mg","a"
2017-02-07,73697,"wszystkie","mg","a"
2017-02-08,74258,"wszystkie","mg","a"
2017-02-09,75715,"wszystkie","mg","a"
2017-02-10,76561,"wszystkie","mg","a"
2017-02-11,77195,"wszystkie","mg","a"
2017-02-12,78179,"wszystkie","mg","a"
2017-02-13,79309,"wszystkie","mg","a"
2017-02-14,80312,"wszystkie","mg","a"
2017-02-15,81260,"wszystkie","mg","a"
2017-02-16,82117,"wszystkie","mg","a"
2017-02-17,82919,"wszystkie","mg","a"
2017-02-18,83895,"wszystkie","mg","a"
2017-02-19,85586,"wszystkie","mg","a"
2017-02-20,86218,"wszystkie","mg","a"
2017-02-21,86684,"wszystkie","mg","a"
2017-02-22,87304,"wszystkie","mg","a"
2017-02-23,88621,"wszystkie","mg","a"
2017-02-24,88997,"wszystkie","mg","a"
2017-02-25,89444,"wszystkie","mg","a"
2017-02-26,91020,"wszystkie","mg","a"
2017-02-27,92184,"wszystkie","mg","a"
2017-02-28,93024,"wszystkie","mg","a"
2017-03-01,94303,"wszystkie","mg","a"
2017-03-02,95509,"wszystkie","mg","a"
2017-03-03,95845,"wszystkie","mg","a"
2017-03-04,96677,"wszystkie","mg","a"
2017-03-05,98434,"wszystkie","mg","a"
2017-03-06,99631,"wszystkie","mg","a"
2017-03-07,100858,"wszystkie","mg","a"
2017-03-08,102386,"wszystkie","mg","a"
2017-03-09,104108,"wszystkie","mg","a"
2017-03-10,106851,"wszystkie","mg","a"
2017-03-11,109123,"wszystkie","mg","a"
2017-03-12,111551,"wszystkie","mg","a"
2017-03-13,114841,"wszystkie","mg","a"
2017-03-14,116546,"wszystkie","mg","a"
2017-03-15,118565,"wszystkie","mg","a"
2017-03-16,119650,"wszystkie","mg","a"
2017-03-17,120711,"wszystkie","mg","a"
2017-03-18,121548,"wszystkie","mg","a"
2017-03-19,122234,"wszystkie","mg","a"
2017-03-20,123161,"wszystkie","mg","a"
2017-03-21,123845,"wszystkie","mg","a"
2017-03-22,125004,"wszystkie","mg","a"
2017-03-23,126690,"wszystkie","mg","a"
2017-03-24,127818,"wszystkie","mg","a"
2017-03-25,128776,"wszystkie","mg","a"
2017-03-26,129759,"wszystkie","mg","a"
2017-03-27,130104,"wszystkie","mg","a"
2017-03-28,130774,"wszystkie","mg","a"
2017-03-29,132021,"wszystkie","mg","a"
2017-03-30,132391,"wszystkie","mg","a"
2017-03-31,132989,"wszystkie","mg","a"
2017-04-01,133489,"wszystkie","mg","a"
2017-04-02,134334,"wszystkie","mg","a"
2017-04-03,134931,"wszystkie","mg","a"
2017-04-04,135368,"wszystkie","mg","a"
2017-04-05,135594,"wszystkie","mg","a"
2017-04-06,135779,"wszystkie","mg","a"
2017-04-07,136004,"wszystkie","mg","a"
2017-04-08,136500,"wszystkie","mg","a"
2017-04-09,136775,"wszystkie","mg","a"
2017-04-10,137255,"wszystkie","mg","a"
2017-04-11,137775,"wszystkie","mg","a"
2017-04-12,138384,"wszystkie","mg","a"
2017-04-13,139443,"wszystkie","mg","a"
2017-04-14,140396,"wszystkie","mg","a"
2017-04-15,140825,"wszystkie","mg","a"
2017-04-16,141084,"wszystkie","mg","a"
2017-04-17,141475,"wszystkie","mg","a"
2017-04-18,141868,"wszystkie","mg","a"
2017-04-19,142839,"wszystkie","mg","a"
2017-04-20,143117,"wszystkie","mg","a"
2017-04-21,143852,"wszystkie","mg","a"
2017-04-22,145772,"wszystkie","mg","a"
2017-04-23,146486,"wszystkie","mg","a"
2017-04-24,146994,"wszystkie","mg","a"
2017-04-25,147448,"wszystkie","mg","a"
2017-04-26,147860,"wszystkie","mg","a"
2017-04-27,148343,"wszystkie","mg","a"
2017-04-28,148586,"wszystkie","mg","a"
2017-04-29,149081,"wszystkie","mg","a"
2017-04-30,149216,"wszystkie","mg","a"
2017-05-01,149424,"wszystkie","mg","a"
2017-05-02,149611,"wszystkie","mg","a"
2017-05-03,150058,"wszystkie","mg","a"
2017-05-04,151016,"wszystkie","mg","a"
2017-05-05,151628,"wszystkie","mg","a"
2017-05-06,151927,"wszystkie","mg","a"
2017-05-07,152383,"wszystkie","mg","a"
2017-05-08,152937,"wszystkie","mg","a"
2017-05-09,153211,"wszystkie","mg","a"
2017-05-10,153525,"wszystkie","mg","a"
2017-05-11,153737,"wszystkie","mg","a"
2017-05-12,154257,"wszystkie","mg","a"
2017-05-13,154537,"wszystkie","mg","a"
2017-05-14,155120,"wszystkie","mg","a"
2017-05-15,156037,"wszystkie","mg","a"
2017-05-16,156484,"wszystkie","mg","a"
2017-05-17,157269,"wszystkie","mg","a"
2017-05-18,157656,"wszystkie","mg","a"
2017-05-19,158210,"wszystkie","mg","a"
2017-05-20,158675,"wszystkie","mg","a"
2017-05-21,159240,"wszystkie","mg","a"
2017-05-22,159444,"wszystkie","mg","a"
2017-05-23,160420,"wszystkie","mg","a"
2017-05-24,160919,"wszystkie","mg","a"
2017-05-25,161393,"wszystkie","mg","a"
2017-05-26,161640,"wszystkie","mg","a"
2017-05-27,162055,"wszystkie","mg","a"
2017-05-28,162577,"wszystkie","mg","a"
2017-05-29,162803,"wszystkie","mg","a"
2017-05-30,163077,"wszystkie","mg","a"
2017-05-31,163293,"wszystkie","mg","a"
2017-06-01,163635,"wszystkie","mg","a"
2017-06-02,163752,"wszystkie","mg","a"
2017-06-03,164106,"wszystkie","mg","a"
2017-06-04,164425,"wszystkie","mg","a"
2017-06-05,164633,"wszystkie","mg","a"
2017-06-06,165051,"wszystkie","mg","a"
2017-06-07,165146,"wszystkie","mg","a"
2017-06-08,165563,"wszystkie","mg","a"
2017-06-09,165810,"wszystkie","mg","a"
2017-06-10,166102,"wszystkie","mg","a"
2017-06-11,166348,"wszystkie","mg","a"
2017-06-12,166644,"wszystkie","mg","a"
2017-06-13,166843,"wszystkie","mg","a"
2017-06-14,167034,"wszystkie","mg","a"
2017-06-15,167102,"wszystkie","mg","a"
2017-06-16,167268,"wszystkie","mg","a"
2017-06-17,167375,"wszystkie","mg","a"
2017-06-18,167545,"wszystkie","mg","a"
2017-06-19,167633,"wszystkie","mg","a"
2017-06-20,167756,"wszystkie","mg","a"
2017-06-21,167860,"wszystkie","mg","a"
2017-06-22,167994,"wszystkie","mg","a"
2017-06-23,168310,"wszystkie","mg","a"
2017-06-24,168720,"wszystkie","mg","a"
2017-06-25,168802,"wszystkie","mg","a"
2017-06-26,169142,"wszystkie","mg","a"
2017-06-27,169202,"wszystkie","mg","a"
2017-06-28,169414,"wszystkie","mg","a"
2017-06-29,169433,"wszystkie","mg","a"
2017-06-30,169800,"wszystkie","mg","a"
2017-07-01,169945,"wszystkie","mg","a"
2017-07-02,170081,"wszystkie","mg","a"
2017-07-03,170214,"wszystkie","mg","a"
2017-07-04,170563,"wszystkie","mg","a"
2017-07-05,170877,"wszystkie","mg","a"
2017-07-06,171285,"wszystkie","mg","a"
2017-07-07,171488,"wszystkie","mg","a"
2017-07-08,172096,"wszystkie","mg","a"
2017-07-09,172287,"wszystkie","mg","a"
2017-07-10,172756,"wszystkie","mg","a"
2017-07-11,174152,"wszystkie","mg","a"
2017-07-12,174894,"wszystkie","mg","a"
2017-07-13,175085,"wszystkie","mg","a"
2017-07-14,175228,"wszystkie","mg","a"
2017-07-15,175392,"wszystkie","mg","a"
2017-07-16,175428,"wszystkie","mg","a"
2017-07-17,175526,"wszystkie","mg","a"
2017-07-18,175631,"wszystkie","mg","a"
2017-07-19,175668,"wszystkie","mg","a"
2017-07-20,175782,"wszystkie","mg","a"
2017-07-21,176359,"wszystkie","mg","a"
2017-07-22,176740,"wszystkie","mg","a"
2017-07-23,177214,"wszystkie","mg","a"
2017-07-24,177279,"wszystkie","mg","a"
2017-07-25,177358,"wszystkie","mg","a"
2017-07-26,177445,"wszystkie","mg","a"
2017-07-27,177585,"wszystkie","mg","a"
2017-07-28,177878,"wszystkie","mg","a"
2017-07-29,178050,"wszystkie","mg","a"
2017-07-30,178795,"wszystkie","mg","a"
2017-07-31,179102,"wszystkie","mg","a"
2017-08-01,179176,"wszystkie","mg","a"
2017-08-02,179397,"wszystkie","mg","a"
2017-08-03,179664,"wszystkie","mg","a"
2017-08-04,179877,"wszystkie","mg","a"
2017-08-05,180031,"wszystkie","mg","a"
2017-08-06,180187,"wszystkie","mg","a"
2017-08-07,180314,"wszystkie","mg","a"
2017-08-08,180493,"wszystkie","mg","a"
2017-08-09,180537,"wszystkie","mg","a"
2017-08-10,180699,"wszystkie","mg","a"
2017-08-11,180878,"wszystkie","mg","a"
2017-08-12,181300,"wszystkie","mg","a"
2017-08-13,181545,"wszystkie","mg","a"
2017-08-14,181615,"wszystkie","mg","a"
2017-08-15,181918,"wszystkie","mg","a"
2017-08-16,182318,"wszystkie","mg","a"
2017-08-17,182470,"wszystkie","mg","a"
2017-08-18,182578,"wszystkie","mg","a"
2017-08-19,182752,"wszystkie","mg","a"
2017-08-20,182873,"wszystkie","mg","a"
2017-08-21,183402,"wszystkie","mg","a"
2017-08-22,183674,"wszystkie","mg","a"
2017-08-23,184277,"wszystkie","mg","a"
2017-08-24,184721,"wszystkie","mg","a"
2017-08-25,185098,"wszystkie","mg","a"
2017-08-26,185258,"wszystkie","mg","a"
2017-08-27,185558,"wszystkie","mg","a"
2017-08-28,186287,"wszystkie","mg","a"
2017-08-29,186710,"wszystkie","mg","a"
2017-08-30,186958,"wszystkie","mg","a"
2017-08-31,187623,"wszystkie","mg","a"
2017-09-01,188113,"wszystkie","mg","a"
2017-09-02,188433,"wszystkie","mg","a"
2017-09-03,188684,"wszystkie","mg","a"
2017-09-04,188841,"wszystkie","mg","a"
2017-09-05,189253,"wszystkie","mg","a"
2017-09-06,189300,"wszystkie","mg","a"
2017-09-07,189561,"wszystkie","mg","a"
2017-09-08,189851,"wszystkie","mg","a"
2017-09-09,189927,"wszystkie","mg","a"
2017-09-10,190184,"wszystkie","mg","a"
2017-09-11,190344,"wszystkie","mg","a"
2017-09-12,190494,"wszystkie","mg","a"
2017-09-13,190678,"wszystkie","mg","a"
2017-09-14,190872,"wszystkie","mg","a"
2017-09-15,190958,"wszystkie","mg","a"
2017-09-16,190982,"wszystkie","mg","a"
2017-09-17,191297,"wszystkie","mg","a"
2017-09-18,191580,"wszystkie","mg","a"
2017-09-19,191879,"wszystkie","mg","a"
2017-09-20,192005,"wszystkie","mg","a"
2017-09-21,192434,"wszystkie","mg","a"
2017-09-22,192718,"wszystkie","mg","a"
2017-09-23,193037,"wszystkie","mg","a"
2017-09-24,193265,"wszystkie","mg","a"
2017-09-25,193538,"wszystkie","mg","a"
2017-09-26,193937,"wszystkie","mg","a"
2017-09-27,194439,"wszystkie","mg","a"
2017-09-28,194904,"wszystkie","mg","a"
2017-09-29,195068,"wszystkie","mg","a"
2017-09-30,195157,"wszystkie","mg","a"
2017-10-01,195389,"wszystkie","mg","a"
2017-10-02,195653,"wszystkie","mg","a"
2017-10-03,195745,"wszystkie","mg","a"
2017-10-04,196041,"wszystkie","mg","a"
2017-10-05,196261,"wszystkie","mg","a"
2017-10-06,196715,"wszystkie","mg","a"
2017-10-07,196962,"wszystkie","mg","a"
2017-10-08,197404,"wszystkie","mg","a"
2017-10-09,197533,"wszystkie","mg","a"
2017-10-10,198138,"wszystkie","mg","a"
2017-10-11,198507,"wszystkie","mg","a"
2017-10-12,198810,"wszystkie","mg","a"
2017-10-13,198907,"wszystkie","mg","a"
2017-10-14,199497,"wszystkie","mg","a"
2017-10-15,199596,"wszystkie","mg","a"
2017-10-16,199932,"wszystkie","mg","a"
