com.samsung.shealth.tracker.pedometer_step_count,6261011,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
29501,4,0,42,2023-12-19 07:54:00.000,,,2023-12-19 07:55:20.266,2023-12-19 07:55:20.266,42,1.0555556,31.14,1.65,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 07:55:00.000,ca279b6e-d208-40aa-bdad-dab1c75e5bb2,
26011,4,0,59,2023-12-19 07:55:00.000,,,2023-12-19 07:58:12.948,2023-12-19 07:58:12.948,59,1.8611112,48.41,2.38,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 07:56:00.000,9199a25b-c7a8-4be6-934a-916094f8ad00,
60000,4,0,117,2023-12-19 07:56:00.000,,,2023-12-19 07:58:13.000,2023-12-19 07:58:13.000,117,1.5393333,92.36,4.68,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 07:57:00.000,ccebdc98-bb77-47f9-bfe6-a2bdfbadc82e,
60000,4,0,115,2023-12-19 07:57:00.000,,,2023-12-19 07:58:13.047,2023-12-19 07:58:13.047,115,1.4921666,89.53,4.6,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 07:58:00.000,435806bb-9c09-44e0-a906-d25385109f38,
60000,4,0,114,2023-12-19 07:58:00.000,,,2023-12-19 07:59:27.982,2023-12-19 07:58:13.076,114,1.4821663,88.92998,4.559998,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 07:59:00.000,f9175790-b60b-42cb-8daa-ed9d214c662c,
42397,4,0,79,2023-12-19 07:59:00.000,,,2023-12-19 07:59:41.999,2023-12-19 07:59:28.006,79,1.4583377,61.82998,3.159999,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 08:00:00.000,0d1b0c9f-8e29-4dbd-b707-d878a7efee1d,
18005,4,0,33,2023-12-19 08:00:00.000,,,2023-12-19 08:00:59.819,2023-12-19 08:00:48.126,33,1.4190136,25.550005,1.24,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 08:01:00.000,3e79994a-e8c7-47d4-a8e6-354ce9fafbbe,
42998,4,8,84,2023-12-19 08:01:00.000,,,2023-12-19 08:02:41.603,2023-12-19 08:01:00.313,92,1.7858942,76.79,4.06,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 08:02:00.000,6826e1f3-990e-40ce-b08b-5ca927c15499,
11936,4,0,22,2023-12-19 08:05:00.000,,,2023-12-19 08:11:13.930,2023-12-19 08:11:13.930,22,1.4166666,16.91,0.86,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 08:06:00.000,a1443390-3dfb-43f1-85c6-47074eb5658d,
60000,4,0,110,2023-12-19 08:06:00.000,,,2023-12-19 08:11:13.976,2023-12-19 08:11:13.976,110,1.4113334,84.68,4.4,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 08:07:00.000,af64456d-fbc5-46da-b6e2-cce20eafe1bd,
60000,4,0,114,2023-12-19 08:07:00.000,,,2023-12-19 08:11:14.009,2023-12-19 08:11:14.009,114,1.4798335,88.79,4.56,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 08:08:00.000,2e475292-7eb6-4338-8ce8-6ac7478ee4a9,
60000,4,0,115,2023-12-19 08:08:00.000,,,2023-12-19 08:11:14.053,2023-12-19 08:11:14.053,115,1.495,89.7,4.6,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 08:09:00.000,3606d285-8035-4858-8452-0f6e3493be83,
60000,4,0,114,2023-12-19 08:09:00.000,,,2023-12-19 08:11:14.081,2023-12-19 08:11:14.081,114,1.4756666,88.54,4.56,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 08:10:00.000,fec0662e-1ab4-4fa3-bbab-a7d4a75f94a1,
60000,4,0,114,2023-12-19 08:10:00.000,,,2023-12-19 08:11:14.099,2023-12-19 08:11:14.099,114,1.4785,88.71,4.56,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 08:11:00.000,b9edb08f-9dae-4444-921d-7adff50dbd00,
60000,4,0,114,2023-12-19 08:11:00.000,,,2023-12-19 08:15:01.308,2023-12-19 08:11:14.120,114,1.4773335,88.640015,4.5599995,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 08:12:00.000,ddfcbb5a-a74e-4b18-bef9-744de14d26bc,
60000,4,0,114,2023-12-19 08:12:00.000,,,2023-12-19 08:15:01.350,2023-12-19 08:15:01.350,114,1.4781668,88.69,4.56,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 08:13:00.000,519c389c-f3e7-4665-80bb-4e8ea9224fc2,
60000,4,0,109,2023-12-19 08:13:00.000,,,2023-12-19 08:15:01.376,2023-12-19 08:15:01.376,109,1.3983333,83.9,4.36,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 08:14:00.000,e325a901-c1e9-437b-a7f5-994fd89fca6f,
8957,4,0,14,2023-12-19 08:14:00.000,,,2023-12-19 08:15:17.512,2023-12-19 08:15:17.512,14,1.1666666,10.45,0.56,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 08:15:00.000,cdd0f965-a753-46fe-ab5d-505bb3a9e4c6,
31896,4,0,43,2023-12-19 08:15:00.000,,,2023-12-19 08:35:49.898,2023-12-19 08:35:49.898,43,0.9722222,31.01,1.73,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 08:16:00.000,dcca6c1f-27b0-406f-b2e9-ee3d7fb1bd9d,
11753,4,0,17,2023-12-19 08:43:00.000,,,2023-12-19 08:48:23.337,2023-12-19 08:43:31.897,17,1.0711979,12.59,0.68,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 08:44:00.000,2e92f3aa-7009-416b-b061-7844fd6874de,
8223,4,0,15,2023-12-19 08:48:00.000,,,2023-12-19 08:48:28.632,2023-12-19 08:48:23.383,15,1.4726547,12.110001,0.58000004,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 08:49:00.000,709d1342-5aac-4fc1-b403-1338112c911d,
13427,4,0,19,2023-12-19 09:02:00.000,,,2023-12-19 09:10:23.471,2023-12-19 09:10:23.471,19,1.0277778,13.8,0.76,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 09:03:00.000,75bdfe92-720f-417d-be2b-d59aeb1cec32,
60000,4,0,109,2023-12-19 09:03:00.000,,,2023-12-19 09:10:23.506,2023-12-19 09:10:23.506,109,1.3955001,83.73,4.35,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 09:04:00.000,4c4acea9-4937-45d1-bbb7-8aa0b6d483d0,
60000,4,0,110,2023-12-19 09:04:00.000,,,2023-12-19 09:10:23.533,2023-12-19 09:10:23.533,110,1.4111665,84.67,4.4,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 09:05:00.000,b9ab7442-6245-4a06-933d-ad11cb19d1d7,
60000,4,0,109,2023-12-19 09:05:00.000,,,2023-12-19 09:10:23.547,2023-12-19 09:10:23.547,109,1.3961666,83.77,4.36,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 09:06:00.000,df594d89-ee7a-4baa-821d-9f4885d47a9b,
60000,4,0,98,2023-12-19 09:06:00.000,,,2023-12-19 09:10:23.599,2023-12-19 09:10:23.599,98,1.229,73.74,3.92,UTC+0100,YygnjwRWuX,com.sec.android.app.shealth,2023-12-19 09:07:00.000,20744063-9cf0-42ad-acfb-d79b0d45f3a9,
