"","x","y","color","size"
"1",-0.05,0,"drzewo",1
"2",-0.048989898989899,0,"drzewo",1
"3",-0.047979797979798,0,"drzewo",1
"4",-0.046969696969697,0,"drzewo",1
"5",-0.045959595959596,0,"drzewo",1
"6",-0.044949494949495,0,"drzewo",1
"7",-0.0439393939393939,0,"drzewo",1
"8",-0.0429292929292929,0,"drzewo",1
"9",-0.0419191919191919,0,"drzewo",1
"10",-0.0409090909090909,0,"drzewo",1
"11",-0.0398989898989899,0,"drzewo",1
"12",-0.0388888888888889,0,"drzewo",1
"13",-0.0378787878787879,0,"drzewo",1
"14",-0.0368686868686869,0,"drzewo",1
"15",-0.0358585858585859,0,"drzewo",1
"16",-0.0348484848484849,0,"drzewo",1
"17",-0.0338383838383838,0,"drzewo",1
"18",-0.0328282828282828,0,"drzewo",1
"19",-0.0318181818181818,0,"drzewo",1
"20",-0.0308080808080808,0,"drzewo",1
"21",-0.0297979797979798,0,"drzewo",1
"22",-0.0287878787878788,0,"drzewo",1
"23",-0.0277777777777778,0,"drzewo",1
"24",-0.0267676767676768,0,"drzewo",1
"25",-0.0257575757575758,0,"drzewo",1
"26",-0.0247474747474748,0,"drzewo",1
"27",-0.0237373737373737,0,"drzewo",1
"28",-0.0227272727272727,0,"drzewo",1
"29",-0.0217171717171717,0,"drzewo",1
"30",-0.0207070707070707,0,"drzewo",1
"31",-0.0196969696969697,0,"drzewo",1
"32",-0.0186868686868687,0,"drzewo",1
"33",-0.0176767676767677,0,"drzewo",1
"34",-0.0166666666666667,0,"drzewo",1
"35",-0.0156565656565657,0,"drzewo",1
"36",-0.0146464646464647,0,"drzewo",1
"37",-0.0136363636363636,0,"drzewo",1
"38",-0.0126262626262626,0,"drzewo",1
"39",-0.0116161616161616,0,"drzewo",1
"40",-0.0106060606060606,0,"drzewo",1
"41",-0.0095959595959596,0,"drzewo",1
"42",-0.00858585858585859,0,"drzewo",1
"43",-0.00757575757575758,0,"drzewo",1
