index,_pos
0,"array([ 6.15737095, 12.18001346])"
1,"array([ 6.02452807, 12.30694658])"
2,"array([ 6.21235556, 12.30904252])"
3,"array([ 6.20006983, 12.02058274])"
4,"array([ 6.39127839, 12.12443636])"
5,"array([ 6.29917576, 11.87352432])"
6,"array([ 6.10988119, 11.85777078])"
7,"array([ 6.53249506, 11.84818983])"
8,"array([ 6.33895053, 11.66746006])"
9,"array([ 6.17530934, 11.69087884])"
10,"array([ 6.24561474, 11.20264091])"
11,"array([ 6.24767581, 10.98675448])"
12,"array([ 6.23592226, 11.47158589])"
13,"array([ 6.37204684, 11.07070647])"
14,"array([ 6.43113571, 11.23814231])"
15,"array([ 6.43362182, 10.92787328])"
16,"array([ 6.43332679, 11.46548241])"
17,"array([ 6.48051103, 11.65360542])"
18,"array([ 6.60361555, 11.57330721])"
19,"array([ 6.59519546, 11.33507826])"
20,"array([ 7.4075055 , 12.78576094])"
21,"array([ 7.37427675, 12.93085977])"
22,"array([ 7.20026409, 12.77037894])"
23,"array([ 7.54628961, 12.87927728])"
24,"array([ 6.58519449, 12.54293065])"
25,"array([ 6.75580125, 12.51449661])"
26,"array([ 6.57530997, 12.33651409])"
27,"array([ 6.88413178, 12.66221781])"
28,"array([ 7.04758233, 12.68910255])"
29,"array([ 6.96607953, 12.52468275])"
30,"array([ 6.36675286, 12.34650062])"
31,"array([ 6.22322026, 12.48634657])"
32,"array([ 6.74884422, 11.69986322])"
33,"array([ 6.74144633, 11.9124527 ])"
34,"array([ 6.90707467, 11.58086058])"
35,"array([ 6.7648909 , 11.46036799])"
36,"array([ 6.91454353, 11.80485926])"
37,"array([ 6.56236451, 11.10035504])"
38,"array([ 6.74852542, 11.25220611])"
39,"array([ 6.59260227, 10.88843488])"
40,"array([ 6.83843324, 12.07724856])"
41,"array([ 6.66242135, 12.12524946])"
42,"array([ 6.98823934, 12.02843199])"
43,"array([ 6.89461578, 12.24442282])"
44,"array([ 6.7799917 , 12.35229516])"
45,"array([ 7.37352583, 13.13340307])"
46,"array([ 7.24529086, 12.99424949])"
47,"array([ 7.44602189, 13.31444209])"
48,"array([ 6.91033138, 11.3736773 ])"
