Partia,2011,2015,2019,2023
PIS,27.3,29.9,27.5,20.1
PO,49,27.5,42.1,43.2
PSL,1.7,0.7,4.7,13.5
Lewica,7.7,8.6,18.2,13.3
Konfederacja,0,6.2,7.5,7.2
Ruchy sezonowe,14.3,27.1,0,2.7
