Osoba;stanowisko;kolor
Barbara Roszkowska-Lech;profesor uczelni;red
Michał Zwierzyński;adiunkt;blue
Anna Dembińska;profesor uczelni;red
Michał Dybowski;współpracownik;green
Piotr Gałązka;adiunkt;blue
Bogusława Karpińska;profesor uczelni;red
Michał Zwierzyński;adiunkt;blue
Hubert Grochowski;współpracownik;green
Zbigniew Lonc;profesor ;purple
Paweł Naroski;adiunkt;blue
Marta Przyborowska;adiunkt;blue
Maciej Bednarz;współpracownik;green
Marcin Luckner;profesor uczelni;red
Janusz Rafałko;adiunkt;blue
Anna Cena;adiunkt;blue
Michał Denkiewicz;asystent;grey
Marek Gągolewski;adiunkt;blue
Mateusz Krzyziński;współpracownik;green
Robert Małysz;adiunkt;blue
Mikołaj Spytek;współpracownik;green
Barbara Żogała-Siudem;współpracownik;green
Zbigniew Król;profesor uczelni;red
Barbara Roszkowska-Lech;profesor uczelni;red
Michał Zwierzyński;adiunkt;blue
Anna Dembińska;profesor uczelni;red
Wojciech Domitrz;profesor uczelni;red
Piotr Gałązka;adiunkt;blue
Bogusława Karpińska;profesor uczelni;red
Michał Zwierzyński;adiunkt;blue
Wiktor Daszczuk;adiunkt;blue
Piotr Gawkowski;asystent;grey
Krystian Radlak;adiunkt;blue
Michał Ziembowski;profesor uczelni;red
Anna Cichocka;współpracownik;green
Aleksandra Firek;asystent;grey
Marcin Luckner;profesor uczelni;red
Anna Cena;adiunkt;blue
Michał Dębski;adiunkt;blue
Marek Gągolewski;adiunkt;blue
Małgorzata Śleszyńska-Nowak;adiunkt;blue
Paweł Józiak;adiunkt;blue
AwAD;;black
AwAD;;black
AM2;;black
AM2;;black
AM2;;black
AM2;;black
AM2;;black
MD;;black
MD;;black
MD;;black
MD;;black
Java;;black
Java;;black
Java;;black
PDU;;black
PDU;;black
PDU;;black
PDU;;black
PDU;;black
PDU;;black
PDU;;black
WZFI;;black
ALZG;;black
ALZG;;black
AM1;;black
AM1;;black
AM1;;black
AM1;;black
AM1;;black
AK;;black
AK;;black
AK;;black
ELiTM;;black
ELiTM;;black
KRP;;black
KRP;;black
PPPD;;black
PPPD;;black
PPPD;;black
PPPD;;black
SOwID;;black
