"Country","Gh_emissions","GDP","Food_waste"
"Paraguay",1.2793584,5.35334804464198,72
"Peru",1.669323,6.06362657980167,72
"Philippines",1.2668023,3.2244228110466,86
"Poland",8.577376,15.8168204022734,56
"Portugal",3.9647021,22.2424064179716,84
"Qatar",35.587307,52.3156600783117,95
"Romania",4.104127,13.047457681178,70
"Rwanda",0.13033324,0.773820557473379,164
"Samoa",1.3441752,4.04272271474144,76
"Sao Tome and Principe",0.5915166,2.16131020078768,100
"Saudi Arabia",18.70299,20.3980609873699,105
"Senegal",0.8057197,1.49247590420334,100
"Serbia",4.2304993,7.73380349392648,83
"Seychelles",5.3366547,12.020021913519,93
"Sierra Leone",0.15431175,0.493432252431844,103
"Singapore",5.4715614,61.2740064626976,80
"Slovenia",5.921149,25.5452410027132,34
"Solomon Islands",0.44913858,2.22246214297336,91
"Somalia",0.035766363,0.416217774718244,103
"South Africa",7.339827,5.74164124877252,40
"Spain",4.9202914,26.9596754367322,77
"Sri Lanka",0.9544157,3.85238996755421,76
"Sudan",0.46078634,0.60833251953125,97
"Suriname",4.5566983,4.79653331389928,72
"Sweden",3.4249187,52.8379039778149,81
"Switzerland",4.019106,85.656322666307,72
"Tajikistan",1.060136,0.852330229589791,97
"Tanzania",0.20536575,1.10416442871094,119
"Thailand",3.889545,7.00178541255771,79
"Togo",0.27091572,0.875245409906734,103
"Tonga",1.6490842,4.60597087843701,76
"Trinidad and Tobago",23.677477,13.8717982158614,74
"Tunisia",2.575461,3.49773323057269,91
"Turkmenistan",13.0887375,7.29718004219407,76
"Turks and Caicos Islands",7.558162,20.8822612702141,74
"Tuvalu",0.70781016,4.67490908818494,76
"Uganda",0.12606297,0.846881199214807,103
"Ukraine",4.6370573,3.7517373046875,76
"United Arab Emirates",21.792141,37.6291741680652,95
"United Kingdom",5.1540995,40.3184169225055,77
"United States",14.858668,63.5286343027508,59
"Uruguay",1.9665356,15.6504994274155,74
"Uzbekistan",3.5688467,1.75930747050785,91
"Vanuatu",0.54789656,2.91775684908933,91
"Zambia",0.39419338,0.956831747486282,78
"Zimbabwe",0.7062929,1.37269667433317,100
