Country Name;Country Code;Indicator Name;Indicator Code;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Aruba;ABW;GDP per capita (current US$);NY.GDP.PCAP.CD;24975.6732567007;25833.445623022;27665.4264651752;29011.5592450359;25739.1372506975;24452.9283634427;26044.4359333351;25609.9557239373;26515.678080228;26942.3079764655;28421.3864931862;28451.2737445083;29326.7080582111;30918.5152176932;31902.7625819564;24487.863569428;29342.1007300268;
Africa Eastern and Southern;AFE;GDP per capita (current US$);NY.GDP.PCAP.CD;1124.22030344619;1230.19479303066;1374.08624833358;1433.25830438865;1417.13058724797;1649.63914576854;1799.62300911306;1765.25007309797;1736.22250714845;1724.53438087977;1545.55908352233;1436.09440388982;1613.66848779126;1550.11176204468;1499.9544365215;1353.9275274008;1539.16554316986;1622.39171959406
Afghanistan;AFG;GDP per capita (current US$);NY.GDP.PCAP.CD;255.055107095483;274.000655690946;375.07826147255;387.849288097831;443.845150536332;554.59473461788;621.912413814308;663.141052810937;651.987861948108;628.146803888496;592.476164793256;520.251954939821;530.14986261654;502.057099211089;500.52298078433;516.866797351726;363.674087113049;
Africa Western and Central;AFW;GDP per capita (current US$);NY.GDP.PCAP.CD;1003.43661816797;1245.82294792284;1420.84033644779;1685.37116961232;1467.2412356052;1679.64672676436;1860.94392780989;1957.51961404941;2153.76613809455;2247.85749211781;1880.75077764461;1646.97239910395;1588.58100471239;1732.81654392311;1810.53800638238;1686.99789853738;1765.96530719796;1790.34880033979
Angola;AGO;GDP per capita (current US$);NY.GDP.PCAP.CD;1900.7238165071;2597.96358484271;3121.34873520681;4081.71749719537;3123.69889829937;3496.78479608032;4511.15322719034;4962.55207190082;5101.98387641128;5059.08044128816;3100.83068530533;1709.51553404553;2283.21423255725;2487.50099555267;2142.23875712854;1502.95075414518;1903.71740495688;2998.50115810921
Albania;ALB;GDP per capita (current US$);NY.GDP.PCAP.CD;2673.78780296036;2972.74361818169;3595.03830207997;4370.53971115737;4114.13404061058;4094.34969883571;4437.14114631148;4247.63135624709;4413.06339738921;4578.63320812155;3952.80358410846;4124.05538986272;4531.03220675893;5287.66081699731;5396.21422690995;5343.0377039956;6377.20309553753;6802.80451885113
Andorra;AND;GDP per capita (current US$);NY.GDP.PCAP.CD;39583.9311942065;43084.2929123378;50562.8612073334;53721.4113275461;49750.6936704524;48237.8911734423;51428.1969548606;44902.3807653946;44747.7538640509;45680.5349900379;38885.5303237179;39931.2169819106;40632.2315536054;42904.8284555114;41328.6004993451;37207.2220000095;42072.341103463;41992.7933583772
Arab World;ARB;GDP per capita (current US$);NY.GDP.PCAP.CD;4069.14941288094;4701.93113835085;5327.23454742179;6528.65029193734;5585.45610966012;6406.31381669319;6864.43418388411;7365.45684927874;7348.84954968398;7302.2503496362;6283.25602556899;6113.39773758358;6224.52297014464;6573.81696971074;6498.52903712431;5639.39873488484;6414.72561815051;7655.84840197887
United Arab Emirates;ARE;GDP per capita (current US$);NY.GDP.PCAP.CD;42190.5543794633;45339.5851165809;43918.3801694265;45140.7690772438;31722.5887637992;34165.9133053315;40893.0233597739;44386.7860798374;45729.607675743;46865.9645976866;41525.1389043587;41054.5395698941;43063.9674785596;46722.2687193126;45376.1708390447;37629.1741680652;44315.554183896;53757.8632508308
Argentina;ARG;GDP per capita (current US$);NY.GDP.PCAP.CD;5086.62776073134;5890.97800169795;7210.59554755899;8977.50685093365;8184.38988923991;10385.9644319555;12848.7404762598;13082.664325572;13080.2547323367;12334.7982453893;13789.060424772;12790.2640639201;14613.035714704;11795.1628852236;9963.67423069626;8496.428156755;10636.1155301986;13686.0086737317
