field/0/_name,field/0/__text,field/1/_name,field/1/__text,field/2/_name,field/2/__text,field/3/_name,field/3/__text,field/4/_name,field/4/__text,field/5/_name,field/5/__text
Country or Area,Afghanistan,Element,Production,Year,2019,Unit,tonnes,Value,20985.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,2018,Unit,tonnes,Value,22947.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,2017,Unit,tonnes,Value,22717.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,2016,Unit,tonnes,Value,22191.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,2015,Unit,tonnes,Value,22408.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,2014,Unit,tonnes,Value,21945.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,2013,Unit,tonnes,Value,23274.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,2012,Unit,tonnes,Value,23280.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,2011,Unit,tonnes,Value,23520.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,2010,Unit,tonnes,Value,22080.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,2009,Unit,tonnes,Value,22050.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,2008,Unit,tonnes,Value,21912.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,2007,Unit,tonnes,Value,22230.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,2006,Unit,tonnes,Value,18180.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,2005,Unit,tonnes,Value,19170.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,2004,Unit,tonnes,Value,19530.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,2003,Unit,tonnes,Value,17190.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,2002,Unit,tonnes,Value,19026.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,2001,Unit,tonnes,Value,21330.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,2000,Unit,tonnes,Value,23463.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1999,Unit,tonnes,Value,27990.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1998,Unit,tonnes,Value,25380.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1997,Unit,tonnes,Value,22680.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1996,Unit,tonnes,Value,20160.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1995,Unit,tonnes,Value,17640.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1994,Unit,tonnes,Value,18106.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1993,Unit,tonnes,Value,17370.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1992,Unit,tonnes,Value,17370.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1991,Unit,tonnes,Value,17820.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1990,Unit,tonnes,Value,17343.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1989,Unit,tonnes,Value,14611.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1988,Unit,tonnes,Value,12960.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1987,Unit,tonnes,Value,11399.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1986,Unit,tonnes,Value,10651.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1985,Unit,tonnes,Value,13981.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1984,Unit,tonnes,Value,17010.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1983,Unit,tonnes,Value,19710.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1982,Unit,tonnes,Value,19044.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1981,Unit,tonnes,Value,19350.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1980,Unit,tonnes,Value,17874.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1979,Unit,tonnes,Value,17550.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1978,Unit,tonnes,Value,16992.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1977,Unit,tonnes,Value,17010.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1976,Unit,tonnes,Value,17010.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1975,Unit,tonnes,Value,16560.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1974,Unit,tonnes,Value,15300.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1973,Unit,tonnes,Value,14130.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1972,Unit,tonnes,Value,11880.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1971,Unit,tonnes,Value,12690.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1970,Unit,tonnes,Value,15840.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1969,Unit,tonnes,Value,17460.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1968,Unit,tonnes,Value,17460.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1967,Unit,tonnes,Value,17100.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1966,Unit,tonnes,Value,15840.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1965,Unit,tonnes,Value,17064.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1964,Unit,tonnes,Value,16200.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1963,Unit,tonnes,Value,15372.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1962,Unit,tonnes,Value,14148.00,Value Footnotes,A
Country or Area,Afghanistan,Element,Production,Year,1961,Unit,tonnes,Value,14094.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,2019,Unit,tonnes,Value,1029307.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,2018,Unit,tonnes,Value,1139359.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,2017,Unit,tonnes,Value,1113011.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,2016,Unit,tonnes,Value,1066960.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,2015,Unit,tonnes,Value,1074408.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,2014,Unit,tonnes,Value,1094837.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,2013,Unit,tonnes,Value,1125513.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,2012,Unit,tonnes,Value,1142836.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,2011,Unit,tonnes,Value,1027274.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,2010,Unit,tonnes,Value,1019090.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,2009,Unit,tonnes,Value,1015438.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,2008,Unit,tonnes,Value,1003911.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,2007,Unit,tonnes,Value,997650.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,2006,Unit,tonnes,Value,965260.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,2005,Unit,tonnes,Value,957795.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,2004,Unit,tonnes,Value,915042.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,2003,Unit,tonnes,Value,955950.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,2002,Unit,tonnes,Value,826501.00,Value Footnotes,A
Country or Area,Africa,Element,Production,Year,2001,Unit,tonnes,Value,749280.00,Value Footnotes,A
