Country,Population,Area.sq.mi
alameda,1648556,738
alpine,1235,739
amador,41259,606
butte,208309,164
calaveras,46221,102
colusa,21917,1151
contra costa,1161413,720
del norte,281,1008
el dorado,193221,1712
fresno,1013581,5963
glenn,28805,1315
humboldt,13631,3573
imperial,179851,4175
inyo,1897,10192
kern,917673,8142
kings,153443,139
lake,68766,1258
lassen,33159,4558
los angeles,9829544,406
madera,15941,2138
marin,260206,520
mariposa,17147,1451
mendocino,91305,3509
merced,286461,1929
modoc,8661,3944
mono,13247,3044
monterey,437325,3322
napa,136207,754
nevada,103487,958
orange,3167809,948
placer,4123,1407
plumas,19915,2554
riverside,2458395,7208
sacramento,1588921,966
san benito,66677,1389
san bernardino,2194710,20062
san diego,3286069,4204
san francisco,815201,47
san joaquin,78941,1399
san luis obispo,283159,3304
san mateo,737888,449
santa barbara,446475,2738
santa clara,1885508,1291
santa cruz,267792,446
shasta,182139,3786
sierra,3283,953
siskiyou,44118,6287
solano,451716,828
sonoma,485887,1576
stanislaus,552999,1495
sutter,99063,603
tehama,65498,2951
trinity,1606,3179
tulare,477054,4824
tuolumne,5581,2236
ventura,839784,1846
yolo,216986,1012
yuba,83421,630
