Year,County,Region,Child Population,% of Children in Total Population,Total Population
2022,Anderson,4-Tyler,10633,18,58094
2022,Andrews,9-Midland,7531,31,24369
2022,Angelina,5-Beaumont,23087,25,91022
2022,Aransas,11-Edinburg,5512,19,28757
2022,Archer,2-Abilene,1675,20,8264
2022,Armstrong,1-Lubbock,348,18,1947
2022,Atascosa,8-San Antonio,13817,26,53493
2022,Austin,6-Houston,6998,23,30805
2022,Bailey,1-Lubbock,2339,30,7810
2022,Bandera,8-San Antonio,3450,16,21389
2022,Bastrop,7-Austin,21221,24,88616
2022,Baylor,2-Abilene,829,23,3617
2022,Bee,11-Edinburg,7741,22,34943
2022,Bell,7-Austin,104696,29,362136
2022,Bexar,8-San Antonio,550297,25,2174191
2022,Blanco,7-Austin,2110,18,11694
2022,Borden,9-Midland,114,16,698
2022,Bosque,7-Austin,3729,21,17682
2022,Bowie,4-Tyler,19213,21,92441
2022,Brazoria,6-Houston,95606,25,389844
2022,Brazos,7-Austin,52008,22,237611
2022,Brewster,10-El Paso,2043,23,9067
2022,Briscoe,1-Lubbock,305,20,1556
2022,Brooks,11-Edinburg,1845,26,7153
2022,Brown,2-Abilene,8328,21,38984
2022,Burleson,7-Austin,4018,23,17841
2022,Burnet,7-Austin,10643,22,49329
2022,Caldwell,7-Austin,11267,25,45617
2022,Calhoun,8-San Antonio,5687,25,23065
2022,Callahan,2-Abilene,2516,19,13478
2022,Cameron,11-Edinburg,123437,29,431026
2022,Camp,4-Tyler,3329,25,13515
2022,Carson,1-Lubbock,1295,22,5768
2022,Cass,4-Tyler,6658,22,30203
2022,Castro,1-Lubbock,1869,27,6938
2022,Chambers,6-Houston,11327,26,44194
2022,Cherokee,4-Tyler,13109,25,52350
2022,Childress,1-Lubbock,1413,20,7045
2022,Clay,2-Abilene,1849,19,9584
2022,Cochran,1-Lubbock,969,28,3402
2022,Coke,9-Midland,622,19,3201
2022,Coleman,2-Abilene,1948,23,8406
2022,Collin,3-Arlington,264420,24,1099759
2022,Collingsworth,1-Lubbock,876,27,3255
2022,Colorado,6-Houston,4991,23,21353
2022,Comal,8-San Antonio,34813,22,157195
2022,Comanche,2-Abilene,2924,23,12878
2022,Concho,9-Midland,579,14,4153
2022,Cooke,3-Arlington,8948,22,39967
2022,Coryell,7-Austin,19340,24,79108
2022,Cottle,2-Abilene,300,20,1510
2022,Crane,9-Midland,1922,29,6667
2022,Crockett,9-Midland,998,24,4088
