endTime,artistName,trackName,msPlayed,district
2023-12-14 12:32:00,Noize MC,Yes Future!,112390,Wola
2023-12-14 12:35:00,PORCHY,Flashback,145072,Wola
2023-12-14 12:38:00,Oxxxymiron,Хитиновый покров,184712,Wola
2023-12-14 12:40:00,Noize MC,Вояджер-1,118312,Wola
2023-12-14 12:44:00,Oxxxymiron,Неваляшка,237503,Wola
2023-12-14 12:46:00,Husky,Поэма о Родине,87577,Wola
2023-12-14 12:47:00,Oxxxymiron,Мы все умрем,60000,Wola
2023-12-14 13:01:00,Oxxxymiron,Город под подошвой,246500,Śródmieście
2023-12-14 13:03:00,Oxxxymiron,Больше Бена,105568,Śródmieście
2023-12-14 13:04:00,PALC,Буцефал,46143,Śródmieście
2023-12-14 13:08:00,кис-кис,молчи,198000,Śródmieście
2023-12-14 13:10:00,Oxxxymiron,Лига Опасного Интернета,140134,Śródmieście
2023-12-14 13:12:00,Skryptonite,"Ага, ну",118782,Śródmieście
2023-12-14 17:05:00,PORCHY,Flashback,163869,Śródmieście
2023-12-14 17:08:00,Oxxxymiron,Хоп-механика,138047,Śródmieście
2023-12-14 17:10:00,Monetochka,Нимфоманка,160886,Śródmieście
2023-12-14 17:14:00,Oxxxymiron,Не от мира сего,193491,Śródmieście
2023-12-14 17:24:00,Skryptonite,Цепи,139752,Wola
2023-12-14 17:26:00,Max Korzh,Малый повзрослел,34899,Wola
2023-12-14 17:26:00,Oxxxymiron,В говне,115746,Wola
2023-12-14 17:29:00,PHARAOH,"Дико, например",163246,Wola
2023-12-14 17:32:00,Oxxxymiron,23 февраля,141907,Wola
2023-12-15 10:26:00,Oxxxymiron,Красота и Уродство,158435,Bemowo
2023-12-15 10:37:00,Pornofilmy,Я так боюсь,170225,Bemowo
2023-12-15 10:47:00,Oxxxymiron,КТО УБИЛ МАРКА?,567000,Bemowo
2023-12-15 10:52:00,Oxxxymiron,Лифт,274811,Bemowo
2023-12-15 10:58:00,Oxxxymiron,Город под подошвой,246500,Bemowo
2023-12-16 13:57:00,Oxxxymiron,Признаки жизни,147381,Wola
2023-12-16 14:00:00,Oxxxymiron,Хитиновый покров,187744,Wola
2023-12-16 14:01:00,Oxxxymiron,XXX Shop,54917,Wola
2023-12-16 14:04:00,Oxxxymiron,Хитиновый покров,159931,Wola
2023-12-16 14:05:00,Oxxxymiron,Интро,51538,Wola
2024-01-01 15:17:00,Oxxxymiron,Прекрасное Далёко,180942,Wola
2024-01-01 15:19:00,Oxxxymiron,Больше Бена,136000,Wola
2024-01-01 15:21:00,BOOKER,Быть артистом,112285,Wola
2024-01-01 15:23:00,Oxxxymiron,Лига Опасного Интернета,140134,Wola
2024-01-01 15:27:00,Schokk,Буккаке,198974,Wola
2024-01-01 19:24:00,PORCHY,Flashback,178329,Wola
2024-01-01 19:27:00,Oxxxymiron,Песенка Гремлина,203500,Wola
2024-01-01 19:30:00,Schokk,Мысли пачкают мозги,192327,Wola
2024-01-02 19:50:00,ZHU,Faded,223484,Wola
2024-01-02 19:55:00,Oxxxymiron,Неваляшка,257000,Wola
2024-01-02 20:17:00,Oxxxymiron,Где нас нет,206032,Bemowo
2024-01-02 20:23:00,Oxxxymiron,Где нас нет,61518,Bemowo
2024-01-02 20:26:00,Pornofilmy,Молодость,177000,Bemowo
2024-01-04 11:50:00,Schokk,Буккаке,198974,Wola
2024-01-04 11:53:00,PORCHY,Flashback,178329,Wola
2024-01-04 11:55:00,Husky,Черным-черно,93019,Wola
2024-01-04 11:57:00,Oxxxymiron,Лига Опасного Интернета,140134,Wola
2024-01-04 12:01:00,Noize MC,Миокард,182794,Wola
2024-01-04 12:03:00,Noize MC,Бассейн,162475,Wola
2024-01-04 12:04:00,Noize MC,+-0,45400,Wola
