endTime,artistName,trackName,msPlayed,district
2023-12-18 08:29:00,Taylor Swift,Mine (Taylor's Version),227748,Włochy
2023-12-18 08:31:00,Jack Harlow,Lovin On Me,138411,Włochy
2023-12-18 08:35:00,Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault),229477,Włochy
2023-12-18 08:38:00,Taylor Swift,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),179802,Włochy
2023-12-18 08:41:00,Kenya Grace,Strangers,159930,Włochy
2023-12-18 08:45:00,Hozier,Take Me To Church,241688,Włochy
2023-12-18 08:52:00,Olivia Rodrigo,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,390193,Włochy
2023-12-18 11:23:00,Olivia Rodrigo,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,205483,Ursus
2023-12-19 06:42:00,Katy Perry,Wide Awake,343200,Ursus
2023-12-19 06:45:00,Taylor Swift,Cruel Summer,178426,Ursus
2023-12-19 06:55:00,Taylor Swift,Now That We Don't Talk (Taylor's Version) (From The Vault),133146,Włochy
2023-12-19 06:58:00,Niall Horan,Meltdown,153037,Włochy
2023-12-19 07:03:00,Olivia Rodrigo,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,205483,Włochy
2023-12-19 07:06:00,Taylor Swift,Cruel Summer,178426,Włochy
2023-12-19 07:09:00,Olivia Rodrigo,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,205483,Śródmieście
2023-12-19 07:12:00,Taylor Swift,Cruel Summer,178426,Śródmieście
2023-12-19 07:15:00,Olivia Rodrigo,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,185140,Śródmieście
2023-12-19 07:18:00,Taylor Swift,Cruel Summer,178426,Śródmieście
2023-12-19 15:40:00,Olivia Rodrigo,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,205483,Śródmieście
2023-12-19 15:43:00,Olivia Rodrigo,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,186620,Śródmieście
2023-12-19 15:50:00,Olivia Rodrigo,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,205483,Śródmieście
2023-12-19 15:53:00,iñigo quintero,Si No Estás,184061,Śródmieście
2023-12-20 08:31:00,Olivia Rodrigo,bad idea right?,184783,Włochy
2023-12-20 08:35:00,Katy Perry,Part Of Me,216160,Włochy
2023-12-20 08:37:00,Selena Gomez,Single Soon,171655,Włochy
2023-12-20 08:41:00,The Weeknd,"One Of The Girls (with JENNIE, Lily Rose Depp)",244684,Włochy
2023-12-20 08:44:00,David Guetta,I'm Good (Blue),175238,Włochy
2023-12-20 08:48:00,Taylor Swift,Style,231000,Włochy
2023-12-20 08:52:00,Olivia Rodrigo,vampire,219724,Włochy
2023-12-20 08:55:00,Ariana Grande,One Last Time,197266,Włochy
2023-12-20 08:59:00,Justin Bieber,Company,208120,Włochy
2023-12-20 09:02:00,Taylor Swift,Bad Blood,211933,Włochy
2023-12-21 10:48:00,Natalia Kukulska,Wierność jest nudna,227213,Ochota
2023-12-21 10:51:00,Taylor Swift,Cruel Summer,178426,Ochota
2023-12-21 11:03:00,Natalia Kukulska,Wierność jest nudna,678913,Ochota
2023-12-21 11:06:00,Troye Sivan,Rush,156391,Ochota
2023-12-21 11:15:00,Jack Harlow,Lovin On Me,91848,Ochota
2023-12-21 11:19:00,Natalia Kukulska,Wierność jest nudna,227213,Ochota
2023-12-21 12:58:00,Natalia Kukulska,Wierność jest nudna,227213,Ochota
2023-12-21 13:00:00,Troye Sivan,Rush,156391,Ochota
2023-12-21 13:05:00,Natalia Kukulska,Wierność jest nudna,227213,Ochota
2023-12-21 13:07:00,Troye Sivan,Rush,64216,Ochota
2023-12-21 13:34:00,ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),205510,Ochota
2023-12-21 13:37:00,Taylor Swift,...Ready For It?,208186,Ochota
2023-12-21 19:35:00,Taylor Swift,...Ready For It?,208186,No district found
2023-12-21 19:43:00,Taylor Swift,"You're On Your Own, Kid",82463,No district found
2023-12-21 19:52:00,Natalia Kukulska,Wierność jest nudna,227213,No district found
2023-12-21 19:59:00,Troye Sivan,Rush,71286,No district found
2023-12-21 20:03:00,Natalia Kukulska,Wierność jest nudna,227213,No district found
2023-12-21 20:04:00,Troye Sivan,Rush,34696,No district found
2023-12-21 20:06:00,Taylor Swift,Cruel Summer,178426,No district found
2023-12-21 21:11:00,The Weeknd,"One Of The Girls (with JENNIE, Lily Rose Depp)",87413,No district found
2023-12-21 21:14:00,Taylor Swift,Cruel Summer,178426,No district found
2023-12-21 21:18:00,Natalia Kukulska,Wierność jest nudna,227213,No district found
2023-12-21 21:24:00,Taylor Swift,Say Don't Go (Taylor's Version) (From The Vault),279833,No district found
2023-12-21 21:28:00,ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),247160,No district found
2023-12-21 21:31:00,Taylor Swift,...Ready For It?,198466,No district found
2023-12-21 21:34:00,Olivia Rodrigo,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,191160,No district found
2023-12-21 21:38:00,Natalia Kukulska,Wierność jest nudna,227213,No district found
2023-12-21 21:42:00,Taylor Swift,...Ready For It?,163890,No district found
2023-12-21 21:45:00,PRO8L3M,Nicea,202880,No district found
2023-12-21 21:50:00,One Direction,Story of My Life,235250,No district found
2023-12-21 21:58:00,One Direction,Don't Forget Where You Belong,457490,No district found
2023-12-21 22:01:00,mc's kako,Where We Are,197660,No district found
2023-12-21 22:05:00,Katy Perry,Part Of Me,216160,No district found
2023-12-21 22:09:00,Ariana Grande,Into You,244453,No district found
2023-12-21 22:13:00,Taylor Swift,Style,231000,No district found
2023-12-21 22:15:00,Louis Tomlinson,Bigger Than Me,142486,No district found
2023-12-26 12:39:00,Natalia Kukulska,Wierność jest nudna,227213,No district found
2023-12-26 12:42:00,Troye Sivan,Rush,156391,No district found
2023-12-26 12:46:00,Taylor Swift,...Ready For It?,208186,No district found
2023-12-26 12:48:00,Taylor Swift,"You're On Your Own, Kid",113683,No district found
2023-12-26 12:53:00,Taylor Swift,...Ready For It?,208186,No district found
2023-12-26 12:55:00,Taylor Swift,...Ready For It?,145820,No district found
2023-12-26 13:01:00,Natalia Kukulska,Wierność jest nudna,227213,No district found
2023-12-26 13:04:00,Taylor Swift,Cruel Summer,178426,No district found
2023-12-27 10:28:00,Taylor Swift,...Ready For It?,208186,No district found
2023-12-27 10:32:00,Natalia Kukulska,Wierność jest nudna,227213,No district found
2023-12-27 10:33:00,Troye Sivan,Rush,89466,No district found
