endTime,artistName,trackName,msPlayed,district
2024-01-03 17:51:00,Mitski,My Love Mine All Mine,137773,Wola
2024-01-03 17:54:00,Marvin Gaye,Ain't No Mountain High Enough,151666,Wola
2024-01-03 17:58:00,Blood Orange,Charcoal Baby,242341,Wola
2024-01-03 18:01:00,Steve Lacy,Buttons,184973,Wola
2024-01-03 18:02:00,Yaya Bey,meet me in brooklyn,89616,Wola
2024-01-03 18:06:00,Hot Chocolate,You Sexy Thing,244920,Wola
2024-01-03 18:10:00,Darondo,Didn't I,209160,Wola
2024-01-03 18:18:00,Steve Lacy,C U Girl,129697,Bemowo
2024-01-03 18:22:00,Bobby Womack,California Dreamin',200973,Bemowo
2024-01-04 09:40:00,The Notorious B.I.G.,Big Poppa - 2005 Remaster,227269,Wola
2024-01-04 09:44:00,Eminem,My Name Is,248017,Wola
2024-01-04 09:48:00,Nas,If I Ruled the World (Imagine That) (feat. Lauryn Hill),246617,Wola
2024-01-04 09:53:00,Arrested Development,People Everyday - Metamorphosis Mix,254806,Bemowo
2024-01-04 09:56:00,Bahamadia,Uknowhowwedu,214795,Bemowo
2024-01-04 12:10:00,Molly Nilsson,I Hope You Die,192284,Wola
2024-01-04 12:12:00,Kaz Bałagane,"Sos, Ciuchy I Borciuchy",97536,Wola
2024-01-04 12:15:00,Kaz Bałagane,Blueface,186226,Wola
2024-01-04 12:18:00,Kaz Bałagane,Chaczapuri,155670,Wola
2024-01-04 12:20:00,Kaz Bałagane,Szafa,177804,Wola
2024-01-04 12:23:00,Kaz Bałagane,"Sos, Ciuchy I Borciuchy",140259,Wola
2024-01-04 13:36:00,Molly Nilsson,We're Never Coming Home,227406,Śródmieście
2024-01-04 13:39:00,Lesley Gore,You Don't Own Me,150000,Śródmieście
2024-01-04 13:40:00,Brodka,Hey Man,72920,Śródmieście
2024-01-04 13:42:00,"Tyler, The Creator",BEST INTEREST,127921,Śródmieście
2024-01-04 13:46:00,Alice Cooper,Poison,126650,Śródmieście
2024-01-07 17:31:00,Steve Lacy,N Side,224444,Bemowo
2024-01-07 17:42:00,Kendrick Lamar,King Kunta,234693,Bemowo
2024-01-07 17:46:00,Frank Ocean,Lost,234093,Bemowo
2024-01-07 17:50:00,Brent Faiyaz,"GRAVITY (FEAT. TYLER, THE CREATOR)",214692,Bemowo
2024-01-07 17:53:00,Kali Uchis,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",207454,Bemowo
2024-01-07 17:56:00,Kanye West,Father Stretch My Hands Pt. 1,135920,Bemowo
2024-01-07 18:01:00,Drake,Passionfruit,298940,Bemowo
2024-01-07 18:48:00,Steve Lacy,Dark Red,173104,Wola
2024-01-07 18:52:00,Steve Lacy,Bad Habit,232066,Wola
2024-01-07 18:53:00,The Notorious B.I.G.,Big Poppa - 2005 Remaster,218028,Wola
2024-01-07 18:55:00,Steve Lacy,Infrunami,178328,Wola
2024-01-07 18:57:00,Steve Lacy,C U Girl,129697,Wola
2024-01-07 18:59:00,Steve Lacy,Some,118393,Wola
2024-01-07 19:01:00,Steve Lacy,Uuuu,90708,Wola
2024-01-07 23:33:00,Mild Minds,DEVOTION,231978,Śródmieście
2024-01-07 23:35:00,Michael Kiwanuka,You Ain't The Problem - Claptone Remix,164714,Śródmieście
2024-01-08 18:28:00,Kendrick Lamar,King Kunta,234693,Bemowo
2024-01-08 18:32:00,Gorillaz,Feel Good Inc.,222640,Bemowo
2024-01-08 18:44:00,Artur Rojek,Beksa,241880,Bemowo
2024-01-08 18:47:00,Zuta,Elvis,174523,Bemowo
2024-01-08 18:53:00,Męskie Granie Orkiestra,Nie mam dla ciebie miłości - Live,362784,Bemowo
2024-01-08 18:55:00,Hey,Zazdrosc,121000,Bemowo
2024-01-08 18:58:00,The Cure,Boys Don't Cry,155973,Bemowo
2024-01-08 19:03:00,The Strokes,The Adults Are Talking,309053,Bemowo
2024-01-08 19:05:00,The Daughters Of Eve,Hey Lover,144000,Bemowo
2024-01-08 21:27:00,Hotel Ugly,The Mannequin Song,164210,Śródmieście
2024-01-08 21:28:00,Yves Tumor,Romanticist,106102,Śródmieście
2024-01-08 21:32:00,Boston Bun,Missing You,207265,Śródmieście
2024-01-08 21:35:00,Brad stank,Condemned to Be Freaky,181169,Śródmieście
2024-01-08 21:38:00,Men I Trust,Sugar,176315,Śródmieście
2024-01-08 21:42:00,Men I Trust,Seven,225394,Śródmieście
2024-01-08 22:00:00,Crumb,Faces,129293,Śródmieście
2024-01-08 22:03:00,Loyle Carner,Yesterday,168654,Śródmieście
2024-01-08 22:07:00,Pip Millett,Heavenly Mother,239767,Śródmieście
