DATAFLOW,LAST UPDATE,freq,accomunit,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Austria,2022,1064863,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Belgium,2022,423439,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Bulgaria,2022,354755,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Cyprus,2022,88455,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Czechia,2022,783200,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Germany,2022,3611333,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Denmark,2022,450842,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Estonia,2022,61971,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Greece,2022,1278776,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Spain,2022,3770965,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2022,28902979,e
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Finland,2022,256882,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",France,2022,5058665,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Croatia,2022,1127178,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Hungary,2022,368759,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Ireland,2022,,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2022,5200234,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lithuania,2022,110037,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Luxembourg,2022,58393,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Latvia,2022,48857,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Malta,2022,50980,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Netherlands,2022,1408156,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Poland,2022,779938,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Portugal,2022,692340,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Romania,2022,409688,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sweden,2022,834872,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Slovenia,2022,189531,
ESTAT:TOUR_CAP_NAT(1.0),23/10/23 23:00:00,Annual,Bedplaces,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Slovakia,2022,198505,
