re-exports,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Africa,46.6169998,48.9410007,64.1466676,52.3906664,71.02200059999998,82.61477860000001,94.89700039999998,152.5433135,150.57072510000003,125.82956169999996,134.10544059999998,127.7855811,176.1903055,197.80140880000005,167.56916660000002,181.5248384,275.2081905,330.7744452,275.9043682,317.0,462.783566,557.9724548,424.0003747,539.0,357.0,372.0,475.0,332.0,292.0
Algeria,19.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238,0.011,0.002,0.04,0.0096667,0.0093113,0.0028888,0.0190833,0.0081317,0.0406187,0.0698728,0.0829333,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,0.2609998,0.2530001,0.3130001,0.047,0.016,0.003,0.023,0.044,0.162,0.1899999,0.098,0.0873822,0.0827527,0.345066,0.226688,0.7654788,0.148585,0.1439665,0.3707717,0.2575921,0.3747107,0.1664674,0.1695872,0.0,0.0,0.0,0.0,1.0,0.0
Burkina Faso,0.0659999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.01,0.208,2.6816667,3.1416667,3.664998,0.0866666,0.0866666,0.0866666,0.2197867,1.8208333,2.2774533,4.6166667,8.0,4.0,12.0,13.0,41.0,0.0
Cape Verde,0.0,0.0,0.0,0.3,0.0,0.008,0.0,0.0,0.0,0.0,0.374,0.436,0.0,0.255827,0.5333333,0.3966667,0.3475,0.2684917,0.6127165,0.509718,0.137225,0.023935,0.0465966,0.0,0.0,0.0,0.0,0.0,0.0
Comoros,0.121,0.658,0.0,0.416,2.005,0.1197833,0.095,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8166667,1.0,1.0,0.43334,0.4333333,0.4333333,0.7666667,0.7666667,1.0,1.0,1.0,1.0,0.0,0.0
Djibouti,2.693,17.95,3.367,4.842,2.459,2.109,2.77,1.86,8.999,5.722,3.023,0.609,3.47,2.409,4.091,13.689,31.9450075,41.695,47.223,22.0,48.199,23.269,19.687,25.0,21.0,36.0,43.0,0.0,0.0
Egypt,9.6380001,0.702,0.156,0.0999999,0.0890001,1.0829998,3.626,0.057,0.2080002,0.9139999,0.3776666,0.016,0.437,2.7922725,1.100415,0.3002225,8.424734,1.8948422,52.8113598,119.7290523,253.0214305,371.5529422,242.7027608,310.0,130.0,128.0,211.0,61.0,49.0
Eswatini,0.001,0.016,0.7930001,1.4439999,0.018,3.671,0.012,0.067,0.0609999,0.091,0.643962,12.125134,9.176294,9.8580631,4.7509997,1.3219406,3.2917961,1.8175441,0.05,0.3665,4.2949999,0.6709997,0.036,2.0,0.0,0.0,0.0,0.0,0.0
Gambia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0534667,0.0,2.2546,1.8356241,0.0,0.0,1.0,0.0,0.0,0.0
Guinea-Bissau,3.251,0.0,0.0,0.0,0.813,2.318,0.0,0.0,2.873,2.225,0.001,0.0,0.0,1.245,0.575,0.004,0.534,2.762,2.5,0.0396667,7.858,3.058,0.798,0.0,0.0,0.0,0.0,0.0,0.0
