com.samsung.shealth.tracker.pedometer_step_count,6260063,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
4539,4,0,7,2023-12-17 09:12:00.000,,,2023-12-17 09:13:05.478,2023-12-17 09:12:58.767,7,1.1388888,5.17,0.25,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-17 09:13:00.000,2299dd94-c60d-45c5-ac65-584ef2c02897,
12686,4,0,18,2023-12-17 09:13:00.000,,,2023-12-17 09:13:20.127,2023-12-17 09:13:05.559,18,1.0223224,12.97,0.69000006,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-17 09:14:00.000,5c28a343-a76f-4f4b-8265-f91aa92cdfd1,
27707,4,0,51,2023-12-17 09:28:00.000,,,2023-12-17 09:28:55.009,2023-12-17 09:28:51.005,51,1.4129541,39.15,1.73,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-17 09:29:00.000,10da4fe7-6bf8-4f59-97a6-40c8bb9f042f,
4880,4,0,8,2023-12-17 09:34:00.000,,,2023-12-17 09:35:03.257,2023-12-17 09:35:03.257,8,1.1944444,5.83,0.29,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-17 09:35:00.000,f516f94c-13b8-4e10-8eab-caad2f8f4716,
31187,4,0,56,2023-12-17 09:35:00.000,,,2023-12-17 09:52:33.785,2023-12-17 09:52:33.785,56,1.3611112,42.45,2.0,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-17 09:36:00.000,35bf2816-c171-4455-a9e4-c94fecb6f898,
4974,4,0,8,2023-12-17 10:14:00.000,,,2023-12-17 10:14:05.836,2023-12-17 10:14:04.500,8,1.1801263,5.87,0.29,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-17 10:15:00.000,1ab3aef7-59f8-4658-867f-69e5a55a02de,
18514,4,0,37,2023-12-17 13:23:00.000,,,2023-12-17 13:23:46.468,2023-12-17 13:23:46.468,37,1.5555556,28.8,1.18,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-17 13:24:00.000,f461be94-220e-4d0d-90ae-3fb648a82779,
7364,4,0,13,2023-12-17 13:31:00.000,,,2023-12-17 13:34:13.454,2023-12-17 13:34:13.454,13,1.3333334,9.82,0.49,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-17 13:32:00.000,d946a1e4-84be-4616-ae43-d7274d4bf45a,
18630,4,0,35,2023-12-17 13:32:00.000,,,2023-12-17 13:34:13.629,2023-12-17 13:34:13.629,35,1.4444444,26.91,1.1,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-17 13:33:00.000,4cbe6a7f-14d5-4ed5-b521-cadbc52e1e35,
4542,4,0,6,2023-12-17 14:21:00.000,,,2023-12-17 14:21:37.592,2023-12-17 14:21:37.592,6,0.94444454,4.29,0.22,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-17 14:22:00.000,e3b2ec89-0f77-4e10-aa11-bb36384ba571,
8848,4,0,13,2023-12-17 14:29:00.000,,,2023-12-17 14:30:35.591,2023-12-17 14:30:35.591,13,1.0555556,9.34,0.5,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-17 14:30:00.000,21822eba-6fc4-4c5d-b23f-a6047e66b54b,
8300,4,0,12,2023-12-17 14:30:00.000,,,2023-12-17 14:30:36.751,2023-12-17 14:30:35.682,12,1.0300604,8.55,0.45999998,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-17 14:31:00.000,4c90d644-592d-4d1c-bbc6-3c5553120315,
10011,4,0,16,2023-12-17 14:32:00.000,,,2023-12-17 14:33:43.652,2023-12-17 14:33:43.652,16,1.1666666,11.68,0.6,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-17 14:33:00.000,569fbe4f-8ad9-489e-86fc-f5b9ad108307,
55006,4,0,99,2023-12-17 14:34:00.000,,,2023-12-17 14:35:01.258,2023-12-17 14:35:01.258,99,1.3611112,74.87,3.54,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-17 14:35:00.000,2db907fe-48f4-4fd2-a626-2bc00c8041e9,
60000,4,0,122,2023-12-17 14:35:00.000,,,2023-12-17 14:43:06.392,2023-12-17 14:43:06.392,122,1.578,94.68,3.66,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-17 14:36:00.000,87bc6e22-6754-4bcd-b597-3d1f3d195b35,
41502,4,0,87,2023-12-17 14:36:00.000,,,2023-12-17 14:43:06.464,2023-12-17 14:43:06.464,87,1.6666666,69.17,2.63,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-17 14:37:00.000,c8e0767d-50aa-4d91-92d1-f392cf747dde,
45202,4,0,90,2023-12-17 14:37:00.000,,,2023-12-17 14:43:06.589,2023-12-17 14:43:06.589,90,1.5833334,71.57,2.81,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-17 14:38:00.000,6d541cee-1d31-44d9-9c7b-123a062a3137,
60000,4,0,121,2023-12-17 14:38:00.000,,,2023-12-17 14:43:06.748,2023-12-17 14:43:06.748,121,1.5855,95.13,3.73,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-17 14:39:00.000,3866fd52-59a6-4862-96ea-2a4b571601fd,
41781,4,0,77,2023-12-17 14:39:00.000,,,2023-12-17 14:43:06.891,2023-12-17 14:43:06.891,77,1.4166666,59.19,2.67,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-17 14:40:00.000,fdf86dab-0b9b-4057-a012-a731da8533bc,
6951,4,0,11,2023-12-17 14:42:00.000,,,2023-12-17 14:43:06.956,2023-12-17 14:43:06.956,11,1.1666666,8.11,0.41,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-17 14:43:00.000,325bdb39-542a-4528-b159-960416e471b9,
6941,4,0,12,2023-12-17 14:58:00.000,,,2023-12-17 15:00:44.399,2023-12-17 15:00:44.399,12,1.2777778,8.87,0.45,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-17 14:59:00.000,a16d00de-17f2-47dc-9a2f-291297548109,
60000,4,0,116,2023-12-17 14:59:00.000,,,2023-12-17 15:00:44.525,2023-12-17 15:00:44.525,116,1.4836665,89.02,4.2,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-17 15:00:00.000,31c4fbbd-cf34-47f8-8a1e-27007948d0ac,
43870,4,0,84,2023-12-17 15:00:00.000,,,2023-12-17 15:00:53.224,2023-12-17 15:00:44.858,84,1.4925667,65.479996,2.7099998,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-17 15:01:00.000,acdac831-196c-4f5e-90ac-b7ccc2c6a6b4,
4747,4,0,6,2023-12-17 15:08:00.000,,,2023-12-17 15:08:12.618,2023-12-17 15:08:12.618,6,0.88888896,4.22,0.22,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-17 15:09:00.000,008273eb-b247-4ffd-8a29-df7ea45fba29,
