champion_name;champion_title;class;playstyle;date_release;last_change;blue_essence_price;rp_price;ressource;HP;HP+;HP_lvl18;HP5;HP5+;HP5_lvl18;MP;MP+;MP_lvl18;MP5;MP5+;MP5_lvl18;AD;AD+;AD_lvl18;AS;AS+;AS_lvl18;AR;AR+;AR_lvl18;MR;MR+;MR_lvl18;MS;MS_lvl18;range;range_lvl18
Aatrox;the Darkin Blade;Fighter;Juggernaut;13/06/2013;V11.2;4800;880;Blood Well;580;90;2110;3;1;20;0;0;0;0;0;0;60;5;145;0.651;2.5%;0.928;38;3.25;93.25;32;1.25;53.25;345;345;175;175
Ahri;the Nine-Tailed Fox;Mage;Burst;14/12/2011;V11.1;3150;790;Mana;526;92;2090;5.5;0.6;15.7;418;25;843;8;0.8;21.6;53;3;104;0.668;2%;0.895;21;3.5;80.5;30;0.5;38.5;330;330;550;550
Akali;the Rogue Assassin;Slayer;Assassin;11/05/2010;V11.10;3150;790;Energy;500;105;2285;8;0.5;16.5;200;0;;50;0;;62;3.3;118.1;0.625;3.2%;0.965;23;3.5;82.5;37;1.25;58.25;345;345;125;125
Alistar;the Minotaur;Tank;Vanguard;21/02/2009;V11.8;1350;585;Mana;600;106;2402;8.5;0.85;22.95;350;40;1030;8.5;0.8;22.1;62;3.75;125.75;0.625;2.13%;0.851;44;3.5;103.5;32;1.25;53.25;330;330;125;125
Amumu;the Sad Mummy;Tank;Vanguard;26/06/2009;V11.7;450;260;Mana;615;80;1975;9;0.85;23.45;285;40;965;7.38;0.53;16.39;53;3.8;117.6;0.736;2.18%;0.972;30;3.8;94.6;32;1.25;53.25;335;335;125;125
Anivia;the Cryophoenix;Mage;Battlemage;10/07/2009;V11.8;3150;790;Mana;480;82;1874;5.5;0.55;14.85;495;45;1260;8;0.8;21.6;51;3.2;105.4;0.625;1.68%;0.803;21;4;89;30;0.5;38.5;325;325;600;600
Annie;the Dark Child;Mage;Burst;21/02/2009;V11.8;450;260;Mana;524;88;2020;5.5;0.55;14.85;418;25;843;8;0.8;21.6;50;2.63;94.71;0.579;1.36%;0.713;19;4;87;30;0.5;38.5;335;335;625;625
Aphelios;the Weapon of the Faithful;Marksman;Marksman;11/12/2019;V11.8;6300;975;Mana;530;88;2026;3.25;0.55;12.6;348;42;1062;6.5;0.4;13.3;57;3;97.8;0.64;2.1%;0.868;28;3;79;30;0.5;34.5;325;325;550;550
Ashe;the Frost Archer;Marksman;Marksman;21/02/2009;V11.7;450;260;Mana;570;87;2049;3.5;0.55;12.85;280;32;824;6.97;0.4;13.77;59;2.96;109.32;0.658;3.33%;1.03;26;3.4;83.8;30;0.5;38.5;325;325;600;600
Aurelion Sol;The Star Forger;Mage;Battlemage;24/03/2016;V11.10;6300;975;Mana;575;92;2139;7;0.6;17.2;350;50;1200;6;0.8;19.6;57;3.2;111.4;0.625;1.36%;0.77;19;3.6;80.2;30;0.5;38.5;325;325;550;550
Azir;the Emperor of the Sands;Specialist;Specialist;16/09/2014;V11.5;4800;880;Mana;552;92;2116;7;0.75;19.75;480;21;837;8;0.8;21.6;52;2.8;99.6;0.625;3%;0.944;19;3;70;30;0.5;38.5;335;335;525;525
Bard;the Wandering Caretaker;Controllerer;Catcher;12/03/2015;V11.10;6300;975;Mana;560;89;2073;5.5;0.55;14.85;350;50;1200;6;0.45;13.65;52;3;103;0.625;2%;0.838;34;4;102;30;0.5;38.5;330;330;500;500
Blitzcrank;the Great Steam Golem;Controllerer;Catcher;02/09/2009;V11.1;3150;790;Mana;583;95;2198;8.5;0.75;21.25;267;40;947;8.5;0.8;22.1;62;3.5;121.5;0.625;1.13%;0.745;37;3.5;96.5;32;1.25;53.25;325;325;125;125
Brand;the Burning Vengeance;Mage;Burst;12/04/2011;V11.7;4800;880;Mana;520;88;2016;5.5;0.55;14.85;469;21;826;10.67;0.6;20.87;57;3;108;0.625;1.36%;0.77;22;3.5;81.5;30;0.5;38.5;340;340;550;550
Braum;the Heart of the Freljord;Tank;Warden;12/05/2014;V11.7;4800;880;Mana;540;98;2206;8.5;1;25.5;311;45;1076;6;0.8;19.6;55;3.2;109.4;0.644;3.5%;1.027;47;4;115;32;1.25;53.25;335;335;125;125
Caitlyn;the Sheriff of Piltover;Marksman;Marksman;04/01/2011;V11.8;4800;880;Mana;510;93;2091;3.5;0.55;12.85;315;35;910;7.4;0.55;16.75;62;3.8;126.6;0.681;4%;1.067;28;3.5;87.5;30;0.5;38.5;325;325;650;650
Camille;the Steel Shadow;Fighter;Diver;07/12/2016;V11.5;6300;975;Mana;576;85;2021;8.5;0.8;22.1;339;52;1223;8.15;0.75;20.9;68;3.5;127.5;0.644;2.5%;0.918;35;3.8;99.6;32.1;1.25;53.35;340;340;125;125
Cassiopeia;the Serpent's Embrace;Mage;Battlemage;14/12/2010;V11.8;4800;880;Mana;560;90;2090;5.5;0.5;14;350;60;1370;8;0.8;21.6;53;3;104;0.647;1.5%;0.812;18;3.5;77.5;32;0.5;40.5;328;328;550;550
Chogath;the Terror of the Void;Specialist;Specialist;26/06/2009;V11.3;1350;585;Mana;574;80;1934;9;0.85;23.45;270;60;1290;7.2;0.45;14.85;69;4.2;140.4;0.625;1.44%;0.778;38;3.5;97.5;32;1.25;53.25;345;345;125;125
Corki;the Daring Bombardier;Marksman;Marksman;19/09/2009;V11.8;3150;790;Mana;518;87;1997;5.5;0.55;14.85;350;54;1268;7.42;0.55;16.77;55;2.5;97.5;0.638;2.3%;0.887;28;3.5;87.5;30;0.5;38.5;325;325;550;550
Darius;the Hand of Noxus;Fighter;Juggernaut;23/05/2012;V11.10;4800;880;Mana;582;100;2282;10;0.95;26.15;263;57.5;1240.5;6.6;0.35;12.55;64;5;149;0.625;1%;0.731;39;4;107;32;1.25;53.25;340;340;175;175
Diana;Scorn of the Moon;Slayer;Assassin;07/08/2012;V11.10;4800;880;Mana;570;95;2185;6.5;0.85;20.95;375;25;800;8;0.8;21.6;57;3;108;0.625;2.25%;0.864;31;3.1;83.7;32;1.25;53.25;345;345;150;150
Dr. Mundo;the Madman of Zaun;Fighter;Juggernaut;02/09/2009;V11.9;450;260;Health;583;89;2096;8;0.75;20.75;0;0;;0;0;;61;3;112;0.72;2.8%;1.018;36;3;87;32;1.25;53.25;345;345;125;125
Draven;the Glorious Executioner;Marksman;Marksman;06/06/2012;V11.2;4800;880;Mana;605;90;2135;3.75;0.7;15.65;360.56;39;1023.56;8.04;0.65;19.09;60;3.61;121.37;0.679;2.7%;0.991;29;3.3;85.1;30;0.5;38.5;330;330;550;550
