Kalorie,Kwasy.tłuszczowe.nasycone,Tłuszcze.wielonienasycone,Tłuszcze.jednonienasycone,Tłuszcze.trans,Cholesterol,Sód..mg.,Potas,Błonnik,Cukier,Witamina.A,Witamina.C,Wapń,Żelazo,Tluszcze..g.,Bialko..g.,Weglowodany..g.,Data,Posiłek
376.1,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-12,Kolacja
1190.13,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2023-12-12,Obiad
376.1,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-12,Kolacja
341.85,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2023-12-12,Przekąski
285.56,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-12,Kolacja
1311.78,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2023-12-13,Obiad
526.97,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-13,Śniadanie
376.79,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2023-12-13,Przekąski
376.79,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2023-12-13,Przekąski
240.08,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-13,Kolacja
357.38,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2023-12-14,Przekąski
499.82,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-14,Śniadanie
1244.2,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2023-12-14,Obiad
357.38,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2023-12-14,Przekąski
227.71,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-14,Śniadanie
1175.94,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2023-12-15,Obiad
472.4,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-15,Śniadanie
371.61,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-15,Kolacja
337.77,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2023-12-15,Przekąski
181.37,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2023-12-15,Obiad
390.65,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2023-12-16,Przekąski
546.36,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-16,Śniadanie
429.8,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-16,Kolacja
1360.05,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2023-12-16,Obiad
209.77,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-16,Kolacja
411.52,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-17,Kolacja
523.12,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-17,Śniadanie
411.52,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-17,Kolacja
411.52,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-17,Kolacja
374.04,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2023-12-17,Przekąski
411.52,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-17,Kolacja
268.5,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2023-12-17,Obiad
338.92,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2023-12-18,Przekąski
338.92,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2023-12-18,Przekąski
474.01,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-18,Śniadanie
474.01,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-18,Śniadanie
474.01,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-18,Śniadanie
447.88,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-18,Śniadanie
511.6,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-19,Śniadanie
1273.52,11.75,0.66,2.74,0.13,92.09,1186.53,321.67,17.2,22.25,23.47,20.6,6.05,10.62,40.45,52.43,177.21,2023-12-19,Obiad
511.6,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-19,Śniadanie
365.8,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2023-12-19,Przekąski
87.28,6.36,2.81,2.01,0.07,72.29,293.46,268.04,3.73,24.33,5.57,9.14,6.04,14.16,18.54,13.59,57.47,2023-12-19,Kolacja
548.43,5.89,1.34,2.03,0.0,182.48,374.25,173.52,3.64,8.01,3.4,7.77,6.13,17.78,24.5,26.93,48.88,2023-12-20,Śniadanie
392.13,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2023-12-20,Przekąski
392.13,6.65,4.23,3.85,0.38,16.85,171.02,203.45,3.93,27.42,2.0,7.1,2.53,10.5,17.08,6.23,59.92,2023-12-20,Przekąski
