data,dzień tygodnia,godzina pójścia spać,godzina wstania,czas snu,czy był sen,jaki sen,czy pobudki w nocy,stopień wyspania,czy męczący dzień przed snem,czy dużo czasu na powietrzu,czy telefon przed snem
08-12-2023,piątek,22:40,08:10,"9,5",TRUE,dobry,FALSE,3,2,FALSE,TRUE
09-12-2023,sobota,23:30,09:00,"9,5",TRUE,dziwny,TRUE,3,2,TRUE,FALSE
10-12-2023,niedziela,23:10,09:45,"10,5",TRUE,dziwny,TRUE,1,2,FALSE,TRUE
11-12-2023,poniedziałek,22:00,06:30,"8,5",TRUE,nie pamiętam,FALSE,1,1,TRUE,TRUE
12-12-2023,wtorek,22:00,06:15,8,FALSE,brak,FALSE,1,1,FALSE,TRUE
13-12-2023,środa,22:30,08:30,10,TRUE,koszmar,TRUE,3,3,FALSE,TRUE
14-12-2023,czwartek,00:00,08:00,8,TRUE,dobry,FALSE,2,1,FALSE,TRUE
15-12-2023,piątek,03:00,07:00,4,FALSE,brak,FALSE,1,2,FALSE,FALSE
16-12-2023,sobota,23:00,09:30,"10,5",TRUE,dziwny,FALSE,2,2,FALSE,FALSE
17-12-2023,niedziela,23:00,09:30,"10,5",TRUE,dziwny,FALSE,3,1,FALSE,FALSE
18-12-2023,poniedziałek,22:30,08:00,"9,5",TRUE,dziwny,TRUE,2,1,FALSE,FALSE
19-12-2023,wtorek,22:30,06:15,8,FALSE,brak,FALSE,1,3,FALSE,TRUE
20-12-2023,środa,23:00,08:00,9,TRUE,nie pamiętam,TRUE,3,3,FALSE,TRUE
21-12-2023,czwartek,22:00,06:30,"8,5",FALSE,brak,FALSE,2,1,TRUE,TRUE
22-12-2023,piątek,01:30,06:00,"4,5",TRUE,dobry,FALSE,1,2,TRUE,FALSE
23-12-2023,sobota,22:15,07:00,8,FALSE,brak,FALSE,2,3,TRUE,TRUE
24-12-2023,niedziela,22:45,08:00,9,TRUE,koszmar,TRUE,2,3,TRUE,FALSE
25-12-2023,poniedziałek,23:00,09:15,10,TRUE,nie pamiętam,FALSE,3,2,FALSE,FALSE
26-12-2023,wtorek,23:45,08:30,9,FALSE,brak,FALSE,3,1,TRUE,TRUE
27-12-2023,środa,23:30,08:15,9,FALSE,brak,TRUE,2,1,TRUE,TRUE
28-12-2023,czwartek,23:00,08:15,9,FALSE,brak,TRUE,3,1,FALSE,FALSE
29-12-2023,piątek,23:00,08:00,9,FALSE,brak,FALSE,2,2,FALSE,FALSE
30-12-2023,sobota,23:30,09:00,"9,5",TRUE,koszmar,FALSE,3,2,FALSE,TRUE
31-12-2023,niedziela,23:45,08:00,8,TRUE,nie pamiętam,FALSE,2,2,FALSE,TRUE
01-01-2024,poniedziałek,,10:30,6,TRUE,dobry,TRUE,1,2,FALSE,FALSE
02-01-2024,wtorek,22:00,08:45,11,FALSE,brak,TRUE,2,3,FALSE,TRUE
03-01-2024,środa,22:30,08:30,10,TRUE,dobry,TRUE,2,1,FALSE,TRUE
04-01-2024,czwartek,22:00,08:15,10,FALSE,brak,FALSE,2,2,FALSE,TRUE
05-01-2024,piątek,22:30,06:00,"7,5",TRUE,dobry,FALSE,1,2,FALSE,FALSE
06-01-2024,sobota,00:00,10:00,10,TRUE,nie pamiętam,TRUE,2,2,TRUE,FALSE
07-01-2024,niedziela,23:00,09:00,10,TRUE,koszmar,TRUE,3,1,FALSE,TRUE
08-01-2024,poniedziałek,22:45,08:30,10,TRUE,koszmar,TRUE,1,2,FALSE,TRUE
09-01-2024,wtorek,22:30,06:15,"7,5",TRUE,koszmar,TRUE,1,1,FALSE,TRUE
10-01-2024,środa,23:00,08:30,"9,5",TRUE,nie pamiętam,TRUE,1,3,FALSE,TRUE
11-01-2024,czwartek,00:00,08:15,"8,5",TRUE,dziwny,FALSE,2,2,FALSE,TRUE
12-01-2024,piątek,23:30,06:15,6,TRUE,koszmar,FALSE,1,3,TRUE,TRUE
13-01-2024,sobota,23:45,08:45,9,TRUE,dziwny,TRUE,3,3,FALSE,TRUE
14-01-2024,niedziela,00:30,09:15,9,TRUE,nie pamiętam,TRUE,1,3,FALSE,TRUE
15-01-2024,poniedziałek,00:30,08:45,8,TRUE,koszmar,FALSE,2,3,TRUE,TRUE
