stopien,wynagrodzenie,rok,wzrost_kwota,wzrost_proc
stażysta,3532.93,2022.
stażysta,4773.0,2023.0,1240.06,35.1
kontraktowy,3921.20,2022
kontraktowy,4772.10,2023,850.9,21.7
mianowany,5112,2022
mianowany,5751,2023,639.0,12.5
dyplomowany,6532,2022
dyplomowany,7348.5,2023,816.5,12.5
