spotify_track_uri,audio_features,acousticness,instrumentalness,energy,danceability,liveness,loudness,speechiness,valence,release_date,preview_url,album_cover,artists_photo,album_on_spotify,artist_on_spotify
spotify:track:709ffFK4o4MtG1NKoLvOma,"{'acousticness': 0.153, 'instrumentalness': 0.164, 'energy': 0.42, 'danceability': 0.787, 'liveness': 0.169, 'loudness': -14.32, 'speechiness': 0.0645, 'valence': 0.838}",0.153,0.164,0.42,0.787,0.169,-14.32,0.0645,0.838,1989-04-04,https://p.scdn.co/mp3-preview/0df1d8782936bd7d3c210e4b3235f04055013e9e?cid=b93176585a884e64949d05d853154019,https://i.scdn.co/image/ab67616d0000b273da10e566a05c4c506a424f3a,https://i.scdn.co/image/ab6761610000e5eb58ed694b912dd14417374401,https://open.spotify.com/album/4YHQCvzRhFPYki87AK5Pdg,https://open.spotify.com/artist/7ip3CWlgPZbQHvgJpmcGSS
spotify:track:1yr9HpAu3prvxmq783ZELn,"{'acousticness': 0.644, 'instrumentalness': 0, 'energy': 0.477, 'danceability': 0.663, 'liveness': 0.122, 'loudness': -8.839, 'speechiness': 0.0414, 'valence': 0.643}",0.644,0.0,0.477,0.663,0.122,-8.839,0.0414,0.643,1995-01-01,,https://i.scdn.co/image/ab67616d0000b2733b2faf93671fa56abd641659,https://i.scdn.co/image/ab6761610000e5ebc3f03a01c6b8fd8d957865d5,https://open.spotify.com/album/1VQkUcV1j0hbsZAFghmeXh,https://open.spotify.com/artist/0jRqFvRKCDryHOgrgFqsKG
spotify:track:07ABETRdek3ACMpRPvQuaT,"{'acousticness': 0.0116, 'instrumentalness': 0.0565, 'energy': 0.783, 'danceability': 0.533, 'liveness': 0.186, 'loudness': -10.61, 'speechiness': 0.0366, 'valence': 0.726}",0.0116,0.0565,0.783,0.533,0.186,-10.61,0.0366,0.726,1998-03-31,https://p.scdn.co/mp3-preview/85acd16309f68796e2ad8abf0f9b0c0eda174839?cid=b93176585a884e64949d05d853154019,https://i.scdn.co/image/ab67616d0000b273499c6d2eaeb941d76acdfe41,https://i.scdn.co/image/ab6761610000e5ebb4e195083ac89cfab5d93b9e,https://open.spotify.com/album/0Jt2LzWgtGxy3GZH5i2Kcy,https://open.spotify.com/artist/2ycnb8Er79LoH2AsR5ldjh
spotify:track:15BQ7vEDv2LJuh8TxWIhtd,"{'acousticness': 0.0947, 'instrumentalness': 1.62e-06, 'energy': 0.889, 'danceability': 0.498, 'liveness': 0.733, 'loudness': -5.413, 'speechiness': 0.0546, 'valence': 0.696}",0.0947,1.62e-06,0.889,0.498,0.733,-5.413,0.0546,0.696,1977-08-29,,https://i.scdn.co/image/ab67616d0000b2734aa5f679427e35409a06f225,https://i.scdn.co/image/ab6761610000e5eb21e6d14c3d8aab9887380d00,https://open.spotify.com/album/2jnV6ytZOmt71iEC5xHEYz,https://open.spotify.com/artist/33EUXrFKGjpUSGacqEHhU4
spotify:track:3Y4egKQO2gOYob1oDITCzV,"{'acousticness': 0.37, 'instrumentalness': 0.947, 'energy': 0.606, 'danceability': 0.296, 'liveness': 0.125, 'loudness': -13.447, 'speechiness': 0.0393, 'valence': 0.569}",0.37,0.947,0.606,0.296,0.125,-13.447,0.0393,0.569,2022-10-23,https://p.scdn.co/mp3-preview/7bf1f3e2356005f3189c8ae99c90e06411816196?cid=b93176585a884e64949d05d853154019,https://i.scdn.co/image/ab67616d0000b273a554f36bf49cea84257bc081,https://i.scdn.co/image/ab6761610000e5eb91e7dd670bc7d3ec7d1cbc6f,https://open.spotify.com/album/5gD5rf2UnvG1TYUHVv4vjv,https://open.spotify.com/artist/1hCkSJcXREhrodeIHQdav8
spotify:track:29engDqjmMr3VLqMm0c0WE,"{'acousticness': 0.00137, 'instrumentalness': 0.616, 'energy': 0.618, 'danceability': 0.225, 'liveness': 0.079, 'loudness': -9.922, 'speechiness': 0.0331, 'valence': 0.567}",0.00137,0.616,0.618,0.225,0.079,-9.922,0.0331,0.567,1967-03-12,,https://i.scdn.co/image/ab67616d0000b27398260c528e6eec9dd431c1d7,https://i.scdn.co/image/d69c2cf10323bf08443c7d122f3a1824a760ab57,https://open.spotify.com/album/4xwx0x7k6c5VuThz5qVqmV,https://open.spotify.com/artist/1nJvji2KIlWSseXRSlNYsC
spotify:track:1ukHtC2BBs51jmSGaxoEeL,"{'acousticness': 0.456, 'instrumentalness': 1.72e-06, 'energy': 0.85, 'danceability': 0.759, 'liveness': 0.488, 'loudness': -7.156, 'speechiness': 0.0418, 'valence': 0.963}",0.456,1.72e-06,0.85,0.759,0.488,-7.156,0.0418,0.963,1987-11-02,,https://i.scdn.co/image/ab67616d0000b2738e25ad02f26060aa6a19b896,https://i.scdn.co/image/ab6761610000e5eb7fda8adcbe0cd99ec83a3bcf,https://open.spotify.com/album/3RmvjorSAkZL2FLzSGxONc,https://open.spotify.com/artist/7FIoB5PHdrMZVC3q2HE5MS
spotify:track:7J5B4k0AT8KIoV5KiUa4o7,"{'acousticness': 0.0296, 'instrumentalness': 0.000507, 'energy': 0.308, 'danceability': 0.737, 'liveness': 0.313, 'loudness': -12.438, 'speechiness': 0.0426, 'valence': 0.769}",0.0296,0.000507,0.308,0.737,0.313,-12.438,0.0426,0.769,1985-11-15,https://p.scdn.co/mp3-preview/78e785730884478995f7d6ed1f4db3aaf8c9602a?cid=b93176585a884e64949d05d853154019,https://i.scdn.co/image/ab67616d0000b273d0ed046de03d325262bc6fc6,https://i.scdn.co/image/ab6761610000e5eba914c7ff6c74ccc215a66a35,https://open.spotify.com/album/20Al9Br3ICD73ni3WuhA9Y,https://open.spotify.com/artist/6OXILsPD4WNJ7XiGMAkCWa
spotify:track:6ToM0uwxtPKo9CMpbPGYvM,"{'acousticness': 0.2, 'instrumentalness': 0, 'energy': 0.751, 'danceability': 0.421, 'liveness': 0.17, 'loudness': -9.584, 'speechiness': 0.0472, 'valence': 0.789}",0.2,0.0,0.751,0.421,0.17,-9.584,0.0472,0.789,1967-01-04,https://p.scdn.co/mp3-preview/af8cb2c28e8a897cec1f7c9831abcfe0fc431b9a?cid=b93176585a884e64949d05d853154019,https://i.scdn.co/image/ab67616d0000b2735b96a8c5d61be8878452f8f1,https://i.scdn.co/image/ab6761610000e5eb440959e022afc20e819050bd,https://open.spotify.com/album/1jWmEhn3ggaL6isoyLfwBn,https://open.spotify.com/artist/22WZ7M8sxp5THdruNY3gXt
spotify:track:4u7EnebtmKWzUH433cf5Qv,"{'acousticness': 0.271, 'instrumentalness': 0, 'energy': 0.404, 'danceability': 0.414, 'liveness': 0.3, 'loudness': -9.928, 'speechiness': 0.0499, 'valence': 0.224}",0.271,0.0,0.404,0.414,0.3,-9.928,0.0499,0.224,1975-11-21,,https://i.scdn.co/image/ab67616d0000b273e319baafd16e84f0408af2a0,https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982,https://open.spotify.com/album/1GbtB4zTqAsyfZEsm1RZfx,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d
spotify:track:0wokCRaKD0zPNhMRXAgVsr,"{'acousticness': 0.0131, 'instrumentalness': 1.12e-05, 'energy': 0.652, 'danceability': 0.472, 'liveness': 0.14, 'loudness': -10.171, 'speechiness': 0.0305, 'valence': 0.401}",0.0131,1.12e-05,0.652,0.472,0.14,-10.171,0.0305,0.401,1993-02-15,https://p.scdn.co/mp3-preview/b406928c447e95dedc75e8460160dd70b5fa2c65?cid=b93176585a884e64949d05d853154019,https://i.scdn.co/image/ab67616d0000b273c9647d4bd2589fa1c6e67333,https://i.scdn.co/image/ab6761610000e5ebf363c34ff8b5ca3b9a13b174,https://open.spotify.com/album/0PqCkTvKFJxzr9uujq7a3T,https://open.spotify.com/artist/0lZoBs4Pzo7R89JM9lxwoT
spotify:track:2SiXAy7TuUkycRVbbWDEpo,"{'acousticness': 0.00287, 'instrumentalness': 0.000513, 'energy': 0.767, 'danceability': 0.532, 'liveness': 0.39, 'loudness': -5.509, 'speechiness': 0.0574, 'valence': 0.755}",0.00287,0.000513,0.767,0.532,0.39,-5.509,0.0574,0.755,1980-07-25,https://p.scdn.co/mp3-preview/3b01294b6b0458fea6ed5a88ea1b1593eb495ead?cid=b93176585a884e64949d05d853154019,https://i.scdn.co/image/ab67616d0000b2730b51f8d91f3a21e8426361ae,https://i.scdn.co/image/ab6761610000e5ebc4c77549095c86acb4e77b37,https://open.spotify.com/album/6mUdeDZCsExyJLMdAfDuwh,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un
spotify:track:7G67ZJRQT9nn2Fa9vA6B32,"{'acousticness': 0.0136, 'instrumentalness': 0.000106, 'energy': 0.633, 'danceability': 0.685, 'liveness': 0.0935, 'loudness': -7.259, 'speechiness': 0.0377, 'valence': 0.731}",0.0136,0.000106,0.633,0.685,0.0935,-7.259,0.0377,0.731,1984,,https://i.scdn.co/image/ab67616d0000b2739f41eabd4e8f9ba656f4f995,https://i.scdn.co/image/ab6761610000e5eb9bfd44c9bd2aae22edfd99bf,https://open.spotify.com/album/3GSxZlsQkGEjkHa09sdwRP,https://open.spotify.com/artist/1eClJfHLoDI4rZe5HxzBFv
spotify:track:5y788ya4NvwhBznoDIcXwK,"{'acousticness': 0.837, 'instrumentalness': 0, 'energy': 0.216, 'danceability': 0.525, 'liveness': 0.107, 'loudness': -13.551, 'speechiness': 0.0301, 'valence': 0.328}",0.837,0.0,0.216,0.525,0.107,-13.551,0.0301,0.328,1964-10-19,https://p.scdn.co/mp3-preview/ce31ae784cc3a4a3958a6ae24e5a9d6d664b8508?cid=b93176585a884e64949d05d853154019,https://i.scdn.co/image/ab67616d0000b2733b50c381e5f477c3cd066286,https://i.scdn.co/image/afde2fdd14f8c8ca23393f257e3a369a234a24b6,https://open.spotify.com/album/5pnJrocLlZ3FWEbcr2PTz0,https://open.spotify.com/artist/70cRZdQywnSFp9pnc2WTCE
spotify:track:6H3kDe7CGoWYBabAeVWGiD,"{'acousticness': 0.447, 'instrumentalness': 0.039, 'energy': 0.63, 'danceability': 0.634, 'liveness': 0.17, 'loudness': -8.277, 'speechiness': 0.031, 'valence': 0.489}",0.447,0.039,0.63,0.634,0.17,-8.277,0.031,0.489,1969-12-05,,https://i.scdn.co/image/ab67616d0000b2732af30c881bb23cfb82a8cf99,https://i.scdn.co/image/ab6761610000e5ebe4cea917b68726aadb4854b8,https://open.spotify.com/album/4l4u9e9jSbotSXNjYfOugy,https://open.spotify.com/artist/22bE4uQ6baNwSHPVcDxLCe
spotify:track:2EC9IJj7g0mN1Q5VrZkiYY,"{'acousticness': 0.209, 'instrumentalness': 0.0176, 'energy': 0.686, 'danceability': 0.635, 'liveness': 0.282, 'loudness': -15.648, 'speechiness': 0.053, 'valence': 0.464}",0.209,0.0176,0.686,0.635,0.282,-15.648,0.053,0.464,1974-05-24,https://p.scdn.co/mp3-preview/69a9019284eb21c2ea81f099c11ad59cf4d7ac7b?cid=b93176585a884e64949d05d853154019,https://i.scdn.co/image/ab67616d0000b273ad22c83a6e1567f8453c32b3,https://i.scdn.co/image/ab6761610000e5ebb78f77c5583ae99472dd4a49,https://open.spotify.com/album/72mfhbEsMtXR6s7v9UhKe3,https://open.spotify.com/artist/0oSGxfWSnnOXhD2fKuz2Gy
spotify:track:7hiY7fVxa0LEUeUP4F4ReR,"{'acousticness': 0.866, 'instrumentalness': 0.0178, 'energy': 0.24, 'danceability': 0.613, 'liveness': 0.0709, 'loudness': -12.056, 'speechiness': 0.0303, 'valence': 0.436}",0.866,0.0178,0.24,0.613,0.0709,-12.056,0.0303,0.436,2013-09-30,https://p.scdn.co/mp3-preview/965749e42dc6425778107daff5a61695c97142dc?cid=b93176585a884e64949d05d853154019,https://i.scdn.co/image/ab67616d0000b27384d4ab818e83c41d95f6956b,https://i.scdn.co/image/ab6761610000e5ebcae92f295421692697e3235b,https://open.spotify.com/album/011ifQyKbsMAWCUFDZiMaa,https://open.spotify.com/artist/1rKrEdI6GKirxWHxIUPYms
spotify:track:4vpeKl0vMGdAXpZiQB2Dtd,"{'acousticness': 0.486, 'instrumentalness': 0.000273, 'energy': 0.293, 'danceability': 0.551, 'liveness': 0.0864, 'loudness': -12.503, 'speechiness': 0.0272, 'valence': 0.322}",0.486,0.000273,0.293,0.551,0.0864,-12.503,0.0272,0.322,1967,https://p.scdn.co/mp3-preview/f39a05b57be781d6f8fe5aaf2c1fa5de56ce45e6?cid=b93176585a884e64949d05d853154019,https://i.scdn.co/image/ab67616d0000b2732dac7a01676ddb36c1d0ec05,https://i.scdn.co/image/ab6761610000e5eb0c739f8231961acda83a4bf8,https://open.spotify.com/album/6lPb7Eoon6QPbscWbMsk6a,https://open.spotify.com/artist/2qFr8w5sWUITRlzZ9kZotF
spotify:track:2wg6RV3N9GoUMURfhxMJ3P,"{'acousticness': 0.00989, 'instrumentalness': 2.78e-06, 'energy': 0.821, 'danceability': 0.637, 'liveness': 0.0799, 'loudness': -5.477, 'speechiness': 0.0393, 'valence': 0.814}",0.00989,2.78e-06,0.821,0.637,0.0799,-5.477,0.0393,0.814,1990,,https://i.scdn.co/image/ab67616d0000b2737ef5c661e64ec185d6180a40,https://i.scdn.co/image/ab6761610000e5eb9bfd44c9bd2aae22edfd99bf,https://open.spotify.com/album/6Ct05XZNu2QpqDpjaxY7Xu,https://open.spotify.com/artist/1eClJfHLoDI4rZe5HxzBFv
spotify:track:5sICkBXVmaCQk5aISGR3x1,"{'acousticness': 0.00213, 'instrumentalness': 0.0114, 'energy': 0.828, 'danceability': 0.577, 'liveness': 0.0581, 'loudness': -8.691, 'speechiness': 0.0298, 'valence': 0.604}",0.00213,0.0114,0.828,0.577,0.0581,-8.691,0.0298,0.604,1991-08-12,,https://i.scdn.co/image/ab67616d0000b273cf84c5b276431b473e924802,https://i.scdn.co/image/ab6761610000e5eb69ca98dd3083f1082d740e44,https://open.spotify.com/album/2Kh43m04B1UkVcpcRa1Zug,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB
