com.samsung.shealth.tracker.pedometer_step_count,6260063,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
60000,4,0,109,2023-12-17 10:49:00.000,,,2023-12-17 10:52:09.279,2023-12-17 10:52:09.279,109,1.3768333,82.61,4.36,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 10:50:00.000,e6f5f4c7-36ff-4b1c-a3e5-0f07b4588226,
58368,4,0,92,2023-12-17 10:50:00.000,,,2023-12-17 10:52:09.306,2023-12-17 10:52:09.306,115,1.4444444,84.31,3.64,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 10:51:00.000,faa0ffb5-a6cd-4291-9824-db1107bba627,
49927,4,0,68,2023-12-17 10:51:00.000,,,2023-12-17 10:52:09.328,2023-12-17 10:52:09.328,110,1.4166666,70.73,3.85,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 10:52:00.000,0b05aacb-9049-4ab1-8ee0-f26d2cb1285c,
6218,4,0,4,2023-12-17 10:52:00.000,,,2023-12-17 10:52:09.777,2023-12-17 10:52:09.365,11,1.191611,7.41,0.59000003,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 10:53:00.000,7e6b06f4-8a25-4828-90ab-7fff4d074ec7,
12083,4,0,23,2023-12-17 10:53:00.000,,,2023-12-17 10:55:02.210,2023-12-17 10:55:02.210,23,1.4722222,17.79,0.8,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 10:54:00.000,554531dc-8acd-4250-8931-7da2ff4527ce,
10550,4,0,15,2023-12-17 10:55:00.000,,,2023-12-17 10:56:52.277,2023-12-17 10:56:52.277,15,1.0000001,10.55,0.56,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 10:56:00.000,d2e10893-4442-4362-9095-a9591244eca5,
38719,4,0,66,2023-12-17 11:10:00.000,,,2023-12-17 11:10:59.535,2023-12-17 11:10:57.426,66,1.2742844,49.340004,2.5599997,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 11:11:00.000,b2f19f4e-4a08-4651-b3c7-85f7c7d78290,
51077,4,0,91,2023-12-17 11:11:00.000,,,2023-12-17 11:14:48.309,2023-12-17 11:11:00.158,91,1.3514804,69.03,3.64,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 11:12:00.000,2d7c709c-28c6-4a90-8840-9d768a0b98ed,
60000,4,0,112,2023-12-17 11:12:00.000,,,2023-12-17 11:14:48.357,2023-12-17 11:14:48.357,112,1.4198333,85.19,4.41,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 11:13:00.000,5aa11ac4-2e72-4992-905b-82455da8b9f8,
53362,4,0,94,2023-12-17 11:13:00.000,,,2023-12-17 11:14:48.393,2023-12-17 11:14:48.393,94,1.3333334,71.15,3.76,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 11:14:00.000,1dad20ae-afbd-4cbd-9de7-a89e83e6741a,
