start_time,end_time,duration,day,weekday,name
2023-12-09 23:00:00,2023-12-09 07:00:00,08:00,9,Saturday,Gentleman2
2023-12-10 00:50:00,2023-12-10 08:40:00,07:50,10,Sunday,Gentleman2
2023-12-11 00:40:00,2023-12-11 09:10:00,08:30,11,Monday,Gentleman2
2023-12-11 23:30:00,2023-12-12 08:20:00,08:00,12,Tuesday,Gentleman2
2023-12-13 00:10:00,2023-12-13 07:30:00,07:20,13,Wednesday,Gentleman2
2023-12-13 23:50:00,2023-12-14 08:30:00,08:40,14,Thursday,Gentleman2
2023-12-15 00:20:00,2023-12-15 07:30:00,07:10,15,Friday,Gentleman2
2023-12-15 23:40:00,2023-12-16 07:00:00,07:20,16,Saturday,Gentleman2
2023-12-16 23:50:00,2023-12-17 09:20:00,09:30,17,Sunday,Gentleman2
2023-12-17 23:30:00,2023-12-18 08:00:00,08:30,18,Monday,Gentleman2
2023-12-18 23:50:00,2023-12-19 06:40:00,06:50,19,Tuesday,Gentleman2
2023-12-19 23:00:00,2023-12-20 07:30:00,08:30,20,Wednesday,Gentleman2
2023-12-20 23:40:00,2023-12-21 08:10:00,08:30,21,Thursday,Gentleman2
2023-12-22 00:30:00,2023-12-22 07:50:00,08:20,22,Friday,Gentleman2
2023-12-22 23:00:00,2023-12-23 09:40:00,10:40,23,Saturday,Gentleman2
2023-12-24 00:10:00,2023-12-24 09:20:00,09:10,24,Sunday,Gentleman2
2023-12-25 00:20:00,2023-12-25 08:20:00,08:00,25,Monday,Gentleman2
2023-12-26 01:20:00,2023-12-26 09:30:00,08:10,26,Tuesday,Gentleman2
2023-12-26 23:30:00,2023-12-27 09:50:00,10:20,27,Wednesday,Gentleman2
2023-12-28 00:10:00,2023-12-28 08:30:00,08:20,28,Thursday,Gentleman2
2023-12-28 23:40:00,2023-12-29 08:50:00,07:50,29,Friday,Gentleman2
2023-12-29 23:50:00,2023-12-30 09:50:00,09:00,30,Saturday,Gentleman2
2023-12-31 00:20:00,2023-12-31 07:30:00,07:10,31,Sunday,Gentleman2
2024-01-01 01:50:00,2024-01-01 10:10:00,08:20,1,Monday,Gentleman2
2024-01-01 23:10:00,2024-01-02 07:00:00,07:50,2,Tuesday,Gentleman2
2024-01-02 23:40:00,2024-01-03 08:40:00,08:00,3,Wednesday,Gentleman2
2024-01-04 01:20:00,2024-01-04 07:30:00,06:10,4,Thursday,Gentleman2
2024-01-05 00:30:00,2024-01-05 09:00:00,08:30,5,Friday,Gentleman2
2024-01-05 23:00:00,2024-01-06 07:30:00,08:30,6,Saturday,Gentleman2
2024-01-06 23:30:00,2024-01-07 07:40:00,08:10,7,Sunday,Gentleman2
2024-01-08 00:10:00,2024-01-08 07:50:00,07:40,8,Monday,Gentleman2
2024-01-08 23:10:00,2024-01-09 06:50:00,07:40,9,Tuesday,Gentleman2
2024-01-09 23:30:00,2024-01-10 06:40:00,07:10,10,Wednesday,Gentleman2
2024-01-11 00:20:00,2024-01-11 07:40:00,07:20,11,Thursday,Gentleman2
2024-01-11 22:30:00,2024-01-12 07:10:00,08:40,12,Friday,Gentleman3
2024-01-12 23:10:00,2024-01-13 08:20:00,09:10,13,Saturday,Gentleman2
2024-01-13 23:40:00,2024-01-14 09:00:00,09:20,14,Sunday,Gentleman2
2024-01-14 23:10:00,2024-01-15 08:10:11,09:00,15,Monday,Gentleman2
2024-01-15 23:20:00,2024-01-16 05:50:00,06:35,16,Tuesday,Gentleman2
2024-01-16 23:20:00,2024-01-17 07:10:00,07:50,17,Wednesday,Gentleman2
2024-01-17 22:40:00,2024-01-18 07:00:00,08:20,18,Thursday,Gentleman2
2024-01-18 23:20:00,2024-01-19 06:00:00,06:40,19,Friday,Gentleman2
2024-01-19 22:50:00,2024-01-20 07:10:00,08:20,20,Saturday,Gentleman2
2024-01-20 23:20:00,2024-01-21 07:20:00,08:00,21,Sunday,Gentleman2
