Data,Wzrostowy,Boczny,Spadkowy
02-11-2023,57.7,14.4,27.9
26-10-2023,51.5,16.8,31.7
19-10-2023,46.7,16.3,37.0
12-10-2023,51.6,11.8,36.6
05-10-2023,34.9,12.8,52.3
