"","start_time","end_time","duration","day","weekday","name"
"80",2024-01-13 22:40:00,2024-01-14 08:00:00,"09:20",14,"Sunday","Gentleman2"
"81",2024-01-14 22:10:00,2024-01-15 07:10:11,"09:00",15,"Monday","Gentleman2"
"82",2024-01-15 22:20:00,2024-01-16 04:50:00,"06:35",16,"Tuesday","Gentleman2"
"83",2024-01-16 22:20:00,2024-01-17 06:10:00,"07:50",17,"Wednesday","Gentleman2"
"84",2024-01-17 21:40:00,2024-01-18 06:00:00,"08:20",18,"Thursday","Gentleman2"
"85",2024-01-18 22:20:00,2024-01-19 05:00:00,"06:40",19,"Friday","Gentleman2"
"86",2024-01-19 21:50:00,2024-01-20 06:10:00,"08:20",20,"Saturday","Gentleman2"
"87",2024-01-20 22:20:00,2024-01-21 06:20:00,"08:00",21,"Sunday","Gentleman2"
"88",2023-12-08 00:50:00,2023-12-08 05:03:00.33,"04:13",8,"Friday","Gentleman3"
"89",2023-12-08 23:00:00,2023-12-09 09:30:00,"10:30",9,"Saturday","Gentleman3"
"90",2023-12-10 01:50:00,2023-12-10 10:00:00,"08:10",10,"Sunday","Gentleman3"
"91",2023-12-10 23:40:00,2023-12-11 05:00:00,"05:20",11,"Monday","Gentleman3"
"92",2023-12-12 00:20:00,2023-12-12 07:00:00,"06:40",12,"Tuesday","Gentleman3"
"93",2023-12-13 01:50:00,2023-12-13 09:06:23.898,"07:16",13,"Wednesday","Gentleman3"
"94",2023-12-14 00:10:00,2023-12-14 07:10:00,"07:00",14,"Thursday","Gentleman3"
"95",2023-12-15 02:00:00,2023-12-15 05:47:00,"03:47",15,"Friday","Gentleman3"
"96",2023-12-15 22:10:00,2023-12-16 07:30:00,"09:20",16,"Saturday","Gentleman3"
"97",2023-12-17,2023-12-17 07:47:11.985,"07:47",17,"Sunday","Gentleman3"
"98",2023-12-17 23:10:00,2023-12-18 08:02:35.883,"08:52",18,"Monday","Gentleman3"
"99",2023-12-19 00:20:00,2023-12-19 07:20:00,"07:00",19,"Tuesday","Gentleman3"
"100",2023-12-20 00:40:00,2023-12-20 09:40:00,"09:00",20,"Wednesday","Gentleman3"
"101",2023-12-20 23:20:00,2023-12-21 08:00:00,"08:40",21,"Thursday","Gentleman3"
"102",2023-12-22 00:10:00,2023-12-22 04:50:00,"04:40",22,"Friday","Gentleman3"
"103",2023-12-23,2023-12-23 09:30:00,"09:30",23,"Saturday","Gentleman3"
"104",2023-12-24 01:50:00,2023-12-24 08:30:00,"06:40",24,"Sunday","Gentleman3"
"105",2023-12-25 02:20:00,2023-12-25 09:00:00,"06:40",25,"Monday","Gentleman3"
"106",2023-12-25 23:10:00,2023-12-26 08:43:35.671,"09:33",26,"Tuesday","Gentleman3"
"107",2023-12-28 00:10:00,2023-12-28 09:20:00,"09:10",28,"Thursday","Gentleman3"
"108",2023-12-29 01:00:00,2023-12-29 08:10:00,"07:10",29,"Friday","Gentleman3"
"109",2023-12-27 00:30:00,2023-12-27 09:10:00,"08:40",27,"Wednesday","Gentleman3"
"110",2023-12-30,2023-12-30 04:50:00,"04:50",30,"Saturday","Gentleman3"
"111",2023-12-30 22:10:00,2023-12-31 08:06:00,"09:56",31,"Sunday","Gentleman3"
"112",2024-01-01 02:10:00,2024-01-01 09:00:00,"06:50",1,"Monday","Gentleman3"
"113",2024-01-01 23:00:00,2024-01-02 08:37:53.724,"09:37",2,"Tuesday","Gentleman3"
"114",2024-01-03,2024-01-03 05:35:00,"05:35",3,"Wednesday","Gentleman3"
"115",2024-01-03 22:40:00,2024-01-04 05:10:00,"06:30",4,"Thursday","Gentleman3"
"116",2024-01-04 23:40:00,2024-01-05 06:09:26.224,"06:29",5,"Friday","Gentleman3"
"117",2024-01-05 23:00:00,2024-01-06 08:00:00,"09:00",6,"Saturday","Gentleman3"
"118",2024-01-07 01:40:00,2024-01-07 10:30:00,"08:50",7,"Sunday","Gentleman3"
"119",2024-01-07 22:40:00,2024-01-08 05:10:00,"06:30",8,"Monday","Gentleman3"
"120",2024-01-08 23:30:00,2024-01-09 05:55:12.011,"06:25",9,"Tuesday","Gentleman3"
"121",2024-01-09 22:40:00,2024-01-10 08:40:00,"10:00",10,"Wednesday","Gentleman3"
"122",2024-01-11 02:00:00,2024-01-11 09:10:00,"07:10",11,"Thursday","Gentleman3"
"123",2024-01-12 00:30:00,2024-01-12 08:30:00,"08:00",12,"Friday","Gentleman3"
"124",2024-01-13 02:20:00,2024-01-13 09:10:00,"06:50",13,"Saturday","Gentleman3"
"125",2024-01-14 00:30:00,2024-01-14 09:28:39.443,"08:58",14,"Sunday","Gentleman3"
"126",2024-01-15 02:10:00,2024-01-15 09:50:00,"07:40",15,"Monday","Gentleman3"
"127",2024-01-15 23:00:00,2024-01-16 05:30:00,"06:30",16,"Tuesday","Gentleman3"
"128",2024-01-17 00:10:00,2024-01-17 05:30:00,"05:20",17,"Wednesday","Gentleman3"
"129",2024-01-18 02:10:00,2024-01-18 08:58:21.911,"06:48",18,"Thursday","Gentleman3"
"130",2024-01-19 00:10:00,2024-01-19 06:40:00,"06:30",19,"Friday","Gentleman3"
"131",2024-01-20 01:30:00,2024-01-20 09:30:00,"08:00",20,"Saturday","Gentleman3"
"132",2024-01-21 01:00:00,2024-01-21 08:09:11.896,"07:09",21,"Sunday","Gentleman3"
"133",2024-01-22 01:00:00,2024-01-22 06:16:32.562,"05:16",22,"Monday","Gentleman3"
