"startTime","ŚredniaPrędkość","Dystans","Osoba","Kalorie","Czas","Rok"
2020-04-22 12:44:07,9.65480427046263,27.13,"Maciek",972,168.6,"2020"
2020-04-25 17:02:36,14.0534759358289,10.95,"Maciek",345,46.75,"2020"
2020-04-26 16:51:58,14.9407114624506,17.85,"Maciek",676,71.6833333333333,"2020"
2020-04-28 16:06:11,14.8095773742568,25.6,"Maciek",824,103.716666666667,"2020"
2020-04-29 16:31:07,16.1350210970464,19.12,"Maciek",542,71.1,"2020"
2020-05-03 14:01:40,14.071661237785,10.8,"Maciek",19,46.05,"2020"
2020-05-03 17:33:01,18.5621262458472,7.76,"Maciek",201,25.0833333333333,"2020"
2020-05-08 12:29:12,13.6948888021849,9.75,"Maciek",432,42.7166666666667,"2020"
2020-05-08 17:09:55,12.1606911447084,7.82,"Maciek",255,38.5833333333333,"2020"
2020-05-11 11:41:21,15.1706700379267,10,"Maciek",356,39.55,"2020"
2020-05-11 16:00:19,13.7030352748154,9.28,"Maciek",370,40.6333333333333,"2020"
2020-05-16 12:08:11,7.55000606134077,17.3,"Maciek",947,137.483333333333,"2020"
2020-05-16 15:43:15,12.411249767182,18.51,"Maciek",707,89.4833333333333,"2020"
2020-05-20 12:01:40,9.989629894511,15.52,"Maciek",671,93.2166666666667,"2020"
2020-05-20 16:22:41,18.5684210526316,9.31,"Maciek",231,30.0833333333333,"2020"
2020-05-28 15:04:58,13.4390243902439,5.51,"Maciek",251,24.6,"2020"
2020-05-28 17:01:44,6.15285678951274,6.91,"Maciek",518,67.3833333333333,"2020"
2020-05-29 10:45:49,10.9555757026292,30.21,"Maciek",1159,165.45,"2020"
2020-05-29 15:00:20,11.6315738498789,33.36,"Maciek",1259,172.083333333333,"2020"
2020-06-01 10:07:41,14.6113989637306,9.4,"Maciek",414,38.6,"2020"
2020-06-01 15:02:24,17.3674121405751,9.06,"Maciek",364,31.3,"2020"
2020-06-03 16:48:37,13.8307905686546,13.85,"Maciek",465,60.0833333333333,"2020"
2020-06-04 15:15:44,14.8192771084337,4.1,"Maciek",164,16.6,"2020"
2020-06-04 16:41:37,9.99133409350057,12.17,"Maciek",635,73.0833333333333,"2020"
2020-06-09 10:04:23,0,0,"Maciek",18,2.38333333333333,"2020"
2020-06-09 10:07:15,8.39119035133718,8.89,"Maciek",463,63.5666666666667,"2020"
2020-06-09 11:25:29,3.19094766619519,3.76,"Maciek",396,70.7,"2020"
2020-06-09 12:36:35,14.0625,3.75,"Maciek",139,16,"2020"
2020-06-10 09:45:50,1.57993730407524,0.84,"Maciek",298,31.9,"2020"
2020-06-10 10:21:37,8.448,9.68,"Maciek",425,68.75,"2020"
2020-06-10 15:43:05,9.88965517241379,9.56,"Maciek",360,58,"2020"
2020-06-10 16:41:29,13.094083414161,7.5,"Maciek",291,34.3666666666667,"2020"
2020-06-11 11:55:47,10.2857142857143,0.62,"Maciek",30,3.61666666666667,"2020"
2020-06-11 12:12:46,11.9667590027701,1.2,"Maciek",51,6.01666666666667,"2020"
2020-06-11 12:19:19,4.62857142857143,0.09,"Maciek",9,1.16666666666667,"2020"
2020-06-11 12:23:04,7.27868852459016,0.74,"Maciek",39,6.1,"2020"
2020-06-11 13:34:05,16.403007518797,6.06,"Maciek",233,22.1666666666667,"2020"
2020-06-11 15:35:30,12.7461139896373,2.05,"Maciek",104,9.65,"2020"
2020-06-13 16:57:21,8.83153715258083,17.3,"Maciek",767,117.533333333333,"2020"
2020-06-18 16:33:35,1.70919881305638,0.16,"Maciek",37,5.61666666666667,"2020"
2020-06-18 16:39:33,14.253807106599,1.56,"Maciek",61,6.56666666666667,"2020"
2020-06-18 17:03:38,16.4324324324324,3.04,"Maciek",101,11.1,"2020"
2020-07-01 12:48:41,10.2786206896552,4.14,"Maciek",209,24.1666666666667,"2020"
2020-07-01 13:45:57,11.265306122449,2.76,"Maciek",120,14.7,"2020"
2020-07-03 15:47:41,13.0105263157895,4.12,"Maciek",141,19,"2020"
2020-07-04 07:18:00,11.3151026892091,27.7,"Maciek",778,146.883333333333,"2020"
2020-07-04 15:13:18,1.99773499433749,0.98,"Maciek",125,29.4333333333333,"2020"
2020-07-04 16:55:32,6.51428571428571,1.52,"Maciek",69,14,"2020"
2020-07-04 17:25:08,12.9481733220051,12.7,"Maciek",351,58.85,"2020"
2020-07-05 15:40:53,14.0809778456837,10.24,"Maciek",291,43.6333333333333,"2020"
2020-07-10 13:01:15,10.7493796526055,7.22,"Maciek",253,40.3,"2020"
2020-07-11 09:30:33,10.3791385877527,9.84,"Maciek",308,56.8833333333333,"2020"
2020-07-11 10:56:06,20.4790419161677,1.9,"Maciek",34,5.56666666666667,"2020"
