"recordDay","Kroki","Kalorie"
"2020-06-26",44268,1055.861
"2020-08-31",40842,1072.219
"2020-06-15",33785,834.177
"2020-07-21",32474,746.005
"2020-02-15",31103,791.064
"2020-09-18",28652,708.178
"2020-06-01",27425,1413.341
"2021-06-28",27187,762.34
"2020-05-03",27078,897.138
"2020-08-14",25971,1079.48
"2022-08-21",25385,1148.855
"2020-08-24",24254,566.584
"2020-05-11",24247,1313.639
"2020-08-25",23363,546.844
"2020-07-14",23025,549.842
"2022-07-13",22809,586.523
"2021-08-03",22442,1496.487
"2020-02-07",21068,551.906
"2023-06-03",20908,640.506
"2020-09-04",20539,478.554
"2022-07-14",19341,512.862
"2023-05-12",19214,531.132
"2020-01-30",18174,454.328
"2023-05-27",18059,623.703
"2020-03-04",17619,438.536
"2021-07-22",17225,508.875
"2020-05-08",17164,1041.214
"2022-07-15",16864,419.999
"2022-07-22",16572,614.773
"2020-02-01",16371,409.032
"2019-12-28",16294,345.668
"2021-08-05",15939,411.008
"2023-07-06",15823,420.149
"2022-08-20",15796,397.843
"2020-07-24",14883,1758.647
"2023-05-02",14778,428.288
"2023-05-23",14540,384.66
"2023-05-13",14387,392.162
"2020-01-28",14261,332.452
"2022-09-30",13869,392.574
"2020-09-09",13815,830.882
"2020-01-18",13745,290.241
"2020-01-31",13706,343.718
"2023-11-22",13689,590.289
"2023-04-17",13536,428.671
"2020-02-13",13517,314.238
"2020-10-02",13500,285.817
"2020-02-05",13457,315.244
"2023-07-09",13427,363.236
"2023-04-18",13353,419.199
"2020-08-15",13187,280.983
"2023-06-02",13099,373.129
"2023-04-14",13053,598.507
"2020-07-31",13014,270.838
"2020-01-20",12945,278.821
"2023-10-10",12841,336.241
"2023-02-09",12722,338.719
"2023-05-31",12534,353.5
"2022-05-13",12485,321.238
"2023-03-31",12471,320.663
"2022-08-10",12404,476.019
"2023-04-12",12269,349.5
"2020-05-29",12026,2544.706
"2020-01-27",11814,251.714
"2019-12-20",11764,262.58
"2023-06-27",11738,244.063
"2020-02-06",11637,287.86
"2022-09-10",11527,292.923
"2020-07-04",11434,1715.498
"2020-09-17",11392,266.452
"2021-08-16",11220,248.01
"2023-03-27",11211,313.691
"2020-02-03",11108,241.952
"2023-06-01",11070,310.195
"2020-09-08",11002,271.557
"2023-04-04",10898,293.893
"2020-02-18",10887,261.346
"2019-12-19",10881,229.561
"2021-07-09",10862,245.396
"2020-03-10",10781,258.32
"2023-09-18",10743,848.317
"2022-08-11",10594,270.05
"2023-11-24",10566,282.527
"2020-01-11",10564,222.731
"2020-06-22",10365,219.963
"2022-07-04",10358,381.363
"2021-06-23",10122,538.064
"2020-08-12",10100,1610.177
"2023-05-24",10072,275.427
"2023-10-02",10069,264.057
"2023-05-22",10040,286.844
"2020-09-21",10025,232.235
"2020-09-02",10005,232.626
"2022-10-02",9990,281.763
"2023-10-05",9886,271.41
"2023-10-23",9874,491.158
"2020-09-23",9865,647.371
"2023-10-09",9845,526.603
"2020-09-03",9826,228.957
"2020-02-21",9811,217.749
"2020-09-16",9800,662.409
"2023-10-06",9708,492.653
"2023-04-03",9706,278.578
"2021-08-02",9654,242.595
"2023-04-22",9648,250.406
"2023-06-29",9612,243.86
"2020-09-22",9535,222.523
"2022-11-18",9511,254.314
"2020-06-10",9496,1263.541
"2020-02-20",9472,211.52
"2020-08-28",9389,2254.806
"2023-10-11",9367,278.586
"2021-08-09",9352,178.658
"2020-01-29",9325,212.744
"2020-10-16",9305,206.04
"2020-09-07",9248,220.687
"2020-07-28",9205,1146.949
"2023-04-21",9106,240.7
"2021-06-25",9080,214.082
"2020-07-17",9040,1833.925
"2022-07-19",9022,355.699
"2020-03-03",9010,215.29
"2023-11-21",9009,239.267
"2020-02-11",8905,196.842
"2022-06-19",8905,172.958
"2020-09-11",8801,674.839
"2020-02-14",8771,192.702
"2020-02-12",8770,204.737
"2020-02-17",8738,196.705
"2023-07-17",8733,211.464
"2022-10-03",8717,248.313
"2020-02-24",8700,193.969
"2020-03-11",8642,196.464
"2022-06-18",8629,397.044
"2023-02-06",8623,236.963
"2020-02-10",8612,191.234
"2020-05-16",8536,1597.254
"2023-07-20",8486,170.808
"2021-07-06",8453,591.828
"2021-10-08",8453,247.395
"2022-07-07",8441,376.533
"2022-07-30",8384,324.208
"2021-11-15",8349,228.936
"2021-06-15",8347,217.263
"2023-05-10",8341,239.102
"2023-10-04",8310,246.538
"2022-07-02",8297,314.943
"2021-07-24",8284,191.351
"2023-11-20",8269,404.5
"2023-11-17",8253,222.021
"2021-06-05",8216,913.197
"2021-07-11",8197,170.686
"2020-02-04",8164,179.332
"2023-03-26",8150,222.095
"2020-09-01",8143,171.034
"2023-08-11",8098,546.526
"2022-08-25",8086,201.112
"2020-09-15",8077,194.274
"2022-11-14",8070,227.586
"2022-07-21",8026,168.79
"2023-04-26",8015,218.842
"2023-05-26",7995,208.181
"2020-10-09",7985,168.831
"2021-10-05",7817,226.922
"2022-08-18",7744,180.339
"2023-08-09",7694,161.339
"2020-08-10",7674,1491.912
"2022-11-21",7648,205.577
"2021-10-01",7615,181.154
"2023-07-28",7585,183.208
"2021-12-06",7567,177.938
"2022-08-04",7557,353.382
"2021-07-13",7490,153.496
"2020-01-24",7479,152.97
"2021-08-07",7456,174.177
"2022-07-31",7434,175.597
"2022-08-09",7391,169.088
"2022-02-28",7382,183.555
"2023-04-20",7379,216.176
"2019-12-21",7377,476.498
"2023-04-19",7360,204.47
"2022-07-11",7349,161.193
"2020-09-10",7338,172.191
"2021-09-13",7320,192.92
"2023-10-24",7299,191.287
"2023-09-03",7272,141.096
"2023-10-25",7261,211.565
"2020-03-05",7252,168.412
"2020-05-20",7247,1023.122
"2021-07-04",7190,148.647
"2022-07-25",7170,414.63
"2020-10-13",7169,152.454
"2022-06-25",7148,343.938
"2021-07-05",7146,163.667
"2023-03-28",7077,195.534
"2020-02-19",7075,161.77
"2021-07-25",7054,153.498
"2023-07-07",6945,475.084
"2023-11-09",6930,194.264
"2020-07-27",6923,761.253
"2020-09-25",6867,156.282
"2020-09-14",6828,681.258
"2020-03-02",6817,163.301
"2021-08-08",6811,131.391
"2020-08-03",6806,550.358
"2021-10-04",6802,170.178
"2023-10-16",6756,175.559
"2021-03-21",6717,833.494
"2021-04-30",6712,555.114
"2022-08-22",6643,193.468
"2020-08-02",6614,1079.034
"2021-12-02",6577,184.789
"2020-04-22",6552,933.952
"2023-08-08",6543,455.775
"2023-10-26",6537,190.55
"2020-07-07",6531,127.393
"2023-07-03",6527,542.49
"2021-10-07",6523,172.875
