"Data","Dystans","Kalorie","Czas","Średnie.tętno","Maksymalne.tętno","Średnia.prędkość","Maksymalna.prędkość","Całkowity.wznios","Całkowity.spadek","Średnie.odchylenie.do.długości","Średni.rytm.pedałowania","Maksymalny.rytm.pedałowania","Łącznie.obrotów","Minimalna.temperatura","Czas.najlepszego.okrążenia","Liczba.okrążeń","Maksymalna.temperatura","Czas.ruchu","Upłynęło.czasu","Minimalna.wysokość","Maksymalna.wysokość","Year","Month","Day","Hour","Minute","Second","DurationMinutes"
2023-09-16 12:39:38,54.84,NA,01:59:25,148,161,27.6,50.5,174,164,0,78,96,8940,15,"01:59:24.63",1,21,"01:59:25","01:59:25",42,124,"2023","09","16","12","39","38",119.416666666667
2023-09-10 12:07:51,54.51,NA,02:06:28,142,159,25.9,48.8,170,166,0,73,95,8710,20,"02:06:28.21",1,26,"02:06:28","02:06:28",99,151,"2023","09","10","12","07","51",126.466666666667
2023-09-09 11:23:29,54.57,NA,01:59:07,149,165,27.5,47.9,163,164,0,76,92,8543,20,"01:59:07.50",1,24,"01:59:02","01:59:07",134,191,"2023","09","09","11","23","29",119.116666666667
2023-09-05 11:36:30,33.68,886,01:56:53,132,149,17.3,27.5,66,65,0,NA,NA,NA,27,"12:55.59",7,33,"01:50:39","02:34:19",-5,7,"2023","09","05","11","36","30",116.883333333333
2023-09-03 11:25:12,34.86,789,01:23:44,133,146,25,36.7,91,93,0,70,85,5389,15,"01:23:44.17",1,22,"01:22:59","01:23:44",120,177,"2023","09","03","11","25","12",83.7333333333333
2023-09-02 12:44:32,54.65,NA,02:15:56,133,150,24.1,37,166,176,0,67,95,8192,18,"02:15:56.04",1,22,"02:15:56","02:15:56",91,147,"2023","09","02","12","44","32",135.933333333333
2023-08-29 09:24:56,104.65,NA,04:09:15,146,162,25.2,42.3,431,434,0,71,93,16091,18,"04:09:15.24",1,26,"04:08:38","04:09:15",88,151,"2023","08","29","09","24","56",249.25
2023-08-24 17:25:18,54.89,NA,02:01:00,145,160,27.2,46.5,162,160,0,72,90,8398,17,"02:01:00.09",1,23,"02:00:45","02:01:00",131,186,"2023","08","24","17","25","18",121
2023-08-23 17:53:24,42.04,NA,01:30:58,149,164,27.7,40.9,111,113,0,75,91,6510,16,"01:30:58.20",1,21,"01:30:58","01:31:00",126,173,"2023","08","23","17","53","24",90.9666666666667
2023-08-22 17:51:33,46.35,NA,01:37:15,149,164,28.6,42.6,148,143,0,76,93,7074,17,"01:37:14.91",1,22,"01:37:15","01:37:15",105,142,"2023","08","22","17","51","33",97.25
2023-08-20 15:05:36,17.89,412,00:55:31,127,153,19.3,32.4,41,41,0,NA,NA,NA,23,"10:14.35",4,27,"00:55:12","00:55:31",-3,5,"2023","08","20","15","05","36",55.5166666666667
