"","Activity.Date","Activity.Type","Elapsed.Time","Distance","Moving.Time","srednia_predkosc_km_h","max_predkosc_km_h","Elevation.Gain","Elevation.Loss","Elevation.High","Elevation.Low","Max.Grade","Average.Grade","startTime","avgSpeed","Dystans","Osoba","Kalorie","Czas"
"33","Oct 9, 2021, 10:56:34 AM","Ride",13186,52.22,9383,20.0368034362793,60.839998626709,88.5983047485352,88.5983047485352,119.5,81.4000015258789,42,0,2021-10-09 10:56:34,20.0368034362793,52.22,"Kuba",NA,156.383333333333
"34","Mar 29, 2022, 6:15:12 AM","Ride",1473,7.69,1413,19.6092481613159,61.9535179138184,15.5326261520386,15.8326263427734,91.6999969482422,80.6999969482422,12.2753467559814,-0.00389780988916755,2022-03-29 06:15:12,19.6092481613159,7.69,"Kuba",NA,23.55
"35","Mar 29, 2022, 12:10:37 PM","Ride",2774,14.41,2608,19.8967500686646,65.051985168457,16.7453536987305,49.4453544616699,115.800003051758,80.6999969482422,9.26517200469971,-0.226861357688904,2022-03-29 12:10:37,19.8967500686646,14.41,"Kuba",NA,43.4666666666667
"36","Mar 30, 2022, 5:09:18 AM","Ride",3001,14.3,2729,18.8647785186768,62.1,52.0575370788574,17.0575370788574,116.800003051758,80.6999969482422,7.24613761901855,0.244745835661888,2022-03-30 05:09:18,18.8647785186768,14.3,"Kuba",NA,45.4833333333333
"37","Mar 30, 2022, 1:04:18 PM","Ride",3129,14.48,2752,18.9516065597534,52.2647747039795,16.7555561065674,49.9555549621582,115.800003051758,80.6999969482422,8.16858386993408,-0.229163855314255,2022-03-30 13:04:18,18.9516065597534,14.48,"Kuba",NA,45.8666666666667
"38","Apr 7, 2022, 4:38:58 AM","Ride",2607,14.04,2443,20.6957118988037,53.4995933532715,51.9417304992676,18.2417316436768,116.199996948242,80.6999969482422,11.2448034286499,0.239954322576523,2022-04-07 04:38:58,20.6957118988037,14.04,"Kuba",NA,40.7166666666667
"39","Apr 7, 2022, 2:16:00 PM","Ride",2450,12.39,2081,21.438303565979,49.939453125,16.7488880157471,47.1488876342773,112.699996948242,80.6999969482422,12.8638963699341,-0.245309069752693,2022-04-07 14:16:00,21.438303565979,12.39,"Kuba",NA,34.6833333333333
"40","Apr 13, 2022, 5:02:03 AM","Ride",3130,14.09,2779,18.2616514205933,63.655313873291,51.9146041870117,18.0146026611328,116.099998474121,80.6999969482422,8.55096054077148,0.240477025508881,2022-04-13 05:02:03,18.2616514205933,14.09,"Kuba",NA,46.3166666666667
"41","Apr 13, 2022, 3:22:56 PM","Ride",1886,7.25,1360,19.2122211456299,40.831258392334,13.472222328186,14.1722221374512,91.8000030517578,80.6999969482422,11.0701704025269,-0.00964459590613842,2022-04-13 15:22:56,19.2122211456299,7.25,"Kuba",NA,22.6666666666667
"42","May 4, 2022, 1:38:51 PM","Ride",7672,44.22,6772,23.5085861206055,45.922501373291,67.0426254272461,67.0426254272461,99,78.4000015258789,8.53333377838135,0,2022-05-04 13:38:51,23.5085861206055,44.22,"Kuba",NA,112.866666666667
"43","May 6, 2022, 2:19:16 PM","Ride",9244,41.78,8216,18.3065649032593,57.362345123291,50.9656715393066,50.7656707763672,99,80.6999969482422,12.8514060974121,0.00047870195703581,2022-05-06 14:19:16,18.3065649032593,41.78,"Kuba",NA,136.933333333333
"44","May 11, 2022, 2:02:26 PM","Ride",12709,60.03,10763,20.0806886672974,58.585782623291,94.2835083007812,93.8835067749023,119.5,80.6999969482422,12.3575983047485,0.000666270439978689,2022-05-11 14:02:26,20.0806886672974,60.03,"Kuba",NA,179.383333333333
"45","May 19, 2022, 12:45:16 PM","Ride",16496,100.05,15024,23.9737678527832,51.1692180633545,149.304244995117,148.904251098633,121.199996948242,78.4000015258789,27.419017791748,0.00039979800931178,2022-05-19 12:45:16,23.9737678527832,100.05,"Kuba",NA,250.4
"46","May 20, 2022, 7:45:43 AM","Ride",8884,39.17,7773,18.144185256958,36.554061126709,41.9461631774902,41.6461601257324,98.8000030517578,80.6999969482422,14.2486085891724,0.00076576869469136,2022-05-20 07:45:43,18.144185256958,39.17,"Kuba",NA,129.55
"47","May 24, 2022, 7:59:38 AM","Ride",6559,12.69,2795,16.3441148757935,31.7519989013672,20.9608974456787,13.5608978271484,99.8000030517578,84.8000030517578,7.31549167633057,0.0583164393901825,2022-05-24 07:59:38,16.3441148757935,12.69,"Kuba",NA,46.5833333333333
"48","May 31, 2022, 9:50:39 AM","Ride",18561,65.01,13904,16.8324932098389,49.3425006866455,86.0694580078125,85.9694595336914,119.900001525879,80.6999969482422,13.0719432830811,0.000153820525156334,2022-05-31 09:50:39,16.8324932098389,65.01,"Kuba",NA,231.733333333333
"49","Jun 1, 2022, 10:52:13 AM","Ride",5250,24.48,4192,21.0289890289307,57.506485748291,267.176208496094,266.476196289062,112.900001525879,80.6999969482422,49.0443840026855,0.0028586492408067,2022-06-01 10:52:13,21.0289890289307,24.48,"Kuba",NA,69.8666666666667
"50","May 30, 2022, 11:53:51 AM","Ride",7543,25.5,4698,19.5465436935425,77.831721496582,79.3687133789062,48.4687156677246,112,79,14.2064371109009,0.121137328445911,2022-05-30 11:53:51,19.5465436935425,25.5,"Kuba",NA,78.3
"51","Jun 2, 2022, 9:36:16 AM","Ride",21785,105.94,17684,21.5670993804932,86.6789840698242,220.036376953125,219.936386108398,119.900001525879,79.9000015258789,14.0659341812134,9.43909326451831e-05,2022-06-02 09:36:16,21.5670993804932,105.94,"Kuba",NA,294.733333333333
"52","Jun 3, 2022, 1:49:01 PM","Ride",15508,26.87,4436,21.8056949615479,38.1241413116455,67.4080123901367,66.8080139160156,115.800003051758,80.6999969482422,12.2319774627686,0.00223301840014756,2022-06-03 13:49:01,21.8056949615479,26.87,"Kuba",NA,73.9333333333333
"53","Jun 7, 2022, 11:48:53 AM","Ride",15532,60.28,10868,19.9699035644531,52.574063873291,108.749053955078,108.049057006836,119.099998474121,80.6999969482422,7.9232873916626,0.00116111431270838,2022-06-07 11:48:53,19.9699035644531,60.28,"Kuba",NA,181.133333333333
"54","Jun 11, 2022, 8:20:04 AM","Ride",19092,58.29,12651,16.5886980056763,51.91171875,87.978401184082,87.978401184082,120,80.6999969482422,12.5901641845703,0,2022-06-11 08:20:04,16.5886980056763,58.29,"Kuba",NA,210.85
"55","Jun 12, 2022, 3:00:05 PM","Ride",9083,60,8253,26.1758554458618,55.9645305633545,88.2743682861328,84.7743682861328,119.300003051758,81.3000030517578,11.3208742141724,0.00583254126831889,2022-06-12 15:00:05,26.1758554458618,60,"Kuba",NA,137.55
