"Date","Distance","AvgSpeed","DurationMinutes","Osoba","Year","Month","Day","Hour","Minute","Second","Type"
2021-05-06 08:39:33,69.95,16.5232727050781,254.033333333333,"Kuba","2021","05","06","08","39","33","Medium"
2021-06-29 07:04:12,100.31,18.3190223693848,328.566666666667,"Kuba","2021","06","29","07","04","12","Long"
2021-06-30 10:25:36,65.32,16.4934688568115,237.633333333333,"Kuba","2021","06","30","10","25","36","Medium"
2021-07-06 08:41:45,81.66,17.9639442443848,272.75,"Kuba","2021","07","06","08","41","45","Long"
2021-07-09 05:36:44,126.91,20.118782043457,378.483333333333,"Kuba","2021","07","09","05","36","44","Long"
2021-07-10 16:27:58,44.17,16.9961019515991,155.95,"Kuba","2021","07","10","16","27","58","Medium"
2021-07-11 14:08:16,33.26,15.0264987945557,132.833333333333,"Kuba","2021","07","11","14","08","16","Short"
2021-07-12 11:07:32,31.64,10.0481188774109,188.95,"Kuba","2021","07","12","11","07","32","Short"
2021-07-14 07:58:09,75.66,19.3797317504883,234.25,"Kuba","2021","07","14","07","58","09","Long"
2021-07-16 13:21:02,5.98,1.23711386919022,290.35,"Kuba","2021","07","16","13","21","02","Short"
2021-07-21 09:43:30,78.19,18.9608642578125,247.433333333333,"Kuba","2021","07","21","09","43","30","Long"
2021-07-29 14:31:16,26.08,16.4680114746094,95.0333333333333,"Kuba","2021","07","29","14","31","16","Short"
2021-07-30 07:33:14,104.92,17.5496772766113,358.716666666667,"Kuba","2021","07","30","07","33","14","Long"
2021-07-31 16:42:12,43.04,18.1896343231201,142,"Kuba","2021","07","31","16","42","12","Medium"
2021-08-01 10:16:42,34.12,15.0478054046631,136.05,"Kuba","2021","08","01","10","16","42","Short"
2021-08-07 16:44:42,33.67,25.4065979003906,79.5166666666667,"Kuba","2021","08","07","16","44","42","Short"
2021-08-10 07:49:00,74.93,18.9279224395752,237.55,"Kuba","2021","08","10","07","49","00","Long"
2021-08-11 16:11:34,7.46,4.51800298690796,99.15,"Kuba","2021","08","11","16","11","34","Short"
2021-08-13 09:29:02,16.49,12.2486134529114,80.8,"Kuba","2021","08","13","09","29","02","Short"
2021-08-14 08:27:29,59.63,17.0826416015625,209.466666666667,"Kuba","2021","08","14","08","27","29","Medium"
2021-08-16 09:02:33,50.8,21.3797498703003,142.583333333333,"Kuba","2021","08","16","09","02","33","Medium"
2021-08-25 11:24:29,44.96,13.7402649879456,196.333333333333,"Kuba","2021","08","25","11","24","29","Medium"
2021-08-31 07:50:20,108.77,18.8683439254761,345.9,"Kuba","2021","08","31","07","50","20","Long"
2021-09-08 13:54:52,57.72,21.8921178817749,158.216666666667,"Kuba","2021","09","08","13","54","52","Medium"
2021-09-17 14:50:55,28.56,25.4564552307129,67.3333333333333,"Kuba","2021","09","17","14","50","55","Short"
2021-09-17 16:31:18,20,21.0566316604614,57,"Kuba","2021","09","17","16","31","18","Short"
2021-10-09 10:56:34,52.22,20.0368034362793,156.383333333333,"Kuba","2021","10","09","10","56","34","Medium"
2022-03-29 06:15:12,7.69,19.6092481613159,23.55,"Kuba","2022","03","29","06","15","12","Short"
2022-03-29 12:10:37,14.41,19.8967500686646,43.4666666666667,"Kuba","2022","03","29","12","10","37","Short"
2022-03-30 05:09:18,14.3,18.8647785186768,45.4833333333333,"Kuba","2022","03","30","05","09","18","Short"
2022-03-30 13:04:18,14.48,18.9516065597534,45.8666666666667,"Kuba","2022","03","30","13","04","18","Short"
2022-04-07 04:38:58,14.04,20.6957118988037,40.7166666666667,"Kuba","2022","04","07","04","38","58","Short"
2022-04-07 14:16:00,12.39,21.438303565979,34.6833333333333,"Kuba","2022","04","07","14","16","00","Short"
2022-04-13 05:02:03,14.09,18.2616514205933,46.3166666666667,"Kuba","2022","04","13","05","02","03","Short"
2022-04-13 15:22:56,7.25,19.2122211456299,22.6666666666667,"Kuba","2022","04","13","15","22","56","Short"
2022-05-04 13:38:51,44.22,23.5085861206055,112.866666666667,"Kuba","2022","05","04","13","38","51","Medium"
2022-05-06 14:19:16,41.78,18.3065649032593,136.933333333333,"Kuba","2022","05","06","14","19","16","Medium"
2022-05-11 14:02:26,60.03,20.0806886672974,179.383333333333,"Kuba","2022","05","11","14","02","26","Medium"
2022-05-19 12:45:16,100.05,23.9737678527832,250.4,"Kuba","2022","05","19","12","45","16","Long"
2022-05-20 07:45:43,39.17,18.144185256958,129.55,"Kuba","2022","05","20","07","45","43","Short"
2022-05-24 07:59:38,12.69,16.3441148757935,46.5833333333333,"Kuba","2022","05","24","07","59","38","Short"
2022-05-31 09:50:39,65.01,16.8324932098389,231.733333333333,"Kuba","2022","05","31","09","50","39","Medium"
2022-06-01 10:52:13,24.48,21.0289890289307,69.8666666666667,"Kuba","2022","06","01","10","52","13","Short"
2022-05-30 11:53:51,25.5,19.5465436935425,78.3,"Kuba","2022","05","30","11","53","51","Short"
2022-06-02 09:36:16,105.94,21.5670993804932,294.733333333333,"Kuba","2022","06","02","09","36","16","Long"
2022-06-03 13:49:01,26.87,21.8056949615479,73.9333333333333,"Kuba","2022","06","03","13","49","01","Short"
2022-06-07 11:48:53,60.28,19.9699035644531,181.133333333333,"Kuba","2022","06","07","11","48","53","Medium"
2022-06-11 08:20:04,58.29,16.5886980056763,210.85,"Kuba","2022","06","11","08","20","04","Medium"
2022-06-12 15:00:05,60,26.1758554458618,137.55,"Kuba","2022","06","12","15","00","05","Medium"
2022-06-14 06:26:08,29.17,20.8769142150879,83.8333333333333,"Kuba","2022","06","14","06","26","08","Short"
2022-06-16 13:49:18,74.03,22.4237445831299,198.083333333333,"Kuba","2022","06","16","13","49","18","Long"
2022-06-17 14:05:41,60.16,22.1001937866211,163.333333333333,"Kuba","2022","06","17","14","05","41","Medium"
2022-06-15 08:44:59,5.79,20.6546607971191,16.8333333333333,"Kuba","2022","06","15","08","44","59","Short"
2022-06-22 08:03:17,104.15,23.6459135055542,264.283333333333,"Kuba","2022","06","22","08","03","17","Long"
2022-06-23 11:47:45,58.82,19.4297693252563,181.65,"Kuba","2022","06","23","11","47","45","Medium"
2022-06-30 09:34:43,67.37,23.7007112503052,170.55,"Kuba","2022","06","30","09","34","43","Medium"
2022-07-01 08:18:38,59.1,17.7104690551758,200.25,"Kuba","2022","07","01","08","18","38","Medium"
2022-07-04 13:55:07,58.89,24.8691432952881,142.083333333333,"Kuba","2022","07","04","13","55","07","Medium"
