"","lat","lon","ele","activity_date","distance","time","mean_speed","min_max"
"1",52.187425,21.136386,82,"May 6, 2021, 8:39:33 AM",69.95,15242,4.58979797363281,"min"
"2",51.934847,21.503297,158.7,"May 6, 2021, 8:39:33 AM",69.95,15242,4.58979797363281,"max"
"3",52.381558,20.921816,76.9,"Jun 29, 2021, 7:04:12 AM",100.31,19714,5.0886173248291,"min"
"4",52.315402,21.150604,94,"Jun 29, 2021, 7:04:12 AM",100.31,19714,5.0886173248291,"max"
"5",52.161006,21.140587,75.5,"Jun 30, 2021, 10:25:36 AM",65.32,14258,4.58151912689209,"min"
"6",51.98606,21.214659,119.9,"Jun 30, 2021, 10:25:36 AM",65.32,14258,4.58151912689209,"max"
"7",52.437126,21.023217,77.2,"Jul 6, 2021, 8:41:45 AM",81.66,16365,4.9899845123291,"min"
"8",52.241857,21.034423,90.9,"Jul 6, 2021, 8:41:45 AM",81.66,16365,4.9899845123291,"max"
"9",52.207831,21.060515,80.9,"Jul 9, 2021, 5:36:44 AM",126.91,22709,5.58855056762695,"min"
"10",51.846237,21.199432,125.2,"Jul 9, 2021, 5:36:44 AM",126.91,22709,5.58855056762695,"max"
"11",52.161392,21.144296,77.6,"Jul 10, 2021, 4:27:58 PM",44.17,9357,4.72113943099976,"min"
"12",52.1669,21.190237,97.5,"Jul 10, 2021, 4:27:58 PM",44.17,9357,4.72113943099976,"max"
"13",52.187536,21.136667,82,"Jul 11, 2021, 2:08:16 PM",33.26,7970,4.17402744293213,"min"
"14",52.113142,21.253696,97.4,"Jul 11, 2021, 2:08:16 PM",33.26,7970,4.17402744293213,"max"
"15",52.187593,21.136669,82,"Jul 12, 2021, 11:07:32 AM",31.64,11337,2.79114413261414,"min"
"16",52.186956,21.218579,100.3,"Jul 12, 2021, 11:07:32 AM",31.64,11337,2.79114413261414,"max"
"17",52.437365,21.023345,76.1,"Jul 14, 2021, 7:58:09 AM",75.66,14055,5.38325881958008,"min"
"18",52.286737,20.993528,90.3,"Jul 14, 2021, 7:58:09 AM",75.66,14055,5.38325881958008,"max"
"19",52.187604,21.135606,81.9,"Jul 16, 2021, 1:21:02 PM",5.98,17421,0.343642741441727,"min"
"20",52.184142,21.178035,89.6,"Jul 16, 2021, 1:21:02 PM",5.98,17421,0.343642741441727,"max"
"21",54.759361,18.505777,-0.4,"Jul 21, 2021, 9:43:30 AM",78.19,14846,5.26690673828125,"min"
"22",54.803254,18.38677,27.5,"Jul 21, 2021, 9:43:30 AM",78.19,14846,5.26690673828125,"max"
"23",52.220935,21.106745,81.2,"Jul 29, 2021, 2:31:16 PM",26.08,5702,4.57444763183594,"min"
"24",52.226602,21.054118,91.5,"Jul 29, 2021, 2:31:16 PM",26.08,5702,4.57444763183594,"max"
"25",52.160661,21.140715,76,"Jul 30, 2021, 7:33:14 AM",104.92,21523,4.87491035461426,"min"
"26",51.86843,20.865581,152.5,"Jul 30, 2021, 7:33:14 AM",104.92,21523,4.87491035461426,"max"
"27",52.287758,20.997928,75.3,"Jul 31, 2021, 4:42:12 PM",43.04,8520,5.0526762008667,"min"
"28",52.215,21.093707,91.7,"Jul 31, 2021, 4:42:12 PM",43.04,8520,5.0526762008667,"max"
"29",52.187537,21.136383,82,"Aug 1, 2021, 10:16:42 AM",34.12,8163,4.17994594573975,"min"
"30",52.113132,21.253667,97.4,"Aug 1, 2021, 10:16:42 AM",34.12,8163,4.17994594573975,"max"
"31",52.285474,21.001055,78.3,"Aug 7, 2021, 4:44:42 PM",33.67,4771,7.05738830566406,"min"
"32",52.286982,20.994088,90.3,"Aug 7, 2021, 4:44:42 PM",33.67,4771,7.05738830566406,"max"
"33",52.207719,21.060752,80.9,"Aug 10, 2021, 7:49:00 AM",74.93,14253,5.25775623321533,"min"
"34",52.177595,20.986873,113.9,"Aug 10, 2021, 7:49:00 AM",74.93,14253,5.25775623321533,"max"
"35",52.187476,21.136399,82,"Aug 11, 2021, 4:11:34 PM",7.46,5949,1.25500082969666,"min"
"36",52.19675,21.152914,86.4,"Aug 11, 2021, 4:11:34 PM",7.46,5949,1.25500082969666,"max"
"37",52.193742,21.137931,83.6,"Aug 13, 2021, 9:29:02 AM",16.49,4848,3.40239262580872,"min"
"38",52.277255,21.170546,94.8,"Aug 13, 2021, 9:29:02 AM",16.49,4848,3.40239262580872,"max"
"39",52.285558,21.000985,78.3,"Aug 14, 2021, 8:27:29 AM",59.63,12568,4.74517822265625,"min"
"40",52.213075,21.006445,118.5,"Aug 14, 2021, 8:27:29 AM",59.63,12568,4.74517822265625,"max"
"41",52.187392,21.138386,82.3,"Aug 16, 2021, 9:02:33 AM",50.8,8555,5.93881940841675,"min"
"42",51.884035,21.440566,133.4,"Aug 16, 2021, 9:02:33 AM",50.8,8555,5.93881940841675,"max"
"43",52.210858,21.086873,80.9,"Aug 25, 2021, 11:24:29 AM",44.96,11780,3.81674027442932,"min"
"44",52.215405,21.09381,92,"Aug 25, 2021, 11:24:29 AM",44.96,11780,3.81674027442932,"max"
