DATAFLOW,LAST UPDATE,freq,unit,indx,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,AT,2017-01,102.18,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,AT,2018-01,104.00,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,AT,2019-01,105.36,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,AT,2020-01,106.73,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,AT,2021-01,105.39,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,AT,2022-01,110.62,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,AT,2023-01,129.81,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,BE,2017-01,102.12,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,BE,2018-01,103.97,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,BE,2019-01,105.10,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,BE,2020-01,106.11,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,BE,2021-01,106.76,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,BE,2022-01,109.48,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,BE,2023-01,130.54,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,BG,2017-01,103.81,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,BG,2018-01,104.42,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,BG,2019-01,108.24,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,BG,2020-01,116.92,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,BG,2021-01,116.80,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,BG,2022-01,129.77,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,BG,2023-01,163.54,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,CH,2017-01,99.88,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,CH,2018-01,101.07,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,CH,2019-01,102.49,
ESTAT:PRC_FSC_IDX(1.0),07/11/23 11:00:00,M,I15,HICP,CP011,CH,2020-01,101.17,
