,Imie,Rozszerzenie,Nazwa_pliku,Data_utworzenia,Data_ostatniej_modefikacji,Liczba_linii,Liczba_wierszy,Liczba_znaków,abstract,assert,boolean,break,byte,case,catch,char,class,continue,default,do,double,else,enum,extends,final,finally,for,if,implements,import,instanceof,int,interface,long,native,new,package,private,protected,public,return,short,static,super,switch,synchronized,this,throw,throws,transient,try,void,volatile,while,exports,module,non-sealed,open,opens,permits,provides,record,requires,sealed,to,transitive,uses,var,with,yield,true,false,null,liczba_znakow_w_komantarzu_w_linii,liczba_komentarzy_w_linii,liczba_znakow_w_komentarzu_w_bloku,liczba_komentarzy_w_bloku,Najdluzszy_wyraz
0,Mikolaj,java,AccidentVisitor.java,2024-01-24,2023-05-23,8,13,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AccidentVisitor
1,Mikolaj,java,Accountant.java,2024-01-24,2023-11-27,23,39,505,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,3,0,0,0,0,0,0,1,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MafiaWorker
2,Mikolaj,java,AccountingProofParser.java,2024-01-24,2023-05-18,66,194,2498,0,0,1,0,0,0,1,0,1,0,0,7,3,1,0,0,0,0,3,3,0,13,0,1,0,0,0,8,1,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,PodejrzaneKwityException
3,Mikolaj,java,AccountingProofProcessor.java,2024-01-24,2023-05-17,56,130,1782,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2,0,10,0,1,0,0,0,4,1,0,0,4,1,0,0,1,0,0,1,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ImplementacjaVisitorPattern
4,Mikolaj,java,Adit.java,2024-01-24,2023-04-02,67,231,2150,0,0,0,0,0,0,0,0,1,0,0,13,0,4,0,0,0,0,4,4,0,1,0,8,0,0,0,6,1,5,0,3,2,0,1,0,0,0,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,maxDistanceBetweenCorridors
5,Mikolaj,java,Animal (2).java,2024-01-24,2023-04-03,5,8,68,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,abstract
6,Mikolaj,java,Animal.java,2024-01-24,2023-03-21,5,8,68,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,abstract
7,Mikolaj,java,AnimalWithTooth (2).java,2024-01-24,2023-04-03,11,28,259,1,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AnimalWithTooth
8,Mikolaj,java,AnimalWithTooth.java,2024-01-24,2023-03-21,11,28,259,1,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AnimalWithTooth
9,Mikolaj,java,AntEater (2).java,2024-01-24,2023-04-03,5,8,75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AntEater
10,Mikolaj,java,AntEater.java,2024-01-24,2023-03-21,5,8,75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AntEater
11,Mikolaj,java,AntipersonnelMine.java,2024-01-24,2023-03-30,47,81,766,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,2,0,6,2,0,0,1,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,AntipersonnelMine
12,Mikolaj,java,AntitankMine.java,2024-01-24,2023-03-30,36,60,626,0,0,0,0,0,0,0,0,1,0,0,3,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,5,2,0,0,1,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,AntitankMine
13,Mikolaj,java,AresztowanoDzieckoException.java,2024-01-24,2023-04-24,8,18,205,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AresztowanoDzieckoException
14,Mikolaj,java,ArrivalVisitor.java,2024-01-24,2023-05-19,9,13,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ArrivalVisitor
15,Mikolaj,java,AutomatSprzedajacy.java,2024-01-24,2023-04-24,101,258,2779,0,0,2,2,0,2,0,0,1,0,0,2,0,3,0,1,0,0,1,8,0,11,0,7,0,0,0,9,1,1,7,5,6,0,1,0,1,0,4,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,TooMuchSugarException
16,Mikolaj,java,AuxiliaryController.java,2024-01-24,2024-01-22,42,88,1495,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,12,0,0,0,0,0,2,1,0,4,5,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AuxiliaryController
17,Mikolaj,java,Bagaz.java,2024-01-24,2023-04-25,23,53,433,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,1,0,1,4,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,implements
