,Imie,Rozszerzenie,Nazwa_pliku,Data_utworzenia,Data_ostatniej_modefikacji,Liczba_linii,Liczba_wierszy,Liczba_znaków,abstract,assert,boolean,break,byte,case,catch,char,class,continue,default,do,double,else,enum,extends,final,finally,for,if,implements,import,instanceof,int,interface,long,native,new,package,private,protected,public,return,short,static,super,switch,synchronized,this,throw,throws,transient,try,void,volatile,while,exports,module,non-sealed,open,opens,permits,provides,record,requires,sealed,to,transitive,uses,var,with,yield,true,false,null,liczba_znakow_w_komantarzu_w_linii,liczba_komentarzy_w_linii,liczba_znakow_w_komentarzu_w_bloku,liczba_komentarzy_w_bloku,Najdluzszy_wyraz
0,Malgosia,java,Main.java,2023-04-03,2023-04-03,13,29,246,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package
1,Malgosia,java,Bozena.java,2023-04-03,2023-04-03,28,50,486,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1,1,0,4,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,0,0,implements
2,Malgosia,java,ElementyPodloza.java,2023-04-01,2023-04-03,28,48,511,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,1,1,5,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ElementyPodloza
3,Malgosia,java,ObiektyBezpieczne.java,2023-04-01,2023-04-03,22,34,343,1,0,0,0,0,0,0,0,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ObiektyBezpieczne
4,Malgosia,java,Purchawka.java,2023-04-01,2023-04-03,26,43,456,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58,1,0,0,Purchawka
5,Malgosia,java,Trawa.java,2023-04-01,2023-04-03,17,30,302,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1,0,0,ObiektyBezpieczne
6,Malgosia,java,Miny.java,2023-04-01,2023-04-03,55,99,960,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,4,0,0,0,0,1,3,0,10,3,0,3,1,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,ElementyPodloza
7,Malgosia,java,Obudowa.java,2023-04-01,2023-04-03,5,10,80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package
8,Malgosia,java,PrzeciwczolgowaMina.java,2023-04-01,2023-04-03,31,60,626,0,0,0,0,0,0,0,0,1,0,0,4,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,6,2,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,0,0,PrzeciwczolgowaMina
9,Malgosia,java,PrzeciwpiechotnaMina.java,2023-04-01,2023-04-03,40,82,816,0,0,0,0,0,0,0,0,1,0,0,15,0,3,0,1,0,0,0,5,0,0,0,1,0,0,0,0,1,1,0,6,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,93,2,0,0,PrzeciwpiechotnaMina
